Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-3290.3823	858.29114	-1949.8373	-4995.516	-2848.5896	710.9091	-1650.694	-4067.2542	110.0	110.0	1649	-54.40347	27.527262	0.26727548	-150.11563	52.929825	124.02866	4.5831217765808105
2	-3284.5938	612.0825	-1817.1174	-4150.148	-2855.3726	1026.4528	-908.9705	-4568.5107	110.0	110.0	3299	-186.11307	73.50089	-32.569992	-486.2919	182.48328	104.916725	12.05592656135559
3	-3010.9265	603.48895	-1829.595	-3754.0981	-3037.7974	985.5358	-1196.4514	-4388.0024	110.0	110.0	4949	-366.74316	93.71128	-99.01217	-722.86536	359.65326	209.01796	19.680635690689087
4	-3172.3591	538.41724	-2110.3623	-3915.8096	-2529.6821	1093.5356	-1126.1018	-4483.722	110.0	110.0	6599	-511.7961	116.72604	-171.71846	-951.49243	503.0112	289.71362	27.294143438339233
5	-3452.972	642.6625	-2424.5662	-4731.745	-1801.9358	475.89795	-771.56104	-2436.9302	110.0	110.0	8249	-648.5995	140.91293	-239.12102	-1182.2346	637.4136	350.0031	34.612547397613525
6	-3160.6484	545.29474	-1989.582	-4391.289	-2173.822	475.0341	-1201.915	-3103.2976	110.0	110.0	9899	-755.199	165.96349	-301.84293	-1391.6914	741.5505	397.05188	42.31953263282776
7	-2208.9304	777.01105	-860.5324	-3283.581	-1596.2805	723.08606	-230.02869	-2710.4412	110.0	110.0	11549	-835.66846	188.45862	-365.04907	-1550.2797	821.5469	380.3723	50.270214796066284
8	-2007.889	784.63074	-850.0743	-3800.5188	-1636.127	714.4093	-649.6971	-2849.974	110.0	110.0	13199	-907.6266	208.40016	-429.82184	-1704.3467	894.82666	329.415	58.24019145965576
9	-1778.7385	893.5102	-633.4633	-3293.84	-1767.9938	816.0467	-368.87204	-2820.431	110.0	110.0	14849	-970.0791	228.99097	-462.77716	-1833.8	958.1762	305.30524	66.82222628593445
10	-1677.93	675.67523	-658.463	-3015.1511	-1810.8279	327.37698	-1218.4502	-2413.5205	110.0	110.0	16499	-1031.8995	244.15843	-521.01056	-1956.4875	1020.9637	287.0807	75.9666109085083
11	-1586.5428	957.28455	-375.165	-3275.5928	-1981.0164	578.66846	-1289.4874	-2973.9211	110.0	110.0	18149	-1089.6125	256.9998	-563.8545	-2057.612	1079.6967	267.19864	85.47273373603821
