Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-6503.5166	2109.9917	-3495.046	-9213.35	-6451.655	1647.9524	-3603.3384	-9193.424	110.0	110.0	1649	-101.37617	58.001442	0.27190417	-315.4155	97.50252	1169.935	9.856919050216675
2	-6986.649	1757.1486	-3557.0872	-10531.156	-4619.3306	3005.7505	-1824.2124	-12259.867	110.0	110.0	3299	-388.0735	171.40028	-46.41272	-1157.5809	378.46423	1374.6194	26.478755712509155
3	-7242.4297	2482.289	-2322.4639	-11272.76	-4986.1846	2154.3274	-722.96405	-7831.152	110.0	110.0	4949	-758.16974	245.4865	-162.73778	-1814.4587	738.1509	2617.1152	45.01267886161804
4	-7425.1577	2318.7747	-4548.007	-12241.452	-4640.1494	2391.3296	-1497.417	-8672.132	110.0	110.0	6599	-1039.6604	305.33914	-274.3429	-2301.204	1012.7563	3751.3865	59.03155589103699
5	-8085.913	1465.2823	-5916.2026	-11453.807	-5175.3135	2396.5513	-878.8173	-8930.517	110.0	110.0	8249	-1290.0483	355.23752	-424.7842	-2551.698	1256.8252	4797.379	74.99876189231873
6	-6533.422	1398.3923	-4529.359	-8713.105	-5515.8877	2667.3945	-2832.6594	-10102.158	110.0	110.0	9899	-1463.1908	384.16644	-531.3911	-2835.3547	1421.7318	5485.1523	89.76583981513977
7	-2298.7256	1627.6019	-414.34866	-6883.1304	-2532.1238	1629.6029	-346.06555	-4652.0967	110.0	110.0	11549	-1519.8087	404.64398	-577.27014	-3033.159	1474.1239	5168.219	104.76321387290955
8	-2560.724	2071.855	-418.30334	-9169.664	-3719.9707	3184.6687	-74.62594	-9826.066	110.0	110.0	13199	-1514.2421	430.68298	-591.4654	-3098.8442	1471.5239	4376.159	121.65190982818604
9	-2771.405	2504.3276	-144.93301	-9893.588	-2214.6304	1759.168	-705.0857	-6573.6226	110.0	110.0	14849	-1510.2401	438.6618	-583.3782	-3159.8813	1471.8007	3729.0515	136.12759399414062
10	-2510.725	2308.4102	-273.63196	-8730.283	-3184.3066	2475.4917	-513.65765	-8589.71	110.0	110.0	16499	-1524.6149	441.15137	-528.1247	-3206.6152	1490.7261	3233.114	150.92212772369385
11	-2706.5203	2400.1926	-446.22238	-9034.974	-1641.6553	1030.471	-180.27103	-3457.835	110.0	110.0	18149	-1551.1992	462.60434	-524.42267	-3302.8872	1521.0532	2920.2551	165.44267582893372
12	-2203.714	2041.4244	-109.52939	-7670.2856	-1694.9313	1340.7814	-151.88106	-3798.833	110.0	110.0	19799	-1582.6713	483.6563	-525.6347	-3414.2656	1553.9508	2818.822	180.70594787597656
13	-2362.1897	1353.9199	-836.04376	-4850.796	-1880.9557	1445.8481	-304.50323	-4698.437	110.0	110.0	21449	-1619.7256	508.3943	-524.19934	-3537.5369	1592.6621	2761.3054	195.2429428100586
14	-2117.3022	922.49884	-587.1806	-3397.258	-1596.095	1031.8123	-132.09343	-3507.6816	110.0	110.0	23099	-1638.9089	539.881	-488.9015	-3599.2708	1612.1549	2747.9556	209.53454780578613
15	-1836.2192	1093.8169	-389.55643	-3820.635	-2294.9355	1251.8923	-974.5099	-5685.5747	110.0	110.0	24749	-1642.3973	567.381	-427.65833	-3704.4053	1616.2021	2671.3965	224.02137088775635
16	-2091.8308	906.42224	-589.0169	-3477.3254	-1906.9463	694.8224	-1110.3622	-3279.3328	110.0	110.0	26399	-1647.4628	586.0278	-365.61847	-3790.2188	1621.5717	2609.0518	243.74654579162598
17	-2390.6326	1468.4749	-412.80844	-5839.5913	-2190.1812	1602.4801	-701.05365	-4969.154	110.0	110.0	28049	-1647.2522	611.87714	-299.37805	-4455.5415	1621.9688	2482.5789	260.25133895874023
18	-2124.5999	1993.9182	-323.80975	-8615.523	-1557.4277	1278.5156	-251.00372	-4837.9507	110.0	110.0	29699	-1635.6831	633.87067	-251.87152	-4533.596	1611.3336	2439.511	277.26647782325745
19	-1968.2104	1025.191	-443.4577	-4421.48	-1100.131	774.97565	-315.11783	-2397.7512	110.0	110.0	31349	-1623.2429	652.1225	-198.59505	-4599.955	1599.3748	2384.0718	292.553897857666
20	-2278.6692	1310.5603	-198.21216	-5727.141	-1703.3502	1161.0131	-71.0473	-3666.9412	110.0	110.0	32999	-1610.7716	672.8924	-149.70937	-4669.047	1586.7618	2329.9758	309.62218976020813
21	-1635.0386	894.31775	-430.31494	-3545.672	-908.60614	296.04202	-479.3034	-1281.0632	110.0	110.0	34649	-1581.1082	690.5755	-116.00013	-4698.2646	1557.2721	2285.6963	325.52975273132324
22	-1826.9182	1505.5714	-343.12933	-6231.5	-1158.2943	817.95374	-284.61493	-2732.6824	110.0	110.0	36299	-1551.0488	702.57495	-94.125885	-4739.4463	1528.0507	2235.7188	343.0246410369873
23	-1582.6733	1187.8021	-429.57825	-4802.483	-2169.3232	1545.9707	-678.78143	-5267.7017	110.0	110.0	37949	-1518.5625	716.5668	-81.864044	-4767.305	1496.045	2233.8972	358.82583498954773
24	-1484.7272	1093.3148	-371.30624	-4567.1094	-1501.8215	1223.4622	-276.44678	-4939.549	110.0	110.0	39599	-1488.223	727.54004	-79.74065	-4803.614	1465.8981	2212.2139	373.4907510280609
25	-2152.9631	1375.9235	-221.09216	-4371.463	-1879.99	1279.4875	-685.529	-4568.6147	110.0	110.0	41249	-1458.885	732.5029	-71.11732	-4811.692	1436.2206	2165.5952	390.38755083084106
26	-1349.2155	780.0645	-347.3907	-3069.5227	-1417.0139	763.98474	-227.5309	-2687.3809	110.0	110.0	42899	-1421.395	737.89813	-63.49215	-4815.3843	1398.93	2087.7266	408.29285192489624
