Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-15196.872	3611.8164	-9377.616	-24280.49	-10379.139	6625.6685	-857.50696	-25127.645	220.0	220.0	3299	-339.63766	207.06436	0.22474396	-1143.7605	329.69687	1113.0233	22.03533411026001
2	-12725.004	2614.5686	-8236.714	-18663.338	-3390.8208	3315.1511	-1050.4188	-12825.903	220.0	220.0	6599	-941.00995	330.00037	-183.23636	-2237.4448	915.5023	2453.534	46.01039719581604
3	-12993.403	2165.225	-7736.698	-17111.82	-5933.562	6767.9243	-63.13338	-24587.852	220.0	220.0	9899	-1401.6742	353.88785	-433.26434	-2525.2117	1363.5524	3216.8982	70.71947002410889
4	-4111.195	4353.956	-178.44495	-15836.7705	-5622.4805	4409.578	-537.72076	-14955.495	220.0	220.0	13199	-1508.71	397.202	-593.683	-2872.4478	1466.6012	2928.5298	107.21426606178284
5	-6447.442	5437.618	-679.20514	-20703.82	-3907.9653	4184.288	-753.8425	-15573.1	220.0	220.0	16499	-1518.9255	447.36752	-633.72156	-3207.1882	1485.5413	2490.392	139.76768493652344
6	-4241.3857	4268.805	-735.3326	-17945.246	-3739.4858	2710.9458	-1224.8295	-9711.046	220.0	220.0	19799	-1595.4117	485.0583	-676.42944	-3434.7993	1568.2312	2259.0173	173.21985816955566
7	-2894.257	1740.6332	-568.4915	-5636.4385	-5584.0645	5211.508	-944.3288	-15525.392	220.0	220.0	23099	-1681.3663	555.21796	-711.81287	-3603.6804	1655.6566	2219.2148	200.3530831336975
8	-3047.0083	2302.288	-253.44582	-8703.525	-5557.9424	5144.3774	-759.30536	-18811.688	220.0	220.0	26399	-1679.3386	604.0847	-692.4221	-3664.9307	1653.4518	2123.513	227.93086981773376
9	-4333.0503	2756.4255	-439.59918	-11478.684	-4630.0586	2894.0173	-1285.9957	-10907.652	220.0	220.0	29699	-1650.4214	628.2403	-659.85004	-3706.8928	1625.4803	1997.6085	254.6872899532318
10	-4126.611	2414.109	-648.2711	-8566.83	-2681.5483	871.3037	-971.8763	-4275.5503	220.0	220.0	32999	-1623.4548	645.9457	-580.0896	-3825.4504	1599.7146	1848.647	282.2964987754822
11	-3762.9927	1569.6241	-951.9439	-6876.663	-2278.4702	1308.1448	-524.9332	-4468.964	220.0	220.0	36299	-1599.1034	661.99475	-492.82056	-3900.5312	1576.465	1748.3567	312.2234048843384
12	-2646.182	1411.7996	-349.5145	-5248.665	-3869.6667	1887.5188	-1592.499	-6913.4385	220.0	220.0	39599	-1563.8369	669.99347	-383.80576	-3993.7505	1542.0591	1657.5453	339.21211194992065
13	-3291.0857	3340.2605	-612.02765	-13793.139	-2291.1868	1686.2043	-238.15182	-5450.3623	220.0	220.0	42899	-1526.3254	675.1977	-317.8647	-4145.1826	1504.9025	1610.197	366.235319852829
14	-3576.691	4146.0156	-175.04248	-17466.328	-4523.7964	5354.5767	-513.41895	-18353.994	220.0	220.0	46199	-1481.5801	688.077	-276.6969	-4316.5767	1460.483	1553.3849	393.8530547618866
15	-2904.3545	1716.6266	-744.9611	-6531.78	-2820.264	3056.8503	-307.99695	-10867.121	220.0	220.0	49499	-1428.2632	703.4832	-236.77127	-4498.3726	1407.1018	1545.4932	423.49045181274414
16	-4487.0654	3642.8696	-1173.1344	-16304.288	-2128.548	2014.5104	-408.7869	-7403.042	220.0	220.0	52799	-1377.3461	715.7604	-163.24393	-4624.756	1356.4957	1523.8612	453.980516910553
17	-2455.775	1300.5818	-738.57153	-4734.3516	-3197.2668	2153.6409	-291.59796	-6697.5034	220.0	220.0	56099	-1314.7605	724.49243	-95.44141	-4632.4517	1293.4336	1539.1688	482.9014298915863
18	-2358.7036	2304.8438	-195.54196	-8319.162	-4008.1294	3233.4424	-250.58348	-9358.328	220.0	220.0	59399	-1235.318	719.86816	-32.827774	-4568.148	1214.4824	1545.9728	512.7300038337708
19	-3144.3635	3144.252	-186.05368	-12122.648	-2208.0835	1810.542	-423.3895	-5433.211	220.0	220.0	62699	-1148.6165	720.3542	5.7052307	-4551.2383	1127.9442	1481.4586	543.3125081062317
