Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-13731.785	4483.3403	-7202.7607	-22076.143	-11273.259	6609.1113	-1120.0396	-21914.807	220.0	220.0	3299	-314.24173	223.51001	0.27263793	-1256.1989	307.49692	1031.8787	14.544650554656982
2	-12170.934	3041.1404	-7489.677	-17668.818	-4043.141	4206.7437	-428.34937	-14880.991	220.0	220.0	6599	-861.26886	316.32544	-174.17178	-2149.901	835.1616	1819.4459	31.90713930130005
3	-14126.272	3859.7224	-7938.636	-22324.207	-6763.7393	3811.3252	-1819.1138	-15073.562	220.0	220.0	9899	-1225.9612	418.60278	-360.93893	-2843.066	1190.1351	2869.0674	49.58010458946228
4	-6775.8	6034.78	-46.238796	-19285.527	-7598.6094	7765.1685	-683.2063	-28455.025	220.0	220.0	13199	-1439.3129	476.6165	-500.26227	-3248.513	1402.547	3311.3037	68.0578465461731
5	-7314.5537	5736.8247	-1377.3165	-19693.016	-3123.0393	1911.0273	-241.41644	-6186.8496	220.0	220.0	16499	-1610.2695	625.5224	-621.2606	-4087.1875	1579.5729	3032.6055	86.46363806724548
6	-3963.1272	3874.6323	-670.9008	-13129.779	-4283.5205	2958.233	-1228.6195	-11093.543	220.0	220.0	19799	-1763.1896	772.98224	-734.7008	-4839.362	1734.6697	2980.3984	105.07771253585815
7	-3626.9592	2668.8665	-469.86243	-8940.917	-2593.0005	1293.9501	-984.08813	-5635.5156	220.0	220.0	23099	-1828.9642	879.9881	-720.47485	-5290.9917	1801.2694	2923.2036	123.72220277786255
8	-3082.0945	2268.8914	-541.4056	-7880.924	-3482.5664	2227.754	-665.93427	-8616.616	220.0	220.0	26399	-1835.9209	904.5083	-710.3109	-5597.3438	1809.0574	2768.7812	142.3226945400238
9	-3218.574	1933.1211	-903.05566	-7371.0557	-2617.9963	1255.923	-326.14755	-4276.398	220.0	220.0	29699	-1796.3844	907.42847	-660.9907	-5919.973	1770.2819	2546.676	161.11848211288452
10	-3174.372	2655.3677	-766.74817	-11513.483	-3684.2507	3528.6558	-956.2101	-12425.144	220.0	220.0	32999	-1743.7537	887.3555	-603.51935	-5970.5806	1718.7983	2402.2036	179.83141493797302
11	-2920.8152	2422.2273	-280.9252	-9673.075	-5510.288	4009.3733	-1595.0441	-11809.12	220.0	220.0	36299	-1679.5276	871.55615	-519.3535	-6042.364	1655.5885	2250.8782	198.67997336387634
12	-4021.789	2853.774	-450.3627	-10449.88	-3307.7676	2742.1147	-824.95807	-10871.378	220.0	220.0	39599	-1603.632	841.9749	-468.75183	-6020.8066	1580.8743	2083.7085	217.61847114562988
13	-4267.214	2570.5125	-1085.0269	-8435.566	-3608.4324	3080.5818	-544.717	-9199.308	220.0	220.0	42899	-1572.9854	834.816	-369.88458	-6005.0703	1550.9773	1947.7731	236.26139974594116
14	-3165.0396	2456.0405	-431.03275	-8253.976	-3650.7104	2884.112	-1273.5411	-11192.243	220.0	220.0	46199	-1519.7917	830.64716	-309.5746	-5896.2925	1498.5837	1837.0396	254.91660976409912
15	-3641.7483	2453.748	-740.5041	-8706.792	-4800.4736	3244.6604	-59.0291	-11136.634	220.0	220.0	49499	-1475.041	832.656	-222.09587	-5849.6016	1454.7382	1754.6792	273.4592249393463
16	-2907.918	1992.6555	-353.87668	-8202.367	-4274.24	3887.6511	-156.94067	-13373.964	220.0	220.0	52799	-1412.0714	843.02795	-63.57985	-5793.16	1390.9368	1696.8264	292.0393931865692
17	-3224.89	1771.0715	-759.2779	-6580.2524	-1874.7283	1805.7096	-415.62378	-7036.3135	220.0	220.0	56099	-1327.0338	849.5276	11.371395	-5710.058	1305.2415	1587.65	310.58858585357666
18	-2547.315	1859.491	-804.51434	-6333.5576	-3129.5942	2098.9849	-476.34476	-7470.343	220.0	220.0	59399	-1251.3622	856.0407	147.43533	-5636.3174	1229.2499	1472.3176	329.6647562980652
19	-2682.892	1861.6597	-405.0578	-7210.5356	-1953.7308	2352.1091	-200.55064	-8262.531	220.0	220.0	62699	-1161.8748	843.271	261.29083	-5357.9487	1139.9849	1362.702	348.1413097381592
20	-2422.5757	1695.409	-134.95439	-5753.3257	-2491.257	1471.1573	-888.19464	-5538.943	220.0	220.0	65999	-1049.7041	831.0403	376.04877	-5049.081	1027.6177	1303.2839	366.680392742157
21	-2343.7136	2106.1792	-404.50662	-7619.404	-2906.5376	2174.2593	-222.80708	-7602.931	220.0	220.0	69299	-936.78253	822.47076	506.5513	-4819.6226	914.1509	1296.5258	385.39534187316895
22	-2344.6199	1414.8538	-423.50702	-5841.409	-2493.5295	1897.3685	-275.00006	-6845.0957	220.0	220.0	72599	-823.42664	815.55853	648.16406	-4589.468	799.90955	1266.633	404.05702781677246
23	-2045.3488	1436.0505	-453.73224	-6427.1304	-3623.8247	3620.5337	-275.066	-10891.502	220.0	220.0	75899	-702.0347	803.6975	754.594	-4270.4155	678.7754	1213.4681	422.6608328819275
24	-2390.0928	1448.8638	-698.3398	-5973.562	-2854.6516	2384.3188	-458.82104	-7302.601	220.0	220.0	79199	-596.08215	793.42163	836.3327	-3963.7485	573.2704	1183.8586	441.3434443473816
25	-2198.9265	1375.7494	-304.94946	-5144.677	-3042.5952	2548.036	-605.7447	-9513.765	220.0	220.0	82499	-487.24408	782.8823	944.96625	-4207.231	464.76935	1188.3134	459.9500455856323
26	-2306.1306	2162.3164	-193.87108	-8793.336	-2432.4585	1908.2821	-793.5401	-7659.795	220.0	220.0	85799	-381.2291	765.2489	1042.6475	-4560.0195	358.8657	1161.725	478.73145270347595
27	-2456.2847	2273.6992	-164.5919	-8940.362	-1915.6409	2985.3333	-441.68314	-10761.879	220.0	220.0	89099	-281.7078	743.95874	1182.1829	-4325.835	259.46072	1153.7505	497.53260922431946
28	-2738.921	2297.3027	-139.66069	-7851.4385	-2825.8132	4490.444	-153.62242	-16008.723	220.0	220.0	92399	-187.8367	723.1592	1254.8911	-4033.3748	165.31853	1114.289	516.8233296871185
29	-1574.9421	1147.0615	-383.5977	-5041.2627	-2000.8674	1385.9598	-571.4713	-5201.215	220.0	220.0	95699	-88.21108	702.6107	1278.3088	-3594.8875	65.78487	1097.6617	535.7906224727631
30	-1852.4371	1384.1105	-208.3023	-4550.853	-1588.7816	1248.5332	-392.64264	-4579.296	220.0	220.0	98999	-0.7225385	684.32465	1267.0227	-3419.8213	-21.219023	1085.0042	554.4944150447845
31	-1433.2388	1257.7561	-166.35037	-5432.2793	-3441.978	3430.6458	-253.35338	-10207.312	220.0	220.0	102299	73.29154	665.1369	1301.1935	-3126.3738	-94.66999	1056.6954	573.3085691928864
32	-1635.1492	714.1315	-761.3704	-3335.4949	-3907.5652	1661.7444	-2516.4453	-6946.2407	220.0	220.0	105599	145.39864	651.70184	1326.1155	-2796.4797	-166.9988	1061.2996	592.1920330524445
