Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-282.13754	26.273272	-251.42963	-337.14807	-212.16275	6.7004976	-200.9556	-226.84007	110.0	110.0	1649	-5.520023	2.0464396	0.2720347	-11.724143	5.210631	0.2472572	6.404489755630493
2	-277.4723	20.480995	-244.2549	-315.0216	-211.0905	2.5952168	-206.77696	-216.16652	110.0	110.0	3299	-16.210913	4.4786816	-7.127226	-29.584465	15.595526	0.059078507	15.809973239898682
3	-284.51425	23.13572	-264.6147	-360.8466	-207.64754	8.353863	-189.8157	-216.28917	110.0	110.0	4949	-30.099918	4.283978	-20.154112	-42.787525	29.36002	0.061821483	25.440997838974
4	-279.5881	24.258205	-250.81139	-317.9957	-201.71295	7.5964255	-186.99486	-211.3592	110.0	110.0	6599	-43.371574	4.180532	-32.740932	-57.254665	42.625237	0.08094189	35.2333607673645
5	-286.78574	23.148539	-253.07298	-333.77823	-207.1386	6.6930413	-192.63866	-216.4063	110.0	110.0	8249	-56.129135	4.1834555	-45.44399	-73.213905	55.370815	0.0967344	46.18474078178406
6	-290.50226	26.405771	-251.28569	-349.56384	-200.33209	14.540331	-176.68193	-217.5221	110.0	110.0	9899	-68.17736	4.1245556	-57.22783	-85.829735	67.381424	0.10646777	55.891157388687134
7	-282.5333	22.118122	-253.93993	-333.41434	-205.70398	9.79752	-191.58627	-217.21042	110.0	110.0	11549	-79.5813	4.041497	-67.98774	-96.00387	78.749535	0.1194162	65.11852669715881
8	-271.10538	13.423205	-245.33665	-297.54437	-207.10593	7.580341	-193.90312	-219.08391	110.0	110.0	13199	-90.39297	4.0382595	-78.40877	-106.5403	89.56493	0.13010587	74.5512387752533
9	-282.78885	28.474222	-245.90451	-346.15848	-210.84534	7.147711	-194.95683	-217.53806	110.0	110.0	14849	-100.79521	4.068413	-88.91116	-116.47317	99.97468	0.1379212	83.91981339454651
10	-289.90585	31.501215	-251.72444	-353.54272	-201.87393	9.4168415	-183.7803	-213.94415	110.0	110.0	16499	-110.74972	4.0848413	-98.156685	-126.36388	109.92585	0.14590643	93.1084406375885
11	-278.1959	24.264645	-238.34433	-327.78134	-199.65753	20.55264	-150.72458	-216.89133	110.0	110.0	18149	-120.24551	4.132285	-107.137146	-136.17635	119.4015	0.15796788	102.58073139190674
12	-270.71454	31.684605	-226.15877	-362.55478	-206.77408	9.089346	-190.34135	-218.23503	110.0	110.0	19799	-129.25041	4.1494446	-116.403885	-144.90099	128.40814	0.16642584	111.98788738250732
13	-207.01839	25.254725	-164.61745	-267.13202	-192.77197	16.083645	-164.23434	-212.9095	110.0	110.0	21449	-137.83438	4.1952863	-124.69299	-154.47327	137.02106	0.17508732	121.29876375198364
14	-201.10661	13.125592	-160.87431	-215.42221	-198.4751	26.334517	-145.29799	-219.1308	110.0	110.0	23099	-145.747	4.3536243	-131.6847	-163.1186	144.97818	0.17781593	131.0221767425537
15	-200.75978	14.151283	-170.3615	-222.61673	-187.17406	28.849613	-123.289444	-217.2546	110.0	110.0	24749	-153.29124	4.4924755	-139.04083	-171.84117	152.56375	0.17753202	140.682354927063
16	-198.4377	18.11764	-164.26775	-224.25446	-200.23563	12.994465	-177.95201	-215.74269	110.0	110.0	26399	-160.55698	4.645466	-146.55988	-179.51218	159.86984	0.17677693	150.10831212997437
17	-196.47404	13.549882	-167.86623	-218.85529	-182.46333	27.211378	-123.81303	-213.57904	110.0	110.0	28049	-167.57855	4.802732	-153.38263	-187.24426	166.92697	0.17499715	159.57105994224548
18	-203.74583	11.027595	-179.86113	-217.07689	-199.855	12.477503	-174.6654	-214.75114	110.0	110.0	29699	-174.25716	4.954871	-160.0852	-195.40776	173.63629	0.17773227	168.98022055625916
19	-195.97728	17.84433	-144.09271	-215.80022	-192.50403	17.369526	-145.34389	-208.75122	110.0	110.0	31349	-180.72386	5.0895844	-166.40536	-202.30438	180.12984	0.17835246	178.48035502433777
20	-188.00429	19.094818	-143.10739	-211.73846	-198.34972	15.42887	-163.63828	-218.3068	110.0	110.0	32999	-186.81555	5.259275	-172.2586	-208.9933	186.24083	0.18262959	188.17742490768433
21	-194.25945	10.052906	-175.47102	-209.22058	-191.91048	21.625624	-145.1746	-213.76701	110.0	110.0	34649	-192.63924	5.444086	-177.5238	-215.48706	192.09137	0.19046505	196.91571140289307
22	-190.21342	21.44128	-135.24275	-214.5926	-194.306	16.82949	-155.36308	-216.30612	110.0	110.0	36299	-198.22263	5.605	-182.02206	-223.17232	197.69463	0.19564438	204.82406902313232
23	-197.23625	16.7351	-160.8875	-220.34769	-196.46814	13.55109	-174.97159	-213.66095	110.0	110.0	37949	-203.5481	5.8096857	-186.8054	-228.54759	203.0345	0.20332165	212.76447224617004
24	-198.47974	10.331318	-179.13336	-220.95891	-183.26895	11.821538	-166.52829	-201.83731	110.0	110.0	39599	-208.58739	6.0639052	-191.34369	-235.13596	208.07828	0.21334347	220.79645037651062
25	-196.8744	14.724842	-165.71548	-214.26035	-178.16751	30.498825	-105.07895	-212.86107	110.0	110.0	41249	-213.41406	6.221088	-195.54388	-240.69746	212.91698	0.21257332	228.7941117286682
26	-197.36209	12.943968	-160.22888	-214.03752	-186.92862	28.806038	-125.65397	-213.83485	110.0	110.0	42899	-217.91379	6.379184	-199.63441	-245.7684	217.42825	0.21524258	236.62863516807556
27	-186.66559	19.83792	-156.55055	-226.1739	-185.79977	17.980844	-152.39868	-213.7718	110.0	110.0	44549	-222.19998	6.535899	-203.25568	-249.68842	221.73174	0.21431346	244.78142189979553
28	-190.97975	20.493242	-145.66663	-212.8307	-192.49353	13.020739	-165.70584	-208.59004	110.0	110.0	46199	-226.47011	6.7184086	-207.06776	-255.34093	226.00743	0.21890318	254.08629989624023
29	-182.65207	22.347647	-142.54819	-216.8291	-176.38019	30.562298	-118.96248	-209.1486	110.0	110.0	47849	-230.39629	6.9962792	-210.2973	-260.13016	229.94113	0.22340979	263.93451619148254
30	-188.49023	16.603159	-159.3959	-214.6199	-168.501	24.87016	-128.30739	-202.97437	110.0	110.0	49499	-234.10696	7.2323685	-213.5009	-264.1463	233.65123	0.22547147	273.69244599342346
31	-189.26205	14.59415	-159.72932	-215.30902	-172.30405	26.676966	-129.7522	-205.03336	110.0	110.0	51149	-237.51619	7.434451	-216.90463	-268.7689	237.06367	0.22896355	283.4201364517212
32	-184.52113	20.83059	-144.94562	-210.8674	-182.66983	19.481314	-134.69911	-208.27858	110.0	110.0	52799	-240.73871	7.5979037	-219.857	-271.48804	240.29977	0.2360676	293.157262802124
33	-186.58112	16.048576	-159.78253	-215.93863	-183.70862	22.992247	-151.27786	-215.85356	110.0	110.0	54449	-243.73352	7.8948755	-222.93512	-276.05542	243.30214	0.24225752	301.0378997325897
34	-188.9362	16.878948	-161.93436	-214.01979	-174.42923	17.95779	-141.70828	-198.55109	110.0	110.0	56099	-246.6039	8.182537	-225.15639	-280.84872	246.18018	0.24297927	309.38626050949097
35	-182.46725	18.93439	-142.00826	-210.72632	-187.66626	19.03922	-158.34782	-204.53136	110.0	110.0	57749	-249.3593	8.381576	-227.35872	-283.62628	248.94391	0.2490274	317.75149154663086
36	-179.60973	23.46882	-128.28123	-209.68515	-181.01064	25.760838	-133.37143	-209.1232	110.0	110.0	59399	-251.92917	8.59656	-229.7679	-286.79333	251.51917	0.2536673	327.5217225551605
37	-191.30617	16.257332	-157.25948	-211.17165	-173.88489	20.493465	-134.73875	-206.97456	110.0	110.0	61049	-254.38393	8.960552	-231.54063	-290.44363	253.98027	0.255169	337.2781894207001
38	-186.81285	14.553548	-149.09714	-209.94505	-171.0159	15.124046	-140.62012	-189.63828	110.0	110.0	62699	-256.6031	9.255343	-233.62482	-293.4257	256.20032	0.25776023	346.7667441368103
39	-178.589	18.702774	-142.08945	-209.56067	-173.24968	20.87892	-142.4363	-206.90662	110.0	110.0	64349	-258.73853	9.568	-235.25421	-296.3568	258.331	0.26585394	356.4855284690857
40	-191.26044	19.532152	-155.25304	-217.08725	-194.13223	19.821531	-148.873	-212.4597	110.0	110.0	65999	-260.59186	9.801472	-236.95865	-299.11963	260.1859	0.26857957	365.8676972389221
41	-181.19414	17.425467	-138.7453	-205.67264	-183.32823	25.851744	-130.67215	-212.15814	110.0	110.0	67649	-262.4727	10.053528	-238.28064	-301.47964	262.0686	0.27063423	373.7429485321045
42	-167.86766	26.701988	-120.97997	-212.46136	-186.95221	15.996924	-148.73035	-205.85844	110.0	110.0	69299	-264.06882	10.238793	-239.98166	-304.00745	263.67	0.27583534	381.4909062385559
43	-183.43837	33.39775	-93.28636	-208.65971	-185.05756	18.125284	-153.2569	-207.44029	110.0	110.0	70949	-265.5703	10.479601	-241.4227	-306.19717	265.17334	0.28314704	389.398775100708
44	-179.54819	14.998365	-149.83281	-200.63821	-180.44339	22.617506	-145.01631	-212.85686	110.0	110.0	72599	-267.05704	10.717776	-242.20045	-308.64346	266.6658	0.28581327	397.4731352329254
45	-191.12053	16.464445	-159.79097	-215.12474	-177.538	28.664616	-103.24506	-210.46596	110.0	110.0	74249	-268.5264	10.923297	-243.16841	-310.90198	268.13596	0.28761673	405.52213859558105
46	-184.80136	26.354225	-125.28559	-221.903	-173.84409	33.076103	-86.87294	-204.63477	110.0	110.0	75899	-269.81693	11.190016	-244.19153	-311.4343	269.41956	0.29531768	413.5627393722534
