Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-6799.5054	1689.9412	-4386.5283	-10267.948	-6017.671	1790.5792	-3404.5806	-9584.661	110.0	110.0	1649	-97.72772	53.838833	0.08082791	-285.28232	93.6885	1175.5033	7.133592128753662
2	-6578.945	1354.446	-3855.4626	-9469.186	-3860.3542	2748.3193	-292.19467	-9871.858	110.0	110.0	3299	-357.4559	166.21921	-50.56655	-1166.5643	345.09546	794.76135	19.908814430236816
3	-6542.4287	1949.2965	-4027.6626	-10003.629	-959.7418	628.6649	-109.98634	-2319.8408	110.0	110.0	4949	-634.50433	246.65094	-2.9491441	-1660.1294	594.8875	1717.5371	32.69795894622803
4	-7768.8345	2294.0295	-5079.0176	-12366.371	-1661.2725	530.15894	-630.0534	-2616.087	110.0	110.0	6599	-670.1685	292.82434	134.85136	-1748.3264	611.5311	2798.5588	45.46993803977966
5	-6951.1826	2205.6838	-2699.9443	-10351.005	-2038.6578	1402.2308	-186.55139	-4076.3225	110.0	110.0	8249	-640.9828	346.38492	350.18567	-1864.5513	579.29193	2826.1934	57.78509831428528
6	-7810.277	2018.3472	-4901.604	-11721.126	-1285.8348	856.2549	-602.32837	-3372.9548	110.0	110.0	9899	-591.60004	401.19376	651.28046	-1903.6793	523.7764	3387.8723	70.16963148117065
7	-7249.937	2299.0583	-4201.232	-13979.733	-1198.8417	622.2671	-277.6624	-2443.9202	110.0	110.0	11549	-503.38953	453.47037	997.0456	-1949.8547	428.90793	4046.0945	82.58216595649719
8	-6471.822	1604.0189	-3871.7622	-8933.977	-1833.1956	1287.6226	-363.01575	-3865.192	110.0	110.0	13199	-391.44327	496.39093	1216.2897	-1979.2207	315.91397	4542.835	95.08004879951477
9	-7068.075	2442.0847	-3968.2104	-12798.695	-2175.705	1341.6666	-245.67868	-4701.475	110.0	110.0	14849	-243.69131	520.73114	1546.6217	-2061.6536	164.7918	4800.3125	107.83784031867981
10	-6103.5366	1643.724	-3002.4277	-8587.815	-2044.393	1460.2036	-357.535	-4586.7	110.0	110.0	16499	-102.58807	545.99866	1785.1086	-2164.6667	22.745237	5022.4956	120.7839138507843
11	-7692.9707	2576.5452	-4450.0063	-11787.099	-2510.5718	1550.7645	-424.3074	-4946.277	110.0	110.0	18149	30.955866	565.35614	2098.4014	-2146.6514	-109.3332	5012.6553	133.25209164619446
12	-6879.5903	2122.2146	-3935.1782	-13049.856	-1195.2585	576.2621	-444.42337	-2121.905	110.0	110.0	19799	147.37158	594.79395	2337.497	-2134.5288	-225.56078	5179.994	145.85019445419312
13	-2555.8037	2465.2776	-310.3323	-10043.402	-1071.5442	587.42755	-242.18146	-2016.8389	110.0	110.0	21449	245.75221	629.2803	2584.054	-2220.109	-321.33185	5158.0386	159.4841537475586
14	-1641.753	947.88184	-405.39	-3335.0525	-1589.688	948.7569	-181.84789	-3398.3638	110.0	110.0	23099	362.6223	648.29675	2754.2783	-2393.35	-433.19885	4976.233	172.79401516914368
15	-1029.6295	1083.7761	-201.4496	-4671.553	-710.13776	217.32014	-375.94376	-1046.399	110.0	110.0	24749	461.99698	666.0161	2818.1902	-2389.4526	-528.81226	4696.716	186.08242511749268
16	-1294.0685	945.7714	-148.89767	-3207.184	-1786.1111	1353.04	-244.59256	-4626.912	110.0	110.0	26399	557.72437	677.7571	2791.4185	-2422.8545	-621.92114	4471.026	199.67436242103577
17	-1586.1366	943.65234	-388.63275	-3431.6096	-1085.6302	480.4415	-226.48958	-1946.2273	110.0	110.0	28049	627.24713	683.4046	2797.9102	-2412.1829	-688.8316	4324.7246	213.20318865776062
18	-1640.5294	1694.9607	-234.21524	-7382.779	-1322.3035	769.7882	-365.03748	-3162.9248	110.0	110.0	29699	692.7624	684.17786	2694.334	-2418.2197	-752.52484	4171.7256	226.426255941391
19	-1384.2202	1035.2194	-130.88126	-3506.714	-1920.5286	1886.2024	-349.22125	-6751.704	110.0	110.0	31349	761.9688	677.3051	2624.3506	-2400.4292	-819.92206	4050.256	239.58982372283936
20	-1120.9373	647.6237	-358.17224	-2279.054	-1485.343	1167.0626	-389.40567	-4656.2925	110.0	110.0	32999	832.60284	670.8391	2541.9	-2386.3274	-888.8172	3831.411	253.10114693641663
21	-1182.2644	523.3846	-419.9481	-2197.944	-1080.0717	512.7264	-227.62636	-2133.9255	110.0	110.0	34649	884.93896	667.9503	2527.773	-2392.0027	-940.11816	3788.0867	266.95743131637573
22	-1125.6713	487.08557	-261.64935	-2034.2059	-1131.1365	668.8293	-369.5058	-2690.1577	110.0	110.0	36299	946.4279	660.3306	2466.5933	-2286.4895	-1000.7095	3652.2944	281.20750546455383
