Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-24101.256	2674.11	-21049.098	-30787.45	-14739.591	8669.671	-1719.4666	-27915.164	400.0	400.0	5999	-480.29175	429.17328	18.99028	-2346.06	443.23386	1155.4838	72.71826004981995
2	-24490.94	3973.1235	-17162.543	-33155.188	-5068.5376	2818.1885	-1646.5365	-11182.157	400.0	400.0	11999	-754.428	606.60254	72.6226	-3538.765	687.6987	2383.6248	157.8411192893982
3	-24892.709	3357.136	-18297.703	-30196.621	-4939.6196	2290.482	-1850.9923	-10056.376	400.0	400.0	17999	-522.0638	399.09262	258.60782	-2646.7458	455.93134	1843.9518	242.30689358711243
4	-10367.844	9196.692	-2234.5056	-25929.875	-4608.6196	3257.8887	-710.8125	-12200.278	400.0	400.0	23999	-262.43073	408.76364	752.10504	-2028.553	199.48758	1495.9882	327.678959608078
5	-3646.1477	1641.068	-1322.2131	-6557.8374	-4625.169	2989.285	-824.5353	-10297.786	400.0	400.0	29999	47.998154	436.40308	1161.1865	-1819.0824	-101.55488	1182.7494	409.8433849811554
6	-3311.5637	1611.3123	-1451.4918	-6908.548	-5787.3486	9327.539	-649.43933	-33338.977	400.0	400.0	35999	355.8918	423.0398	1557.489	-1625.2999	-402.511	1025.0411	501.4969804286957
7	-3821.3882	4511.0522	-1118.0328	-19774.693	-4676.5103	2494.3655	-1977.2928	-10339.23	400.0	400.0	41999	608.07166	401.48053	2106.6157	-1209.4008	-649.8026	909.87115	590.8105852603912
8	-4040.0183	3071.4229	-1296.6161	-11418.393	-4595.1577	3398.9348	-2046.9119	-14157.237	400.0	400.0	47999	914.2572	445.78717	2644.5952	-855.5619	-954.67035	867.67786	677.7983069419861
9	-4212.8696	3252.4165	-704.03467	-12613.624	-3735.934	1457.7299	-2311.7366	-6827.677	400.0	400.0	53999	1256.3785	490.325	2865.865	-778.66516	-1293.1472	871.3047	770.6928460597992
10	-4260.3066	3389.475	-1329.0242	-12070.65	-3774.6628	3831.1116	-1169.9625	-14744.69	400.0	400.0	59999	1544.0619	518.1522	3370.6492	-580.19147	-1578.5597	872.7909	860.3361389636993
11	-3534.5537	1943.4265	-1146.9313	-7682.707	-2910.9622	1269.2675	-1037.763	-4826.117	400.0	400.0	65999	1830.7631	559.9978	3797.0854	-337.34155	-1865.0631	903.57715	958.2699205875397
12	-3139.2407	1668.3684	-1331.8425	-7739.57	-4789.8823	3453.2097	-1423.3624	-11435.276	400.0	400.0	71999	2191.0693	564.6435	4445.2266	-388.47623	-2226.1704	992.0526	1062.6309151649475
