Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-3092.097	224.33559	-2588.9148	-3562.5835	-2927.5647	357.078	-2115.0916	-3506.2517	110.0	110.0	1649	-61.697178	21.443798	1.6532146	-142.29646	56.96165	39.13294	11.27989935874939
2	-3143.702	160.35635	-2916.8357	-3434.8044	-2642.646	339.3912	-2017.1865	-3007.1426	110.0	110.0	3299	-171.1469	54.324356	-51.462257	-358.8961	165.51273	28.698994	36.98892331123352
3	-3063.5598	220.0577	-2739.6843	-3393.257	-2599.0647	425.8783	-1758.8577	-3221.1333	110.0	110.0	4949	-318.20694	66.73296	-141.2086	-639.39514	309.59854	51.82999	62.133745431900024
4	-3110.1404	216.46756	-2700.1638	-3459.761	-2371.69	438.01837	-1430.8038	-3153.5564	110.0	110.0	6599	-433.31073	77.932205	-190.09161	-788.1426	421.8342	84.59293	85.4260880947113
5	-3093.6174	212.00029	-2647.9968	-3369.1323	-2154.0056	364.58582	-1540.4791	-2626.3076	110.0	110.0	8249	-520.12683	87.32701	-253.92902	-897.19354	507.3312	100.23282	108.09728693962097
6	-3226.2212	194.56586	-2876.0361	-3488.5728	-1909.0543	670.6377	-298.3244	-2631.5925	110.0	110.0	9899	-602.20386	91.40544	-340.5959	-976.687	588.57385	116.608154	130.80308532714844
7	-3092.7397	191.02664	-2714.0247	-3385.1768	-2110.7817	401.6518	-1153.7113	-2623.2388	110.0	110.0	11549	-662.49066	94.126724	-379.91617	-1047.0468	647.84326	138.20094	155.46085047721863
8	-3142.69	220.49104	-2851.9436	-3519.5896	-1772.3196	383.11835	-1254.1581	-2582.432	110.0	110.0	13199	-706.12177	102.02544	-392.03558	-1084.1212	690.0265	155.90958	180.57465362548828
9	-3148.6538	229.0413	-2604.5874	-3444.9531	-2515.9775	349.0523	-1910.6837	-3076.7522	110.0	110.0	14849	-740.44763	111.42454	-406.60052	-1131.5208	723.4036	178.21167	203.3941445350647
10	-3085.1843	212.18623	-2685.5781	-3432.1838	-1628.5295	260.20096	-1127.064	-2040.0277	110.0	110.0	16499	-761.9416	117.4206	-396.78424	-1156.9993	744.1896	178.60255	227.9112901687622
11	-3131.7947	231.94907	-2665.553	-3453.3303	-1701.4371	531.0962	-908.77966	-2571.9985	110.0	110.0	18149	-778.30475	124.1932	-385.37534	-1198.7554	760.3389	178.6796	251.60028886795044
