Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-181.38551	4.9100122	-170.95557	-189.11867	-180.96567	8.551951	-167.9864	-194.2713	110.0	110.0	1649	-3.9561102	1.7521361	1.8243853	-9.68161	3.6352508	0.18100607	5.378578186035156
2	-182.46767	4.510765	-174.7825	-188.6627	-176.09993	11.65686	-156.77676	-198.56897	110.0	110.0	3299	-10.867361	3.5086238	-1.7560604	-22.564672	10.546037	0.11181868	15.96111512184143
3	-181.17142	7.0946965	-160.26479	-190.65239	-179.90987	12.2108135	-148.97092	-197.55202	110.0	110.0	4949	-21.2667	4.7304206	-8.542355	-42.84774	20.995897	0.17021787	25.464820861816406
4	-177.80307	8.935298	-163.8541	-189.49869	-180.0433	9.8634405	-158.159	-190.77176	110.0	110.0	6599	-31.013554	5.8180776	-16.11755	-54.85215	30.71911	0.24571763	34.86079502105713
5	-179.87047	7.2552676	-165.77809	-192.39189	-176.69463	5.1664777	-166.59831	-181.80301	110.0	110.0	8249	-39.988216	6.828236	-23.047163	-65.67578	39.66799	0.28331152	44.716352462768555
6	-178.49893	6.5287776	-167.89838	-190.01404	-162.09953	16.831259	-135.35011	-187.45732	110.0	110.0	9899	-48.83046	7.4592686	-30.648773	-75.987785	48.47644	0.33188462	54.782466888427734
7	-171.92189	11.884157	-144.20288	-184.50735	-172.818	11.597814	-151.4216	-188.83069	110.0	110.0	11549	-56.578842	7.3658667	-38.828854	-83.34963	56.19695	0.34823918	64.8973126411438
8	-154.73647	19.945007	-123.12294	-193.80003	-177.1209	7.3283076	-164.12189	-189.52086	110.0	110.0	13199	-63.87294	7.413105	-46.52241	-89.59817	63.52966	0.3440162	74.0420172214508
9	-162.2352	26.046871	-86.5715	-193.60419	-155.83029	25.66943	-105.187675	-185.60857	110.0	110.0	14849	-71.00694	7.408258	-54.555138	-95.77185	70.66949	0.3755053	82.17765688896179
10	-148.07231	16.216816	-118.13376	-171.69162	-141.85022	20.540546	-114.68208	-179.2255	110.0	110.0	16499	-77.69138	7.3743124	-61.542797	-102.12839	77.34086	0.41757205	91.92362356185913
11	-125.53556	22.725245	-92.19563	-182.10127	-145.30203	26.44509	-93.66325	-172.38136	110.0	110.0	18149	-83.69522	7.347151	-68.35677	-107.59695	83.32192	0.39853683	103.24269819259644
12	-144.9729	22.4077	-107.90496	-182.18019	-138.76059	11.557811	-110.590866	-154.63866	110.0	110.0	19799	-88.953125	7.233746	-73.321785	-110.91575	88.58188	0.3982975	115.81667757034302
13	-138.98389	20.649075	-111.3824	-182.29951	-146.73448	16.989094	-119.36122	-171.97984	110.0	110.0	21449	-94.05014	7.237061	-77.78663	-115.98074	93.67513	0.4182503	126.89884090423584
14	-128.85909	23.196913	-96.07413	-179.10141	-133.92375	21.595781	-104.21469	-166.03647	110.0	110.0	23099	-98.5026	7.208634	-81.75545	-121.36027	98.09917	0.45986512	138.5634524822235
15	-133.36443	20.541937	-92.03018	-171.93498	-144.53566	16.874262	-114.99201	-171.62999	110.0	110.0	24749	-102.32846	7.2551746	-85.55892	-124.06821	101.89474	0.4708158	149.8348948955536
16	-124.75989	25.13691	-72.02432	-155.58792	-145.46938	18.263237	-110.569016	-173.51242	110.0	110.0	26399	-105.70846	7.24607	-88.40367	-128.244	105.25152	0.48337483	159.70123839378357
17	-116.74162	20.714275	-68.53353	-145.03258	-123.33108	34.398327	-42.88998	-166.86826	110.0	110.0	28049	-108.72634	7.306307	-91.000015	-132.42091	108.28686	0.44486812	171.23571610450745
18	-127.16136	21.13498	-66.956535	-170.74373	-131.8334	22.755947	-111.65942	-185.3095	110.0	110.0	29699	-111.69291	7.4933567	-93.310745	-136.30437	111.277275	0.42799416	181.50121974945068
19	-129.74974	29.23247	-47.81948	-161.74455	-130.86159	21.456474	-89.637825	-164.09776	110.0	110.0	31349	-114.42216	7.7178745	-95.924904	-141.23228	113.99269	0.42345732	191.9222800731659
20	-124.95266	22.906685	-77.59999	-159.31636	-120.66368	26.857971	-89.75855	-166.82663	110.0	110.0	32999	-116.7288	8.168225	-97.233025	-146.76704	116.28107	0.43012205	201.84799647331238
21	-115.633	27.09479	-78.474304	-163.73454	-131.90091	17.616613	-98.646935	-153.19627	110.0	110.0	34649	-118.83449	8.551946	-97.67561	-150.55157	118.38895	0.42911533	215.14859914779663
22	-125.220314	27.341639	-68.59149	-175.73235	-119.809814	31.183361	-61.252216	-182.78656	110.0	110.0	36299	-120.82385	9.019229	-97.92527	-154.01286	120.36534	0.42707485	225.63944578170776
23	-112.641014	21.833956	-72.699554	-142.5771	-121.61925	33.63917	-43.705067	-170.0991	110.0	110.0	37949	-122.32612	9.458163	-97.80184	-156.31813	121.87001	0.4383772	238.00502967834473
24	-117.38718	25.524874	-67.91288	-168.54155	-105.263504	24.525831	-52.01113	-134.76785	110.0	110.0	39599	-123.836105	9.879304	-97.97819	-159.21788	123.37334	0.42917594	249.5700809955597
25	-115.82002	16.870926	-69.89065	-140.46782	-116.31223	32.103367	-67.414604	-164.38493	110.0	110.0	41249	-125.08104	10.28154	-97.69013	-162.80124	124.62716	0.4166682	260.1049864292145
26	-116.065956	19.884644	-86.06424	-171.50804	-105.245445	18.544231	-71.743805	-144.3709	110.0	110.0	42899	-126.147385	10.608575	-98.39093	-163.95085	125.70017	0.42099112	270.26872181892395
27	-113.1113	23.87023	-54.943825	-153.85278	-104.314674	23.876322	-53.839367	-136.70122	110.0	110.0	44549	-127.398834	10.942046	-99.08488	-166.05795	126.94343	0.40773037	281.0814085006714
28	-105.84658	34.916664	-58.056553	-173.51985	-114.95451	37.57381	-47.98657	-171.19856	110.0	110.0	46199	-128.31058	11.345465	-99.18861	-168.95201	127.86343	0.41285023	290.9410789012909
29	-101.29079	19.546965	-59.836697	-136.5899	-104.52936	21.966076	-63.77575	-134.98224	110.0	110.0	47849	-129.03369	11.779313	-98.09707	-170.80467	128.57108	0.4093824	300.44798493385315
