Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-7551.8394	1332.4794	-5378.946	-10283.012	-7603.926	1610.5564	-4449.1035	-9302.538	110.0	110.0	1649	-129.39732	67.52946	2.1487422	-356.43268	118.90096	1643.1415	5.412397384643555
2	-7510.747	1019.28625	-5697.888	-9008.651	-4676.2827	1745.2588	-2352.4343	-8247.478	110.0	110.0	3299	-390.0366	154.98506	-63.704597	-974.9329	370.5166	1905.4944	13.159556150436401
3	-7562.1045	846.8644	-6391.4844	-9639.596	-6084.2217	2653.433	-2864.971	-12337.511	110.0	110.0	4949	-706.14154	233.09572	-199.74493	-1575.6499	683.034	2483.1377	21.70164155960083
4	-7670.054	1337.6797	-5958.354	-10403.918	-4636.2197	2979.8542	-1098.2877	-10951.597	110.0	110.0	6599	-1028.6765	307.9591	-313.41888	-2124.8354	1005.34924	3161.534	30.177091598510742
5	-7661.0693	1660.6235	-5182.1025	-10290.324	-4075.1821	1397.4535	-1245.312	-6908.5083	110.0	110.0	8249	-1332.5056	384.5821	-359.89127	-2623.3687	1305.8522	4580.8804	39.583542346954346
6	-7351.9907	1300.2997	-4706.6714	-9290.602	-3499.0132	1165.4813	-1078.661	-6132.6396	110.0	110.0	9899	-1579.9277	456.78317	-437.12164	-3120.6782	1551.47	5496.012	49.17872500419617
7	-3694.4963	2123.599	-1082.8845	-8446.04	-2223.5513	1099.9894	-673.6215	-3468.3914	110.0	110.0	11549	-1792.869	520.81976	-487.10822	-3536.1892	1764.4998	6037.3115	58.61428999900818
8	-3016.7444	1622.5242	-58.287983	-6371.0347	-2009.8668	905.6969	-540.2456	-3503.9312	110.0	110.0	13199	-1949.205	588.50073	-556.799	-3915.124	1923.1736	6115.796	68.20169615745544
9	-1655.2921	1320.2214	-339.24	-5515.339	-1279.0248	1041.7205	-207.61772	-3278.9072	110.0	110.0	14849	-2076.7886	646.1065	-658.2395	-4261.5913	2052.075	6257.252	77.77414321899414
10	-1922.8625	1436.4193	-369.83813	-5067.7036	-1371.1824	1307.9552	-78.69716	-3982.2244	110.0	110.0	16499	-2175.9844	702.70764	-666.2381	-4515.825	2151.5056	6465.437	87.29409766197205
11	-1373.1608	832.22125	-179.5665	-3057.277	-1443.4177	1173.442	-150.25212	-3950.5195	110.0	110.0	18149	-2261.3103	734.05255	-699.4952	-4748.2227	2236.8816	6399.251	95.42714333534241
12	-1432.7489	1116.086	-202.68874	-4169.317	-1119.2744	974.35944	-120.08176	-3227.8264	110.0	110.0	19799	-2305.449	753.43964	-735.31635	-4935.5215	2281.0728	6504.0503	103.25558710098267
13	-1356.8049	1416.3105	-98.98433	-5630.4487	-1302.8298	892.424	-196.67393	-2723.8892	110.0	110.0	21449	-2337.9448	765.4679	-768.3321	-5113.183	2314.6	6483.7847	111.06664609909058
14	-1261.6465	1056.3436	-185.3103	-3806.177	-791.2147	483.50354	-265.50586	-1932.9622	110.0	110.0	23099	-2358.3767	766.92584	-795.7591	-5221.829	2334.7463	6732.274	119.1738429069519
15	-1233.2067	1378.4773	-35.835823	-4500.855	-1257.4559	1022.1501	-55.327705	-4107.6196	110.0	110.0	24749	-2378.9065	764.7854	-813.0232	-5289.2666	2356.5066	6707.2764	126.91372585296631
16	-1012.23956	924.22107	-88.87073	-3500.7363	-647.9763	532.42377	-115.9536	-2012.7148	110.0	110.0	26399	-2371.3364	755.3811	-830.48773	-5316.03	2349.4524	6747.6665	134.88446259498596
17	-979.4166	754.01324	-41.178207	-2471.4517	-1229.8674	1068.8085	-116.6352	-3908.1467	110.0	110.0	28049	-2358.5823	744.88794	-846.23785	-5400.933	2337.9	6993.8613	142.99158000946045
18	-1204.4573	1057.668	-104.84536	-3606.4944	-1490.9554	942.9003	-419.0354	-3628.5676	110.0	110.0	29699	-2327.7732	747.3827	-853.77606	-5362.1646	2307.6792	7011.9326	150.9203634262085
19	-983.9855	546.361	-103.66577	-2130.1587	-1349.238	1182.0328	-193.6493	-3468.7593	110.0	110.0	31349	-2294.8005	749.38794	-854.53107	-5373.5435	2274.7234	6708.429	158.72896242141724
20	-1245.4802	1208.6438	-87.143936	-4371.381	-1168.5684	1060.6249	-171.06064	-4084.912	110.0	110.0	32999	-2259.9897	739.81	-836.5743	-5360.0566	2241.0818	6634.035	166.70329809188843
21	-1364.6699	962.87573	-42.63034	-4247.886	-850.7899	831.9146	-103.98038	-3073.3608	110.0	110.0	34649	-2219.8901	740.36554	-814.26996	-5349.6772	2201.4678	6530.374	174.3898468017578
22	-1119.3572	1286.6748	-98.70545	-5524.546	-1684.223	1307.0972	-359.2944	-3651.8699	110.0	110.0	36299	-2181.1619	732.612	-785.5579	-5350.8105	2162.9614	6423.0537	182.2617564201355
23	-669.0987	442.6262	-57.604218	-1250.3727	-1445.2551	1981.8909	-198.56375	-6610.2407	110.0	110.0	37949	-2142.2104	731.3303	-763.7946	-5423.7847	2124.0503	6485.0444	190.09405183792114
24	-1196.3414	747.60846	-118.83872	-3175.0293	-671.3815	316.66272	-74.53182	-1021.07983	110.0	110.0	39599	-2102.504	722.7595	-733.3691	-5392.932	2084.9697	6370.1377	197.88188219070435
25	-1604.5194	1332.166	-292.86676	-5596.6743	-1654.9174	1786.7766	-194.63289	-6567.044	110.0	110.0	41249	-2063.641	718.0351	-706.3481	-5341.313	2046.5742	6454.7866	205.8912763595581
26	-1086.2915	750.40375	-191.6752	-2854.8276	-1081.658	1016.0765	-73.81675	-3238.2402	110.0	110.0	42899	-2016.531	711.83966	-678.10254	-5284.722	2000.0051	6462.268	213.6429557800293
27	-669.69904	368.09485	-153.8521	-1556.1918	-928.46906	582.78864	-41.730686	-1716.6786	110.0	110.0	44549	-1967.4772	702.1698	-645.87524	-5263.573	1951.0902	6254.937	221.41257882118225
28	-869.54156	977.7123	-152.55333	-3875.0237	-1086.3395	940.294	-189.38188	-3578.8096	110.0	110.0	46199	-1924.9596	695.4235	-615.0287	-5196.7695	1907.8365	6120.2446	229.478089094162
