Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-485.98856	107.36582	-344.83755	-761.6999	-200.9681	17.649706	-156.70882	-218.53886	110.0	110.0	1649	-9.060438	4.0524883	0.22598279	-24.878601	8.131205	3.3420637	4.77627420425415
2	-574.33295	133.18764	-416.89926	-857.7427	-175.77393	24.06244	-120.01645	-209.65117	110.0	110.0	3299	-22.203236	7.9261017	-7.095301	-56.77721	19.43902	1.238252	12.34896206855774
3	-510.5913	105.14412	-349.99274	-748.16296	-167.86635	27.159618	-104.6341	-200.26503	110.0	110.0	4949	-31.1086	9.004316	-13.16876	-65.78447	27.227718	1.4896756	20.31526494026184
4	-548.01324	111.24588	-432.4723	-826.64746	-177.74652	16.77804	-143.1557	-195.6409	110.0	110.0	6599	-36.094044	8.604168	-16.277733	-71.906494	32.160385	1.4642191	28.108665227890015
5	-546.80414	121.027336	-411.4952	-838.1864	-171.0047	39.649765	-68.635	-207.61441	110.0	110.0	8249	-41.624287	8.388552	-19.516302	-79.94464	37.733025	1.3762301	35.83657240867615
6	-557.94446	142.90515	-367.12222	-882.78613	-172.73398	19.407995	-138.38228	-209.95639	110.0	110.0	9899	-48.067238	8.662292	-23.193354	-84.8836	44.27601	1.3344483	43.56102919578552
7	-553.83606	113.44829	-385.499	-759.3746	-186.4394	10.240025	-171.87401	-203.68712	110.0	110.0	11549	-55.298832	9.087773	-28.229235	-92.38726	51.574715	1.3291768	51.31052899360657
8	-564.74457	148.15166	-376.439	-872.3747	-176.18289	18.325285	-134.18596	-197.12607	110.0	110.0	13199	-62.105595	9.906332	-33.963108	-99.12527	58.397686	1.4058539	58.97643828392029
9	-528.4937	115.66439	-349.4896	-791.75244	-175.05728	25.377398	-133.64256	-217.62497	110.0	110.0	14849	-69.38099	10.635714	-37.483086	-108.14721	65.639656	1.4415854	66.31664776802063
10	-576.0633	114.43573	-408.11942	-843.80133	-167.68875	22.343792	-133.17033	-202.87738	110.0	110.0	16499	-76.24943	11.357805	-42.224392	-128.31223	72.52077	1.4613281	73.99201726913452
11	-580.28577	156.33813	-334.43234	-842.2748	-174.7809	16.082094	-133.5306	-191.1923	110.0	110.0	18149	-82.744385	12.07643	-48.43163	-134.38689	79.00331	1.4727904	81.92983078956604
12	-573.2318	142.07225	-380.86078	-839.67303	-165.44035	26.23231	-105.820854	-195.8721	110.0	110.0	19799	-88.82023	12.656965	-51.416576	-141.43887	84.98316	1.4971294	89.69180107116699
13	-204.73457	97.6588	-67.957	-443.03107	-167.83218	28.014565	-128.02722	-214.42534	110.0	110.0	21449	-93.585556	13.345411	-54.631744	-148.1594	89.85024	1.4401654	98.99693846702576
14	-178.2031	28.262033	-104.064476	-220.99243	-176.56454	17.78072	-136.35535	-197.97963	110.0	110.0	23099	-98.40588	14.286537	-58.211784	-153.12799	94.91951	1.3379569	108.46144914627075
15	-165.374	29.22755	-111.931854	-208.7784	-183.12283	10.76095	-167.28145	-202.80823	110.0	110.0	24749	-103.082436	14.871605	-63.021667	-158.52477	99.86704	1.195266	117.67171096801758
16	-170.79216	26.399874	-109.92653	-209.62166	-166.1105	21.604088	-130.42107	-209.4138	110.0	110.0	26399	-107.63423	15.600339	-66.98993	-161.5263	104.60626	1.1122247	125.96137690544128
17	-172.66449	21.524853	-133.67012	-213.59639	-177.39363	8.424621	-160.68541	-191.39116	110.0	110.0	28049	-112.04458	16.029032	-71.4626	-166.33704	109.21999	1.0473024	134.12282824516296
18	-187.43214	9.206147	-172.245	-202.79941	-169.28438	33.088478	-91.255196	-212.53395	110.0	110.0	29699	-116.92298	16.328955	-76.94052	-170.97832	114.22733	1.0171094	141.93859004974365
19	-173.8657	23.228367	-132.449	-214.28009	-154.00217	18.757742	-123.651276	-186.31555	110.0	110.0	31349	-121.76011	16.660366	-81.07077	-179.26653	119.23782	0.96910274	149.9319989681244
20	-174.84074	19.184917	-139.99953	-214.82881	-175.36897	25.114784	-124.57863	-207.66496	110.0	110.0	32999	-126.45642	16.877056	-85.83547	-186.46745	124.07335	0.94560945	157.79306411743164
21	-172.8743	31.369831	-93.483475	-209.92392	-179.39835	16.787714	-151.60332	-203.2006	110.0	110.0	34649	-131.25516	17.067156	-92.86359	-192.86482	128.97961	0.9177965	165.7991499900818
22	-172.66734	32.043762	-78.73367	-215.23111	-144.74368	25.652908	-105.43478	-177.01286	110.0	110.0	36299	-135.69469	17.242365	-97.81572	-200.24287	133.4968	0.905616	173.44385814666748
23	-172.00856	28.358757	-121.239876	-217.85297	-160.78767	30.868553	-103.20106	-196.90764	110.0	110.0	37949	-139.95538	17.61664	-102.9506	-207.10272	137.8447	0.89978766	181.34592461585999
24	-169.24663	28.436121	-105.707405	-209.57256	-151.59116	31.420025	-107.71818	-203.05486	110.0	110.0	39599	-144.13333	18.170961	-106.7624	-212.95947	142.0875	0.9243689	188.9749402999878
25	-174.60101	22.186403	-121.79569	-203.01918	-164.85352	37.578884	-100.59211	-207.83986	110.0	110.0	41249	-147.91374	18.313972	-110.057655	-218.17935	145.92908	0.92848617	196.63531827926636
26	-171.96034	24.257193	-133.54337	-212.25626	-166.52153	29.001835	-107.66629	-196.3892	110.0	110.0	42899	-151.38458	18.557058	-112.91351	-228.28394	149.4593	0.92137384	204.35952162742615
27	-156.04066	23.035778	-118.17417	-193.13678	-133.45078	21.497984	-90.226364	-164.91939	110.0	110.0	44549	-154.91582	18.894352	-117.06156	-231.19739	153.06699	0.90827775	211.93757677078247
28	-157.89407	29.911768	-80.86657	-195.73427	-164.44705	25.797918	-93.84609	-190.62769	110.0	110.0	46199	-158.25844	19.141169	-119.444595	-234.603	156.45831	0.9201224	219.76169562339783
29	-150.02803	24.172201	-116.333885	-198.68369	-170.3437	19.675762	-120.86999	-193.8632	110.0	110.0	47849	-161.19167	19.28787	-122.30741	-240.27362	159.42601	0.8995352	227.46921586990356
30	-160.74014	17.479902	-135.67056	-198.03918	-164.64238	21.866673	-128.19115	-199.47046	110.0	110.0	49499	-163.70593	19.411882	-125.63413	-241.5445	161.96901	0.89554393	235.47103142738342
31	-158.12067	20.575094	-133.69284	-198.76808	-155.75961	16.761898	-121.78505	-189.4028	110.0	110.0	51149	-166.03036	19.494747	-127.09773	-245.87773	164.35213	0.90559494	243.41774320602417
32	-162.91022	28.413664	-96.11135	-216.45526	-139.83496	23.103897	-104.90663	-177.3645	110.0	110.0	52799	-168.42763	19.63422	-128.84338	-248.7447	166.78564	0.92331344	251.32584071159363
