Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-481.8902	110.34996	-351.996	-706.86584	-213.44836	42.988388	-168.47879	-332.33752	110.0	110.0	1649	-9.156123	3.855366	0.24267149	-25.47862	8.257829	3.3377116	7.238790512084961
2	-610.7899	143.30614	-364.4099	-819.2008	-178.45334	27.952044	-110.76161	-205.61484	110.0	110.0	3299	-22.852959	8.291027	-7.6941032	-57.544743	19.944096	1.0183616	18.543277502059937
3	-553.6175	117.86806	-431.05557	-882.09076	-184.59825	22.947262	-137.95615	-216.04147	110.0	110.0	4949	-32.29096	9.371814	-13.316605	-67.1306	28.206266	1.28741	28.22869610786438
4	-557.8402	105.11399	-426.88324	-756.2594	-168.43478	32.170895	-107.30942	-203.97847	110.0	110.0	6599	-37.659985	8.845288	-15.266594	-71.61182	33.63681	1.3975164	39.181031942367554
5	-488.42276	92.330864	-378.2014	-676.3854	-171.81859	16.101126	-137.764	-197.37364	110.0	110.0	8249	-43.982773	8.963172	-19.485914	-79.40174	40.18922	1.2571372	49.94041419029236
6	-531.6096	112.31517	-360.0113	-733.84845	-166.52205	27.3734	-104.00325	-195.45767	110.0	110.0	9899	-51.434788	9.899065	-25.305107	-97.09959	47.800735	1.1807249	60.98420572280884
7	-554.8082	143.69464	-350.9818	-940.8682	-167.25131	29.424656	-113.07844	-217.40985	110.0	110.0	11549	-59.15159	11.645921	-27.595158	-111.24352	55.481384	1.1435614	71.01160407066345
8	-569.9314	127.06749	-396.3654	-848.9576	-171.68315	24.930008	-126.107796	-196.76329	110.0	110.0	13199	-66.63652	13.448787	-31.44662	-123.6172	62.92869	1.2322072	82.42359471321106
9	-560.4633	118.367325	-390.9568	-805.7145	-156.67986	29.109762	-110.417694	-198.96454	110.0	110.0	14849	-73.74983	15.551803	-34.83199	-133.8431	70.06038	1.2395052	93.03044819831848
10	-549.98206	138.75	-381.91257	-832.9259	-172.17346	18.046782	-148.91898	-213.63783	110.0	110.0	16499	-80.83412	17.230352	-38.21058	-145.01048	77.13232	1.2642576	104.42751026153564
11	-514.06024	67.75007	-430.3969	-696.08954	-173.62454	22.94178	-131.75648	-222.985	110.0	110.0	18149	-87.70879	18.524122	-41.782494	-155.31905	83.99868	1.3074381	115.9543809890747
12	-554.55457	141.17245	-385.9954	-862.7828	-169.20552	25.535349	-113.85013	-195.69533	110.0	110.0	19799	-93.35693	19.664948	-45.162598	-162.6757	89.619965	1.3471645	127.0755181312561
13	-207.72586	102.031075	-116.09904	-491.91452	-167.80086	20.434185	-117.15013	-194.00063	110.0	110.0	21449	-98.055016	20.556028	-48.063297	-169.25267	94.40053	1.3468978	136.71819972991943
14	-175.64355	25.527876	-113.55473	-209.92368	-177.41147	19.034796	-129.37326	-198.83577	110.0	110.0	23099	-103.62275	21.484407	-52.54511	-174.00868	100.20233	1.2643877	146.58895683288574
15	-181.01268	18.530903	-145.72638	-209.00388	-187.21376	15.827422	-160.64966	-204.46677	110.0	110.0	24749	-108.592094	22.339403	-55.475567	-179.01257	105.43404	1.2128102	156.49202752113342
16	-163.28574	28.080097	-107.168816	-201.279	-173.02695	21.039465	-128.59943	-198.99672	110.0	110.0	26399	-113.47042	23.130182	-60.29472	-184.87164	110.50926	1.196242	166.98669576644897
17	-174.75563	17.431288	-140.31613	-196.2529	-164.27602	26.186546	-123.85787	-198.66866	110.0	110.0	28049	-117.95802	23.91301	-63.54231	-189.99118	115.149376	1.1411386	177.37024998664856
18	-170.98784	23.5319	-112.13048	-201.01704	-167.59702	24.22755	-118.78832	-202.36702	110.0	110.0	29699	-122.43984	24.214325	-67.35616	-197.52788	119.77733	1.1217159	187.33825516700745
19	-165.14722	31.754375	-105.72367	-204.4348	-171.58263	16.237253	-137.27019	-196.93076	110.0	110.0	31349	-126.80252	24.522488	-72.068245	-202.61674	124.27027	1.0967331	196.992990732193
20	-165.82181	25.772688	-126.13411	-214.72281	-174.73041	22.76987	-137.62701	-210.74548	110.0	110.0	32999	-130.88332	24.854776	-75.6831	-209.353	128.4681	1.0624195	207.77307057380676
21	-174.75948	22.829714	-122.511566	-203.1164	-175.31564	13.155292	-143.04465	-192.27357	110.0	110.0	34649	-134.75357	25.364807	-77.90639	-214.9937	132.4592	1.0150641	220.0187430381775
22	-157.62057	25.421293	-109.99107	-190.56715	-165.73343	24.997255	-112.53184	-198.75288	110.0	110.0	36299	-138.50171	25.834593	-80.87005	-221.09995	136.27985	1.0064349	232.5810170173645
23	-167.44359	26.184557	-123.424095	-213.74216	-146.84906	25.601063	-115.48837	-190.7222	110.0	110.0	37949	-142.21765	26.184052	-83.93984	-225.56688	140.07867	0.99593574	243.9915542602539
24	-161.67262	25.85212	-120.22401	-209.21715	-165.8201	24.61118	-115.62372	-199.59016	110.0	110.0	39599	-145.56715	26.389448	-86.59587	-231.96234	143.50447	0.988132	253.61304664611816
25	-160.1406	21.65357	-133.17255	-202.41978	-153.10605	33.33448	-82.536964	-198.99948	110.0	110.0	41249	-148.66995	26.750744	-89.60147	-233.74744	146.66522	0.9641316	263.21102476119995
26	-158.95918	21.016607	-112.394	-193.15663	-154.10303	33.277836	-108.91617	-210.26811	110.0	110.0	42899	-150.85109	27.2761	-92.52298	-240.00096	148.92775	0.95104766	274.537873506546
27	-134.3359	37.49279	-50.45019	-195.25366	-170.30704	27.265188	-132.75269	-217.58257	110.0	110.0	44549	-153.32544	27.538485	-96.02697	-243.85838	151.46275	0.91515476	288.94593834877014
28	-150.98886	23.13304	-93.70083	-185.0368	-174.45897	19.45982	-144.06613	-209.44455	110.0	110.0	46199	-155.89497	27.610168	-99.30071	-246.11089	154.07985	0.91769737	300.0673677921295
29	-151.86832	28.463573	-98.76463	-202.79047	-161.5206	25.435106	-121.48728	-199.0954	110.0	110.0	47849	-158.40477	27.737398	-102.769905	-247.28084	156.64676	0.8916418	312.05785274505615
30	-154.46571	23.109556	-107.96137	-183.76717	-151.71078	20.25551	-122.49911	-188.28072	110.0	110.0	49499	-160.90128	27.71218	-105.694984	-253.32576	159.18704	0.9062614	322.84788250923157
31	-163.95648	27.986795	-107.3952	-208.29364	-132.3189	26.358057	-74.67636	-160.11725	110.0	110.0	51149	-163.24265	27.605404	-107.58998	-256.97192	161.57611	0.8981941	334.0008611679077
32	-161.05609	26.304647	-119.803024	-214.7613	-158.91364	19.655432	-127.39088	-191.21423	110.0	110.0	52799	-165.61386	27.504381	-108.910934	-257.1244	163.9869	0.8997609	345.1497323513031
33	-154.54926	28.408804	-108.55517	-197.686	-139.03232	31.741762	-69.11399	-177.23468	110.0	110.0	54449	-167.22488	27.362516	-109.56422	-259.99478	165.6239	0.9129534	356.5466842651367
34	-148.22891	29.08099	-98.319984	-195.1714	-148.35487	14.430373	-111.625916	-162.40549	110.0	110.0	56099	-169.21065	27.209982	-111.59258	-260.49957	167.65616	0.90274763	366.7215676307678
35	-141.13779	24.019232	-109.6043	-190.71858	-127.437416	17.758972	-89.73239	-160.4218	110.0	110.0	57749	-170.86069	27.075851	-113.66492	-264.4548	169.3341	0.8997762	378.12720918655396
