Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-6769.952	1596.0726	-4392.7427	-10386.89	-7255.543	2439.1233	-3506.0352	-11124.511	110.0	110.0	1649	-107.3702	60.63425	0.14867596	-382.24518	104.081	1282.7881	4.974326848983765
2	-7420.24	2046.9528	-4281.0586	-10676.486	-7912.1924	3150.097	-2414.7703	-13074.527	110.0	110.0	3299	-386.51587	161.29277	-63.672565	-1077.9865	375.7783	1393.1997	13.659082651138306
3	-7035.5967	1615.2048	-4637.871	-10942.749	-5718.6675	3257.353	-1541.9944	-11555.395	110.0	110.0	4949	-751.8081	205.20854	-233.12483	-1594.6854	732.12573	2721.854	21.778663873672485
4	-6718.696	2011.1973	-2759.7092	-11508.368	-4000.073	3904.249	-698.52563	-13642.497	110.0	110.0	6599	-1052.2732	219.3737	-471.76352	-1909.3698	1028.5939	3121.5925	31.97412133216858
5	-7058.091	2345.245	-4325.9585	-12589.658	-1946.2048	2143.3918	-53.783264	-6142.582	110.0	110.0	8249	-1314.289	240.706	-672.5272	-2282.5703	1286.3191	3486.7583	41.11770963668823
6	-6746.113	2198.5378	-2385.2478	-11166.668	-2034.5115	1791.1187	-480.53763	-6861.8594	110.0	110.0	9899	-1529.5564	266.5114	-792.39355	-2517.4988	1494.873	3988.0732	49.91853094100952
7	-1551.728	955.4876	-125.76946	-3905.5913	-2946.9897	1855.1786	-529.79395	-7002.883	110.0	110.0	11549	-1643.3197	305.76892	-872.6731	-2649.2256	1606.0936	3999.4006	59.250407457351685
8	-2557.074	2035.3292	-240.02252	-7111.953	-1862.5234	1059.8734	-226.64032	-3493.1182	110.0	110.0	13199	-1686.7076	352.20596	-945.5546	-2805.2605	1650.5867	3754.3547	68.67755341529846
9	-2072.1406	1673.4805	-478.13693	-7548.0312	-1687.4583	1086.0521	-420.27942	-3130.942	110.0	110.0	14849	-1708.5277	386.50708	-878.69476	-2928.6433	1674.6277	3483.0627	78.07478523254395
10	-2210.5579	1315.3257	-484.13943	-4508.313	-2266.199	911.4782	-1131.9261	-4258.0635	110.0	110.0	16499	-1717.0607	413.00385	-852.10016	-3069.1187	1684.469	3236.9746	87.4157543182373
11	-2364.8354	2045.6512	-264.00122	-9214.797	-1381.2396	930.4237	-207.05927	-3459.606	110.0	110.0	18149	-1727.5962	425.8299	-828.9591	-3147.6968	1697.2435	3039.5076	96.8583505153656
12	-2175.9468	2268.2178	-357.215	-8086.397	-1881.0813	1037.5151	-806.40295	-4274.1416	110.0	110.0	19799	-1722.3005	448.0212	-789.82935	-3233.8123	1693.233	2794.5305	105.85475254058838
13	-2262.497	1680.2748	-165.04713	-7351.383	-1222.1278	748.5923	-255.13391	-2572.8284	110.0	110.0	21449	-1724.4553	462.8422	-747.5303	-3281.0146	1696.8855	2634.2346	115.32749056816101
