Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-770.99304	288.12308	-292.83353	-1364.8074	-788.8435	376.85712	-2.7548876	-1416.7745	110.0	110.0	1649	-14.567892	8.497381	0.273373	-55.54635	14.148078	9.499671	6.188903331756592
2	-614.7901	128.4814	-381.5406	-918.2846	-519.6169	247.86374	-213.14587	-915.3286	110.0	110.0	3299	-39.44009	20.075127	-0.056593984	-128.2187	37.245796	10.74031	16.571622133255005
3	-725.75336	211.76297	-499.45886	-1116.1927	-363.58405	319.40268	-35.49796	-1231.9348	110.0	110.0	4949	-61.416817	28.377302	15.129162	-173.10652	57.34782	18.807676	26.28071141242981
4	-697.50134	258.6203	-273.49606	-1241.4565	-232.07812	169.04314	-56.488857	-647.77936	110.0	110.0	6599	-73.23903	40.317123	32.793243	-224.52141	68.27354	27.411392	36.13879632949829
5	-671.39667	249.76228	-345.03595	-1127.0955	-184.64018	114.127884	-11.287332	-441.27414	110.0	110.0	8249	-77.487785	47.26711	35.109715	-265.26172	71.901695	31.936499	45.88598036766052
6	-723.1956	226.68149	-397.64243	-1155.9525	-154.07022	138.14351	-10.906207	-409.89172	110.0	110.0	9899	-78.1981	53.412964	38.19193	-290.51547	72.03315	35.465057	55.532557010650635
7	-134.57114	122.433	78.16636	-398.0363	-190.0297	149.9506	-0.03805811	-452.82245	110.0	110.0	11549	-75.85093	57.050518	37.22608	-302.6459	69.82042	37.95208	65.1095552444458
8	-167.51755	177.54445	142.29956	-588.9936	-184.49449	159.06424	-2.0662904	-501.80362	110.0	110.0	13199	-66.29513	57.98332	44.130116	-310.83734	60.670597	35.706818	75.15472435951233
9	-158.19077	139.25018	6.518938	-517.95435	-185.1573	214.01094	120.64323	-534.3348	110.0	110.0	14849	-53.975727	58.54002	58.530396	-304.64505	48.75656	34.317913	85.17861461639404
10	-132.14641	129.10158	24.749523	-465.45868	-172.66814	187.0648	13.9332	-636.4924	110.0	110.0	16499	-43.31821	57.666565	64.44191	-304.6577	38.42852	30.632107	95.39513444900513
11	-107.36158	112.96307	116.348595	-383.30472	-87.29466	97.5302	88.6804	-237.84381	110.0	110.0	18149	-32.870056	56.5917	77.50427	-294.8221	28.202765	27.323881	105.56972312927246
12	-49.41814	89.41678	95.59708	-214.82594	-84.91272	165.12857	185.03712	-412.57333	110.0	110.0	19799	-20.993483	56.329323	92.90222	-271.0782	16.519318	24.886496	116.07373428344727
13	-81.38086	92.38475	79.50072	-258.49945	-102.11992	54.902187	-23.337336	-190.93338	110.0	110.0	21449	-10.718009	55.947094	103.02121	-267.28067	6.4687495	23.700867	126.07440161705017
14	-136.79987	102.474594	-5.9345036	-310.89578	-75.575516	87.061386	80.44735	-202.01497	110.0	110.0	23099	-1.1459057	56.67667	116.699066	-262.0452	-2.9831948	22.79344	136.31220269203186
15	-81.740326	87.9541	60.87479	-320.4893	-152.57523	191.24193	99.55009	-632.8862	110.0	110.0	24749	9.135969	57.06371	131.51733	-258.48746	-13.172508	22.054167	146.37894654273987
16	-81.88095	98.62071	64.53286	-307.25427	-207.76135	188.39723	149.09512	-564.69867	110.0	110.0	26399	18.91181	58.382454	153.70491	-254.52077	-22.80786	21.656998	156.36097979545593
17	-84.08656	92.38124	91.21078	-294.93298	-154.14426	166.01273	176.60487	-436.42548	110.0	110.0	28049	28.875473	59.627293	167.78429	-243.37117	-32.64587	21.328968	166.13033962249756
18	-106.83752	106.9025	45.613716	-325.0584	-72.52906	108.2626	147.49579	-219.49677	110.0	110.0	29699	38.45485	60.12526	178.89413	-235.45033	-42.11373	21.069105	175.58955025672913
19	-105.00463	90.60394	97.09221	-286.15872	-113.19873	129.41132	76.17192	-451.1374	110.0	110.0	31349	46.95836	61.1248	186.6242	-232.62263	-50.49862	20.697273	185.43606448173523
20	-105.26482	94.786804	127.75198	-320.66455	-95.51124	120.77136	68.5941	-388.7825	110.0	110.0	32999	54.98907	61.617947	196.08737	-229.35762	-58.45662	20.479328	196.90246152877808
21	-86.40682	96.06671	58.93513	-309.74915	-12.5158825	116.48713	148.83264	-192.84886	110.0	110.0	34649	63.773533	62.667694	205.50536	-224.369	-67.27606	20.283705	207.8126995563507
