Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-2768.7192	287.54498	-2391.973	-3339.3896	-2571.773	425.37402	-1683.0724	-3166.101	110.0	110.0	1649	-47.163235	21.289938	0.25018975	-113.12994	46.024185	56.560368	4.911222457885742
2	-2727.2947	332.3727	-2159.421	-3484.4104	-2789.8137	702.16046	-1413.0156	-3383.3064	110.0	110.0	3299	-164.72534	57.406487	-46.843746	-361.71033	162.3254	44.437553	12.356477975845337
3	-2502.7742	294.3707	-1969.2301	-3177.6965	-2142.1963	579.0696	-1159.9492	-2906.003	110.0	110.0	4949	-322.89737	58.64659	-143.99443	-529.1324	317.09106	97.21464	19.752484560012817
4	-2712.5032	351.90375	-2028.7356	-3200.869	-2007.6428	409.76828	-1361.4347	-2570.7798	110.0	110.0	6599	-447.80673	61.81129	-259.91403	-685.4148	440.36295	115.902115	28.593109130859375
5	-2501.9802	540.0332	-1613.3439	-3135.1775	-1702.6814	693.2839	-264.73166	-2935.9927	110.0	110.0	8249	-561.60876	66.38881	-363.32895	-813.85175	553.65576	123.2995	37.714686155319214
6	-2597.5784	271.71304	-2044.7207	-2943.706	-1277.612	585.7648	-327.692	-2081.6423	110.0	110.0	9899	-664.8781	69.61983	-473.45996	-936.0531	656.44885	131.51332	47.03407263755798
7	-1815.0293	626.12616	-542.4784	-2679.6128	-1866.8649	656.1134	-771.0165	-2664.997	110.0	110.0	11549	-754.11273	73.95979	-565.16516	-1064.7799	745.7826	133.3556	55.55313539505005
8	-1554.7299	509.37485	-474.64706	-2265.912	-1333.9373	460.26508	-274.07053	-2002.0833	110.0	110.0	13199	-835.84143	79.69346	-648.31305	-1172.2771	828.3924	117.78773	63.430062770843506
9	-1425.2018	584.5654	-689.44226	-2678.1821	-1643.0139	788.92285	-198.7302	-2999.7705	110.0	110.0	14849	-911.47925	87.35294	-709.33905	-1263.378	904.4865	112.05504	71.40300464630127
10	-1444.3195	468.60007	-739.98895	-2280.0386	-1897.8734	572.8793	-924.4708	-2768.6443	110.0	110.0	16499	-979.764	97.94452	-761.354	-1358.164	973.1885	115.93133	79.51503348350525
