Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-2680.007	233.67677	-2361.7107	-3055.856	-2654.0042	385.74503	-1956.5144	-3380.4636	110.0	110.0	1649	-46.259148	20.409569	0.2845311	-104.538445	45.027534	53.32755	4.4765660762786865
2	-2710.969	177.59299	-2253.66	-3015.1536	-2583.5842	394.53128	-1932.0468	-3166.4648	110.0	110.0	3299	-162.41391	54.31028	-40.923695	-355.65555	160.2024	32.20253	13.52236008644104
3	-2759.2178	208.17244	-2378.0872	-3097.5037	-2604.0906	493.53906	-1832.8708	-3654.656	110.0	110.0	4949	-320.73526	60.908207	-134.33292	-576.2258	315.7008	62.7557	22.26022219657898
4	-2724.4456	226.01173	-2276.9084	-3177.439	-1759.5455	598.93115	-358.8734	-2540.2263	110.0	110.0	6599	-456.61285	65.21348	-241.81369	-700.8513	449.76114	76.67292	30.885571479797363
5	-2808.5515	135.14728	-2495.6704	-3065.2969	-2238.1848	794.12787	-1148.78	-3458.6877	110.0	110.0	8249	-578.2402	70.04067	-359.95105	-837.3115	570.1442	86.15654	39.961527585983276
6	-2660.6006	218.71361	-2291.7903	-3049.4275	-2335.509	699.24866	-450.39008	-3064.2183	110.0	110.0	9899	-682.94684	77.1439	-450.78064	-972.68604	674.3063	83.58536	48.48147773742676
7	-1897.3099	760.31805	-403.28064	-3613.613	-1697.0035	503.37805	-1006.0832	-2884.1807	110.0	110.0	11549	-786.22034	85.95503	-542.7899	-1131.7227	778.06	79.06628	58.02415227890015
8	-1725.7891	449.2508	-1045.021	-2439.2007	-1487.407	638.4438	-439.1481	-2452.5376	110.0	110.0	13199	-871.01605	100.5152	-606.85785	-1244.641	863.6322	77.25916	67.02357411384583
9	-1690.5974	547.82697	-648.6578	-3205.5662	-1513.5355	362.676	-766.181	-2128.366	110.0	110.0	14849	-950.58997	113.42779	-659.2777	-1353.8292	943.67365	78.38285	76.31700301170349
10	-1323.4016	505.4499	-566.2926	-2149.647	-1739.1584	469.71344	-1237.3625	-2454.9927	110.0	110.0	16499	-1019.04895	126.624855	-714.59076	-1458.4822	1012.1199	80.73352	85.69299602508545
11	-1620.9547	487.42508	-409.0804	-2321.8352	-1449.1567	668.1223	-661.63745	-2456.6301	110.0	110.0	18149	-1078.9993	136.39943	-760.73456	-1553.0074	1071.9587	84.01114	93.45680952072144
12	-1622.4215	480.41364	-794.96606	-2432.915	-1587.0128	612.5585	-582.76263	-2269.0115	110.0	110.0	19799	-1132.5311	143.66866	-803.332	-1635.0459	1125.5117	88.58808	101.09548425674438
13	-1631.7712	493.1495	-551.3097	-2783.4067	-1600.2076	685.0977	-606.1852	-2385.89	110.0	110.0	21449	-1181.1527	150.23706	-848.0129	-1710.8226	1174.4359	90.91699	108.74824905395508
14	-1609.2964	349.22845	-852.4437	-2170.2285	-1688.6403	454.4027	-962.6673	-2349.9473	110.0	110.0	23099	-1225.8944	156.55168	-884.499	-1807.0983	1219.264	93.71586	116.1374843120575
15	-1351.2219	484.03598	-762.6632	-2422.174	-994.0897	610.6903	-346.38632	-2153.2268	110.0	110.0	24749	-1266.4639	162.19	-911.78973	-1871.9812	1260.0515	94.81871	123.53250336647034
16	-1418.8446	499.98956	-241.82004	-2308.0198	-1691.1904	386.13425	-1170.8485	-2474.4114	110.0	110.0	26399	-1303.8175	169.21637	-944.9697	-1945.5872	1297.7056	95.532005	130.9567928314209
17	-1220.6628	543.28296	-325.84348	-2107.2527	-1750.491	529.0765	-992.26514	-2604.9724	110.0	110.0	28049	-1337.1019	176.77588	-971.7549	-2026.093	1331.1243	98.258316	138.3330671787262
18	-1656.1349	633.5501	-864.3501	-3009.882	-1548.904	544.7428	-647.4011	-2359.8435	110.0	110.0	29699	-1369.7269	186.62086	-1001.0421	-2083.44	1363.8882	101.557724	146.06314706802368
19	-1549.3943	435.27197	-569.3198	-2275.9077	-1333.134	493.3154	-328.2784	-2261.0334	110.0	110.0	31349	-1401.7318	195.1331	-1032.6646	-2159.6853	1396.0608	103.35859	153.43055272102356
20	-1462.7072	541.1635	-363.30646	-2313.5144	-1644.6648	605.2083	-946.4248	-2584.9458	110.0	110.0	32999	-1430.9601	203.38109	-1053.0371	-2207.565	1425.1193	108.33453	160.81534504890442
21	-1352.3098	481.6222	-663.45197	-2369.9434	-1270.5282	567.3977	-257.46378	-1987.101	110.0	110.0	34649	-1456.4624	211.2622	-1060.1018	-2243.2483	1450.6967	107.96954	168.55475282669067
22	-1314.3344	504.71405	-568.9713	-2273.6826	-1656.1381	553.4186	-771.5203	-2389.0972	110.0	110.0	36299	-1477.1903	217.79306	-1064.7594	-2271.9966	1471.471	108.45647	176.21546816825867
23	-1317.85	331.38153	-743.5566	-2034.5677	-1510.5168	861.04553	-266.41522	-3117.253	110.0	110.0	37949	-1492.9121	222.33974	-1067.1097	-2313.6477	1487.3102	109.22412	183.74042463302612
24	-1479.5715	441.14786	-427.39758	-2291.7249	-1304.9617	533.21295	-558.009	-2625.1736	110.0	110.0	39599	-1515.1307	230.16649	-1067.8314	-2369.5437	1509.3303	111.15527	193.13061714172363
25	-1571.0367	665.20514	-392.4842	-2940.22	-1183.7153	326.15778	-595.1835	-1616.9954	110.0	110.0	41249	-1532.3407	238.24678	-1067.7395	-2391.8855	1526.4554	113.578384	202.32134222984314
26	-1412.3945	575.4888	-509.4364	-2351.413	-1344.5829	571.5797	-219.35133	-2363.223	110.0	110.0	42899	-1545.6677	247.33957	-1054.9762	-2440.914	1540.1104	115.32957	211.72663116455078
27	-1227.0482	543.519	-462.59296	-2202.2861	-1377.685	680.8174	-186.2272	-2261.7698	110.0	110.0	44549	-1561.6895	259.16937	-1055.5055	-2464.2356	1556.0309	116.33341	220.94644618034363
28	-1284.3275	511.6259	-334.5904	-2360.6116	-1421.147	516.83777	-283.61157	-2114.859	110.0	110.0	46199	-1568.758	268.59003	-1049.6045	-2526.1006	1563.0197	115.507385	229.85693359375
29	-1188.4733	495.58286	-509.8511	-2287.8882	-1123.2249	658.1905	-177.77422	-2229.0354	110.0	110.0	47849	-1578.5033	277.38525	-1038.9675	-2537.8816	1572.6704	120.575455	239.19171619415283
30	-1571.4526	627.9517	-491.0518	-2824.8765	-1411.9724	569.0644	-627.20856	-2441.088	110.0	110.0	49499	-1582.2854	286.27036	-1032.2821	-2598.687	1576.6309	124.61394	248.54573130607605
31	-1337.0785	633.54395	-342.19223	-2476.5955	-1716.7883	552.27057	-831.9107	-2623.4832	110.0	110.0	51149	-1588.1183	294.746	-1017.1848	-2634.855	1582.5891	125.74369	257.5175738334656
32	-1292.0929	658.49677	-128.1003	-2736.3135	-1215.0195	412.91476	-653.7967	-2102.8142	110.0	110.0	52799	-1593.8864	305.43723	-996.77014	-2654.979	1588.2731	129.92555	266.7324728965759
33	-1383.0758	407.31863	-518.90814	-2070.563	-1417.5631	587.98254	-398.78488	-2532.4236	110.0	110.0	54449	-1600.0211	316.0113	-977.8998	-2700.9072	1594.3528	130.91724	274.44209337234497
34	-1393.8477	454.21463	-618.8316	-2219.9778	-2459.05	850.43774	-439.514	-3280.846	110.0	110.0	56099	-1603.3245	326.03323	-960.0341	-2717.7993	1597.5496	132.3955	282.1720416545868
35	-1251.7838	577.3997	-503.49954	-2096.2388	-1328.8596	720.0577	-290.6467	-2598.6343	110.0	110.0	57749	-1604.0737	334.53317	-944.5322	-2752.4917	1598.4819	134.87366	289.88746976852417
36	-1308.8523	476.19296	-361.47516	-2044.1112	-1430.6046	718.8633	-376.75443	-2472.8813	110.0	110.0	59399	-1603.1392	342.5324	-932.6774	-2788.762	1597.6168	134.81158	297.67329144477844
37	-1412.9371	539.88684	-466.07086	-2657.5913	-1211.3413	710.6004	-342.6554	-2542.5532	110.0	110.0	61049	-1606.1626	349.74863	-912.64764	-2804.8345	1600.5568	138.6941	305.1444444656372
38	-1497.971	662.14276	-101.72095	-2982.2874	-1211.0713	536.0916	-496.96103	-2381.8438	110.0	110.0	62699	-1611.7836	357.02246	-897.9142	-2817.0657	1606.2418	140.04245	312.9040775299072
39	-1363.361	572.71735	-365.52112	-2461.3782	-1185.3893	544.51416	-206.41957	-2180.1238	110.0	110.0	64349	-1608.2031	362.8744	-884.85864	-2850.5112	1602.6075	139.4751	320.6075551509857
40	-1174.079	469.42172	-356.5505	-2149.0815	-1296.3118	531.3306	-415.259	-2163.3823	110.0	110.0	65999	-1614.697	372.30115	-869.95215	-2869.1292	1609.3636	142.55695	328.4367890357971
41	-1102.021	495.22604	-405.08505	-1941.4626	-1635.1865	624.32513	-828.0101	-2833.5315	110.0	110.0	67649	-1612.3037	378.43692	-859.39734	-2889.2678	1606.5172	143.1399	337.7371642589569
42	-1159.8766	483.52106	-477.6444	-2173.3623	-1398.8043	652.13696	-497.01758	-2627.9087	110.0	110.0	69299	-1603.5598	379.18372	-850.70044	-2892.9	1597.606	143.36858	347.17786979675293
43	-1484.6309	556.33295	-562.87	-2446.3062	-1354.7026	493.5175	-524.1905	-2071.4324	110.0	110.0	70949	-1600.1056	380.125	-842.9937	-2894.8665	1593.8896	144.24489	357.0769922733307
44	-982.1013	377.7309	-334.3816	-1591.8059	-1153.3398	376.04175	-661.8123	-1962.4047	110.0	110.0	72599	-1593.4895	379.3622	-829.9445	-2875.5706	1587.4624	143.51921	366.4596428871155
45	-1176.986	658.06537	-360.2346	-2199.843	-1111.7765	465.12466	-91.07203	-1573.489	110.0	110.0	74249	-1589.233	383.07568	-794.2589	-2888.3645	1583.2058	145.91881	375.9551546573639
46	-1222.5944	510.4599	-523.80054	-2280.932	-1241.8325	336.44583	-736.9823	-1890.2855	110.0	110.0	75899	-1580.8894	383.21393	-772.89233	-2928.1226	1574.7451	140.63673	385.43883776664734
