Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-3164.0247	198.06114	-2846.5752	-3551.7156	-3393.873	653.43494	-2282.961	-3971.3918	110.0	110.0	1649	-70.13104	29.261593	2.3851604	-175.82983	71.03432	36.64915	5.7025580406188965
2	-3113.3354	252.3399	-2809.0037	-3597.251	-3038.7769	551.14764	-2445.3896	-3935.0166	110.0	110.0	3299	-203.8897	79.46516	-44.41284	-599.2956	202.40364	29.217083	15.981077671051025
3	-3083.9038	199.28864	-2668.1052	-3453.082	-3131.5688	722.7195	-1915.4955	-3855.4673	110.0	110.0	4949	-394.31467	114.39682	-148.49113	-846.3763	391.7432	46.118385	26.773355960845947
4	-3115.3704	138.11922	-2888.7869	-3357.4167	-2349.7961	463.66034	-1729.7117	-3020.126	110.0	110.0	6599	-561.54333	135.15118	-259.5885	-1005.2288	556.38794	56.204105	39.214375257492065
5	-3211.4219	177.85863	-2942.4646	-3532.835	-2042.0769	457.99368	-1333.4541	-2716.0286	110.0	110.0	8249	-665.38257	131.22263	-349.87085	-1100.2358	655.38214	63.826668	49.87331819534302
6	-3068.8333	140.7201	-2846.3047	-3406.292	-1821.2893	756.8343	-395.87094	-2671.5684	110.0	110.0	9899	-757.53723	136.78471	-379.87112	-1221.3019	745.6882	74.27105	61.2218759059906
7	-1925.7579	526.84326	-1100.4761	-3208.07	-1735.6617	358.10034	-1277.4327	-2296.175	110.0	110.0	11549	-822.5636	142.76396	-407.00525	-1241.7433	809.7851	80.67644	73.99013113975525
8	-1857.1078	437.6289	-1282.7477	-2649.336	-1811.0706	487.60822	-996.6559	-2508.364	110.0	110.0	13199	-862.19464	146.10434	-424.12985	-1287.563	850.2855	77.977615	87.77640676498413
9	-1757.3085	335.13803	-1097.6809	-2439.6118	-1686.1276	645.44275	-373.0067	-2788.7969	110.0	110.0	14849	-886.7787	151.75668	-435.27908	-1325.3782	876.08075	70.88294	99.98381042480469
10	-1579.069	460.74448	-879.15894	-2195.837	-1660.9978	363.65182	-1249.9792	-2518.1548	110.0	110.0	16499	-916.3098	155.53975	-450.689	-1369.3121	906.46014	69.28281	111.49970769882202
11	-1898.9894	367.6887	-1162.8158	-2456.6892	-1548.1294	443.22156	-577.7267	-2070.4663	110.0	110.0	18149	-945.50354	153.10533	-459.17514	-1413.753	936.4613	66.46791	122.8352575302124
12	-1851.9906	460.62314	-657.071	-2457.9033	-2033.2861	539.3	-706.20264	-2465.5037	110.0	110.0	19799	-967.2555	149.70195	-480.55444	-1433.8184	958.50226	65.29469	134.60767436027527
13	-1538.5383	502.55627	-380.64462	-2273.317	-1482.1152	583.36554	-555.7154	-2411.298	110.0	110.0	21449	-991.5329	147.21056	-520.72186	-1473.7675	983.0854	67.28093	146.68209886550903
14	-1447.7501	395.1964	-824.8085	-2251.6584	-1650.6586	395.25665	-933.29974	-2215.1284	110.0	110.0	23099	-1008.63245	145.35336	-557.0037	-1505.1243	1000.2312	68.666756	158.67818307876587
15	-1528.0193	484.6632	-499.18777	-2159.442	-1197.7129	430.60028	-515.4237	-1844.5558	110.0	110.0	24749	-1016.4444	141.58267	-594.87213	-1499.5732	1008.05695	68.31451	170.5501127243042
16	-1453.6498	489.8631	-516.2586	-2220.5876	-1279.5227	343.4593	-530.79443	-1772.4037	110.0	110.0	26399	-1020.5534	139.04567	-618.5731	-1494.6693	1012.18274	67.55794	181.58862400054932
17	-1413.2417	528.6583	-311.53836	-2165.8025	-1285.6178	636.80634	-329.6432	-2203.1963	110.0	110.0	28049	-1023.5356	139.87616	-636.80273	-1499.0201	1015.32574	68.7553	192.89361953735352
18	-1161.9838	428.97287	-385.29446	-1744.2219	-1448.3445	623.27563	-526.9473	-2424.2603	110.0	110.0	29699	-1022.1889	142.21446	-657.05725	-1521.7496	1014.1108	70.590866	204.01015424728394
19	-1174.5656	455.6613	-448.27347	-1904.5748	-1188.4137	551.9809	-510.83716	-2385.1038	110.0	110.0	31349	-1014.20575	143.14964	-661.1482	-1540.6132	1006.09454	71.970116	215.64324426651
20	-1234.1488	450.57523	-264.18698	-1722.303	-1355.6313	909.4991	-343.23145	-3323.5051	110.0	110.0	32999	-1007.2918	144.20241	-659.4652	-1540.7897	999.47437	75.11794	228.66519021987915
21	-1137.7966	439.09543	-505.14185	-2203.1787	-1142.7131	506.924	-502.19818	-2059.161	110.0	110.0	34649	-995.549	144.73839	-657.2466	-1542.9899	987.3492	75.28206	240.78530645370483
22	-1349.0042	548.7464	-695.25653	-2802.384	-1108.6316	682.29004	-479.81586	-2355.0698	110.0	110.0	36299	-980.5361	144.26567	-657.385	-1529.4896	972.9438	79.048775	253.90897059440613
23	-1189.9773	546.46765	-370.34897	-2826.9294	-1579.6313	680.3005	-455.3176	-2765.7034	110.0	110.0	37949	-968.1664	144.77515	-662.8924	-1558.2576	960.5414	78.51529	265.5744607448578
24	-1225.2122	378.0252	-449.11316	-2020.8691	-1552.6338	454.6895	-385.1945	-2197.6462	110.0	110.0	39599	-957.15625	146.07935	-637.3007	-1561.313	949.48346	80.214485	277.9234130382538
25	-1121.3481	488.02197	-199.85248	-1953.1508	-1048.1907	395.3221	-414.31995	-1837.2743	110.0	110.0	41249	-944.18085	147.55728	-612.29205	-1563.0155	936.653	78.78037	289.8637149333954
26	-1087.9359	366.42474	-410.4795	-1975.5742	-909.74695	383.72348	-334.571	-1456.5149	110.0	110.0	42899	-930.05927	149.21696	-586.65686	-1577.9738	922.5262	78.981094	301.67380475997925
27	-977.88306	444.60144	-334.33923	-1731.7072	-1310.5771	353.329	-496.04312	-1687.4357	110.0	110.0	44549	-917.0831	152.25745	-560.23517	-1599.724	909.9709	82.11649	311.46281147003174
28	-1057.5645	458.26602	-385.8015	-1824.9868	-1063.3702	316.42847	-553.75836	-1630.1862	110.0	110.0	46199	-902.55536	156.53127	-536.0856	-1619.372	895.43195	81.14369	321.2202363014221
29	-1174.8309	585.0029	-569.23584	-2899.1157	-972.8402	336.64084	-316.49835	-1369.0045	110.0	110.0	47849	-886.63324	159.34505	-506.37537	-1615.5745	879.56213	85.11091	331.5380001068115
30	-1140.2034	585.21	-398.3881	-2122.881	-1197.5742	297.34677	-747.5713	-1770.4548	110.0	110.0	49499	-870.9953	163.79848	-480.70224	-1608.0293	864.1247	85.72804	341.3346905708313
31	-921.55493	288.77286	-259.43817	-1307.0758	-1087.8055	904.54034	-193.93733	-3251.711	110.0	110.0	51149	-856.72943	167.77704	-453.5229	-1603.9297	849.7273	86.51983	351.62193536758423
32	-999.7808	392.08038	-494.06094	-1775.9441	-726.6846	512.1857	-228.87898	-1825.4406	110.0	110.0	52799	-840.6909	171.58075	-423.16315	-1597.8214	834.0103	86.87692	361.7426211833954
33	-1060.4053	534.6629	-405.25897	-2123.6587	-1071.0474	555.94464	-482.8834	-2415.9197	110.0	110.0	54449	-825.8256	177.73447	-400.20688	-1600.4758	819.4199	87.78731	372.1318247318268
34	-894.37085	435.97714	-511.7636	-2077.718	-812.59845	537.52765	-213.62302	-2107.803	110.0	110.0	56099	-810.98175	183.1968	-370.34683	-1606.7365	804.4098	88.75926	381.90367698669434
35	-1033.4581	479.41583	-401.99918	-1973.5748	-1153.9362	513.8111	-475.06616	-2061.607	110.0	110.0	57749	-796.5858	188.01723	-344.41568	-1621.1323	790.1021	92.384514	391.9420762062073
36	-1087.246	397.651	-365.55002	-1635.764	-1217.2928	434.56873	-665.2717	-1854.0775	110.0	110.0	59399	-784.81683	194.59158	-320.79572	-1604.314	778.4814	93.58557	401.9283957481384
37	-953.0535	464.28943	-199.92587	-1737.4052	-644.3482	277.71716	-342.1031	-1259.1797	110.0	110.0	61049	-771.46246	200.58157	-307.917	-1592.4575	765.08264	94.79137	412.32417821884155
38	-1203.4706	451.77747	-415.78067	-2133.2615	-756.53735	169.04498	-443.75504	-1057.7739	110.0	110.0	62699	-759.67676	205.23656	-293.85266	-1548.6693	753.45245	96.90653	422.37621331214905
39	-1162.5298	512.6358	-439.5315	-2023.5352	-811.6107	479.4901	-187.00043	-1934.4388	110.0	110.0	64349	-748.3819	210.85449	-270.08878	-1550.2335	742.12756	92.468834	432.71868658065796
40	-902.6938	449.13278	-219.86806	-2144.1748	-990.0543	649.30554	-179.91275	-2162.4858	110.0	110.0	65999	-737.00287	216.05101	-247.91222	-1573.5785	730.8617	95.46447	443.1390800476074
41	-1025.08	615.8004	-419.3713	-2578.269	-1182.7963	659.39557	-242.6359	-2299.1965	110.0	110.0	67649	-722.84955	222.15042	-225.60199	-1544.0317	716.65857	93.786865	453.2034559249878
42	-1017.6625	370.72437	-481.03674	-1622.1807	-1368.1268	454.33737	-821.5311	-2300.4448	110.0	110.0	69299	-710.6236	225.49493	-208.10823	-1533.2494	704.31104	93.32659	463.7944371700287
43	-1056.5195	539.31226	-405.13437	-2101.3235	-737.2109	484.39688	-202.61461	-2014.8594	110.0	110.0	70949	-699.24866	229.26956	-183.81267	-1569.5161	692.862	94.221344	474.2412328720093
44	-1056.4512	390.60727	-545.86646	-2084.077	-852.5487	433.5273	-326.22778	-1802.6221	110.0	110.0	72599	-685.65283	231.88092	-170.50693	-1556.3234	679.2191	94.95824	484.72290802001953
45	-1165.3352	564.5231	-470.87268	-2321.3127	-758.18774	446.64755	-99.638115	-1595.2837	110.0	110.0	74249	-672.4775	234.37311	-154.83546	-1540.9935	665.89954	94.26515	495.3139672279358
46	-1034.1769	474.41977	-353.7054	-1800.2222	-1265.8187	540.78	-323.7014	-2076.388	110.0	110.0	75899	-659.4475	236.66594	-100.847466	-1553.6604	653.1976	95.92164	506.04007744789124
47	-934.051	365.60144	-486.15268	-1702.4647	-812.10266	411.33026	-161.59598	-1459.8062	110.0	110.0	77549	-645.8833	239.45038	-88.605606	-1517.2482	639.4833	99.18471	516.7553133964539
48	-1029.9279	537.33215	-246.96518	-1915.059	-912.1619	388.29404	-434.61917	-1782.4246	110.0	110.0	79199	-632.6739	241.06479	-80.94595	-1504.9202	626.1687	98.83848	527.6300876140594
49	-885.194	387.6115	-323.6841	-1639.5054	-770.4137	426.1579	-130.98814	-1618.817	110.0	110.0	80849	-619.07733	242.07689	-74.78022	-1479.8405	612.6521	100.796005	539.9697179794312
50	-785.18555	371.94263	-244.31831	-1605.1465	-996.31433	366.34103	-440.47308	-1590.9303	110.0	110.0	82499	-606.369	241.02406	-75.47122	-1451.366	600.14435	99.93562	552.3343410491943
51	-866.72296	269.93118	-489.0973	-1611.6119	-947.4857	330.08252	-433.53638	-1627.9053	110.0	110.0	84149	-593.6809	242.38293	-66.6635	-1452.1176	587.76324	93.93754	565.0521590709686
52	-869.423	309.87122	-269.59683	-1334.006	-716.79724	419.0753	-261.57175	-1462.1189	110.0	110.0	85799	-584.56555	243.33026	-49.192547	-1435.581	578.1643	93.448524	577.7228863239288
53	-861.74054	410.85226	-313.43158	-1814.1122	-1006.79504	465.70853	-510.42856	-2108.8594	110.0	110.0	87449	-572.24097	243.57451	-26.944878	-1400.7562	566.06775	95.59282	590.5201244354248
54	-1046.236	458.34903	-441.39017	-1902.1027	-993.883	426.88132	-583.5895	-1992.0875	110.0	110.0	89099	-559.4913	243.68199	-20.221464	-1373.7596	552.9853	97.263695	602.746746301651
55	-995.01825	388.0441	-386.3271	-1838.4244	-777.5416	231.5509	-395.57318	-1079.5165	110.0	110.0	90749	-548.236	242.86131	-18.851171	-1356.6111	542.5174	96.774155	615.0263600349426
56	-950.5076	477.41946	-277.80365	-2104.158	-1000.4987	516.05316	-475.10876	-2234.4148	110.0	110.0	92399	-542.6125	243.74196	-16.397001	-1352.4097	536.78577	95.91739	625.3367021083832
57	-889.9934	531.40186	-306.0142	-2030.6449	-1129.5393	602.2386	-268.89957	-2194.2815	110.0	110.0	94049	-535.17285	242.81032	-11.312707	-1332.9427	529.5158	97.74288	637.7085831165314
58	-860.7081	592.2097	-311.27298	-2846.39	-631.95154	271.35214	-214.62709	-1115.0443	110.0	110.0	95699	-528.35535	241.2255	-16.649101	-1358.9779	522.55316	93.72498	648.8965311050415
59	-974.1787	481.72852	-183.8754	-1951.5848	-1110.2017	653.0556	-230.14345	-2347.9363	110.0	110.0	97349	-523.9566	241.22037	-15.88616	-1340.9646	518.32117	97.76763	661.9146263599396
60	-1130.4141	594.86835	-410.11517	-2392.0242	-816.70105	470.6803	-304.08298	-1814.9745	110.0	110.0	98999	-517.8302	240.44139	-10.019216	-1370.5834	511.85196	98.71999	674.1980152130127
61	-822.79846	485.8022	-162.32527	-1861.3765	-1183.203	482.74677	-442.8498	-2017.7223	110.0	110.0	100649	-508.09668	240.67355	-12.489596	-1300.6315	502.16327	101.31977	686.4200205802917
62	-794.9655	424.94827	-271.26593	-1745.1903	-1154.9468	571.4191	-491.4167	-2282.334	110.0	110.0	102299	-501.4497	241.45532	-7.986162	-1300.3453	495.9697	96.150795	698.7172915935516
63	-877.5048	367.98303	-176.05412	-1707.8564	-1262.0052	401.48358	-675.6888	-1901.093	110.0	110.0	103949	-496.17926	242.33643	-6.752429	-1296.5067	490.78516	100.453156	710.0637946128845
64	-1068.2811	377.3592	-527.28156	-1618.645	-1200.094	891.9009	-278.04678	-3497.7656	110.0	110.0	105599	-494.60934	241.09525	-8.80374	-1318.6881	489.30438	96.66462	721.1391072273254
65	-657.2189	263.09222	-216.624	-1109.6782	-1133.3333	512.52313	-418.72586	-1887.1456	110.0	110.0	107249	-490.66022	240.67542	-4.690142	-1335.1941	485.19232	95.7231	731.6864302158356
66	-830.31854	511.77353	-357.03125	-2389.0303	-743.61096	399.6998	-262.72964	-1429.4371	110.0	110.0	108899	-483.422	238.7086	-5.1253757	-1345.8684	477.72766	97.807236	742.8429210186005
67	-882.75024	539.4835	-212.27144	-2062.846	-731.4197	350.1246	-383.90607	-1381.0348	110.0	110.0	110549	-478.52286	237.4758	-7.0487294	-1360.9297	473.07678	92.72483	755.310622215271
68	-838.52264	285.72058	-372.8411	-1273.6416	-827.5963	298.31876	-494.8829	-1273.4891	110.0	110.0	112199	-472.49286	237.19962	-6.1779666	-1361.7742	466.90887	95.77594	767.6917498111725
69	-807.72003	478.3632	-208.89769	-1850.763	-981.28613	525.4478	-196.3232	-1861.5708	110.0	110.0	113849	-465.37033	234.5805	-5.332545	-1351.096	459.3635	94.05179	779.1806101799011
70	-795.306	353.135	-351.89536	-1551.7745	-817.796	262.48038	-320.53665	-1168.4208	110.0	110.0	115499	-457.17358	234.83424	-6.0557237	-1332.1481	451.34894	94.64548	789.7237815856934
71	-824.06354	358.99997	-398.6645	-1458.8773	-930.90106	543.3244	-170.85141	-2248.0393	110.0	110.0	117149	-449.25308	233.15552	-5.4357576	-1346.6477	443.71613	92.894264	801.3097290992737
72	-819.34076	427.83133	-274.85815	-1703.018	-723.8884	515.1883	-274.40533	-1915.358	110.0	110.0	118799	-444.68073	231.6881	-2.5023825	-1381.3417	439.36493	93.48117	811.8639829158783
73	-855.0024	511.77975	-379.5305	-2004.7615	-1039.1367	504.44174	-355.581	-2047.4614	110.0	110.0	120449	-438.90472	231.48535	1.2134289	-1340.2147	433.41586	93.81341	822.5080602169037
74	-818.2682	475.62003	-308.7209	-1822.259	-785.83514	475.6367	-183.62976	-1525.3286	110.0	110.0	122099	-434.91058	232.95378	13.739142	-1370.5498	429.25894	92.544	835.6584260463715
75	-1113.8591	618.4469	-223.18568	-2150.4688	-986.7479	466.15323	-251.40144	-1808.0466	110.0	110.0	123749	-428.65042	232.51094	19.07958	-1346.806	422.90796	96.69735	848.3516550064087
76	-992.1219	391.919	-353.7399	-1850.4132	-930.0916	405.05954	-346.25986	-1602.4192	110.0	110.0	125399	-423.67325	233.83484	21.981222	-1366.6406	417.95255	97.222725	859.4639301300049
77	-837.3495	353.31073	-310.95087	-1601.5881	-1071.5619	402.6362	-490.7093	-1693.3884	110.0	110.0	127049	-415.44684	231.18207	20.514227	-1364.416	409.8321	98.062004	870.330052614212
78	-668.8874	304.89276	-250.93477	-1256.7524	-816.42566	334.0802	-214.19012	-1443.6079	110.0	110.0	128699	-409.0274	228.58891	20.1407	-1346.5065	403.53677	96.149864	880.959892988205
79	-1003.18536	504.71796	-336.66254	-2274.7722	-832.526	309.1673	-399.01477	-1411.9363	110.0	110.0	130349	-404.63416	225.51344	19.617582	-1321.4305	399.10394	96.099785	891.523713350296
