Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-2462.563	243.91566	-2109.3943	-2895.1597	-2461.433	221.3603	-1989.6688	-2834.282	110.0	110.0	1649	-53.430748	21.324614	1.786934	-125.90189	51.31766	55.708763	6.83244252204895
2	-2481.4834	328.22208	-1957.0237	-3078.2112	-2748.965	651.2002	-1308.4113	-3439.315	110.0	110.0	3299	-155.30621	53.017944	-29.953552	-356.43063	152.64886	48.86897	17.13383650779724
3	-2669.4814	264.9521	-2052.9167	-2994.2922	-1776.5471	780.0497	-816.49414	-3282.6016	110.0	110.0	4949	-299.3437	63.87932	-125.77027	-553.10394	294.58743	93.34867	30.621177434921265
4	-2604.294	310.8041	-2015.2522	-3068.4504	-1140.6202	538.48987	-432.27365	-2081.4924	110.0	110.0	6599	-413.219	67.57563	-220.91357	-646.30145	403.90488	127.1098	42.598753929138184
5	-2748.3364	284.8115	-2213.8958	-3237.0232	-1294.3285	523.9031	-512.48816	-2298.0898	110.0	110.0	8249	-486.287	67.55067	-270.4733	-773.08514	472.99838	129.91896	54.530548334121704
6	-2624.0657	191.91478	-2345.9658	-2948.1606	-831.0713	392.41998	-286.85532	-1625.4247	110.0	110.0	9899	-537.3595	69.38597	-327.62027	-840.6509	523.1287	132.50966	66.05803918838501
7	-1179.5836	549.3159	-561.55963	-2214.5647	-892.2269	399.73877	-305.82095	-1688.7495	110.0	110.0	11549	-580.3962	77.980835	-357.0361	-917.02216	567.14703	127.67893	76.91570115089417
8	-942.47626	321.08112	-467.94357	-1574.842	-975.42175	484.0395	-271.41333	-1603.5302	110.0	110.0	13199	-606.2897	94.12313	-356.40005	-963.8278	592.5739	124.838936	87.5142068862915
9	-958.76917	401.8318	-242.00331	-1723.1351	-884.31757	421.17816	-260.40955	-1589.4465	110.0	110.0	14849	-612.9091	111.58435	-324.93005	-1067.0767	599.0264	124.13331	99.52848601341248
10	-953.79803	448.07236	-271.42203	-1670.7346	-848.82227	384.80472	-252.49017	-1599.5493	110.0	110.0	16499	-615.3116	117.705826	-304.5412	-1089.9131	601.5705	123.1142	111.82819986343384
11	-981.70667	345.39594	-475.43704	-1538.8588	-782.2446	462.83707	-232.90541	-1626.1959	110.0	110.0	18149	-609.4834	120.97319	-286.4289	-1095.3109	596.1226	115.451	123.2709608078003
12	-1038.0792	388.2914	-307.3983	-1494.2001	-760.4901	235.62755	-353.59885	-1303.5891	110.0	110.0	19799	-603.5309	121.55903	-287.3897	-1081.28	591.0445	112.382614	134.8905370235443
13	-988.55414	418.23337	-181.05515	-1605.264	-965.78467	388.49155	-423.92706	-1736.2626	110.0	110.0	21449	-598.8288	122.49704	-301.2477	-1051.3201	587.05005	104.755394	146.6885907649994
14	-475.048	200.45204	-64.274536	-724.35175	-639.0796	289.30548	-227.57584	-1068.6625	110.0	110.0	23099	-593.1416	123.57491	-277.28067	-1054.9497	581.9434	99.755875	160.60476684570312
15	-899.0989	351.33237	-274.4128	-1473.9529	-847.42303	390.39664	-444.96338	-1738.7007	110.0	110.0	24749	-586.50684	126.9513	-268.2393	-1050.5756	575.70386	94.57568	172.65858626365662
16	-590.9212	342.77383	-113.899216	-1124.5247	-704.75183	243.05681	-162.91287	-1116.3969	110.0	110.0	26399	-580.8112	129.82059	-250.58537	-1080.093	570.38043	91.82279	183.65806031227112
17	-1044.9822	542.91974	-316.2244	-2190.9502	-1170.5134	680.8286	-330.334	-2205.9927	110.0	110.0	28049	-572.9418	133.23984	-236.25533	-1075.5574	563.0075	91.40547	194.95801901817322
18	-742.13727	525.29724	-280.63077	-2543.1226	-890.99054	548.37225	-278.6901	-2241.34	110.0	110.0	29699	-568.80133	135.69826	-237.51175	-1081.2301	559.23676	91.90237	209.43111515045166
19	-773.5184	422.96228	-241.58153	-2073.6865	-981.2287	473.20773	-269.0709	-2074.11	110.0	110.0	31349	-559.01953	140.20053	-229.32343	-1081.0651	549.8382	87.63545	223.921373128891
20	-675.54175	431.4533	-176.76482	-1400.6503	-832.5375	356.76907	-294.06668	-1196.043	110.0	110.0	32999	-552.62616	143.87428	-220.24797	-1106.8336	543.5676	86.17827	234.92157292366028
21	-739.5095	295.45245	-231.76105	-1230.0323	-854.1107	373.2969	-357.48837	-1577.8834	110.0	110.0	34649	-545.22644	146.10716	-209.18893	-1145.209	536.3425	86.2215	245.67975425720215
22	-611.12103	329.0154	-263.83804	-1438.9563	-626.19586	241.27777	-250.72913	-1049.0367	110.0	110.0	36299	-539.5517	147.64171	-196.68974	-1169.9607	531.0069	86.38367	256.68406105041504
23	-765.5919	481.08594	-190.11159	-2023.3278	-745.09576	423.10083	-187.05833	-1508.0486	110.0	110.0	37949	-531.7207	150.78021	-191.74141	-1186.924	523.36896	85.08574	267.57439041137695
24	-642.34644	233.25443	-324.80933	-1201.3634	-655.43933	387.18588	-183.17946	-1427.1381	110.0	110.0	39599	-524.7367	155.57756	-172.0556	-1208.3898	516.43835	87.44206	278.56217432022095
25	-657.9978	255.64418	-197.07234	-1191.7334	-768.1765	244.95448	-509.49146	-1463.1989	110.0	110.0	41249	-516.5577	160.36308	-158.66551	-1218.1586	508.43405	87.225685	289.9890902042389
26	-702.69055	342.31726	-218.77907	-1227.5361	-679.4128	384.58633	-42.256107	-1389.1111	110.0	110.0	42899	-507.3996	164.913	-144.88493	-1250.5327	499.52942	86.353905	301.24444222450256
27	-769.9871	423.87604	-153.02943	-1972.7452	-664.5958	383.26193	-151.52838	-1365.6888	110.0	110.0	44549	-498.62396	167.51819	-125.669876	-1249.01	490.4103	87.9958	312.359751701355
28	-933.45776	479.54218	-206.03357	-1620.3695	-655.86176	242.89386	-221.64703	-1070.0475	110.0	110.0	46199	-489.3741	170.89877	-119.1064	-1248.3265	481.37274	87.97226	323.3590874671936
29	-775.7171	278.38882	-333.27588	-1341.589	-808.3727	436.7951	-202.32407	-1463.3535	110.0	110.0	47849	-483.23175	173.70848	-95.02569	-1245.7452	475.64426	88.67151	334.5789682865143
30	-725.36127	378.52542	-195.58049	-1773.5068	-808.86487	367.78375	-353.63748	-1696.0946	110.0	110.0	49499	-474.02676	176.48782	-68.021164	-1252.9644	466.40662	89.79604	345.92013216018677
31	-766.2184	481.32397	-132.69148	-1924.6575	-694.8673	654.5251	-192.09784	-2561.409	110.0	110.0	51149	-465.70798	179.53453	-47.33381	-1233.0321	458.32727	86.80994	358.0233039855957
32	-892.64764	524.5866	-301.71683	-1956.7424	-707.7384	342.38022	-314.07132	-1513.7426	110.0	110.0	52799	-459.3842	183.15245	-31.03885	-1239.1934	452.29395	87.12924	370.6382956504822
