Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-75937.91	30978.17	-7126.4336	-141989.88	-84066.47	17148.123	-54190.94	-125799.375	110.0	110.0	1649	-595.9081	518.6515	0.28883037	-2861.8809	566.6071	328272.44	5.397244930267334
2	-84313.09	30320.479	-42354.95	-141476.64	-84640.664	27690.562	-56707.355	-137491.53	110.0	110.0	3299	-3612.3997	1713.7087	-425.21997	-10860.405	3537.8748	200381.8	14.290333032608032
3	-77461.28	20687.264	-43534.434	-113647.43	-92686.93	36024.49	-42149.223	-156132.19	110.0	110.0	4949	-8315.754	2289.8083	-2805.6306	-17814.58	8197.582	272089.44	23.463818311691284
4	-77724.66	21092.297	-38791.93	-118378.9	-52616.395	27149.924	-23049.707	-99221.71	110.0	110.0	6599	-12562.924	2875.3296	-4997.2964	-24298.336	12422.211	374241.6	32.64783978462219
5	-78116.7	26645.707	-32841.902	-125008.97	-47610.727	33554.31	-1848.9679	-107282.58	110.0	110.0	8249	-16658.787	3566.0256	-7402.45	-31571.88	16499.111	465359.88	41.900662422180176
6	-71761.6	23412.191	-41253.836	-129231.125	-58004.957	36831.96	-2104.1155	-128921.46	110.0	110.0	9899	-20234.092	4172.0405	-9731.066	-38628.777	20038.166	544007.94	50.26441979408264
7	-49480.066	24284.54	-14558.452	-90716.56	-50249.445	31420.271	-3973.3547	-108879.85	110.0	110.0	11549	-22988.746	4641.9536	-11652.49	-43917.91	22748.908	556948.7	57.88255167007446
8	-33075.758	23065.96	-3225.8762	-78953.02	-37031.49	30879.99	-7611.346	-108892.52	110.0	110.0	13199	-24827.94	4999.7407	-13254.211	-47983.195	24572.014	531382.0	65.7718677520752
9	-55568.066	38574.492	-8282.836	-134190.27	-39355.02	36010.207	-10828.268	-136257.53	110.0	110.0	14849	-26307.922	5228.4087	-15195.186	-51322.34	26047.283	514177.47	73.30251049995422
10	-60100.215	37770.09	-4095.1677	-119311.44	-35574.02	24640.277	-1597.3163	-76139.375	110.0	110.0	16499	-27693.375	5365.487	-16718.646	-53984.62	27435.762	509080.34	80.72255754470825
11	-44841.273	30893.5	-7747.8853	-124815.89	-28241.934	20557.121	-5303.696	-73422.164	110.0	110.0	18149	-28903.982	5450.7705	-18194.871	-56844.023	28653.033	488438.88	88.45983839035034
12	-56990.043	36457.65	-2992.4307	-119832.25	-37028.82	20363.797	-9583.67	-68392.34	110.0	110.0	19799	-30206.488	5479.4473	-19911.467	-59205.297	29969.174	472193.75	96.209787607193
13	-48699.69	26633.31	-7123.053	-92177.34	-40597.758	32690.555	-8411.414	-108249.23	110.0	110.0	21449	-31592.326	5539.591	-20943.99	-61767.375	31364.408	454594.94	103.6832320690155
14	-51200.62	30369.133	-3233.518	-109306.14	-47125.37	32397.043	-14405.148	-118406.41	110.0	110.0	23099	-32972.773	5671.9214	-22014.06	-64449.305	32750.691	439629.4	111.47219896316528
15	-50287.402	30019.135	-2460.6665	-107636.37	-35580.477	29467.938	-5415.891	-112600.43	110.0	110.0	24749	-34271.973	5879.281	-23275.39	-67864.555	34067.1	446573.0	119.25010657310486
16	-50415.0	34715.758	-3753.6296	-103426.17	-53514.78	20875.416	-9872.184	-77453.71	110.0	110.0	26399	-35620.16	6075.8286	-23918.537	-70876.695	35420.758	449826.53	126.84405565261841
17	-45633.426	34540.184	-5468.4	-116405.664	-55542.23	44331.293	-3894.3215	-123124.38	110.0	110.0	28049	-36838.76	6309.6094	-24547.336	-73338.29	36645.574	447650.53	134.51281642913818
