Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-11948.686	2276.471	-8607.597	-15705.926	-12353.881	3836.0054	-7618.2925	-18554.209	110.0	110.0	1649	-167.79846	97.56371	0.25440496	-464.81638	162.5208	2350.2048	5.851613759994507
2	-11266.135	1858.9125	-7365.845	-13668.146	-8232.1	2453.1917	-4664.5	-11560.975	110.0	110.0	3299	-663.35175	241.3679	-158.07523	-1472.6566	650.6632	1520.7175	16.09488844871521
3	-11476.698	2269.64	-7274.818	-15664.544	-7314.7954	1808.5405	-4565.346	-10912.791	110.0	110.0	4949	-1332.9646	308.5964	-586.73126	-2333.8376	1313.0762	2699.7788	25.99889850616455
4	-12024.869	2513.2747	-8315.717	-16088.919	-6454.222	1178.5732	-3939.6277	-7936.124	110.0	110.0	6599	-1890.8435	337.43747	-982.86957	-2985.0269	1860.2405	3515.6807	36.658790588378906
5	-11715.916	991.3295	-8961.153	-13036.795	-7957.1616	3863.2612	-4360.9795	-18708.05	110.0	110.0	8249	-2358.446	359.8644	-1394.2305	-3507.0376	2319.4502	3946.3967	46.66726088523865
6	-10716.632	1700.3557	-7272.345	-13583.361	-7067.6978	1660.1724	-4909.142	-11216.366	110.0	110.0	9899	-2795.8484	387.54477	-1705.4039	-4134.9355	2752.3906	4083.699	57.60542058944702
7	-7350.6416	2148.3901	-4647.0825	-11075.59	-5670.8154	1828.488	-944.3551	-8442.717	110.0	110.0	11549	-3142.5156	419.074	-2037.57	-4595.4185	3097.7642	3738.2039	68.2194983959198
8	-5877.107	1659.8815	-2017.2311	-8785.653	-6056.674	1304.6248	-4552.517	-8442.315	110.0	110.0	13199	-3401.068	463.65103	-2319.277	-4938.6646	3360.9197	3267.6938	78.7013828754425
9	-6135.7793	1909.6746	-3092.3433	-10083.653	-6789.1123	1035.0669	-4979.225	-8971.908	110.0	110.0	14849	-3647.0005	497.65866	-2598.7048	-5306.6636	3609.8684	2934.6914	89.55173707008362
10	-7105.376	1728.7406	-4877.3555	-11585.03	-5161.9214	1528.4784	-989.2006	-6472.3896	110.0	110.0	16499	-3888.2146	526.35974	-2853.8123	-5680.8506	3853.5864	2738.5427	100.82688570022583
11	-6172.4795	1886.3579	-2182.5066	-10348.131	-7199.561	2202.356	-4893.844	-13233.502	110.0	110.0	18149	-4106.0723	554.191	-3056.8088	-6042.5596	4074.5552	2639.5537	110.69630265235901
12	-7740.1216	1962.3274	-5314.4507	-12092.116	-5995.492	758.8192	-4772.6177	-6868.1177	110.0	110.0	19799	-4324.1416	582.46173	-3182.8281	-6307.9087	4294.643	2583.7993	121.55697083473206
13	-6205.711	1674.7172	-3094.6545	-10795.173	-6619.6865	2091.1555	-4628.501	-11212.548	110.0	110.0	21449	-4552.9937	608.65375	-3313.1482	-6726.778	4525.291	2608.251	132.64653158187866
14	-5897.52	837.8108	-4686.8857	-7878.0083	-5369.2773	1670.5809	-2507.601	-8338.112	110.0	110.0	23099	-4755.8506	628.1709	-3466.916	-7037.2134	4729.083	2570.7512	142.2560715675354
15	-6283.9004	1740.0844	-1819.1931	-10547.377	-5134.7236	1966.5696	-1086.7455	-6945.6846	110.0	110.0	24749	-4952.5054	645.23737	-3613.4478	-7246.8564	4926.8154	2560.7727	152.0993070602417
16	-5900.705	1839.0205	-1024.5114	-7582.82	-8331.467	3861.4146	-4808.9243	-14379.021	110.0	110.0	26399	-5151.7983	663.07025	-3762.843	-7515.9624	5126.777	2550.4004	162.50053191184998
17	-5553.498	2020.1755	-1180.5731	-9015.092	-6873.103	2210.9897	-4793.12	-12316.427	110.0	110.0	28049	-5318.5312	679.4105	-3897.5405	-7767.2324	5294.2363	2526.4827	172.6392786502838
18	-5290.8853	1561.2489	-2522.0283	-8529.121	-5827.3325	954.3148	-4086.9353	-7365.0864	110.0	110.0	29699	-5460.9883	697.5188	-4005.9834	-7952.4546	5437.0117	2532.7358	182.57480430603027
19	-6340.479	1205.8579	-4541.1973	-8715.094	-5173.6396	1636.6329	-1418.6371	-8300.154	110.0	110.0	31349	-5596.25	706.4908	-4119.958	-8083.4487	5573.0083	2526.5837	192.06292986869812
20	-5851.5063	1408.8142	-2670.3987	-8383.292	-5657.4287	1063.5947	-4448.7324	-7359.521	110.0	110.0	32999	-5723.301	723.1776	-4205.6216	-8244.06	5700.8877	2523.5889	202.13433861732483
21	-6021.7236	2065.3528	-2002.4846	-9816.452	-6839.625	2347.8674	-2766.6216	-12019.761	110.0	110.0	34649	-5834.936	746.79016	-4303.144	-8427.999	5812.835	2565.6528	212.49635243415833
22	-6428.5825	1543.3418	-2786.6614	-9044.927	-4878.0366	1691.2367	-215.41599	-6334.661	110.0	110.0	36299	-5949.0273	767.73004	-4391.2603	-8561.56	5927.5386	2600.0288	222.70696830749512
