Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	1649	-0.008687227	0.1156357	0.35648426	-0.5066717	-0.010043246	0.00039145676	5.172366619110107
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	3299	0.08035925	0.09611389	0.36970893	-0.23390782	-0.0902911	0.00016355074	13.653194427490234
3	0.13333334	0.33993465	1.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	4949	0.14481302	0.096547745	0.76089555	-0.16038275	-0.15262257	0.0005890448	21.12972140312195
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	6599	0.22803655	0.11585357	1.6712176	-0.113152735	-0.23857492	0.0006973492	28.89893674850464
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	8249	0.2996208	0.16229829	2.147305	-0.039478067	-0.3097175	0.0006193925	36.38402009010315
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	9899	0.37142083	0.20737012	2.689444	-0.0071124956	-0.3824734	0.0005970535	43.97181224822998
7	0.2	0.7483315	3.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	11549	0.4410145	0.2503725	3.7319624	0.08453727	-0.4513623	0.00075996976	52.22884488105774
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	13199	0.53790045	0.39198145	4.1014833	0.15543522	-0.5475216	0.0010029378	60.37400269508362
9	0.06666667	0.2494438	1.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	14849	0.6201272	0.4746709	4.271342	0.18207	-0.6302792	0.0010817244	68.45960569381714
10	0.13333334	0.33993465	1.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	16499	0.6801506	0.5160468	4.482806	0.21983516	-0.6894544	0.00095038733	76.15810680389404
11	0.06666667	0.24944381	1.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	18149	0.7478408	0.56246036	4.5836873	0.25359294	-0.75712526	0.000921621	84.31576204299927
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	19799	0.8002236	0.5809826	4.6500354	0.24101844	-0.8089992	0.00094569346	93.25437188148499
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	21449	0.8365197	0.5944358	4.8880014	0.29087585	-0.84424007	0.000971518	101.6649432182312
14	0.06666667	0.2494438	1.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	23099	0.86693543	0.61075866	4.8176193	0.3032577	-0.87368226	0.0008879731	109.8951051235199
15	0.06666667	0.2494438	1.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	24749	0.9029087	0.6275092	4.971329	0.32085454	-0.90965474	0.00083922775	118.67817831039429
16	0.06666667	0.2494438	1.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	26399	0.93865603	0.64475507	5.0862784	0.33795658	-0.9457395	0.0009421874	127.6234655380249
17	0.0	0.0	0.0	0.0	0.3	0.64031243	2.0	0.0	110.0	110.0	28049	0.96891505	0.65982974	4.9660726	0.33527574	-0.97525877	0.0007973137	135.72509169578552
18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	29699	0.9784	0.6542904	5.001283	0.3416732	-0.9837107	0.00070225773	146.52198576927185
19	0.06666667	0.24944381	1.0	0.0	0.1	0.29999998	1.0	0.0	110.0	110.0	31349	0.9904373	0.64704466	5.019116	0.3575169	-0.99534935	0.0006026347	155.4584243297577
20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	32999	0.9906856	0.6286898	4.877056	0.36003736	-0.9950025	0.00054862414	164.11009240150452
21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	34649	0.97986305	0.61404365	4.7732368	0.346307	-0.98300517	0.00064810354	172.58372235298157
22	0.13333334	0.49888763	2.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	36299	0.9658847	0.5956932	4.5061293	0.34859917	-0.9683145	0.00052695774	180.82770109176636
23	0.0	0.0	0.0	0.0	0.1	0.29999998	1.0	0.0	110.0	110.0	37949	0.9637326	0.59389675	4.51148	0.35699862	-0.96622765	0.00063480384	189.7997705936432
24	0.06666667	0.2494438	1.0	0.0	0.1	0.29999998	1.0	0.0	110.0	110.0	39599	0.9555171	0.5829379	4.3918	0.35837355	-0.958032	0.00068045594	197.95272302627563
25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	41249	0.94747984	0.5663608	4.2122874	0.34694657	-0.9497683	0.00056677754	206.18711256980896
26	0.0	0.0	0.0	0.0	0.2	0.59999996	2.0	0.0	110.0	110.0	42899	0.9261475	0.54496753	4.0943527	0.33943188	-0.9280205	0.0005016095	214.27204608917236
27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	44549	0.89807814	0.5205041	3.966352	0.34388644	-0.8998034	0.00052455044	222.0773561000824
28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	46199	0.87966514	0.5071906	3.9976125	0.3385055	-0.88086945	0.0005344648	231.41012716293335
29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	47849	0.8532438	0.4876717	3.86255	0.33323824	-0.8543844	0.0004825556	240.01550579071045
30	0.13333334	0.4988876	2.0	0.0	0.2	0.4	1.0	0.0	110.0	110.0	49499	0.8352259	0.47862473	3.7265782	0.3236952	-0.83665293	0.0005152086	248.73976874351501
31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	51149	0.8158077	0.46181503	3.6026175	0.3123188	-0.8168395	0.00052102056	257.6795415878296
32	0.06666667	0.24944381	1.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	52799	0.79359037	0.4449941	3.5132236	0.30225992	-0.7943836	0.00044187935	267.5721662044525
33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	54449	0.7716234	0.43032604	3.3152153	0.29073596	-0.77272534	0.0005675901	276.12095379829407
34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	56099	0.7593204	0.42429492	3.2143285	0.27517396	-0.7603339	0.00047304234	285.0907027721405
35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	57749	0.7403874	0.4193043	3.2073386	0.26948333	-0.7419817	0.0004407731	293.4512400627136
36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	59399	0.72686857	0.4188892	3.0606165	0.25977975	-0.72846323	0.00038981467	302.64072132110596
37	0.06666667	0.2494438	1.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	61049	0.7105953	0.41098744	2.9985154	0.24917948	-0.7120407	0.00039429945	312.5986964702606
38	0.06666667	0.24944383	1.0	0.0	0.1	0.29999998	1.0	0.0	110.0	110.0	62699	0.6977969	0.4041673	2.8509042	0.23738182	-0.6989595	0.00041516693	322.27409076690674
39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	64349	0.68289876	0.39391652	2.610895	0.22102107	-0.6838668	0.00032875573	332.551721572876
40	0.0	0.0	0.0	0.0	0.2	0.4	1.0	0.0	110.0	110.0	65999	0.6655993	0.37993762	2.5664628	0.20816115	-0.6665367	0.00039976242	343.74029302597046
41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	67649	0.6480846	0.37136385	2.510621	0.1868633	-0.64904344	0.0004042845	353.6737952232361
42	0.0	0.0	0.0	0.0	0.2	0.4	1.0	0.0	110.0	110.0	69299	0.63532037	0.3690352	2.40321	0.19260329	-0.6363552	0.000390162	365.5579423904419
43	0.0	0.0	0.0	0.0	0.1	0.29999998	1.0	0.0	110.0	110.0	70949	0.62066996	0.36415267	2.3650455	0.18521489	-0.6215852	0.00029867908	377.94124031066895
44	0.13333334	0.33993465	1.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	72599	0.6054086	0.35375643	2.340122	0.16978043	-0.6062454	0.00042978642	390.60475635528564
45	0.13333334	0.33993465	1.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	74249	0.5929582	0.34697285	2.2932115	0.1442777	-0.5938174	0.000313016	402.68302822113037
46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	75899	0.5780361	0.33884722	2.3143284	0.15512289	-0.57898504	0.00040394213	413.75384402275085
47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	77549	0.5665135	0.3318905	2.21708	0.16161098	-0.56708694	0.00023272428	424.3335223197937
48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	79199	0.54638094	0.3189289	2.0025742	0.15269844	-0.5468629	0.00032918723	434.7165904045105
49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	110.0	80849	0.53094864	0.30955574	1.9803958	0.14584649	-0.5316607	0.00041980317	446.0161578655243
