Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-6356.0806	2063.2139	-3708.4043	-11062.233	-6460.4517	2290.7932	-3013.455	-10468.249	110.0	110.0	1649	-104.02335	63.733932	0.96728384	-407.38486	101.5922	1027.9579	5.383849620819092
2	-6298.363	2137.7834	-3400.85	-11983.795	-6156.659	2414.1877	-1241.6093	-10156.214	110.0	110.0	3299	-404.7379	192.64153	-58.271854	-1243.0284	396.48947	1073.4286	13.990027904510498
3	-6680.505	2196.6355	-3488.4036	-11533.404	-3895.4355	1035.6464	-1529.6615	-5187.127	110.0	110.0	4949	-770.76917	250.51303	-160.97401	-1892.902	754.1028	2175.0063	22.66021203994751
4	-7069.1987	1964.0005	-4483.2095	-11728.53	-3565.9465	3311.9631	-181.84862	-10372.114	110.0	110.0	6599	-1081.8514	325.4606	-405.9884	-2572.3247	1059.3918	3099.4614	31.359963178634644
5	-6972.4614	2159.9355	-4202.5986	-10280.94	-2193.268	1074.1913	-597.3278	-4100.897	110.0	110.0	8249	-1325.2401	368.5759	-575.6271	-3004.2192	1294.452	3773.4976	40.01092219352722
6	-7004.9014	1862.9763	-4157.5327	-9807.454	-2322.7358	1875.8085	-290.75937	-6906.9624	110.0	110.0	9899	-1499.4177	403.1649	-664.5842	-3437.6287	1462.2234	3871.0159	48.826030254364014
7	-1852.8635	1434.6089	-323.34705	-6032.48	-1687.5488	1173.7335	-189.6213	-4284.124	110.0	110.0	11549	-1619.9598	459.59393	-747.4836	-3947.284	1582.2236	3751.1711	57.969292879104614
8	-1203.6959	610.33154	-172.30403	-2171.0784	-1839.361	1109.0939	-322.12262	-4107.925	110.0	110.0	13199	-1679.9492	520.11096	-808.3519	-4510.6694	1644.6191	3536.53	67.16971373558044
9	-1651.1107	1430.6896	-125.82391	-5485.578	-1357.4968	902.83453	-387.8679	-3490.3823	110.0	110.0	14849	-1711.8082	586.2733	-754.29175	-5130.615	1678.3264	3364.2866	76.29595017433167
10	-1761.1637	1029.1105	-484.43076	-3809.5627	-2113.8608	1285.0376	-389.8093	-4816.861	110.0	110.0	16499	-1745.7054	647.1858	-728.1098	-5678.703	1713.1055	3284.7075	85.48084211349487
11	-1235.8362	778.04614	-183.17178	-2491.968	-1525.59	1106.835	-414.5932	-4365.6587	110.0	110.0	18149	-1757.2867	700.51154	-690.8066	-6333.848	1725.642	3140.545	94.59245944023132
12	-1062.81	715.8371	-138.67143	-2405.4673	-1663.2849	824.168	-77.30036	-2988.6606	110.0	110.0	19799	-1744.2668	745.4113	-638.38007	-6892.1724	1714.4115	3073.8535	103.72348427772522
13	-1885.7374	1124.2076	-233.89058	-4390.3457	-2323.2148	750.48065	-1296.8519	-3304.2495	110.0	110.0	21449	-1741.9989	790.9029	-593.4843	-7432.6367	1713.228	3047.5437	112.89742732048035
14	-2548.9556	1438.4186	-515.1495	-5329.313	-1940.6674	1877.3201	-119.41086	-7059.053	110.0	110.0	23099	-1750.3921	838.6046	-549.26776	-8051.5947	1722.2513	3095.0164	122.00687146186829
15	-1586.6415	676.5232	-240.65993	-2715.8992	-1328.6271	781.8743	-469.21307	-3195.0999	110.0	110.0	24749	-1750.804	877.56885	-498.9237	-8821.789	1723.4032	3032.7637	131.14294266700745
16	-2029.7966	1610.4022	-181.47276	-5889.773	-1971.9294	1037.3981	-493.10898	-3843.0808	110.0	110.0	26399	-1748.6713	920.0515	-451.52512	-9606.139	1722.473	2913.5112	140.6918170452118
17	-1697.0101	1156.1484	-369.2707	-4399.3525	-1610.0447	1004.32697	-648.64124	-4384.766	110.0	110.0	28049	-1748.2682	950.43146	-408.33008	-10375.591	1722.2815	2945.0085	150.26474690437317
18	-2074.391	1648.3124	-510.80423	-6718.693	-1461.247	702.63605	-148.12651	-2366.1528	110.0	110.0	29699	-1749.069	982.0971	-379.783	-10864.226	1724.4536	2849.0327	159.43657779693604
19	-1862.2457	1428.7913	-34.735245	-4714.783	-1661.0328	1238.9379	-58.91619	-4994.8745	110.0	110.0	31349	-1768.4318	1038.9606	-349.6056	-11728.111	1744.3177	2846.5354	168.69390606880188
20	-1837.9008	1576.7837	-422.75113	-5689.7856	-1535.569	1123.5739	-425.74588	-3460.8826	110.0	110.0	32999	-1786.7052	1096.3358	-316.86313	-12678.594	1762.647	2891.589	178.2194321155548
21	-1585.1008	1132.3247	-155.13089	-3999.9897	-1767.4006	1127.265	-488.18634	-3685.1667	110.0	110.0	34649	-1795.4928	1142.7534	-261.0421	-13311.593	1771.5906	2875.2527	187.43736624717712
22	-1891.6941	1552.9089	-273.44373	-5102.67	-1479.7129	1071.0032	-187.32762	-3358.5044	110.0	110.0	36299	-1809.6305	1193.5691	-235.95328	-14195.328	1786.7156	2915.543	196.81342720985413
23	-1818.6018	1489.8679	-74.45689	-4812.133	-2406.6206	2020.8936	-352.99097	-6864.2036	110.0	110.0	37949	-1829.6105	1242.4039	-226.22144	-14957.368	1806.4698	2943.4	206.11379075050354
24	-2292.564	2244.8247	-197.03973	-9570.068	-1571.3279	1474.7656	-244.50822	-4557.0156	110.0	110.0	39599	-1850.9159	1309.8397	-148.50006	-15763.673	1828.1277	3062.5657	215.4256031513214
25	-1724.6692	1293.504	-182.52277	-3860.3882	-1449.116	1471.4333	-164.86617	-4227.181	110.0	110.0	41249	-1887.5975	1367.9454	-96.60977	-16927.418	1864.1326	3133.5417	224.74195647239685
26	-1297.0348	769.5013	-182.99348	-2787.6116	-1351.3528	884.73413	-194.89397	-3320.5884	110.0	110.0	42899	-1898.407	1416.7148	-49.72992	-17860.803	1874.9813	3209.9072	234.06891655921936
27	-1192.1119	802.30457	-242.67885	-3101.4165	-1299.2834	646.1605	-253.58318	-2502.0354	110.0	110.0	44549	-1902.3835	1465.636	24.581707	-18726.834	1878.1501	3289.7886	243.42912888526917
28	-1869.0388	1526.4105	-154.75214	-5522.1504	-1913.0052	1409.3218	-326.9359	-4101.7393	110.0	110.0	46199	-1913.8298	1525.2012	81.69266	-19762.773	1889.253	3330.812	252.84419012069702
29	-1397.4098	1456.7227	-130.68738	-4816.6655	-2491.7642	1903.0385	-438.92807	-6429.058	110.0	110.0	47849	-1916.0145	1601.315	140.1222	-20632.951	1890.7903	3449.7788	262.2708899974823
30	-1287.5808	741.988	-332.32776	-2833.0283	-1887.8086	1200.7611	-344.62735	-3757.8303	110.0	110.0	49499	-1903.0114	1642.6274	197.58163	-21459.258	1877.0013	3489.8127	271.63429379463196
31	-1653.7296	1289.6106	-174.42397	-4371.448	-785.29456	615.649	-159.50912	-2174.0796	110.0	110.0	51149	-1897.6667	1694.1836	275.8466	-22733.803	1871.1987	3540.8997	280.9210340976715
32	-1394.7035	899.04114	-68.54402	-3180.6978	-1116.8115	824.00867	-316.32953	-3230.5535	110.0	110.0	52799	-1898.0028	1748.3717	329.01697	-23614.771	1871.0043	3625.1548	290.233181476593
33	-1591.6743	1281.2362	-366.19815	-4854.6084	-916.4994	359.84354	-541.083	-1504.2795	110.0	110.0	54449	-1890.553	1817.5106	396.1421	-24244.303	1862.7137	3777.3835	299.6421904563904
34	-1221.3324	616.5373	-28.591522	-2433.0994	-1237.5693	1072.8057	-229.56776	-3419.0757	110.0	110.0	56099	-1872.5128	1864.0677	466.92087	-25200.58	1843.4569	3847.8005	308.90281343460083
35	-1153.8933	1122.0332	-177.73347	-4282.2393	-1265.0236	1268.3088	-148.05309	-4680.274	110.0	110.0	57749	-1835.2532	1901.6709	527.618	-27056.803	1804.9286	3961.9746	318.2192747592926
36	-961.6954	458.90704	-168.72836	-1759.6772	-800.2075	484.2575	-78.970795	-1542.4666	110.0	110.0	59399	-1789.0496	1957.8289	579.49084	-28540.47	1758.564	4164.9355	327.43688583374023
37	-2079.5908	1394.469	-290.44882	-5331.795	-1205.2192	1694.5712	-79.5963	-6098.0293	110.0	110.0	61049	-1775.0184	2038.0316	637.1868	-29312.99	1744.3212	4311.527	336.68420600891113
38	-1286.3462	875.54364	-378.05374	-3007.4102	-1865.6364	2179.2437	-117.78427	-7863.4146	110.0	110.0	62699	-1749.4451	2104.7236	684.97736	-30261.951	1717.1772	4550.999	345.9151041507721
39	-1148.1998	857.83453	-227.85844	-2876.742	-1974.7689	1202.7062	-589.1989	-4389.9873	110.0	110.0	64349	-1702.7047	2149.3496	748.63293	-30599.932	1670.1414	4604.3535	355.2139410972595
40	-1168.4766	800.1776	-91.768364	-3420.7375	-1851.783	1096.1483	-150.77122	-3257.1575	110.0	110.0	65999	-1652.8604	2217.7092	797.823	-32377.766	1620.07	4772.026	364.68639302253723
