Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-6248.299	1816.1111	-3953.0298	-10342.278	-8254.066	2214.619	-5283.74	-12422.715	110.0	110.0	1649	-103.5334	61.218185	1.232904	-392.4497	99.10095	1166.4989	4.88583517074585
2	-6813.5215	2307.6663	-4572.402	-12303.859	-5235.1025	2277.8188	-500.4996	-8850.952	110.0	110.0	3299	-352.50925	166.37834	-46.850613	-1090.7524	339.46765	1075.9156	12.521738290786743
3	-7588.133	1782.8499	-4449.1245	-10419.819	-3968.3328	3267.1174	-844.00323	-11182.378	110.0	110.0	4949	-693.8197	269.4346	-113.55158	-1886.4559	671.2559	2295.2942	20.18546772003174
4	-6989.2725	1887.1343	-4265.522	-9883.607	-4509.8315	1834.2855	-945.8801	-8341.633	110.0	110.0	6599	-983.5998	365.53702	-250.71843	-2611.417	956.0602	3476.9224	27.86618947982788
5	-7550.351	2273.711	-4146.6	-11581.238	-1416.6787	632.2392	-514.12177	-2228.0718	110.0	110.0	8249	-1232.2312	468.25153	-212.40419	-3349.8943	1196.4847	4372.207	35.24352955818176
6	-7900.709	2464.2883	-3724.42	-12056.428	-2116.4373	1238.0366	-680.3925	-4362.336	110.0	110.0	9899	-1394.8438	542.976	-246.3141	-3915.5803	1348.4131	4752.9805	42.643818855285645
7	-2332.606	1663.9583	-242.71556	-5918.8594	-1730.7008	715.2316	-649.94385	-3267.734	110.0	110.0	11549	-1463.5225	617.41986	-275.7685	-4427.19	1415.5151	4412.4087	50.52416205406189
8	-1981.8481	1626.02	-366.58148	-6162.44	-2065.6953	1740.1368	-159.28276	-6423.9194	110.0	110.0	13199	-1467.7378	707.8859	-249.05545	-4920.322	1424.172	3709.2505	58.54643201828003
9	-2546.5664	2400.252	-213.26976	-9498.378	-2494.7178	1302.0492	-268.85693	-4857.752	110.0	110.0	14849	-1493.2643	776.15704	-190.27122	-5328.5244	1453.6139	3257.8237	66.44790244102478
10	-1757.2435	1000.9401	-290.67526	-4177.92	-2246.5652	1324.1001	-614.7603	-4381.1333	110.0	110.0	16499	-1531.8823	850.2451	-163.3964	-5766.615	1495.4597	2972.4255	74.44531607627869
11	-2650.987	1717.9286	-459.8951	-6027.9146	-1674.6367	806.48676	-650.30884	-3578.5593	110.0	110.0	18149	-1602.4326	921.0413	-144.87196	-6263.7803	1568.894	2817.0527	82.27249503135681
12	-2336.471	1367.1069	-868.67676	-5518.6235	-1559.1685	990.94293	-388.54285	-3577.4358	110.0	110.0	19799	-1677.8058	988.4928	-129.91248	-6497.71	1646.6351	2786.8684	89.9016752243042
13	-1425.3665	882.48285	-85.977104	-3960.1477	-2820.7144	1926.5338	-1216.1403	-7637.49	110.0	110.0	21449	-1728.0846	1055.4476	-112.01277	-7084.441	1698.2925	2815.7307	97.72374653816223
14	-1608.4104	828.6201	-353.1152	-3137.9688	-1294.0922	890.5786	-235.98264	-3303.0952	110.0	110.0	23099	-1769.2126	1121.1481	-91.5317	-7725.341	1739.2936	2876.1025	105.55196499824524
15	-1983.7261	1120.5317	-392.35953	-4610.9565	-1342.7161	923.7219	-289.9886	-2929.7402	110.0	110.0	24749	-1804.7692	1166.8853	-83.89794	-8281.13	1775.0897	2872.9216	113.43599581718445
16	-1644.1171	1077.4641	-216.54895	-4054.5305	-2519.382	1427.1249	-703.7734	-4887.9165	110.0	110.0	26399	-1843.773	1215.4089	-62.66198	-8746.83	1814.7166	2943.9287	121.41615533828735
17	-1662.6962	714.9452	-163.28738	-3239.1653	-1125.6215	647.8477	-66.4822	-2235.3381	110.0	110.0	28049	-1878.7213	1257.6779	-55.17247	-9212.557	1850.2142	2975.1667	129.15929746627808
18	-1765.5226	852.53644	-523.50336	-3516.4868	-870.9007	697.0243	-344.52322	-2636.6333	110.0	110.0	29699	-1896.3746	1303.9717	-41.00712	-9810.442	1867.4873	3037.751	137.10857725143433
19	-1432.863	869.86115	-300.15613	-4067.4414	-1340.1238	905.03314	-329.82724	-3668.1697	110.0	110.0	31349	-1902.7888	1356.2903	-26.094007	-10293.071	1874.2021	3024.226	145.0828652381897
20	-1912.1384	1216.0469	-211.43004	-4673.1724	-1832.724	1464.8783	-410.61935	-4198.989	110.0	110.0	32999	-1913.5969	1389.8745	-3.4352942	-10640.318	1884.862	3045.0676	153.04677319526672
21	-1237.596	610.24384	-349.3034	-2719.0889	-2035.8004	1228.9454	-814.5872	-5165.021	110.0	110.0	34649	-1934.804	1448.0215	4.397176	-10913.967	1906.3676	3106.376	160.99001717567444
22	-1401.551	929.6353	-286.46994	-3957.1843	-2101.9111	1491.9795	-374.70682	-5116.697	110.0	110.0	36299	-1946.1337	1498.4337	63.073185	-11958.184	1918.5359	3134.6235	168.79874515533447
23	-1568.1272	927.9951	-241.61127	-3868.353	-1694.8372	1402.2122	-821.5756	-5826.8447	110.0	110.0	37949	-1961.8423	1560.077	98.97048	-12461.926	1933.9031	3183.5742	176.84805941581726
24	-1326.8473	612.78406	-145.81023	-2533.2615	-1031.2751	1004.383	-206.24384	-3844.1277	110.0	110.0	39599	-1967.3988	1611.6912	133.88766	-12993.527	1939.1493	3242.2307	184.7780249118805
25	-1253.7046	686.1167	-475.83038	-2451.8662	-1094.8499	818.6432	-252.31998	-2829.6536	110.0	110.0	41249	-1973.8813	1660.4254	167.52658	-13180.448	1944.7463	3384.7412	192.77332639694214
26	-1130.1659	760.5966	-195.265	-2912.195	-2237.6409	1740.2797	-675.45404	-6844.904	110.0	110.0	42899	-1961.2574	1710.8411	212.30098	-13413.112	1931.7318	3383.8545	200.78027987480164
27	-1257.2756	1073.4469	-208.89722	-3647.309	-1602.3901	1146.2183	-462.70114	-3975.6262	110.0	110.0	44549	-1954.4958	1758.0981	269.31198	-14374.42	1925.1428	3492.3215	208.82718420028687
28	-1164.2878	594.55756	-215.98653	-2179.536	-1118.6213	618.3327	-296.1672	-2211.7917	110.0	110.0	46199	-1955.2546	1831.1471	319.10486	-15045.903	1924.7733	3471.592	216.83578085899353
29	-1504.1478	899.6305	-205.79085	-3737.1218	-1621.927	737.36414	-331.7129	-2699.562	110.0	110.0	47849	-1956.3021	1891.0178	383.24802	-15864.521	1925.8021	3623.5298	224.8193700313568
30	-1242.6726	751.9788	-318.92816	-3131.3708	-1617.7759	960.5992	-235.31784	-3252.8787	110.0	110.0	49499	-1945.0261	1953.0713	443.5762	-16632.844	1913.8168	3807.0127	232.85355257987976
31	-1171.5952	585.44696	-46.140205	-2405.3499	-1073.3558	701.1188	-165.57597	-2167.4307	110.0	110.0	51149	-1927.4785	2012.8816	484.12784	-17461.877	1896.8739	3883.6035	240.4948377609253
32	-1176.421	790.5941	-54.516094	-2640.8628	-1328.4105	853.1808	-391.11282	-3439.4216	110.0	110.0	52799	-1938.1917	2087.4006	591.15735	-18085.299	1907.5002	4062.3193	248.38420701026917
33	-795.41235	457.8759	-273.43207	-1896.6052	-767.5347	341.42117	-453.84436	-1496.1393	110.0	110.0	54449	-1922.5503	2135.1672	609.2759	-19270.543	1891.6818	4097.7583	256.5206832885742
34	-1368.6497	552.9362	-606.13434	-2754.7957	-1426.9812	480.12668	-682.798	-2099.0735	110.0	110.0	56099	-1927.1986	2206.4077	645.3794	-20098.498	1895.9321	4295.0776	264.50664949417114
35	-1490.9078	1249.8575	-136.97815	-3865.3662	-1333.2102	711.9133	-249.72673	-2706.838	110.0	110.0	57749	-1930.7269	2267.5537	671.75726	-20859.672	1898.6648	4499.855	272.16795468330383
36	-1375.7166	703.2878	-324.64578	-2778.17	-1850.7526	1225.401	-706.97003	-4858.887	110.0	110.0	59399	-1932.2151	2319.6665	709.51715	-21759.09	1900.2853	4639.03	280.2625641822815
37	-1177.1952	981.5778	-85.75006	-3212.21	-1788.8564	1423.2811	-515.50165	-5229.4805	110.0	110.0	61049	-1951.2207	2386.189	738.5202	-22591.79	1918.9955	4810.4155	288.0049021244049
38	-1608.5349	783.35046	-437.10928	-3419.1477	-1866.8551	782.3378	-550.7462	-2900.8645	110.0	110.0	62699	-1963.5692	2441.6765	778.2106	-23234.533	1930.6161	4991.788	295.68796706199646
39	-1544.8503	896.62415	-413.18396	-3324.1018	-1400.9304	809.60736	-148.32603	-2692.1853	110.0	110.0	64349	-1993.1919	2522.8115	845.5738	-24760.389	1960.0612	5176.5435	303.3293936252594
40	-1835.9867	926.6697	-580.8104	-3392.2139	-1475.8544	568.6601	-264.38583	-2396.4583	110.0	110.0	65999	-2021.3546	2620.7263	925.299	-26108.11	1988.0302	5343.9507	311.77271604537964
41	-1501.147	1209.6744	-113.54109	-4311.908	-2145.9453	1579.1515	-262.31854	-5674.9233	110.0	110.0	67649	-2056.0117	2671.8	977.5068	-27306.773	2022.1307	5680.178	319.9434063434601
42	-1934.0775	1257.0352	-506.49823	-4466.928	-1934.9856	1361.9224	-368.12338	-4990.657	110.0	110.0	69299	-2089.5312	2756.043	1041.2634	-27936.168	2055.2546	6076.5244	327.89479780197144
43	-1386.7932	916.85156	-197.59712	-3670.6196	-850.49475	427.65118	-265.18005	-1564.1571	110.0	110.0	70949	-2116.7578	2839.298	1092.1558	-29454.312	2081.1255	6420.9766	335.42498993873596
44	-2013.2101	1140.0609	-785.97327	-4848.548	-1489.8623	892.66815	-247.53987	-2674.1746	110.0	110.0	72599	-2151.6416	2919.7683	1142.4889	-31384.406	2116.3289	6597.9976	343.2415220737457
45	-1822.9895	1101.4204	-301.4942	-3864.693	-1520.1243	1335.6897	-390.9201	-4731.8647	110.0	110.0	74249	-2214.9285	3042.8518	1178.0581	-32492.129	2179.0825	7141.3916	351.2438659667969
46	-1207.0975	881.55725	-260.371	-3320.0117	-1522.0289	1062.1746	-770.87506	-4161.5913	110.0	110.0	75899	-2241.851	3123.8547	1222.0269	-33953.996	2205.4722	7515.9087	358.84624195098877
47	-1805.3308	902.9409	-200.67601	-3191.8252	-1739.0625	607.7076	-956.73236	-2758.0852	110.0	110.0	77549	-2270.8813	3188.4111	1265.5144	-35184.02	2232.6738	7835.315	366.86514353752136
48	-1194.7301	745.12756	-297.32742	-3502.5288	-1473.4269	825.99365	-299.64682	-2838.523	110.0	110.0	79199	-2319.7341	3292.4966	1307.3246	-36439.816	2280.7546	8170.578	374.6930019855499
49	-1622.6528	1062.7927	-429.08487	-4917.583	-928.57275	874.0511	-107.968445	-3279.6833	110.0	110.0	80849	-2351.5493	3394.148	1360.0519	-37131.668	2311.8792	8511.122	382.5156774520874
50	-1533.8309	1390.2035	-180.00882	-5681.7207	-1407.8896	1335.5254	-306.45364	-3788.11	110.0	110.0	82499	-2394.9714	3517.1868	1428.6793	-37659.09	2352.7378	9053.298	390.53378891944885
51	-1336.3184	1317.8711	-306.70007	-5849.8115	-1849.0586	1221.1512	-279.1091	-3889.409	110.0	110.0	84149	-2420.9937	3625.6838	1514.8022	-39992.535	2378.2246	9257.341	398.53766894340515
52	-1653.5394	1024.5247	-327.3977	-4279.5537	-1590.9286	1018.40936	-234.28476	-3549.348	110.0	110.0	85799	-2434.6355	3732.5635	1566.5223	-41551.953	2392.848	9670.625	406.3570351600647
53	-1145.7601	889.241	-219.76393	-3074.6772	-1681.1263	1161.8986	-264.8202	-4077.949	110.0	110.0	87449	-2460.9893	3849.548	1639.1191	-42789.137	2417.4133	10432.446	414.08709502220154
54	-1543.6503	2347.9307	-102.94482	-8968.086	-1896.0579	1265.8887	-357.20645	-4100.7827	110.0	110.0	89099	-2491.689	3998.153	1713.6901	-44980.68	2447.4636	10679.41	421.7276976108551
55	-2003.4418	1644.8462	-51.00589	-6229.846	-1582.3442	1400.907	-267.65878	-4529.8926	110.0	110.0	90749	-2514.934	4076.9067	1823.6346	-46575.25	2470.4507	11110.81	429.3586974143982
56	-1755.062	1397.0845	-389.17474	-4850.051	-1504.2084	721.6607	-384.74304	-2341.9163	110.0	110.0	92399	-2552.4995	4205.4136	1897.1862	-48036.797	2506.126	12196.977	437.4048261642456
57	-1113.0532	914.314	-270.90884	-3450.802	-1793.1211	1053.9514	-415.19775	-4380.2725	110.0	110.0	94049	-2594.203	4393.343	2010.7748	-49265.625	2548.1733	12838.044	445.4402527809143
58	-1093.8901	757.90796	-109.91927	-2467.7249	-1420.2574	714.75635	-526.4162	-2592.6064	110.0	110.0	95699	-2592.4314	4477.2905	2106.618	-51154.52	2544.0637	13398.236	453.06770873069763
59	-2384.5024	2168.0479	-362.74042	-9100.342	-1892.0414	1636.6521	-551.8157	-5867.2734	110.0	110.0	97349	-2607.0242	4621.7656	2164.0632	-53849.566	2557.3	13820.077	460.7859916687012
60	-2889.5483	2416.541	-610.34814	-9459.469	-1714.1324	1818.3129	-222.04669	-6463.1655	110.0	110.0	98999	-2645.6982	4757.873	2212.5837	-55196.54	2595.7903	14783.4	468.77722930908203
61	-2396.1445	1856.0896	-90.51004	-7726.5254	-1904.3894	1908.0981	-157.16077	-6871.1235	110.0	110.0	100649	-2698.897	4882.4062	2285.2312	-56259.363	2649.1624	15628.271	476.6141767501831
62	-1500.1515	1315.297	-285.9361	-4211.6484	-1045.8738	553.2322	-157.73328	-1861.9413	110.0	110.0	102299	-2745.0012	5031.9976	2415.6794	-60995.836	2692.766	16672.285	484.6290121078491
63	-2012.9519	1716.3284	-335.20898	-7201.1924	-1640.3776	1299.2415	-341.7904	-4304.272	110.0	110.0	103949	-2814.396	5216.8623	2476.7253	-62617.773	2759.0513	17823.654	492.3890006542206
