Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-6550.3896	1960.1614	-3080.7996	-9600.934	-5268.568	2378.379	-1547.4493	-9646.741	110.0	110.0	1649	-100.40666	58.250694	0.25451678	-320.8524	96.28407	1088.0444	5.694970369338989
2	-6737.555	1500.2091	-4252.2046	-9748.545	-5107.9316	2313.485	-476.37457	-8546.433	110.0	110.0	3299	-379.53732	167.32384	-65.76044	-1034.5625	369.705	1334.039	14.532868146896362
3	-6868.7905	1967.1992	-3936.4563	-10845.445	-2073.6582	1559.5734	-219.73701	-4769.746	110.0	110.0	4949	-729.5581	218.98932	-208.20042	-1620.9539	711.57166	2575.243	23.311060428619385
4	-7473.822	1850.798	-4265.1113	-11211.741	-2848.188	2420.4707	-538.13416	-8747.873	110.0	110.0	6599	-1012.06165	256.0152	-403.45682	-2071.973	985.0956	3136.8127	32.00931262969971
5	-6665.74	1832.6144	-2994.9763	-9521.556	-2752.4043	2440.4636	-206.61327	-7135.5015	110.0	110.0	8249	-1224.813	292.84198	-561.0523	-2349.1047	1188.7333	3405.4797	40.7471489906311
6	-7543.494	2001.0665	-4169.8574	-11546.192	-1328.5645	1049.8414	-146.3303	-3253.3667	110.0	110.0	9899	-1350.0286	299.83072	-635.8336	-2484.0657	1307.6191	3402.5293	49.45468735694885
7	-3006.359	2754.8933	-174.64157	-9613.749	-2583.3308	2363.7566	-503.44846	-8986.598	110.0	110.0	11549	-1435.328	309.01355	-684.22656	-2628.355	1394.4252	3049.18	58.671406269073486
8	-2614.7632	1517.7202	-646.6649	-6500.658	-1988.3955	1062.9877	-445.06454	-4357.3555	110.0	110.0	13199	-1493.1628	332.97394	-743.0712	-2878.618	1457.5781	2697.7605	67.86660552024841
9	-2651.2966	2198.2363	-325.00687	-9542.398	-1166.1144	812.69476	-333.09232	-2338.225	110.0	110.0	14849	-1560.8318	351.91147	-794.1507	-3084.3853	1528.7529	2443.3765	77.1092209815979
10	-2125.0298	1734.6257	-375.7068	-5481.2603	-4041.6829	3306.7344	-180.69751	-12543.3545	110.0	110.0	16499	-1625.1616	374.9986	-808.0755	-3323.0806	1596.1406	2283.8396	86.32596755027771
11	-1319.2794	929.92535	-145.77127	-3515.9705	-1729.9407	1232.074	-163.25525	-3294.8682	110.0	110.0	18149	-1668.0715	409.90955	-751.9916	-3502.672	1640.5524	2200.7078	95.5245373249054
12	-2350.7874	1363.4609	-775.1693	-5881.1196	-1360.6881	820.4198	-407.22278	-3312.8835	110.0	110.0	19799	-1707.0425	437.3448	-762.19385	-3643.7534	1680.5421	2171.0933	104.60633611679077
13	-1630.5343	738.73987	-468.79453	-3245.215	-1526.4119	1067.5446	-343.7323	-3939.936	110.0	110.0	21449	-1743.5725	469.09753	-763.66266	-3752.554	1718.0146	2212.4917	113.78032064437866
14	-1670.8531	1173.881	-107.43921	-5218.0244	-1862.2922	1535.9446	-472.10898	-5994.035	110.0	110.0	23099	-1763.3507	491.43408	-759.1919	-3831.7239	1738.4867	2253.0144	122.97576856613159
15	-1809.295	1628.4757	-263.428	-7039.72	-1900.9915	2637.8027	-100.44309	-9657.657	110.0	110.0	24749	-1767.2194	517.27765	-683.0565	-3921.1729	1743.063	2244.5105	132.20349550247192
16	-2366.177	1826.3557	-594.2788	-7770.6426	-2003.0375	1073.52	-234.30104	-3995.3457	110.0	110.0	26399	-1768.8973	542.25336	-639.3596	-4132.0986	1745.1608	2266.4915	141.45958876609802
17	-1788.9791	654.9896	-584.121	-2589.9106	-1540.6232	944.6128	-405.36014	-3258.288	110.0	110.0	28049	-1763.9106	564.5216	-616.2705	-4249.726	1741.0314	2279.1033	151.01490688323975
18	-1419.1716	1055.8434	-289.5296	-3563.092	-1960.6602	967.20044	-659.6082	-3536.458	110.0	110.0	29699	-1748.5675	577.61145	-600.4154	-4412.5635	1726.1497	2278.0972	160.46279382705688
19	-1856.9297	1156.7633	-104.75524	-4935.3774	-1356.849	792.24084	-128.72037	-2962.619	110.0	110.0	31349	-1719.0826	590.74023	-579.46265	-4482.072	1696.4266	2213.0925	169.61598086357117
20	-1617.6841	1065.3322	-206.46869	-3702.407	-1599.4939	1023.6443	-146.09251	-3388.9165	110.0	110.0	32999	-1691.0312	601.6242	-542.4013	-4549.1626	1668.777	2226.2974	178.75104808807373
21	-1987.7528	1456.9597	-201.20898	-4577.208	-1835.6064	1176.0541	-287.48074	-3812.6475	110.0	110.0	34649	-1657.3223	607.44073	-503.21646	-4684.3647	1635.3921	2206.1995	187.98203563690186
