Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-6595.131	2034.0452	-3408.9646	-11113.8	-7042.0376	2252.535	-3724.3064	-10534.045	110.0	110.0	1649	-102.49121	61.3719	0.2126843	-312.69437	100.02238	1074.7928	5.5839526653289795
2	-6699.0093	2057.1562	-1865.3864	-11004.983	-7138.026	2285.619	-3794.4253	-12145.113	110.0	110.0	3299	-366.2239	162.7543	-40.55563	-1058.7614	358.1028	936.79315	14.583211660385132
3	-7374.3047	2334.2734	-2755.343	-12360.551	-4123.848	4200.6396	-627.3732	-12347.654	110.0	110.0	4949	-713.2588	227.10013	-175.82906	-1634.756	694.8003	1872.3625	23.314768075942993
4	-6078.4897	2303.9312	-3047.0593	-11727.329	-4239.3867	2235.5068	-767.93823	-8615.417	110.0	110.0	6599	-1020.7362	279.10687	-317.0237	-1942.1259	994.42346	3071.2874	32.100162744522095
5	-6992.258	1590.7582	-4527.4146	-9496.129	-5215.163	3122.1848	-1248.8463	-10908.882	110.0	110.0	8249	-1251.0583	317.99478	-494.89542	-2228.0469	1218.726	3911.2437	40.9101345539093
6	-7577.7705	1252.6241	-5562.6562	-9647.147	-4474.455	3128.0713	-1159.2605	-10255.11	110.0	110.0	9899	-1433.8031	346.77835	-588.70325	-2676.1047	1396.5132	4475.2104	49.69195628166199
7	-2718.8618	1783.8472	-583.30457	-6282.954	-2931.967	2231.4822	-189.29912	-8280.207	110.0	110.0	11549	-1556.1691	387.98093	-642.93054	-3004.7937	1516.887	4250.667	58.94533562660217
8	-3022.5747	1763.7045	-1245.176	-7192.45	-1967.5603	1327.2909	-228.51581	-4268.6763	110.0	110.0	13199	-1589.0195	442.98123	-656.6415	-3246.4075	1551.0343	3712.891	68.17425656318665
9	-1950.103	1639.0444	-508.9599	-6500.068	-3169.7947	2188.9692	-1042.2052	-6878.9395	110.0	110.0	14849	-1601.8451	496.37915	-668.7833	-3482.9497	1566.0957	3320.531	77.4474241733551
10	-2594.9578	1643.1969	-441.69357	-5577.6377	-3585.7942	2955.141	-908.12286	-11247.418	110.0	110.0	16499	-1613.6832	545.3374	-646.58307	-3621.083	1580.4562	2930.9595	86.86097478866577
11	-2518.9653	1928.6335	-109.15563	-7238.7124	-2902.7708	2531.3147	-928.8348	-8910.305	110.0	110.0	18149	-1637.5284	577.66187	-624.3461	-3825.132	1606.0067	2685.6611	96.10474109649658
12	-1712.4204	1300.4325	-295.03055	-5038.0044	-4389.58	2583.1128	-107.47735	-7207.861	110.0	110.0	19799	-1654.2124	604.16455	-602.90735	-4015.5408	1624.194	2518.2463	105.36964201927185
13	-1938.3948	1371.1333	-461.8238	-5623.855	-2204.107	1346.9379	-277.90042	-4652.6323	110.0	110.0	21449	-1656.5106	632.38135	-597.42114	-4158.833	1627.9987	2393.528	114.58378148078918
14	-3568.691	2421.6736	-312.77927	-9146.349	-3150.9011	2952.3386	-337.8967	-10946.564	110.0	110.0	23099	-1670.5342	653.5476	-594.13666	-4288.426	1643.0492	2322.2952	123.93773293495178
15	-2913.028	2117.4092	-389.53992	-8227.999	-1491.5579	899.1753	-235.11601	-3437.448	110.0	110.0	24749	-1683.6373	670.4759	-607.67053	-4348.3833	1657.6898	2296.7144	133.23005938529968
16	-2151.7063	1081.7054	-559.62683	-4408.741	-3446.3972	2748.0815	-743.9797	-10074.905	110.0	110.0	26399	-1697.144	687.3553	-588.8562	-4383.453	1672.1631	2287.2249	142.5472755432129
17	-2276.1072	2057.3787	-664.212	-8903.54	-2451.4202	1820.7599	-756.5375	-7216.173	110.0	110.0	28049	-1700.384	700.2066	-562.30865	-4402.1045	1676.4844	2229.773	151.78051257133484
18	-2389.9065	1520.0161	-580.8834	-5284.721	-2072.1948	1435.9796	-706.74396	-5306.118	110.0	110.0	29699	-1707.3774	714.65125	-516.74347	-4433.542	1683.4929	2293.3186	161.15915417671204
19	-1550.0339	968.5679	-103.30022	-3160.3257	-2552.7717	1965.7743	-308.0771	-7399.978	110.0	110.0	31349	-1709.7418	724.2809	-474.8871	-4423.939	1685.8438	2191.1624	170.51168370246887
20	-2209.349	1808.0627	-428.01144	-7769.4336	-1755.9294	1232.7539	-625.85693	-4519.081	110.0	110.0	32999	-1686.9198	735.6469	-432.63736	-4398.6523	1663.5831	2123.7234	180.33097743988037
21	-2032.9368	1164.5626	-499.73135	-5479.875	-1649.1531	1040.9293	-349.03748	-3803.4521	110.0	110.0	34649	-1703.382	758.00745	-401.9626	-4923.262	1680.5621	2050.4019	189.7521948814392
22	-1868.016	1505.0331	-430.864	-5964.1353	-1762.5453	1322.2468	-444.9475	-4890.71	110.0	110.0	36299	-1692.064	766.8697	-345.42395	-4882.9736	1669.5991	2001.2509	199.01728081703186
23	-1962.9076	1165.1036	-481.74106	-4900.616	-2548.9097	1791.0077	-1174.7192	-6891.4346	110.0	110.0	37949	-1668.6954	770.4425	-327.99603	-4844.606	1646.3258	1957.1296	208.40167593955994
24	-2251.6697	1151.8395	-402.32684	-4616.845	-2367.981	1774.7655	-410.29272	-7009.433	110.0	110.0	39599	-1653.7466	778.5628	-276.28375	-4880.3477	1631.5697	1970.5721	217.68819332122803
25	-1842.1759	1363.0022	-521.87286	-5763.5757	-1718.4626	1230.8429	-338.9831	-4644.832	110.0	110.0	41249	-1633.8071	783.8043	-240.59142	-4887.6807	1611.8267	1967.7269	227.04854679107666
26	-1782.1305	1532.3424	-247.91124	-4515.0396	-2745.048	1694.3518	-637.24945	-5725.328	110.0	110.0	42899	-1592.6802	786.004	-203.66252	-4910.694	1570.7152	1946.498	236.3808126449585
27	-2297.4543	1458.5391	-386.31396	-6623.583	-1187.8712	620.04565	-454.0226	-2378.8909	110.0	110.0	44549	-1568.2223	785.4173	-169.23257	-4876.8535	1546.2515	1941.8154	245.73767280578613
28	-1534.2977	1389.8041	-126.78264	-5732.6274	-1410.9153	1529.6963	-90.818794	-5798.451	110.0	110.0	46199	-1536.428	779.7761	-126.56358	-4765.518	1514.4288	1909.2986	255.38850831985474
29	-2468.9104	1862.5248	-117.2365	-8219.018	-1862.6621	1052.9586	-320.62515	-3811.148	110.0	110.0	47849	-1501.8813	773.1096	-88.61238	-4680.6997	1479.8757	1899.2415	264.71939396858215
30	-2410.3125	1748.7294	-807.6283	-7225.016	-1845.4291	1130.02	-375.04044	-3857.3818	110.0	110.0	49499	-1472.1066	764.3209	-73.48465	-4604.303	1450.0415	1877.1752	274.0922152996063
31	-1636.3925	800.1294	-555.43286	-3027.002	-2038.9244	1261.0167	-245.1937	-4032.0369	110.0	110.0	51149	-1439.8206	755.3152	-33.57133	-4493.2305	1417.7255	1822.8547	283.40122294425964
32	-1391.1426	1313.5504	-328.99933	-5943.882	-851.9422	688.2747	-31.102812	-2143.8179	110.0	110.0	52799	-1403.8136	756.4061	11.732201	-4347.5713	1381.564	1813.8042	292.7211272716522
33	-1602.8774	778.11926	-363.28046	-2919.491	-1550.8799	1147.8027	-700.26276	-4075.873	110.0	110.0	54449	-1355.7487	756.8811	54.89396	-4216.911	1333.0793	1763.9794	302.10434770584106
34	-1813.6813	1993.4309	-245.1805	-8231.548	-1620.5228	1079.2823	-279.31808	-3915.518	110.0	110.0	56099	-1314.7925	760.677	89.410355	-4209.182	1292.2003	1754.2245	311.5018653869629
35	-2201.9258	1977.9114	-291.8605	-7880.855	-1487.7859	697.9941	-318.86392	-2884.834	110.0	110.0	57749	-1268.3564	761.1489	138.34128	-4168.1675	1245.3771	1714.2557	320.80822253227234
36	-1855.9929	1645.5586	-164.16292	-4930.2524	-1413.3927	680.22406	-218.80768	-2614.8154	110.0	110.0	59399	-1218.346	768.75	179.94748	-4069.9932	1195.5348	1686.7651	330.26313996315
37	-2071.4282	1486.5597	-241.59085	-5423.5996	-1152.8954	780.6213	-146.23825	-2419.7573	110.0	110.0	61049	-1178.9231	773.92535	217.31587	-4053.583	1156.7701	1684.5848	339.5923099517822
38	-1294.5658	741.7959	-156.78337	-2674.5618	-1577.64	1220.3638	-401.38104	-4000.0686	110.0	110.0	62699	-1132.8	774.9355	273.94156	-3972.9382	1109.9316	1689.8939	348.9705636501312
39	-1047.4138	652.1621	-190.98122	-2406.1235	-1111.2275	622.44977	-203.70158	-2483.1157	110.0	110.0	64349	-1085.3696	776.0435	308.18362	-3935.779	1063.291	1646.4052	358.3767354488373
40	-1476.7928	708.06165	-178.55028	-2702.3108	-1116.1082	623.7527	-358.6614	-2072.5598	110.0	110.0	65999	-1043.9994	784.8568	365.4274	-3939.203	1022.05444	1602.8456	367.91188859939575
41	-1030.2808	625.40796	-203.8138	-2432.9187	-1309.6113	591.1676	-191.05737	-2213.3547	110.0	110.0	67649	-993.82227	785.37836	417.4661	-3903.0151	972.01575	1582.2533	377.3404552936554
42	-2026.776	2028.6123	-211.67937	-8194.999	-1283.0463	541.0412	-602.4928	-2353.3452	110.0	110.0	69299	-953.74945	789.6716	459.26	-3902.1392	931.7036	1575.1082	386.7961645126343
43	-1194.3147	949.982	-264.91388	-4144.494	-1010.60156	503.017	-207.85068	-1653.5582	110.0	110.0	70949	-909.244	789.36237	526.87427	-3930.1584	886.31165	1608.1792	396.2374846935272
44	-1421.3638	841.847	-334.82605	-3586.7336	-1492.2172	1540.1079	-202.22226	-5448.5723	110.0	110.0	72599	-854.11743	790.83435	602.11206	-3908.6804	830.74524	1592.443	405.7335240840912
45	-1234.506	656.8121	-340.70654	-2783.098	-1275.7668	853.1052	-400.04047	-3595.4114	110.0	110.0	74249	-798.4098	784.9049	671.4095	-3932.998	774.6	1607.9591	415.26740884780884
46	-933.75616	566.8217	-56.69623	-2390.0415	-1508.8602	739.653	-649.8184	-3264.9448	110.0	110.0	75899	-744.162	775.1057	723.6429	-3933.6353	720.536	1613.7758	424.68881583213806
47	-1353.9875	967.79297	-177.82439	-3739.0356	-1675.9078	922.76794	-203.93289	-3060.085	110.0	110.0	77549	-682.7125	769.7269	783.9599	-3923.4705	659.0224	1607.8556	434.2797245979309
48	-1779.1122	1369.7859	-273.92346	-5183.8916	-1175.8221	698.0985	-392.32092	-2320.3462	110.0	110.0	79199	-627.08923	763.80585	818.4684	-3862.4219	603.71423	1611.0548	443.8029692173004
49	-1124.6272	610.93524	-179.61871	-2586.7297	-1312.1511	1061.0295	-494.71872	-4019.327	110.0	110.0	80849	-572.3684	760.8703	845.28687	-3861.4036	549.0914	1570.1512	453.3129529953003
50	-1805.5306	1396.5856	-337.4723	-5682.8657	-1402.4597	1306.6033	-227.53145	-4680.5894	110.0	110.0	82499	-525.549	755.6518	877.3174	-3787.3335	502.278	1556.57	462.79516434669495
51	-1124.914	669.253	-458.32892	-2696.0671	-906.8083	500.19492	-110.469795	-1905.7871	110.0	110.0	84149	-469.79327	757.105	922.9887	-3795.012	445.63757	1520.5963	472.3610553741455
52	-892.02893	457.82355	-239.26257	-1630.7516	-1811.7275	1560.2147	-260.2667	-5534.6064	110.0	110.0	85799	-404.27148	754.0806	947.98535	-3695.4666	379.7725	1510.3815	481.9776747226715
53	-1014.46014	576.10815	-319.89474	-2216.8137	-1019.2282	474.94943	-141.2755	-1785.7454	110.0	110.0	87449	-337.89127	751.4097	990.1986	-3655.387	313.839	1479.6505	492.16497683525085
54	-1531.1073	1175.2986	-284.5436	-5023.512	-1296.0271	701.20593	-282.84946	-2719.107	110.0	110.0	89099	-275.87067	743.47943	1038.8146	-3630.5596	251.27121	1478.5874	501.8409321308136
55	-842.33	554.35974	-138.27687	-1991.953	-1464.3491	1390.1208	-198.99251	-5352.96	110.0	110.0	90749	-210.84909	734.74304	1109.0729	-3554.535	185.7259	1493.0779	511.43294072151184
56	-1297.5295	713.718	-352.01038	-2772.5825	-643.5868	290.57172	-67.43707	-971.4559	110.0	110.0	92399	-141.43912	728.9053	1165.4993	-3540.8308	116.58377	1457.5764	521.0293099880219
