Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-7565.845	2134.352	-4299.138	-11508.017	-5581.804	2224.575	-1906.2548	-10445.544	110.0	110.0	1649	-113.483986	62.86529	1.0790739	-366.2007	107.59751	1262.0267	5.50299859046936
2	-7608.6265	1889.5574	-4233.62	-10750.975	-3634.8562	2029.6807	-855.37695	-7276.3867	110.0	110.0	3299	-412.06943	175.63731	-72.11794	-1237.1936	400.90015	1209.0989	14.128546953201294
3	-6944.009	1549.9844	-4628.1484	-9977.463	-3267.4878	1304.67	-1565.9849	-6036.3623	110.0	110.0	4949	-841.1402	254.96756	-245.7757	-1950.3706	828.0229	2600.2852	22.808136701583862
4	-7373.9736	1719.9639	-4677.019	-9923.162	-3564.4707	3118.3474	-151.23769	-11286.131	110.0	110.0	6599	-1244.2506	320.38226	-506.4454	-2721.5063	1220.9644	3926.38	31.459477186203003
5	-7665.821	1999.8627	-4274.02	-10515.744	-3319.7007	2728.5068	-88.53165	-9389.82	110.0	110.0	8249	-1548.1973	378.60092	-654.586	-2991.3037	1513.617	4625.082	40.228780031204224
6	-8443.714	2005.9595	-5359.4263	-12125.259	-3217.944	2352.9336	-917.4988	-9345.3955	110.0	110.0	9899	-1756.7618	414.98593	-817.71643	-3335.2034	1714.6829	4446.207	48.97144889831543
7	-3784.6953	2616.7256	-578.5724	-9667.518	-3136.2878	1561.4696	-930.1137	-5133.1357	110.0	110.0	11549	-1896.673	461.59985	-897.53094	-3754.0562	1854.584	4050.3535	58.28572058677673
8	-3080.6936	1911.8594	-509.28683	-7415.8184	-2762.2805	1799.629	-452.35483	-6471.7197	110.0	110.0	13199	-1991.7062	531.9782	-985.7581	-4285.7856	1953.1112	3601.7178	67.43685054779053
9	-2875.6892	1693.8136	-415.84116	-6201.1016	-3192.1611	1294.2294	-898.7784	-5097.7163	110.0	110.0	14849	-2083.2065	609.3799	-1023.95575	-4866.3613	2047.62	3347.5286	76.62775325775146
10	-2879.676	2056.3965	-115.09019	-6434.605	-2558.6926	1625.0077	-471.09103	-5731.271	110.0	110.0	16499	-2180.0996	695.42395	-1007.287	-5449.2534	2146.282	3383.8494	85.82598519325256
11	-2251.6611	1305.7417	-616.19946	-4699.469	-2586.932	1028.349	-1184.6768	-4183.249	110.0	110.0	18149	-2257.3982	770.487	-1030.1095	-6009.308	2225.053	3265.7961	94.97807598114014
12	-1683.9586	1303.0172	-218.6651	-5262.98	-3029.7925	1292.1549	-1162.1615	-5285.7124	110.0	110.0	19799	-2307.391	839.7545	-974.60065	-6659.443	2275.4722	3309.7358	104.15534973144531
13	-1393.3159	934.48816	-269.59116	-4203.11	-1762.0043	1025.1952	-483.49503	-3437.0945	110.0	110.0	21449	-2332.454	912.00885	-915.0128	-7268.709	2301.2075	3307.1013	113.43571996688843
14	-2535.6292	1355.3369	-67.317154	-5677.3784	-1335.7908	1193.2454	-259.42026	-4378.5317	110.0	110.0	23099	-2362.7317	994.41644	-879.05725	-7937.1606	2332.14	3248.018	122.5463240146637
15	-1891.2047	1246.3749	-333.2372	-4796.7544	-2002.1078	1156.9497	-254.52048	-3460.7205	110.0	110.0	24749	-2386.1777	1059.3423	-821.40533	-8557.546	2356.4695	3246.7231	131.64729762077332
16	-2614.777	1427.4181	-179.92157	-4764.869	-1757.9056	1481.4752	-240.59218	-5588.918	110.0	110.0	26399	-2412.2	1146.8634	-758.8441	-9273.494	2382.8967	3286.4788	140.77567958831787
17	-2279.9775	1344.1934	-170.47278	-4496.705	-2344.1978	1442.0897	-478.12973	-4773.4375	110.0	110.0	28049	-2462.972	1215.7444	-679.41907	-9857.316	2434.5188	3330.6233	149.9552881717682
18	-1952.7058	1253.8848	-478.911	-5184.2695	-2129.4873	2030.7023	-274.2623	-6098.2686	110.0	110.0	29699	-2499.2158	1283.2031	-632.14856	-10563.157	2471.0874	3376.8767	159.816415309906
19	-1891.8055	1205.5768	-398.58295	-4360.7344	-1882.9861	1596.8086	-284.0224	-4795.0283	110.0	110.0	31349	-2524.299	1354.5635	-580.66705	-11114.918	2496.6792	3408.1533	170.158132314682
20	-1563.5165	1286.6935	-108.9492	-4481.2563	-1793.6373	1143.7955	-506.83597	-4551.3867	110.0	110.0	32999	-2551.4817	1440.7952	-528.00635	-11724.166	2523.4111	3438.6482	179.49388360977173
21	-1849.8865	1170.8209	-349.91687	-3939.3538	-1247.2068	834.31744	-157.23761	-2394.8884	110.0	110.0	34649	-2564.2314	1531.8881	-475.07126	-12297.463	2536.4746	3473.4714	188.63313126564026
22	-2255.7712	1583.3888	-613.4919	-6952.6836	-1554.5848	1017.5377	-393.9587	-3519.455	110.0	110.0	36299	-2588.8484	1617.2191	-421.38947	-12878.008	2560.3264	3592.711	197.74980688095093
23	-2467.1846	1339.1727	-701.13885	-5369.4575	-1501.0067	442.68234	-662.1858	-2047.8732	110.0	110.0	37949	-2609.0842	1686.2487	-354.557	-13438.599	2580.778	3622.7395	206.87264490127563
