Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-7121.279	1843.9374	-4027.3003	-11037.559	-8682.076	3645.0637	-2382.5183	-12489.701	110.0	110.0	1649	-108.49852	63.025257	0.19820066	-338.98178	105.9376	1106.2876	5.460452556610107
2	-7468.4307	2368.905	-3315.2207	-11303.946	-5645.322	3409.9597	-685.5552	-10962.034	110.0	110.0	3299	-402.24692	166.778	-61.705547	-1108.4161	392.06927	1107.5276	14.091109275817871
3	-8120.1206	1983.9615	-4979.543	-11368.294	-3222.149	1420.2062	-458.72614	-5948.8066	110.0	110.0	4949	-806.91345	249.70059	-206.56512	-1845.7395	791.5833	2033.9076	22.833081007003784
4	-7211.619	2296.4973	-1998.5134	-10604.773	-3527.5337	1298.1656	-744.83685	-5614.838	110.0	110.0	6599	-1173.8909	322.25293	-459.4827	-2443.68	1150.444	2794.2546	31.61644744873047
5	-6792.6064	1539.9167	-4410.3193	-9384.18	-2549.4116	1242.5526	-444.5221	-4706.451	110.0	110.0	8249	-1479.9424	399.30356	-543.11365	-3259.649	1447.297	3459.7505	40.37520718574524
6	-6515.9585	1915.214	-3371.4824	-11587.545	-3277.603	1541.4019	-948.765	-5055.135	110.0	110.0	9899	-1666.319	446.1749	-574.5425	-3543.5923	1627.8541	3759.6648	49.169509410858154
7	-2643.926	1614.7072	-162.0435	-6283.297	-1432.2278	896.6412	-119.338234	-2969.6365	110.0	110.0	11549	-1766.2134	481.6796	-688.9525	-3882.5	1727.0264	3688.1353	58.382080078125
8	-2022.9501	1713.7347	-163.38872	-6274.8843	-2930.484	2719.977	-289.18582	-9402.211	110.0	110.0	13199	-1792.8562	536.98047	-647.93097	-4207.062	1756.3223	3287.4797	67.60829758644104
9	-1944.275	1392.298	-199.99084	-5367.2515	-1631.6538	837.0491	-449.77625	-3077.1094	110.0	110.0	14849	-1830.7733	574.51495	-618.37616	-4473.3564	1796.6733	3041.671	76.86491298675537
10	-1517.927	1039.211	-136.95485	-3414.2986	-2404.4229	1054.0942	-968.4089	-4454.44	110.0	110.0	16499	-1853.7307	603.5226	-615.07733	-4668.032	1821.7058	2884.8855	86.1358118057251
11	-1038.4703	651.9873	-81.25919	-2071.7068	-1059.9666	1129.6976	-141.08498	-4279.3154	110.0	110.0	18149	-1846.7407	640.4805	-632.6747	-4917.8745	1816.35	2765.2183	95.29573845863342
12	-1763.7601	1668.0604	-185.67088	-5335.9473	-1558.7166	1237.4475	-197.59528	-4674.4004	110.0	110.0	19799	-1838.534	668.29834	-637.7058	-5131.9243	1809.1377	2662.994	104.41612434387207
13	-2079.9744	1267.0818	-347.1007	-4466.011	-1299.1317	641.6573	-383.18304	-2301.0984	110.0	110.0	21449	-1811.1261	688.853	-588.91095	-5220.7075	1782.65	2578.2576	113.53803634643555
14	-2117.221	1541.9833	-587.1837	-6490.3174	-1674.5833	1119.2339	-202.66	-3364.4944	110.0	110.0	23099	-1783.9479	704.75793	-543.2735	-5387.708	1756.04	2516.82	122.77095174789429
15	-2070.7507	1606.8953	-377.8735	-5484.487	-1556.4124	1376.367	-46.498356	-4211.1206	110.0	110.0	24749	-1765.8556	721.3139	-477.31	-5490.5625	1738.5514	2498.33	131.9467875957489
16	-1946.8314	1274.5006	-300.58334	-4583.7686	-1492.3867	1008.0307	-85.05465	-3231.8398	110.0	110.0	26399	-1746.5819	738.74475	-413.65125	-5575.4424	1719.6866	2382.221	141.45806050300598
17	-1366.5675	1354.2925	-214.2374	-5182.576	-926.7472	1010.1729	-112.696365	-3642.4294	110.0	110.0	28049	-1708.9994	756.59644	-360.74524	-5689.3735	1682.8303	2314.7722	150.5672001838684
18	-1447.2223	1326.1893	-399.26312	-4714.5034	-1417.4635	1044.9093	-115.06758	-3451.2737	110.0	110.0	29699	-1654.1091	782.0679	-306.65314	-5833.9404	1627.8647	2244.4739	159.7051465511322
19	-962.67	530.4553	-156.1388	-2075.6443	-942.81757	519.3308	-94.559875	-1795.3815	110.0	110.0	31349	-1598.5986	803.8731	-251.25221	-5889.2617	1572.9188	2212.6492	168.9287769794464
