Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-7478.1475	1524.1313	-3820.007	-9623.587	-6583.0234	1527.4235	-4168.696	-8864.396	110.0	110.0	1649	-118.72135	64.606804	0.23859312	-340.50912	115.89347	1200.4012	5.413642644882202
2	-7376.506	2184.6865	-3925.6519	-11353.379	-3472.2695	1994.5356	-750.81476	-7093.723	110.0	110.0	3299	-437.32242	179.45308	-77.40809	-1279.1218	431.21692	1109.7169	14.2344970703125
3	-7413.3223	2801.7937	-4167.767	-12311.638	-3870.933	2163.593	-140.32693	-7311.959	110.0	110.0	4949	-878.0132	245.30788	-271.485	-1792.7969	866.07086	2591.215	22.970378160476685
4	-5955.3853	2513.0366	-1114.4591	-10965.669	-1529.6818	1623.8292	-104.613396	-6091.4224	110.0	110.0	6599	-1263.2052	299.81763	-449.6347	-2277.853	1246.7948	3552.6382	31.88963747024536
5	-7278.9634	2266.2122	-2096.2395	-11365.96	-2667.6304	2258.481	-143.71136	-7622.708	110.0	110.0	8249	-1555.3379	341.52188	-607.0593	-2715.0217	1529.8665	4101.7783	40.758458614349365
6	-6841.8	2464.0386	-3275.384	-13969.872	-2062.8953	1311.1768	-1025.5587	-5769.4966	110.0	110.0	9899	-1754.3527	393.6202	-723.6048	-3137.5244	1720.0278	4388.7666	49.73279404640198
7	-2740.6267	1510.5428	-1100.7479	-6149.975	-2019.8099	2072.2566	-321.40353	-7701.883	110.0	110.0	11549	-1861.018	459.45996	-787.3234	-3431.0234	1822.81	4487.117	59.16295027732849
8	-2469.326	1655.2748	-156.80354	-5648.2227	-1696.5212	1356.0142	-485.707	-5351.808	110.0	110.0	13199	-1919.3406	527.9696	-792.6669	-3807.869	1881.8732	4222.2505	68.345694065094
9	-2414.0554	2056.7673	-397.96323	-9179.081	-1831.3469	1287.0687	-338.45065	-4336.391	110.0	110.0	14849	-1948.1318	583.9932	-792.1917	-4176.458	1912.5715	4046.392	77.6721727848053
10	-1358.5044	790.11224	-57.014668	-2690.1575	-1659.9125	1000.33344	-381.8309	-3717.778	110.0	110.0	16499	-1961.5197	642.0244	-799.18365	-4577.778	1928.0063	3868.2979	86.86758828163147
11	-2013.6149	1679.8457	-484.26495	-7538.61	-1778.5579	1767.0057	-82.06451	-6556.5435	110.0	110.0	18149	-1973.9886	694.36444	-786.10333	-4955.6157	1942.0012	3689.078	96.00312280654907
12	-1704.8961	1599.0829	-286.02017	-7066.796	-1518.8289	606.313	-329.7723	-2141.5767	110.0	110.0	19799	-1984.224	746.2757	-738.7689	-5346.3594	1953.3763	3620.1453	105.0976812839508
