Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-26876.469	2506.172	-23599.25	-31350.754	-31850.902	14903.331	-9658.283	-67290.41	400.0	400.0	5999	-737.5145	488.67822	4.3072557	-2825.0889	-737.67426	488.67557	1.9077843	-2813.8022	17.330948	22.04126	163.52412	-10.944401	726.0392	4119.547	36.1416916847229
2	-20673.756	11251.639	-1538.6016	-35050.805	-13764.217	9567.003	-2378.599	-33222.91	400.0	400.0	11999	-1559.2483	530.73376	-275.29657	-3768.7256	-1559.2816	530.6123	-277.8154	-3757.3987	7.12189	10.078256	151.14532	-10.17402	1525.6504	7640.6494	78.9581949710846
3	-14510.34	10056.41	-1816.9298	-29372.13	-6470.3726	4540.002	-861.8028	-13270.046	400.0	400.0	17999	-1798.3616	548.87134	-645.76587	-3896.4832	-1798.4331	548.4852	-671.06055	-3905.6055	4.602105	3.0280836	29.862091	-11.974638	1770.9634	6744.9893	120.85796904563904
4	-14436.319	11174.194	-2429.3628	-46149.793	-16838.807	11404.428	-4541.0938	-37862.957	400.0	400.0	23999	-2105.83	465.72357	-981.603	-3957.7683	-2105.9453	464.79645	-981.1928	-3961.5076	3.6282237	2.335912	27.748285	-9.433268	2085.3704	5140.3467	165.52706742286682
5	-14139.076	9555.79	-889.22	-32271.895	-2998.464	2352.2087	-700.18915	-8930.5	400.0	400.0	29999	-2283.9382	473.71494	-1250.2184	-4281.9434	-2284.053	472.70386	-1247.9542	-4275.833	3.8194234	2.2200963	24.915892	-9.054712	2260.248	4653.111	210.2653727531433
6	-6121.247	3662.7822	-1365.0885	-13016.523	-3211.9531	2365.3801	-567.16547	-9288.704	400.0	400.0	35999	-2221.69	549.2592	-1054.6561	-4364.6157	-2221.815	548.43915	-1058.2461	-4348.018	3.8715954	2.1166286	25.333977	-9.402999	2197.243	3639.8652	254.66007137298584
7	-5828.6973	4259.6934	-1246.525	-16890.71	-5018.97	5062.035	-518.21045	-13960.28	400.0	400.0	41999	-2058.898	565.27563	-828.3192	-4337.687	-2059.0134	564.6871	-863.35156	-4317.5767	3.9560626	2.162311	24.939133	-12.588498	2033.9293	3106.259	298.0299873352051
8	-3560.6975	1698.8683	-1299.661	-7185.947	-3041.34	1836.1699	-714.382	-6204.015	400.0	400.0	47999	-1816.7334	567.27704	-610.1684	-4091.5664	-1816.7874	567.01135	-620.93176	-4062.3809	3.9608004	2.2069259	23.764515	-7.8137665	1793.1183	2731.1294	343.037193775177
9	-3481.2896	1429.2975	-1649.0912	-5824.39	-3242.395	2172.5713	-770.9512	-7518.37	400.0	400.0	53999	-1586.9988	554.3453	-382.8054	-3899.1487	-1587.0151	554.3204	-381.6757	-3901.054	3.917192	2.1513872	31.176693	-9.360478	1564.679	2441.5164	386.36938762664795
10	-3263.3518	2192.281	-1255.7893	-8723.235	-3607.0657	2008.27	-1415.7715	-8084.679	400.0	400.0	59999	-1390.3402	548.2792	-158.29285	-3757.34	-1390.3365	548.3683	-155.84146	-3725.3367	3.8228183	2.0155258	31.196926	-9.044881	1370.1869	2167.5923	430.9462354183197
11	-2414.27	1579.2395	-686.7361	-6494.7656	-3402.7554	2584.4802	-569.8269	-8512.06	400.0	400.0	65999	-1239.9956	563.6012	-23.972675	-3667.205	-1240.0045	563.6373	-23.961266	-3617.5247	3.799009	1.9668559	25.755125	-11.572633	1221.3339	1964.1863	475.8688406944275
12	-3971.6453	2461.069	-562.8492	-8875.591	-3502.0059	3017.3782	-282.5744	-10252.689	400.0	400.0	71999	-1113.5618	570.28296	30.063885	-3681.2083	-1113.6233	570.20447	26.821346	-3646.8816	3.7234263	1.8024925	29.38078	-8.862985	1096.145	1830.6785	518.1189479827881
13	-2477.989	1617.8793	-578.2105	-6011.955	-2361.6218	1665.1418	-348.8822	-5562.7637	400.0	400.0	77999	-996.7302	572.7326	83.28328	-3638.8516	-996.83606	572.4091	79.877686	-3600.9563	3.7354488	1.8575277	27.704487	-9.757107	979.10956	1806.682	562.0312488079071
14	-2574.8542	1523.5599	-550.6882	-6094.6943	-3687.2441	2410.6594	-902.16925	-7210.38	400.0	400.0	83999	-876.40674	559.7109	127.64337	-3482.6067	-876.49945	559.28546	127.3386	-3466.8164	3.7060242	1.8780328	22.538948	-9.382184	859.3876	1770.2451	607.1482853889465
15	-2929.9675	1387.5342	-1060.802	-4927.5796	-2647.815	3099.697	-398.06332	-11377.508	400.0	400.0	89999	-777.32635	539.96295	153.1823	-3352.5503	-777.4127	539.4301	154.42134	-3323.2437	3.7487817	1.914021	21.868505	-10.005004	760.67236	1759.1125	650.3383319377899
16	-2148.6013	648.74646	-1212.6339	-3207.4478	-2792.417	1556.1895	-580.44946	-5370.4785	400.0	400.0	95999	-678.3267	501.66617	190.38977	-3237.7566	-678.39453	501.1566	200.70749	-3228.809	3.7472441	1.9385414	29.154268	-9.386588	662.10535	1667.0739	694.4971420764923
17	-2905.987	2497.5054	-361.26944	-8712.522	-2746.359	1564.5764	-491.9995	-5745.1064	400.0	400.0	101999	-617.69446	473.50003	192.43454	-3037.4204	-617.7245	473.02682	202.82385	-3055.5488	3.6857316	1.883449	28.026028	-10.611029	602.76044	1547.2711	738.2851710319519
18	-2390.1013	1490.6971	-734.84406	-6559.779	-3135.2363	2238.594	-423.86224	-7468.7554	400.0	400.0	107999	-563.2575	442.90567	171.14432	-2980.0938	-563.2677	442.42557	175.92644	-3000.7388	3.6497471	1.8423972	28.527832	-10.238909	549.06177	1508.503	780.7411642074585
19	-2523.297	1589.5621	-1028.3347	-6557.3906	-3118.815	2975.0251	-104.98448	-10564.959	400.0	400.0	113999	-524.5653	409.71512	151.2131	-2865.324	-524.577	409.23462	152.9182	-2888.328	3.6743963	1.8377054	24.188065	-9.156051	510.8619	1424.4813	823.7711756229401
20	-2467.7537	865.47015	-870.47046	-3652.3848	-3423.811	2088.5925	-1260.9945	-7795.4087	400.0	400.0	119999	-504.2815	382.90582	201.52142	-2856.2312	-504.2927	382.45306	180.44003	-2898.5227	3.6028996	1.8402193	25.12224	-11.446973	491.36746	1318.7645	866.7684247493744
21	-2233.5015	1440.948	-219.67749	-5284.976	-2655.3364	1730.5505	-482.71686	-6983.48	400.0	400.0	125999	-485.73712	361.78952	124.826	-2734.452	-485.75183	361.3579	105.44962	-2751.4126	3.600467	1.7893549	28.497866	-11.577794	473.21017	1251.8717	909.1744139194489
22	-1924.7031	1015.1066	-508.87302	-3851.9226	-1710.9377	920.37665	-490.18375	-3420.3638	400.0	400.0	131999	-473.61337	346.02386	126.727234	-2598.5295	-473.62692	345.63925	107.29535	-2624.205	3.5436862	1.7596425	33.00315	-11.551474	461.44916	1219.436	962.6791067123413
23	-2556.612	1247.6544	-866.77765	-5197.609	-3006.5469	1707.1162	-741.1307	-5827.0522	400.0	400.0	137999	-470.66507	325.47363	140.82935	-2481.4272	-470.6767	325.09915	133.42924	-2505.1694	3.5173562	1.7426176	22.338625	-10.962425	459.0485	1155.5139	1005.3164808750153
24	-2302.1453	1213.8237	-815.9686	-6218.33	-4127.1226	2546.594	-914.6249	-8774.357	400.0	400.0	143999	-466.20175	311.84473	140.91835	-2359.2488	-466.21884	311.5304	130.03061	-2410.1545	3.482057	1.7449793	26.695305	-12.42626	454.98965	1081.791	1047.3786702156067
25	-2077.2212	1549.2269	-504.49496	-6338.659	-2631.0806	1246.3243	-706.0079	-4697.0396	400.0	400.0	149999	-460.59894	303.84622	129.01111	-2309.492	-460.62247	303.5245	123.34991	-2366.6152	3.4466643	1.7274501	29.576023	-8.174474	449.71136	1054.5197	1090.8436431884766
26	-1814.7515	809.584	-658.43317	-3672.5256	-2799.8494	2117.1892	-885.6623	-7739.1797	400.0	400.0	155999	-459.79868	305.39432	134.78146	-2328.4873	-459.8225	305.025	122.16681	-2410.3022	3.4163997	1.6859381	21.751907	-10.808097	449.46567	1009.131	1134.9031846523285
27	-1630.7858	809.09344	-801.68524	-3909.394	-2452.35	2330.6538	-498.23886	-8035.2354	400.0	400.0	161999	-449.40753	305.85565	144.227	-2331.7886	-449.4246	305.56635	137.58974	-2378.626	3.4385831	1.6812805	26.769308	-11.462162	438.7749	979.6083	1176.7002460956573
28	-1982.1934	691.3304	-725.34546	-3081.5981	-1441.6658	517.1393	-736.1417	-2389.0703	400.0	400.0	167999	-434.94974	298.1207	149.50891	-2285.5405	-434.96875	297.81232	148.54376	-2301.4048	3.3776078	1.6933637	27.383923	-9.127027	424.64883	956.2425	1220.7728741168976
29	-1575.4634	866.60016	-539.6819	-3559.823	-2552.479	2065.4404	-489.54343	-6116.9214	400.0	400.0	173999	-418.44974	296.1876	186.98634	-2283.5354	-418.4682	295.91483	189.03981	-2262.5403	3.400167	1.7415625	25.286743	-11.802706	407.70242	979.18036	1264.7492220401764
30	-2069.0671	1333.1226	-626.8926	-4609.3857	-2694.5396	2194.7944	-565.94135	-6724.8765	400.0	400.0	179999	-403.4464	292.49698	205.84962	-2631.0269	-403.46	292.23004	203.65413	-2613.4182	3.3723276	1.7081335	25.908546	-9.641451	393.48276	965.642	1309.656849861145
31	-1641.043	1022.27094	-532.13446	-3939.8015	-1640.3523	361.40134	-1192.3872	-2400.637	400.0	400.0	185999	-395.465	294.1145	193.75565	-2665.6055	-395.4775	293.8627	187.75246	-2625.7522	3.3541098	1.7348613	26.701664	-9.514378	385.62317	951.2876	1352.787026166916
32	-2576.8022	1282.1254	-1252.4418	-5522.294	-2329.9146	1106.1938	-158.51222	-3491.5586	400.0	400.0	191999	-388.9127	301.6784	177.15	-2365.9294	-388.92508	301.41553	185.62221	-2355.7397	3.3751032	1.6851878	24.416754	-8.589342	379.23242	925.48267	1394.6073484420776
33	-2086.2522	676.49384	-1209.0245	-3584.3115	-2104.927	1274.921	-489.6701	-4293.429	400.0	400.0	197999	-384.20447	303.7354	157.32834	-2645.24	-384.20917	303.49734	170.03288	-2612.2073	3.3795426	1.6457931	32.45562	-10.378775	374.95358	913.2535	1436.8600556850433
34	-2287.1433	2536.8857	-399.69266	-10081.34	-1637.0189	975.2339	-363.67123	-3336.6162	400.0	400.0	203999	-382.7035	300.90756	167.2226	-2690.0571	-382.71564	300.66736	172.26897	-2684.8235	3.386192	1.5993527	27.314882	-11.494879	373.6786	867.31384	1481.681612253189
35	-2273.999	1626.1129	-690.56805	-7051.6577	-1342.0228	1095.0569	-196.12476	-4047.8862	400.0	400.0	209999	-384.28918	295.03967	184.2645	-2548.1912	-384.2951	294.7965	185.72668	-2536.2786	3.356997	1.5835538	24.2433	-9.621915	375.7435	830.60645	1523.2387218475342
36	-1924.1238	1272.1074	-562.28467	-5290.202	-1991.7203	1490.9825	-365.58832	-5970.2866	400.0	400.0	215999	-389.53412	286.6152	197.76271	-2429.8018	-389.53534	286.32904	210.83295	-2402.252	3.377762	1.5821141	26.81682	-9.032972	381.34668	810.6928	1567.2310154438019
