Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-24292.6	3439.953	-19987.883	-30377.18	-23882.688	13869.354	-6337.281	-51242.53	400.0	400.0	5999	-600.2189	389.5564	2.5003982	-2104.9846	-600.24133	389.58023	1.7926284	-2103.4873	2.7687085	1.7316017	24.860786	-11.172376	586.03766	3189.832	42.13442134857178
2	-20338.666	6377.704	-3790.0767	-27407.729	-12046.023	7833.697	-1377.7714	-32158.832	400.0	400.0	11999	-1820.0773	661.86304	-311.03366	-4632.1436	-1819.9866	662.04584	-308.52386	-4626.569	4.9043517	3.314465	29.156843	-10.656692	1797.9261	10624.183	84.58605170249939
3	-12587.793	8649.741	-2553.015	-31543.43	-10142.829	7784.66	-3220.1826	-26512.227	400.0	400.0	17999	-2823.3962	813.05383	-728.77747	-6204.4907	-2823.3584	812.99115	-721.3207	-6209.7017	5.125345	3.6331177	28.609066	-11.144923	2798.8127	12094.203	129.14387106895447
4	-8145.1553	5648.3154	-1139.6127	-20970.488	-7673.4326	3962.3584	-700.38904	-15390.538	400.0	400.0	23999	-3485.9756	928.9492	-1083.8124	-7086.432	-3485.9639	928.76776	-1089.8119	-7090.7915	4.7993164	3.5596538	29.883724	-10.094191	3461.5193	8840.911	172.67893958091736
5	-9852.315	5389.587	-2110.94	-21289.307	-7148.3877	7305.0034	-1285.7375	-25230.85	400.0	400.0	29999	-4034.891	1016.83057	-1479.4816	-8202.11	-4034.9392	1016.51013	-1482.7688	-8216.352	4.441654	3.2872796	28.008894	-9.137364	4012.4827	6590.9653	219.65181732177734
6	-5813.3003	4124.332	-634.3737	-15193.981	-9537.955	5252.951	-3773.6755	-20661.947	400.0	400.0	35999	-4441.692	1130.905	-1810.4788	-9110.99	-4441.7993	1130.4319	-1814.3333	-9136.3125	4.1991525	3.271324	48.428314	-9.677963	4422.8203	5155.2065	266.8796000480652
7	-6960.45	5179.7485	-875.2275	-22090.973	-8669.436	4858.18	-1189.7999	-19001.965	400.0	400.0	41999	-4851.46	1296.4647	-1899.9005	-10183.722	-4851.5767	1295.98	-1895.2144	-10170.368	4.179438	3.4790492	37.545143	-9.392204	4834.784	4617.8745	311.4196527004242
8	-5671.2397	3169.2278	-1486.3495	-10963.955	-6984.819	3792.929	-2629.1807	-14206.795	400.0	400.0	47999	-5283.597	1465.1888	-2013.7184	-11077.631	-5283.706	1464.7141	-2014.308	-11082.78	4.1594214	3.447234	37.116142	-9.817265	5267.0264	4581.641	354.4118278026581
9	-8320.788	6188.5215	-527.77496	-24508.002	-10956.712	8603.052	-1379.1843	-32070.254	400.0	400.0	53999	-5687.3096	1592.3605	-2217.7683	-11848.858	-5687.405	1591.913	-2217.755	-11845.137	4.0770025	3.369517	48.93479	-10.072091	5671.102	4639.294	398.63640904426575
10	-8526.536	5449.4453	-1013.4874	-19269.375	-4060.5618	2894.534	-297.52478	-10027.275	400.0	400.0	59999	-6089.946	1692.6635	-2435.4932	-12578.35	-6090.027	1692.2686	-2436.6584	-12567.742	4.034088	3.2209923	35.886627	-9.634612	6073.7695	4881.429	441.39978313446045
11	-5069.683	4291.5757	-313.6246	-13863.603	-6522.5723	2338.1875	-2641.5376	-9804.41	400.0	400.0	65999	-6429.1274	1746.5887	-2652.844	-13179.821	-6429.188	1746.2528	-2662.2563	-13163.627	3.9705412	3.1428225	45.957764	-13.493741	6413.7065	4976.4478	486.8781723976135
12	-5777.837	3798.1265	-1082.9939	-14571.46	-3514.9688	2317.5498	-544.9041	-7911.793	400.0	400.0	71999	-6730.249	1822.3604	-2898.247	-13815.749	-6730.308	1822.0776	-2900.5542	-13836.826	3.9195712	3.0978203	39.545403	-9.658691	6715.3774	4954.3936	531.1952078342438
