Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-7122.5513	1519.9697	-3846.5977	-9757.061	-7468.122	2210.21	-4016.2966	-10508.433	110.0	110.0	1649	-847.9489	588.90015	0.08775878	-2316.7717	-846.996	589.7151	0.24506539	-2326.216	2.4189317	1.6109736	7.137066	-7.3779216	832.0465	6187.9175	11.10900092124939
2	-6311.477	2014.403	-4037.3896	-10930.534	-3586.862	2568.8225	-388.36478	-9359.806	110.0	110.0	3299	-2656.3513	575.5986	-944.6229	-4325.2573	-2656.3542	575.3239	-940.63654	-4340.6167	3.3339972	1.4486713	12.623077	-8.521679	2629.2307	9485.48	33.06881666183472
3	-7013.4736	2574.889	-3328.497	-11147.903	-3291.909	2162.7224	-401.28964	-7730.8276	110.0	110.0	4949	-3130.5088	478.77554	-1686.9929	-4416.9067	-3130.5442	478.56113	-1691.0197	-4422.9414	4.2939305	2.516447	26.02294	-9.343939	3097.5364	8257.124	54.79624938964844
4	-4446.362	2536.1348	-1096.7949	-9602.999	-3560.3608	1722.896	-439.626	-6122.5034	110.0	110.0	6599	-2992.552	498.17606	-1474.4512	-4503.3022	-2992.5803	498.1686	-1472.3373	-4486.782	4.547231	2.777815	22.0111	-8.809164	2964.401	6233.1562	77.94733381271362
5	-3053.6099	2653.5771	-366.77042	-10169.709	-2682.2642	1754.7834	-359.74066	-5509.802	110.0	110.0	8249	-2943.641	751.4991	-416.99658	-4903.737	-2943.6064	751.7806	-421.2132	-4953.062	4.4373627	2.9178479	21.86549	-11.3743725	2920.5696	5871.0557	101.08987045288086
6	-3090.1292	2860.441	-784.6069	-9281.098	-3562.8945	2514.8674	-337.96182	-9148.466	110.0	110.0	9899	-2669.6907	1007.8321	120.28406	-5179.5273	-2669.61	1008.2962	131.68161	-5216.534	4.4488993	2.9606812	24.386944	-10.551499	2646.7134	6114.836	122.91238784790039
7	-2212.155	1467.9111	-175.91245	-6064.4214	-3297.8984	2127.9622	-1443.7397	-9266.574	110.0	110.0	11549	-2404.5774	1072.085	414.7103	-5342.643	-2404.5369	1072.2617	413.95844	-5338.511	4.4867992	3.0110853	24.635523	-11.765737	2381.7402	6874.125	146.1914267539978
8	-3040.724	1932.2241	-198.20744	-8013.42	-3545.2856	2209.9255	-400.03522	-7402.9316	110.0	110.0	13199	-1962.0074	1107.5897	1005.5543	-5403.242	-1962.0266	1107.565	1004.3534	-5490.2686	4.7471385	3.11462	25.817606	-7.9753857	1938.6682	6197.6133	169.56385445594788
9	-1398.2101	1244.2057	-103.06247	-4164.8994	-1045.1638	445.5107	-364.07837	-1750.3334	110.0	110.0	14849	-1629.201	1161.1876	1055.2229	-5615.729	-1629.2864	1161.0446	1050.3008	-5712.5493	4.866388	3.1042154	24.198162	-8.875686	1605.3883	6057.385	191.38751912117004
10	-2996.9402	2260.657	-135.40286	-8780.033	-2317.3633	953.4281	-872.0827	-4420.252	110.0	110.0	16499	-1315.8921	1108.2885	792.4268	-5652.433	-1316.0591	1107.833	804.80005	-5734.7217	4.9899063	2.9993186	26.260967	-7.7926874	1292.5793	6017.8047	213.68367862701416
11	-2607.5005	1376.6938	-274.99368	-4828.0947	-1820.3977	1695.3842	-165.12798	-5482.67	110.0	110.0	18149	-1284.7285	1175.5199	738.8764	-5941.322	-1284.7814	1175.3242	728.4458	-5975.883	4.8235188	2.971207	28.53748	-9.723631	1263.3832	6060.108	235.72969818115234
12	-2785.6067	1948.0358	-206.3744	-5619.6055	-1655.0906	1438.4833	-91.301346	-4795.65	110.0	110.0	19799	-1356.1732	1139.6827	659.9351	-6313.654	-1356.2205	1139.4633	646.762	-6224.3555	4.724023	2.9602244	22.98355	-7.543274	1337.2891	5267.6113	257.28165102005005
13	-2016.4938	1379.596	-597.643	-6350.1147	-1452.5471	668.8656	-799.5441	-3057.0854	110.0	110.0	21449	-1295.2684	1192.6768	553.3949	-6667.156	-1295.2994	1192.6215	534.6447	-6615.9	4.784709	2.9482837	22.03296	-8.002434	1275.7488	4870.9683	278.71940326690674
14	-1697.4808	1269.8651	-493.64975	-5438.885	-1321.6506	468.5428	-638.79553	-2282.7097	110.0	110.0	23099	-1175.2678	1159.2794	684.46967	-6888.118	-1175.2832	1159.2754	671.67865	-6884.344	4.623349	2.8387651	26.195564	-9.947983	1156.2804	4643.896	300.5666003227234
15	-1181.4083	732.40875	-261.30615	-2718.1404	-2210.5522	1607.8364	-371.19904	-5680.021	110.0	110.0	24749	-973.64197	1053.5238	720.2894	-6542.2544	-973.6278	1053.4884	709.255	-6552.8203	4.704187	2.929078	25.780998	-9.790047	954.47906	4618.649	322.90463423728943
16	-1200.27	662.2002	-277.0966	-2837.8923	-1322.3416	681.0003	-480.54858	-2640.377	110.0	110.0	26399	-943.78033	927.7558	553.7467	-6158.1704	-943.78754	927.72034	557.58014	-6150.171	4.6032867	2.893224	25.915983	-8.316824	926.4261	4287.582	345.072781085968
17	-1504.7937	946.1333	-256.91257	-3484.2178	-791.07556	474.13202	-171.36438	-1833.0967	110.0	110.0	28049	-877.0963	887.0876	675.0385	-5795.6104	-877.08636	887.1054	691.66455	-5777.511	4.698288	2.9918306	25.140974	-8.302004	859.98553	4410.4014	366.2559700012207
18	-1174.6697	857.41	-213.27704	-3003.0344	-1750.0869	1740.4174	-191.26382	-5795.1475	110.0	110.0	29699	-838.9979	833.98065	590.72815	-5648.378	-839.0147	833.9509	573.02826	-5636.426	4.70027	2.937578	26.610987	-8.803921	822.72076	4308.743	387.944176197052
