Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-281.3289	3.7346573	-276.49698	-286.67163	-207.87405	4.8571086	-197.44011	-213.51108	110.0	110.0	1649	-54.785233	27.935055	0.08809016	-104.82362	-54.782932	27.938353	0.2304003	-105.14069	-0.23765416	0.8688818	1.5049939	-8.4434395	54.378654	0.4740554	7.854084730148315
2	-279.70795	6.3023486	-265.63184	-287.67178	-208.99707	4.467233	-201.39061	-216.48112	110.0	110.0	3299	-154.32034	26.301275	-87.82274	-208.25078	-154.32028	26.302156	-88.118866	-208.40677	-0.2339468	0.86101466	1.5966816	-9.633478	153.95485	0.83076334	24.280011892318726
3	-277.78708	5.2288737	-270.48337	-288.5413	-206.44473	3.108646	-200.10446	-212.80101	110.0	110.0	4949	-202.0512	8.14316	-176.21948	-226.91032	-202.05112	8.142429	-176.53754	-226.36026	-0.33085775	0.8343989	1.6987948	-10.251586	201.73943	0.95725155	40.10019659996033
4	-278.41876	4.0924	-269.8884	-284.58746	-206.44931	4.0112576	-198.98595	-211.03873	110.0	110.0	6599	-213.13908	5.9436183	-192.80777	-230.14789	-213.13905	5.941441	-192.8213	-230.44972	-0.37875238	0.8264285	1.249296	-8.610859	212.83394	0.8797585	55.294251918792725
5	-278.75833	4.6877756	-271.99634	-288.30402	-204.7134	5.0213633	-194.41113	-210.27287	110.0	110.0	8249	-215.84023	4.8158813	-200.69754	-230.81696	-215.84033	4.813267	-201.12735	-231.25467	-0.40899166	0.81137806	1.02957	-9.290159	215.55678	0.83022547	71.11168074607849
6	-278.41458	6.5977497	-264.62476	-290.0255	-207.36368	2.5792935	-204.6253	-211.59303	110.0	110.0	9899	-216.63826	4.0703654	-203.3831	-228.72476	-216.6385	4.068664	-203.15028	-228.43924	-0.4348915	0.8105756	0.93674743	-9.383428	216.34651	0.7472283	87.39754700660706
7	-230.87456	10.043272	-217.25551	-264.7469	-202.27672	6.1086674	-192.28879	-210.98041	110.0	110.0	11549	-216.62517	3.3923767	-207.70447	-227.53511	-216.62494	3.3926182	-207.74808	-227.21526	-0.43316713	0.8018891	0.8630576	-8.792377	216.36076	0.6973884	103.98304343223572
8	-228.49564	4.4166265	-220.10124	-233.99998	-202.92729	7.8374176	-190.30775	-212.89247	110.0	110.0	13199	-216.30746	2.9353192	-208.78311	-226.74535	-216.30742	2.9318635	-208.85825	-227.29716	-0.44297466	0.80078393	0.90057087	-8.528465	216.09727	0.63499206	119.86301159858704
9	-228.03024	4.7751822	-217.13536	-234.8053	-207.95654	3.1193423	-202.99873	-213.45703	110.0	110.0	14849	-215.83327	2.650794	-208.83987	-227.18959	-215.83316	2.6496859	-208.46805	-227.30411	-0.44015837	0.8047215	0.8367541	-10.025527	215.66827	0.59250736	136.60845017433167
10	-227.5696	3.5602608	-217.02461	-232.37732	-206.5782	4.9229436	-194.77773	-213.01993	110.0	110.0	16499	-215.20647	2.3758912	-208.2455	-226.89749	-215.20662	2.372688	-208.9787	-226.67581	-0.4351723	0.80025935	0.6964575	-9.555086	215.06766	0.5545368	153.41711282730103
11	-224.68561	4.5654244	-216.62822	-231.76727	-204.45267	3.8362715	-196.56099	-210.46936	110.0	110.0	18149	-214.45474	2.218473	-208.47942	-226.09764	-214.45488	2.2158372	-208.48607	-226.22942	-0.43981293	0.79662365	0.82574975	-10.997427	214.3371	0.5233379	169.45679783821106
12	-226.15869	3.692281	-218.52448	-232.05876	-204.96066	5.865959	-194.65625	-212.1585	110.0	110.0	19799	-213.44713	2.2417278	-207.26643	-225.11539	-213.44704	2.2381043	-207.1697	-225.23076	-0.43199635	0.80404955	0.7128581	-10.693116	213.34946	0.5150531	185.5541069507599
13	-228.39735	4.573523	-217.22247	-234.7471	-203.16348	6.493579	-187.62906	-209.77591	110.0	110.0	21449	-212.43576	2.1460583	-206.455	-223.24171	-212.43593	2.144593	-206.44891	-223.19514	-0.43188196	0.80353284	0.8500606	-9.725883	212.35631	0.5117621	202.42218613624573
14	-223.20366	6.202875	-208.96579	-231.63701	-202.64877	5.19468	-193.22305	-210.56058	110.0	110.0	23099	-211.65479	2.0893722	-205.76344	-222.88834	-211.65445	2.086285	-205.75812	-222.59795	-0.42691383	0.8077749	0.76948094	-9.093725	211.56621	0.46901786	219.06797313690186
15	-223.79785	7.1023498	-213.18205	-233.14362	-198.36093	10.629889	-179.9496	-212.49654	110.0	110.0	24749	-210.81358	2.0304205	-205.32039	-222.02779	-210.81375	2.0308812	-205.38516	-221.8132	-0.4206669	0.8054583	0.7434664	-8.756892	210.75288	0.48815617	234.4719693660736
