Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-583.86835	158.18869	-365.56577	-860.0921	-227.78152	45.07193	-185.30293	-326.1308	110.0	110.0	1649	-10.747027	4.9774613	0.28809717	-30.7947	-10.753867	4.9557223	0.3774061	-30.3775	-0.21277122	1.1499838	4.508081	-11.785093	9.8881	8.844523	6.971204519271851
2	-522.74744	105.29943	-396.7824	-790.511	-187.46324	17.05771	-149.65437	-204.46503	110.0	110.0	3299	-26.944742	9.178007	-8.719795	-67.45542	-26.945118	9.17182	-8.697503	-67.248314	1.2813041	1.7167811	8.909422	-9.932909	24.428541	3.0106604	19.738022565841675
3	-521.3284	112.8762	-382.2259	-757.591	-188.7324	19.021166	-137.57895	-203.36177	110.0	110.0	4949	-39.856213	10.126036	-19.711237	-82.82284	-39.85618	10.125511	-19.510834	-83.164116	1.7765642	1.8194724	8.716379	-11.499999	36.367046	3.1899817	32.82736349105835
4	-496.92902	118.26587	-371.6844	-834.74927	-173.16838	29.661207	-116.1951	-203.19357	110.0	110.0	6599	-48.494926	9.887232	-25.122646	-90.10369	-48.494625	9.887191	-24.792044	-90.70986	1.7310201	1.7893419	7.875504	-10.851273	45.03839	2.9545662	48.098961353302
5	-503.26743	104.921745	-354.72394	-746.92596	-178.44078	16.103182	-154.97803	-204.41324	110.0	110.0	8249	-57.548763	9.5861225	-34.405136	-97.86195	-57.54863	9.585876	-34.358192	-97.97036	1.6916466	1.7781544	7.4472804	-10.41209	54.227234	2.800001	63.51382851600647
6	-578.1097	116.6944	-444.00418	-908.83997	-169.64369	26.188322	-117.3578	-205.62814	110.0	110.0	9899	-67.160095	9.6725445	-41.992424	-107.70204	-67.15974	9.673123	-41.59416	-108.61541	1.6600591	1.7731217	7.417554	-9.791993	63.913597	2.7834742	79.17537093162537
7	-504.41122	65.431595	-393.81546	-652.4288	-191.04544	12.840439	-164.3028	-208.29102	110.0	110.0	11549	-77.462814	10.413098	-49.118973	-121.19546	-77.46264	10.414879	-48.77975	-120.96795	1.6479135	1.7680634	7.3823566	-9.920578	74.22998	2.7767828	94.10834693908691
8	-579.14386	113.621155	-443.68057	-796.19104	-167.8851	26.807632	-135.80438	-223.99297	110.0	110.0	13199	-87.445724	11.230807	-57.208603	-134.45378	-87.445496	11.232312	-57.035355	-134.27391	1.6185102	1.7611799	7.478728	-10.816051	84.26531	2.766271	109.52962708473206
9	-575.67456	138.33076	-387.70227	-842.5362	-173.04428	22.980698	-134.0925	-213.87907	110.0	110.0	14849	-97.192055	11.975732	-65.29398	-145.40242	-97.19178	11.976607	-65.54216	-144.58601	1.6411188	1.7703395	7.469663	-11.161083	93.969315	2.8016868	125.21380281448364
10	-532.9002	103.20634	-403.81827	-816.3582	-180.43102	23.583076	-123.03489	-200.64798	110.0	110.0	16499	-106.29816	12.875409	-72.638336	-155.99516	-106.29852	12.872336	-72.36853	-155.32529	1.630504	1.7672957	7.448688	-10.687762	103.0696	2.8789713	141.9280650615692
