Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-28164.162	3914.3965	-20869.58	-34187.336	-25454.783	12392.786	-11854.102	-43664.22	400.0	400.0	5999	-390.214	220.14386	2.1850681	-1194.0472	-390.19742	220.29016	1.5501584	-1195.3752	375.86624	2590.2097	24.849528074264526
2	-20745.018	9285.852	-2645.63	-30317.44	-5356.2603	3122.1477	-1467.7014	-11700.431	400.0	400.0	11999	-971.44714	316.72745	-210.74199	-2193.1777	-971.35596	316.99475	-218.15057	-2197.1768	947.39545	6473.987	51.21652936935425
3	-5032.799	4008.6829	-639.0859	-15715.79	-3702.875	2450.5662	-429.59424	-8371.4375	400.0	400.0	17999	-1205.8405	448.3109	-428.69684	-2845.317	-1205.7737	448.37506	-427.54535	-2828.1123	1171.5802	7078.152	77.8179190158844
4	-5561.9077	4733.5444	-876.75	-19565.996	-7247.829	4728.6353	-2649.5095	-18926.15	400.0	400.0	23999	-1126.7822	503.73804	-370.12448	-2935.4395	-1126.8865	503.4968	-366.82047	-2926.2312	1091.9966	5138.364	105.50972843170166
5	-3265.0667	3267.6633	-387.87836	-12200.242	-4396.3755	2598.5803	-1823.3544	-10721.148	400.0	400.0	29999	-1021.32874	507.59543	-326.2086	-2973.363	-1021.4304	507.36264	-331.4111	-2899.6057	993.28326	3442.7747	139.81211948394775
6	-4234.0537	3010.09	-994.1332	-9804.295	-5003.752	4435.031	-548.36975	-14520.65	400.0	400.0	35999	-960.9475	508.4289	-261.21838	-3074.8472	-961.01794	508.13583	-263.96118	-3001.4043	936.9103	2491.3171	167.44964861869812
7	-3562.907	4275.9946	-808.31537	-15974.868	-5029.2188	3712.3213	-2436.9985	-14929.869	400.0	400.0	41999	-927.9318	527.83014	-186.02579	-3304.2832	-927.98474	527.55334	-184.57246	-3243.7617	904.6989	2111.582	195.47541642189026
8	-5406.4536	4408.999	-955.5152	-16150.417	-5125.943	3664.0488	-736.49133	-14647.768	400.0	400.0	47999	-910.23895	555.25085	-76.75127	-3491.9802	-910.3038	555.02094	-71.064835	-3437.323	886.90015	2027.4369	223.5537223815918
9	-4827.3525	2726.1062	-957.88745	-9143.902	-5100.987	4511.7812	-603.4298	-13891.257	400.0	400.0	53999	-912.215	580.9569	-13.241695	-3520.551	-912.2996	580.7071	-9.928781	-3463.3071	889.5582	1948.852	250.76575827598572
10	-4370.7334	2298.3796	-1419.1945	-10568.315	-4788.849	1979.04	-2439.8967	-8633.401	400.0	400.0	59999	-897.8298	584.4965	-1.4023085	-3660.8335	-897.91693	584.24866	12.158222	-3646.9116	876.198	1830.3827	278.32098269462585
11	-5066.869	3366.946	-550.6253	-13708.11	-4340.4307	3728.8723	-515.808	-14017.398	400.0	400.0	65999	-887.90356	580.4884	28.376766	-3723.2505	-887.97363	580.2804	38.061676	-3746.587	868.4735	1666.721	305.5891478061676
12	-4979.593	4325.419	-1073.9303	-13181.356	-6436.7363	4095.2073	-518.6448	-15513.378	400.0	400.0	71999	-867.2416	583.46313	168.25635	-3718.2114	-867.31415	583.23914	146.80453	-3717.3035	847.8194	1534.8295	333.01819372177124
13	-5302.959	3487.9448	-861.26306	-15972.712	-4323.453	3967.958	-676.29047	-14653.624	400.0	400.0	77999	-854.7733	599.7674	190.6374	-3786.7937	-854.8529	599.50085	191.54086	-3761.7422	835.2792	1432.6318	360.86362862586975
14	-4795.63	3164.9285	-1461.7946	-10921.6045	-3330.825	1903.1757	-873.252	-7817.0884	400.0	400.0	83999	-866.7246	609.2198	207.87009	-3910.0637	-866.79297	608.9146	204.64262	-3911.328	849.0141	1356.9996	389.2502462863922
15	-3768.679	3757.345	-1260.0751	-17339.912	-3636.8462	3338.5842	-669.11896	-10369.066	400.0	400.0	89999	-870.49176	616.5144	209.69742	-4016.106	-870.5628	616.175	207.85347	-3991.5603	852.7268	1355.8339	417.51342034339905
16	-2531.2385	2031.9314	-544.21796	-7784.5854	-9298.31	4057.7185	-1972.3805	-14247.563	400.0	400.0	95999	-872.26	632.8029	210.31465	-4133.333	-872.3225	632.5385	192.66335	-4031.1123	854.5125	1337.6477	445.7201192378998
17	-3619.3738	2587.3628	-425.69113	-10002.964	-5552.167	4635.321	-445.89548	-15958.67	400.0	400.0	101999	-875.23236	664.6168	219.5766	-4281.6826	-875.28546	664.39526	207.57825	-4161.8184	858.6535	1301.4194	474.01860308647156
18	-2820.2134	2102.6309	-388.4176	-8267.846	-5263.5073	4653.2803	-1653.326	-17978.014	400.0	400.0	107999	-868.4667	675.45905	208.18317	-4338.7246	-868.4899	675.3134	196.4381	-4264.2407	851.20374	1310.6395	502.238406419754
19	-3124.4553	2056.1191	-710.7576	-7944.4204	-3701.6477	2579.3794	-255.10664	-8614.813	400.0	400.0	113999	-836.4225	654.54584	206.3284	-4375.5522	-836.474	654.3698	202.5932	-4300.933	817.3591	1295.465	530.3743119239807
20	-3193.4988	3143.448	-588.69824	-12910.775	-3229.3606	2706.857	-744.513	-9679.693	400.0	400.0	119999	-810.3968	628.2875	245.52853	-4190.477	-810.4043	628.20654	214.6755	-4101.4316	791.64984	1224.6257	558.8050544261932
21	-3796.8088	2826.5906	-910.5198	-8784.882	-2889.9175	2485.3757	-836.2806	-9303.292	400.0	400.0	125999	-806.86786	608.8128	227.31816	-4133.239	-806.82117	608.82404	240.52852	-4048.7883	788.06793	1161.981	587.2293195724487
22	-2731.8074	1638.6726	-680.4431	-6682.5576	-5623.999	3173.417	-580.19257	-10741.063	400.0	400.0	131999	-812.2986	595.9749	224.53113	-4142.9766	-812.23987	596.0161	245.01305	-4072.0583	794.114	1106.4991	614.7874784469604
23	-3374.8025	2726.947	-1111.9968	-11003.58	-2921.7024	3228.7244	-104.525246	-9973.016	400.0	400.0	137999	-804.00134	586.61926	229.23994	-4013.1477	-803.944	586.693	219.66795	-3994.3975	786.1915	1086.6976	643.0153591632843
24	-3768.608	2753.058	-711.5346	-9899.833	-3989.2727	3123.351	-746.2015	-11533.486	400.0	400.0	143999	-791.55896	574.98425	291.90094	-3948.3066	-791.5221	575.033	246.65654	-3931.8093	773.98883	1065.4927	669.9190921783447
25	-4389.939	2504.5808	-1276.7787	-11522.316	-4664.7144	2690.4084	-1632.6731	-9700.033	400.0	400.0	149999	-789.11865	565.1575	255.09671	-3866.3198	-789.0864	565.24176	261.58496	-3837.004	771.6735	1034.2054	697.7242267131805
26	-3648.0857	2624.5037	-663.06934	-9407.354	-3589.3367	2371.618	-329.018	-8124.0444	400.0	400.0	155999	-785.4245	548.8885	283.5472	-3727.3835	-785.3809	549.00415	286.7464	-3693.3625	768.4013	1014.41736	726.4762573242188
