Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-25872.957	3278.627	-19012.625	-30798.252	-27074.934	13237.339	-10292.114	-51754.652	400.0	400.0	5999	-367.77545	212.62376	3.0446508	-1281.4235	-367.7296	212.71146	3.160283	-1285.7782	354.07156	2464.7505	33.64865279197693
2	-20000.127	8012.8135	-2202.9817	-30569.355	-18264.389	14082.121	-749.9894	-42756.805	400.0	400.0	11999	-1027.6326	323.66043	-273.38995	-2789.3054	-1027.6338	323.8854	-269.72076	-2793.6404	1004.2519	5076.1885	68.17079186439514
3	-15079.142	12405.39	-1070.3497	-38957.71	-14436.192	7746.1387	-1408.7727	-28055.408	400.0	400.0	17999	-1580.209	447.51456	-399.261	-3327.8523	-1580.3085	447.598	-392.63797	-3343.2822	1555.294	6313.0347	102.72840094566345
4	-18065.02	10683.033	-924.56006	-36433.824	-15915.419	11115.903	-984.9747	-32150.08	400.0	400.0	23999	-1998.8898	563.2413	-760.69824	-4213.776	-1998.9907	563.3583	-752.575	-4211.95	1970.168	6347.9893	137.41490626335144
5	-9570.576	11354.319	-525.9026	-42334.39	-13241.143	7791.538	-841.6671	-24346.256	400.0	400.0	29999	-2327.6182	679.2715	-1094.2104	-5616.8203	-2327.6448	679.7062	-1096.5681	-5646.9336	2294.745	6248.412	170.55778574943542
6	-12641.029	6835.9185	-3577.8318	-27118.186	-10555.986	9562.553	-309.1471	-27014.373	400.0	400.0	35999	-2651.711	800.1755	-1181.964	-6405.2163	-2651.7693	800.45245	-1189.0574	-6408.6475	2622.8083	5271.8774	198.7495458126068
7	-6526.2656	4809.1133	-717.03577	-16496.457	-6562.7686	4686.796	-1272.9559	-14306.384	400.0	400.0	41999	-2998.6956	936.2284	-1285.0549	-7005.2827	-2998.754	936.4426	-1314.9692	-7028.543	2967.6733	4580.4805	227.36589241027832
8	-7303.188	4949.972	-781.7077	-16983.062	-5824.038	4577.3525	-655.0059	-13081.669	400.0	400.0	47999	-3261.794	1065.7997	-1397.1611	-7619.443	-3261.874	1065.7871	-1411.6232	-7643.857	3232.6333	4239.672	255.9070017337799
9	-2352.25	1513.2616	-427.1567	-5335.207	-5550.221	4696.4917	-1671.1425	-18360.441	400.0	400.0	53999	-3494.627	1175.1215	-1494.5612	-8134.484	-3494.7063	1174.9825	-1485.6808	-8171.623	3463.2554	4090.2866	285.26249408721924
10	-3193.3918	2216.9507	-435.2434	-7139.967	-2540.1355	2300.6326	-425.8036	-8847.3125	400.0	400.0	59999	-3645.8452	1275.3302	-1425.122	-8391.832	-3645.9307	1275.1222	-1397.994	-8404.37	3613.986	4046.6633	314.2195882797241
11	-3044.9937	2445.881	-717.65717	-8639.858	-3142.0535	3299.184	-336.92056	-10478.883	400.0	400.0	65999	-3759.5059	1322.9087	-1498.2413	-8531.027	-3759.5593	1322.765	-1489.7599	-8522.294	3726.0203	3967.5928	342.90299129486084
12	-3537.0796	2925.5388	-626.8145	-10186.579	-4399.636	4546.7534	-158.21878	-15078.553	400.0	400.0	71999	-3871.5388	1377.7382	-1628.588	-8557.116	-3871.5994	1377.5677	-1609.112	-8533.288	3835.4287	3835.7336	372.33532452583313
13	-5425.4043	3248.281	-1624.3679	-11796.607	-4348.9106	3322.99	-443.18842	-10084.794	400.0	400.0	77999	-3984.0007	1405.4231	-1603.9691	-8484.597	-3984.0742	1405.2178	-1612.043	-8503.514	3950.2417	3638.7473	400.7472128868103
14	-4825.4126	4313.743	-247.0992	-15686.06	-4860.36	5295.071	-432.88718	-16216.686	400.0	400.0	83999	-4081.2864	1459.645	-1597.5895	-8764.135	-4081.3582	1459.3923	-1604.4834	-8762.546	4047.2808	3416.765	429.5477936267853
15	-2804.973	2734.6262	-654.44794	-11047.09	-3090.5845	2142.1355	-464.5129	-7730.3574	400.0	400.0	89999	-4223.2197	1528.0308	-1547.8477	-9118.522	-4223.2925	1527.7908	-1564.3391	-9075.362	4189.33	3287.6416	457.8338749408722
16	-4178.9707	4296.3374	-248.42131	-16381.875	-5998.048	5794.4917	-377.09024	-19212.297	400.0	400.0	95999	-4397.1396	1596.4913	-1522.675	-9487.664	-4397.227	1596.1847	-1524.2368	-9498.752	4365.33	3338.2874	486.0247392654419
17	-3619.0068	2281.8257	-333.2349	-9281.363	-5110.03	5146.1455	-1108.4287	-17081.701	400.0	400.0	101999	-4553.853	1672.4569	-1530.1965	-9977.449	-4553.909	1672.2562	-1536.6571	-9990.324	4521.554	3378.8875	515.2285552024841
18	-3967.098	3485.6267	-377.52396	-12638.829	-3184.6572	4469.254	-416.66846	-16238.183	400.0	400.0	107999	-4683.654	1731.9995	-1524.4032	-10373.867	-4683.7285	1731.7593	-1551.1134	-10383.525	4652.9023	3369.2493	544.3096265792847
19	-3470.4683	2340.388	-543.5479	-9037.753	-1966.7408	700.7285	-790.5996	-3239.6145	400.0	400.0	113999	-4771.364	1794.8058	-1574.4783	-10657.358	-4771.418	1794.5985	-1592.2418	-10642.729	4738.34	3258.971	573.2740051746368
20	-4096.929	2685.521	-813.60675	-9862.96	-2596.6382	1264.658	-510.21307	-5080.656	400.0	400.0	119999	-4852.107	1854.8151	-1605.5453	-10935.458	-4852.145	1854.6537	-1626.6531	-10907.651	4822.157	3184.3374	601.5631637573242
21	-3351.9617	2589.1025	-659.278	-7873.459	-3017.5874	2924.3232	-518.96735	-11165.835	400.0	400.0	125999	-4953.165	1905.0687	-1674.2238	-11232.462	-4953.217	1904.8904	-1701.7856	-11172.917	4923.3594	2986.3193	630.5603032112122
22	-3759.7292	2216.2634	-1462.1573	-8196.684	-2695.4507	1908.9365	-404.4994	-6292.8623	400.0	400.0	131999	-5082.269	1994.0844	-1663.6707	-11519.577	-5082.3203	1993.9178	-1673.2706	-11485.145	5052.8057	3045.2893	659.7550332546234
23	-2399.6038	1534.7231	-157.80902	-5042.537	-2746.9048	1453.3196	-1081.8741	-6283.7695	400.0	400.0	137999	-5201.1465	2087.1187	-1568.0377	-11738.543	-5201.1743	2086.9902	-1606.7164	-11760.884	5174.968	3167.5667	689.1958727836609
24	-2570.895	1954.0183	-404.95602	-8165.477	-4834.029	7326.354	-729.4835	-24333.047	400.0	400.0	143999	-5261.405	2136.9395	-1534.1091	-11994.855	-5261.4263	2136.8445	-1574.2477	-11949.724	5233.904	3169.278	718.0974273681641
25	-3258.843	2415.7322	-646.6845	-8928.047	-1990.4426	1621.786	-802.3439	-6576.292	400.0	400.0	149999	-5333.5996	2186.8855	-1579.6885	-12294.083	-5333.621	2186.7927	-1606.1726	-12255.401	5304.1094	3178.9377	746.5647826194763
26	-3014.3948	1850.2197	-867.94116	-7455.7705	-2670.4004	2376.2432	-510.4699	-8690.634	400.0	400.0	155999	-5418.8096	2239.8503	-1630.3622	-12598.291	-5418.832	2239.7654	-1667.0516	-12553.371	5390.702	3130.956	774.9621942043304
27	-2375.386	1989.9767	-484.85193	-7983.6465	-2615.7786	2805.0466	-172.3138	-7933.112	400.0	400.0	161999	-5504.142	2279.8584	-1632.6763	-13259.19	-5504.1836	2279.7217	-1665.5703	-13201.77	5481.2134	3184.014	803.3603744506836
28	-1638.9341	1387.5524	-148.92244	-5568.673	-2711.3293	2438.5261	-459.52408	-7298.2524	400.0	400.0	167999	-5581.434	2340.7952	-1551.2952	-13476.495	-5581.4727	2340.7017	-1605.3623	-13332.616	5550.574	3148.786	831.8683111667633
29	-2884.3303	2585.2537	-1141.787	-11116.793	-2126.7583	2750.9856	-383.92145	-10062.767	400.0	400.0	173999	-5673.599	2411.5278	-1452.2722	-13873.36	-5673.639	2411.4094	-1501.1014	-13800.691	5650.2173	3250.4187	860.3101477622986
30	-2931.6648	2307.98	-685.33704	-8055.571	-3789.6812	3266.8433	-563.6208	-11280.397	400.0	400.0	179999	-5741.818	2462.3079	-1366.0731	-13950.188	-5741.843	2462.1812	-1436.5099	-13909.231	5710.3667	3449.8528	889.6579205989838
31	-3350.5151	3654.5234	-604.66956	-14326.35	-3217.0193	2690.6912	-241.60677	-8440.474	400.0	400.0	185999	-5824.847	2498.372	-1323.6338	-14229.741	-5824.869	2498.2288	-1390.0549	-14191.468	5795.1865	3456.582	918.1213176250458
32	-3394.5156	3505.3513	-423.09665	-14148.017	-3251.1304	2978.1658	-679.69727	-10384.437	400.0	400.0	191999	-5918.494	2544.614	-1310.4149	-14399.133	-5918.546	2544.439	-1387.8434	-14356.691	5889.537	3432.434	946.3200447559357
