Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-6822.1934	2138.7966	-3222.7776	-11466.153	-5996.074	2261.0974	-3197.4636	-10039.54	110.0	110.0	1649	-72.87597	38.770153	0.31232893	-204.6647	-72.67355	39.00735	0.44670048	-205.10608	69.32698	2711.3389	8.538472414016724
2	-6902.3	2087.3022	-3906.6663	-11084.835	-4954.632	1945.7915	-1428.5775	-7642.8857	110.0	110.0	3299	-215.94751	85.11096	-37.053154	-589.36646	-215.90817	85.19496	-35.47215	-589.75604	209.71323	1703.9991	24.231999158859253
3	-6987.0205	2176.811	-2713.9126	-10534.511	-3888.1133	2718.6099	-189.43121	-9571.464	110.0	110.0	4949	-415.19138	121.93807	-127.38289	-972.18243	-415.18372	121.95818	-126.68295	-970.6962	403.9351	2351.8115	37.54174518585205
4	-6200.915	2210.2727	-3427.2488	-11487.063	-2161.9856	1425.3496	-298.4155	-4625.1895	110.0	110.0	6599	-587.80273	159.13875	-234.41345	-1271.8682	-587.7841	159.22917	-233.78047	-1271.8615	573.4763	3227.116	50.74868822097778
5	-7561.3994	2513.4624	-2201.9265	-10828.456	-2119.2542	1949.7861	-76.292	-6713.5107	110.0	110.0	8249	-749.03796	191.885	-304.57706	-1543.1925	-749.0179	192.01228	-302.8856	-1552.7683	729.95105	4080.7478	63.42514681816101
6	-6740.11	1697.6477	-4235.361	-10896.137	-3236.1636	2485.7532	-410.6631	-9505.261	110.0	110.0	9899	-899.01984	218.54567	-361.94217	-1780.6726	-898.99945	218.67485	-364.2973	-1790.0139	874.35815	5128.5176	77.9314444065094
7	-3099.5151	2072.5217	-344.24918	-7002.1074	-3027.0657	2893.7302	-75.52597	-9435.314	110.0	110.0	11549	-990.0861	250.91037	-431.63904	-2005.4512	-990.07904	250.99318	-426.76807	-2013.4576	962.0785	5556.385	91.94767308235168
8	-2280.3123	1557.8076	-181.08488	-5440.9487	-3822.0378	3196.5537	-428.5813	-11312.951	110.0	110.0	13199	-1025.5365	296.0551	-445.96545	-2183.022	-1025.5277	296.11652	-445.9341	-2187.067	997.2496	5363.6084	106.89160966873169
9	-2376.3308	1536.0602	-316.09796	-6261.5596	-2362.5574	2446.5042	-15.631076	-7843.6265	110.0	110.0	14849	-1049.9154	326.6934	-466.47266	-2348.4304	-1049.9019	326.7724	-464.49872	-2350.7915	1022.8916	5141.4907	123.22047758102417
10	-1802.1823	1653.6932	-210.4348	-6313.587	-3169.6406	1888.4443	-1148.2157	-6643.094	110.0	110.0	16499	-1071.3949	351.96295	-472.7866	-2497.0894	-1071.3732	352.0471	-469.6435	-2498.2754	1045.5415	4918.8525	139.5044424533844
