Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-205.00125	4.9999547	-196.27417	-210.60228	-206.26468	6.4574385	-193.14809	-212.26501	110.0	110.0	1649	-3.1959193	0.8577842	0.3036536	-5.1529026	-3.1932654	0.86370355	0.50001925	-5.199958	3.1008992	0.10092673	5.564573287963867
2	-206.3335	4.2391496	-198.27313	-213.00877	-204.2318	7.437129	-190.76457	-211.60625	110.0	110.0	3299	-8.013623	2.0292687	-3.834861	-12.71773	-8.013573	2.029298	-3.8705912	-12.670513	7.9491763	0.023933763	16.110503435134888
3	-207.08145	5.10942	-193.77214	-214.90039	-196.93626	12.412426	-172.28851	-210.38002	110.0	110.0	4949	-15.002522	2.102925	-9.581193	-20.373524	-15.0025015	2.1032937	-9.636076	-20.306852	14.908739	0.028122991	28.81979203224182
4	-204.17194	4.766143	-194.34497	-211.43364	-199.02864	12.909043	-168.31084	-212.59718	110.0	110.0	6599	-21.951242	2.1159675	-15.952483	-27.576406	-21.951237	2.116509	-15.933432	-27.58221	21.832964	0.038468238	40.40568685531616
5	-208.098	3.042948	-199.54037	-212.81256	-193.52554	21.956041	-131.96445	-213.1478	110.0	110.0	8249	-28.712576	2.1138728	-22.681221	-34.578987	-28.712576	2.1144164	-22.68781	-34.588737	28.572586	0.05029631	51.71162247657776
6	-206.7363	4.678591	-193.12358	-210.71793	-192.8481	16.39674	-155.7076	-212.60472	110.0	110.0	9899	-35.369583	2.119975	-29.319159	-41.4684	-35.36959	2.1203535	-29.27085	-41.4995	35.22028	0.061176896	62.26080083847046
7	-205.5927	6.1402817	-188.80804	-211.92159	-191.54472	10.417823	-175.02538	-206.84961	110.0	110.0	11549	-41.890995	2.100846	-35.640633	-48.105415	-41.890984	2.1009424	-35.643585	-48.12843	41.73157	0.07249449	72.35401177406311
8	-206.9082	3.2004972	-200.33072	-212.52295	-193.19952	17.45732	-143.07697	-207.19345	110.0	110.0	13199	-48.286327	2.1050737	-41.478523	-55.054115	-48.28635	2.1053452	-41.525677	-55.006428	48.117195	0.08047966	84.90415835380554
9	-205.42827	4.18352	-197.51884	-210.56364	-196.17429	12.798774	-165.64029	-211.22855	110.0	110.0	14849	-54.517975	2.0992203	-47.4748	-61.292004	-54.51797	2.0997787	-47.463394	-61.265877	54.338882	0.088735424	97.12966585159302
10	-205.22748	4.1966186	-196.85861	-210.38033	-196.27666	12.861242	-171.5461	-211.77748	110.0	110.0	16499	-60.602703	2.0768209	-53.102867	-67.342026	-60.602703	2.077657	-53.114723	-67.159325	60.410946	0.09766228	107.94360184669495
11	-202.95547	6.646639	-188.64268	-212.69313	-203.19235	9.09817	-177.97516	-212.05234	110.0	110.0	18149	-66.51322	2.0699985	-58.42656	-73.223145	-66.51322	2.0711617	-58.419006	-73.42315	66.317924	0.10545077	118.3475067615509
12	-203.47891	5.8165016	-192.77551	-211.31221	-197.0544	9.686462	-182.06349	-210.36848	110.0	110.0	19799	-72.31176	2.0692084	-64.33118	-79.48264	-72.31176	2.0705748	-64.07656	-79.44806	72.113686	0.112410724	128.60234308242798
13	-197.60336	13.057053	-162.27182	-209.28694	-187.31622	17.11447	-159.55655	-207.74295	110.0	110.0	21449	-77.96028	2.0554373	-69.6742	-84.91839	-77.96022	2.0566564	-69.52918	-84.896614	77.7552	0.11917107	139.51488327980042
14	-188.92616	11.246069	-174.5292	-209.15549	-193.8616	10.702794	-178.77464	-208.42645	110.0	110.0	23099	-83.4461	2.098376	-75.11181	-90.18343	-83.446106	2.0994458	-75.01922	-90.22439	83.25008	0.12093365	150.39490342140198
15	-187.11176	20.617476	-132.95047	-208.24475	-184.56424	25.965536	-116.72226	-205.27577	110.0	110.0	24749	-88.79423	2.1657376	-79.65737	-95.79313	-88.794205	2.1668477	-79.62015	-95.84097	88.59415	0.12606129	161.12246298789978
16	-190.8111	19.701454	-147.28891	-207.78235	-189.11118	23.176258	-138.35713	-210.41115	110.0	110.0	26399	-94.0167	2.236282	-84.59827	-101.239174	-94.01667	2.237175	-84.74442	-101.4258	93.814095	0.13096276	171.06875228881836
17	-189.30034	17.05244	-159.16739	-209.56978	-182.02815	15.781719	-152.9778	-205.98946	110.0	110.0	28049	-99.097336	2.3222	-89.34022	-106.93708	-99.09735	2.3236284	-89.08727	-106.7382	98.88977	0.13957776	182.335839509964
18	-193.62318	13.097691	-167.75601	-212.29463	-191.31052	9.073917	-179.78606	-206.75706	110.0	110.0	29699	-104.06251	2.4780996	-93.930435	-111.81484	-104.06238	2.4795718	-93.608635	-111.959236	103.85319	0.15344276	195.17610239982605
19	-183.0479	19.937681	-127.87895	-210.48773	-186.92134	19.832651	-142.55458	-213.77931	110.0	110.0	31349	-108.85623	2.6458724	-97.628265	-117.0746	-108.85635	2.6470156	-97.74191	-116.890015	108.635216	0.16176143	207.6243495941162
20	-181.9922	9.553289	-162.68024	-200.83699	-176.79942	19.879257	-145.67294	-205.36009	110.0	110.0	32999	-113.46706	2.8728597	-101.173256	-122.47904	-113.466995	2.8735948	-101.28467	-122.46514	113.246025	0.17451079	219.1208529472351
21	-182.08789	22.804848	-115.68	-211.4062	-189.54538	16.580132	-156.45648	-207.5276	110.0	110.0	34649	-117.92854	3.0506241	-104.78086	-127.65808	-117.92851	3.0515695	-104.78841	-127.674034	117.678535	0.1823501	229.86199021339417
22	-177.39261	26.460728	-112.748276	-202.03131	-191.46965	12.12855	-162.37111	-204.61559	110.0	110.0	36299	-122.258934	3.2668781	-108.24534	-132.41078	-122.25897	3.2672977	-108.26027	-132.29227	122.00694	0.18926701	240.5165412425995
23	-176.53105	19.138857	-130.25163	-201.89801	-182.61874	14.215884	-154.69	-207.06238	110.0	110.0	37949	-126.41623	3.4933944	-111.65186	-136.74734	-126.41616	3.4943206	-111.39984	-137.04669	126.17314	0.20230477	251.00046372413635
24	-182.39273	21.954258	-145.38406	-206.76611	-184.8082	20.034761	-148.12659	-208.97514	110.0	110.0	39599	-130.48683	3.7073016	-114.75472	-140.97075	-130.4869	3.7072618	-114.65748	-141.0455	130.22304	0.21334602	261.8345558643341
25	-174.32837	19.188042	-133.57277	-201.01367	-175.95735	25.506132	-129.1364	-201.04074	110.0	110.0	41249	-134.4093	3.9560802	-117.71931	-145.14633	-134.40927	3.9562647	-117.59602	-145.16669	134.12294	0.22664437	272.6311857700348
