Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-555.2575	150.92323	-404.96667	-886.2145	-192.48093	37.61019	-130.33186	-282.08826	110.0	110.0	1649	-7.1458473	2.7770717	0.24447027	-18.299765	-7.1411905	2.7837474	0.3749031	-18.292057	6.140984	6.410626	6.865614652633667
2	-582.8378	151.19179	-409.2939	-878.41956	-188.37369	20.790249	-150.61125	-217.02863	110.0	110.0	3299	-15.171059	5.8005805	-4.964382	-39.321056	-15.171434	5.8023205	-4.9026523	-39.27969	12.520729	2.0424318	17.892390251159668
3	-593.5871	149.72575	-394.93982	-871.94507	-182.94489	22.976994	-150.38751	-219.70323	110.0	110.0	4949	-23.184107	8.4562235	-6.3801026	-52.295048	-23.184662	8.454123	-6.318985	-52.128334	19.246208	2.2556255	28.619751930236816
4	-567.71204	151.49214	-373.79507	-832.0007	-177.54716	21.900412	-137.77974	-204.86345	110.0	110.0	6599	-28.156998	9.523198	-6.9412246	-59.51927	-28.156288	9.5248575	-7.0883822	-59.1114	23.723906	2.5260324	38.80096483230591
5	-549.7714	127.309006	-363.59732	-851.4612	-181.31416	16.31728	-158.63924	-204.04305	110.0	110.0	8249	-31.692875	9.362497	-8.357562	-63.51323	-31.6923	9.365707	-8.44452	-63.078163	27.28583	2.5759196	49.47831416130066
6	-513.09796	150.58269	-300.74326	-833.0552	-170.49954	30.633965	-107.559586	-204.3083	110.0	110.0	9899	-35.185806	8.879705	-11.131624	-67.12079	-35.18548	8.8808975	-10.915371	-67.33048	30.9185	2.5948803	60.92934274673462
7	-515.571	86.0106	-388.24448	-686.87085	-165.52725	30.796318	-101.35667	-196.27948	110.0	110.0	11549	-38.8076	8.48436	-14.487932	-71.71813	-38.807835	8.483181	-14.329891	-71.73296	34.768116	2.5339968	71.88330078125
8	-572.7609	135.69412	-358.46173	-813.8854	-168.82866	22.770609	-134.30876	-211.82375	110.0	110.0	13199	-43.08872	8.317077	-18.121536	-75.90531	-43.089012	8.315247	-18.160149	-76.49922	39.128254	2.53904	84.13598561286926
9	-551.78357	113.018166	-423.0109	-755.8535	-183.7042	22.370712	-123.60634	-204.0003	110.0	110.0	14849	-47.836525	8.224993	-21.851738	-80.25481	-47.836594	8.223785	-21.908287	-81.137634	43.92435	2.625216	94.07149171829224
10	-588.5282	148.73932	-397.9516	-804.0361	-172.6768	21.325642	-132.87042	-212.63277	110.0	110.0	16499	-52.8859	8.318626	-25.403038	-85.265305	-52.886	8.318373	-25.18643	-85.775604	48.979774	2.702665	104.11673069000244
11	-576.12146	166.79701	-338.40753	-849.15186	-180.08678	22.021858	-145.49434	-208.7465	110.0	110.0	18149	-57.744534	8.608131	-29.311848	-89.86325	-57.744556	8.606516	-29.162231	-90.53969	53.83375	2.691619	114.75524830818176
12	-557.9505	133.19365	-386.14072	-880.9468	-165.7493	40.242504	-58.240013	-198.9105	110.0	110.0	19799	-62.284935	8.842602	-32.87073	-96.40873	-62.28497	8.84079	-32.624306	-95.8596	58.307613	2.6794767	125.51531434059143
13	-215.74112	122.11696	-145.16597	-637.7487	-174.11136	28.181738	-127.01201	-206.16331	110.0	110.0	21449	-66.47659	9.247639	-35.30271	-102.697136	-66.47602	9.248748	-35.212658	-102.31216	62.637688	2.6244822	136.57039046287537
14	-185.60747	15.3705015	-146.45154	-206.57333	-167.36287	26.879593	-107.802795	-197.47324	110.0	110.0	23099	-69.86499	10.098537	-38.720848	-108.3591	-69.86498	10.099219	-38.74575	-108.82598	66.20205	2.437266	147.73639178276062
15	-167.26047	22.31261	-102.57147	-197.77441	-179.46994	16.16197	-152.7063	-202.71283	110.0	110.0	24749	-73.41577	10.694401	-42.25293	-113.34535	-73.41569	10.694807	-42.439693	-113.55935	69.98818	2.3069088	159.20717334747314
16	-174.00136	28.823057	-118.367905	-209.31601	-172.126	28.401636	-114.946175	-200.96443	110.0	110.0	26399	-76.89297	11.273046	-44.82904	-120.50255	-76.89297	11.27329	-44.65816	-120.645134	73.67385	2.1895225	170.57195615768433
17	-177.48207	24.228645	-114.0071	-216.85008	-178.24783	23.41641	-135.42336	-213.3193	110.0	110.0	28049	-80.270706	11.817978	-47.7192	-126.01319	-80.270744	11.818253	-47.76906	-125.73137	77.19552	2.072723	181.921541929245
18	-179.87193	24.024471	-126.41583	-203.41408	-178.69864	19.765512	-143.22235	-207.25154	110.0	110.0	29699	-83.91669	12.131053	-51.16057	-131.17468	-83.916336	12.132164	-51.121887	-130.80602	81.007706	2.0230815	193.25610661506653
19	-176.88667	27.742596	-113.737885	-206.9011	-172.13802	19.082102	-150.66933	-213.18735	110.0	110.0	31349	-87.34552	12.54561	-53.858772	-138.46915	-87.34551	12.546683	-54.206158	-138.15935	84.54424	1.966595	204.17699456214905
20	-164.27103	28.295301	-98.124435	-195.32266	-171.1266	35.08267	-91.448044	-209.12024	110.0	110.0	32999	-90.85129	13.048796	-56.982143	-143.56357	-90.85127	13.050595	-57.15602	-143.61974	88.22837	1.9322913	216.5861895084381
21	-166.49153	17.578102	-139.12695	-202.42137	-172.74397	30.429638	-87.68767	-200.67157	110.0	110.0	34649	-94.439026	13.37174	-60.162846	-148.08543	-94.43916	13.373597	-60.158623	-148.6116	91.97178	1.9116546	227.76652002334595
22	-163.84161	25.27222	-120.75314	-217.40388	-165.49315	33.67882	-108.9494	-209.43365	110.0	110.0	36299	-97.830666	13.735676	-62.75606	-153.54478	-97.830765	13.736419	-62.71626	-154.21082	95.44578	1.8832065	238.40655660629272
23	-171.43231	24.357521	-107.243	-217.74007	-164.4369	12.528458	-146.25313	-182.99922	110.0	110.0	37949	-101.31908	14.2096615	-65.40721	-157.20357	-101.31923	14.209084	-65.04815	-157.84212	99.0228	1.9095815	249.37608194351196
