Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-312.0733	25.695051	-283.52533	-376.45822	-210.74283	11.262821	-181.97269	-226.30588	110.0	110.0	1649	-3.246505	0.60867125	0.2620362	-5.935895	-3.246643	0.60659903	0.318565	-5.876959	2.8961833	0.30892092	6.80139684677124
2	-320.6918	27.250927	-286.34494	-383.01126	-215.53415	6.879418	-200.10742	-222.21494	110.0	110.0	3299	-4.5316133	0.8119148	-2.427079	-8.287309	-4.5315795	0.81229377	-2.4153845	-8.39472	4.0689664	0.06878651	21.286277294158936
3	-320.1273	31.600481	-263.0747	-370.14423	-206.09103	11.793176	-184.61557	-222.48077	110.0	110.0	4949	-6.11164	0.9970402	-3.4914284	-10.496514	-6.1115513	0.9979377	-3.5533042	-10.788985	5.5908227	0.0664618	37.050037145614624
4	-319.98697	26.699251	-283.2253	-363.60156	-212.37607	7.0304832	-192.57976	-219.24358	110.0	110.0	6599	-7.7252507	1.1959876	-4.3653374	-12.971298	-7.725224	1.1962671	-4.4492855	-13.217626	7.1371093	0.06885556	48.41609263420105
5	-321.77878	32.904564	-283.6977	-393.58984	-212.72649	4.679568	-206.08974	-221.36284	110.0	110.0	8249	-9.422109	1.413721	-5.335168	-15.664052	-9.42213	1.4135182	-5.309639	-15.510948	8.75695	0.076449215	61.69192028045654
6	-314.79498	14.796715	-295.46823	-346.7808	-206.02876	13.666675	-184.22818	-226.49586	110.0	110.0	9899	-11.031339	1.5880116	-6.3298097	-17.87567	-11.031331	1.587486	-6.2778916	-17.869537	10.311502	0.0839631	77.76284742355347
7	-318.69772	23.478964	-278.20215	-366.6287	-206.18579	11.817085	-183.34404	-219.47598	110.0	110.0	11549	-12.601429	1.7211093	-7.4032984	-19.581505	-12.601479	1.7205347	-7.287462	-19.266003	11.819744	0.09412629	89.60108661651611
8	-304.22946	20.35055	-272.2952	-360.65707	-203.80731	18.123814	-158.71284	-219.96945	110.0	110.0	13199	-14.087961	1.8370626	-8.423588	-21.604708	-14.087935	1.836816	-8.368758	-21.65504	13.25485	0.101099	100.19561314582825
9	-313.24295	16.48329	-290.94437	-357.97485	-209.63419	8.08938	-195.83023	-218.69455	110.0	110.0	14849	-15.479878	1.930377	-9.495903	-23.202068	-15.479931	1.929612	-9.545051	-23.574913	14.603092	0.111387335	110.25949239730835
10	-316.08008	20.393719	-283.41483	-360.02325	-205.6606	13.222998	-170.40727	-221.35716	110.0	110.0	16499	-16.88516	2.017234	-10.512272	-24.957983	-16.88518	2.0165737	-10.54013	-25.119106	15.976053	0.12618032	120.69480013847351
11	-322.0706	18.263672	-292.3766	-361.56152	-203.69716	14.36929	-173.7079	-219.41084	110.0	110.0	18149	-18.272594	2.099037	-11.8092575	-26.691923	-18.272573	2.0982215	-11.8251915	-26.69523	17.320223	0.13907272	130.48397397994995
