Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-321.38467	31.783562	-283.35007	-372.5384	-215.56479	5.9442554	-205.72	-226.66162	110.0	110.0	1649	-3.312987	0.61986834	0.27604064	-5.9542527	-3.3083475	0.63570124	0.43500677	-5.855903	2.961337	0.33046353	6.553005933761597
2	-326.60938	28.216267	-290.062	-386.49048	-213.42593	9.623636	-188.56754	-226.24815	110.0	110.0	3299	-4.6294503	0.8174877	-2.2714186	-8.190845	-4.6294312	0.8173961	-2.2689958	-8.1750965	4.157353	0.076469466	17.357410192489624
3	-317.91293	20.504261	-274.02628	-354.87683	-210.09282	9.8877325	-186.53427	-222.18361	110.0	110.0	4949	-6.2256207	0.9900411	-3.4111447	-10.701014	-6.2256713	0.98950696	-3.3709598	-10.64275	5.687829	0.0581459	28.096233129501343
4	-322.75674	26.922674	-283.68338	-370.71228	-208.67793	8.172549	-194.45692	-220.89844	110.0	110.0	6599	-7.8106146	1.1781571	-4.3563356	-12.801163	-7.8106494	1.1778669	-4.313314	-12.85018	7.2083397	0.06060758	38.01486372947693
5	-310.10944	23.92744	-286.2914	-373.60767	-207.42232	10.772888	-178.50346	-217.06464	110.0	110.0	8249	-9.458398	1.3545927	-5.491442	-15.2018175	-9.458342	1.3544607	-5.573615	-15.331905	8.786423	0.06979526	48.45128273963928
6	-316.21213	17.960814	-282.14407	-343.86853	-206.59705	13.322249	-171.31833	-219.23586	110.0	110.0	9899	-11.031898	1.4951234	-6.6308336	-17.531752	-11.031965	1.4947664	-6.612241	-17.543497	10.300612	0.0763907	59.151180267333984
7	-324.38654	33.652386	-260.17514	-393.9015	-200.31764	18.580502	-154.98064	-218.62012	110.0	110.0	11549	-12.597971	1.6667557	-7.5818152	-19.74827	-12.597988	1.6667049	-7.6128716	-19.52604	11.801837	0.08385352	69.17556071281433
8	-320.27094	29.522844	-277.3422	-375.8509	-207.80807	10.356462	-181.53546	-219.25014	110.0	110.0	13199	-14.128703	1.819148	-8.752197	-21.532436	-14.128724	1.8192368	-8.916295	-21.367216	13.276932	0.09489861	79.52266025543213
9	-315.7095	18.218172	-297.48495	-366.5629	-206.35942	9.4464245	-183.59857	-220.48784	110.0	110.0	14849	-15.560521	1.9350646	-9.640747	-23.367422	-15.560553	1.9352982	-9.696589	-23.216652	14.65834	0.10600168	89.86368608474731
10	-319.81088	32.456093	-268.6821	-391.5802	-201.64151	14.567505	-171.5622	-222.21504	110.0	110.0	16499	-16.963749	2.0430667	-10.78914	-25.34118	-16.963749	2.0434294	-10.807183	-25.471245	16.020048	0.11776396	100.46593499183655
11	-313.1638	23.888693	-291.00552	-359.3775	-207.59285	13.379733	-177.40987	-223.36418	110.0	110.0	18149	-18.312464	2.1150072	-11.923756	-26.833136	-18.312407	2.1159124	-11.869387	-26.970278	17.327892	0.12679341	111.07480502128601
12	-314.77606	22.960814	-286.03564	-363.7847	-210.76494	5.8768263	-202.88976	-220.63799	110.0	110.0	19799	-19.66565	2.2004163	-13.168356	-28.469261	-19.66566	2.2010925	-12.889224	-28.629734	18.654224	0.13295762	121.70812034606934
13	-216.01424	29.671755	-165.50098	-296.5824	-205.7043	14.000045	-169.10019	-224.27356	110.0	110.0	21449	-20.837492	2.286667	-14.008555	-30.133263	-20.837446	2.287151	-13.910074	-30.09508	19.838802	0.1356731	132.20848417282104
14	-201.60321	14.049524	-168.61237	-219.49391	-204.71432	13.918736	-182.37625	-222.78534	110.0	110.0	23099	-21.862411	2.4342036	-15.385555	-31.910646	-21.862392	2.4349828	-15.164281	-31.849964	20.917799	0.13050014	142.73253059387207
15	-209.10513	13.298514	-177.09483	-226.20885	-212.54878	7.246685	-197.31606	-225.6033	110.0	110.0	24749	-22.918974	2.5418642	-17.134739	-33.166435	-22.918953	2.542952	-16.932146	-33.360634	22.031542	0.12802957	152.77043294906616
16	-203.63739	12.691316	-177.7287	-218.7315	-211.0247	9.152845	-187.13614	-217.47636	110.0	110.0	26399	-23.956951	2.6111386	-17.95503	-34.38678	-23.95692	2.611907	-17.6714	-34.359093	23.11957	0.12685856	162.809832572937
17	-205.01674	14.926757	-172.63388	-222.90475	-205.39542	16.328543	-168.21983	-222.0304	110.0	110.0	28049	-25.002964	2.6761475	-19.1649	-35.808956	-25.002985	2.6769156	-18.84246	-36.020084	24.212004	0.12433701	172.97499871253967
18	-211.86699	5.403979	-202.05478	-221.71059	-208.22849	4.618894	-200.66449	-215.5648	110.0	110.0	29699	-26.076473	2.7089965	-20.34978	-36.89952	-26.076471	2.7096643	-20.168732	-37.075676	25.32188	0.12527736	183.4550130367279
19	-207.85	13.706068	-163.3672	-223.62157	-207.55722	9.294459	-192.027	-218.7934	110.0	110.0	31349	-27.147629	2.7240722	-21.327774	-38.305786	-27.147627	2.724709	-21.24356	-38.160984	26.436535	0.12370286	193.63418817520142
