Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-308.17987	20.187044	-264.4855	-337.3132	-212.69963	13.032651	-181.50455	-229.64784	110.0	110.0	1649	-3.2171617	0.5664474	0.24002706	-5.5292406	-3.2135892	0.5825102	0.39567113	-5.449685	2.868599	0.30302656	6.6674134731292725
2	-313.41815	24.792442	-283.80414	-366.31613	-208.11777	11.076419	-190.19745	-219.34375	110.0	110.0	3299	-4.440439	0.76298994	-2.2909133	-8.015258	-4.44041	0.7624596	-2.284107	-7.9625216	3.974452	0.06778505	18.73534107208252
3	-311.9136	16.682142	-279.5105	-339.13147	-211.84402	12.310374	-182.56383	-223.72704	110.0	110.0	4949	-5.980912	0.92680717	-3.2400396	-10.646696	-5.980954	0.925917	-3.3445735	-10.564302	5.4507823	0.0593547	32.02748775482178
4	-314.77942	20.458551	-283.4394	-352.1462	-209.68413	9.811032	-188.42387	-223.6368	110.0	110.0	6599	-7.561823	1.1010643	-4.104924	-13.024424	-7.5619	1.1001983	-4.1705956	-12.883186	6.959108	0.061982907	46.20651292800903
5	-319.26105	20.694273	-291.83826	-362.28436	-207.87996	7.3409886	-196.19464	-219.09456	110.0	110.0	8249	-9.165095	1.2879419	-5.20212	-15.48169	-9.165164	1.2873598	-5.1829453	-15.516587	8.498747	0.06761912	58.67981696128845
6	-309.66568	21.023186	-278.34433	-353.5542	-207.85417	9.005765	-184.5958	-214.66196	110.0	110.0	9899	-10.715639	1.4463766	-6.3991637	-17.648643	-10.715692	1.4458627	-6.2169914	-17.590435	9.987915	0.07470014	71.04704284667969
7	-321.37363	38.10643	-283.3496	-386.97906	-213.82898	7.7551355	-193.07289	-221.46971	110.0	110.0	11549	-12.199178	1.6088517	-7.561737	-19.636692	-12.19918	1.6087464	-7.4928575	-19.549593	11.4174	0.08559957	83.12166333198547
8	-308.9513	23.169994	-273.913	-359.51932	-207.09302	10.302023	-183.48697	-218.54086	110.0	110.0	13199	-13.747018	1.7898259	-8.792208	-21.784319	-13.747122	1.7898742	-8.890651	-21.528896	12.910975	0.09584395	95.52583599090576
9	-317.2503	37.6637	-272.56854	-393.1945	-199.92242	11.378963	-175.4808	-216.69409	110.0	110.0	14849	-15.175626	1.9237281	-9.907514	-23.552864	-15.1756935	1.9242154	-9.896614	-23.511986	14.294555	0.107014365	107.48061275482178
10	-315.8304	26.983835	-276.0933	-376.6698	-209.91687	9.399089	-192.52493	-221.59225	110.0	110.0	16499	-16.60212	2.033549	-11.000984	-25.608696	-16.602135	2.03407	-10.999887	-25.799807	15.687658	0.11724941	119.5125343799591
11	-316.76758	26.09314	-270.0083	-373.81912	-212.26917	5.316683	-201.83185	-217.95277	110.0	110.0	18149	-18.018438	2.1155105	-11.865611	-27.402666	-18.018452	2.1161022	-11.986656	-27.488491	17.075727	0.12575486	131.64449453353882
12	-317.40018	28.784595	-283.84152	-391.4555	-208.12753	11.791393	-177.79897	-222.76463	110.0	110.0	19799	-19.36243	2.1713629	-13.109432	-28.495127	-19.362473	2.1721277	-13.131267	-28.570526	18.395723	0.13527024	144.11743092536926
13	-220.75153	40.471844	-169.83736	-339.3569	-206.99773	8.444831	-192.14821	-218.55855	110.0	110.0	21449	-20.588467	2.254477	-14.130304	-30.509115	-20.588457	2.2551918	-14.141381	-30.533772	19.633451	0.13846867	157.3122992515564
