Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-313.15024	30.902514	-285.89468	-393.56775	-212.65527	5.605266	-205.50876	-225.20459	110.0	110.0	1649	-3.2415962	0.60054666	0.037929006	-5.5984955	-3.2381647	0.60076374	0.11227354	-5.5392737	2.8541946	0.24019271	10.291993618011475
2	-299.42743	12.86483	-280.04382	-322.3675	-210.4512	14.065796	-177.82861	-225.27263	110.0	110.0	3299	-4.283775	0.75136155	-2.220408	-7.900514	-4.2837653	0.7501084	-2.2753487	-7.890619	3.817937	0.048965856	34.7085657119751
3	-311.67224	26.948175	-275.20218	-364.2545	-213.09695	6.819069	-198.91983	-226.44115	110.0	110.0	4949	-5.7306623	0.9058638	-3.2109942	-10.190061	-5.730646	0.9038618	-3.2828524	-10.145718	5.2039595	0.047326475	58.761977195739746
4	-312.88132	29.04655	-271.46585	-387.78107	-210.45981	8.933896	-195.30782	-222.74217	110.0	110.0	6599	-7.308393	1.1367168	-4.1674438	-12.884128	-7.3084416	1.1349856	-4.2328744	-12.956833	6.721955	0.0564344	81.99018836021423
5	-324.89578	28.924763	-284.9152	-386.78394	-204.955	11.865634	-178.82962	-215.7731	110.0	110.0	8249	-8.907217	1.3658347	-5.31822	-14.868346	-8.907259	1.3643417	-5.2512746	-14.95582	8.253071	0.06757329	104.97910737991333
6	-305.4929	16.0249	-279.93607	-335.44098	-207.74268	6.503498	-200.20798	-218.61003	110.0	110.0	9899	-10.497318	1.519423	-6.3955193	-17.81714	-10.497382	1.5178947	-6.5607357	-17.692099	9.779439	0.07884454	128.0335419178009
7	-313.16608	26.636015	-268.0043	-385.41803	-213.1541	5.3357553	-203.91231	-219.86926	110.0	110.0	11549	-12.005552	1.6418419	-7.5759587	-20.277962	-12.005532	1.6403532	-7.668183	-20.211592	11.234343	0.09163248	151.18546724319458
8	-309.9732	26.266092	-287.8566	-370.1276	-210.58334	7.012752	-194.44586	-219.74554	110.0	110.0	13199	-13.499178	1.7825723	-8.878088	-22.055044	-13.499265	1.7814075	-8.998991	-22.071434	12.670578	0.102831535	174.7721836566925
9	-307.57382	24.87776	-278.0449	-375.50372	-206.6322	8.841253	-184.831	-215.74094	110.0	110.0	14849	-14.932696	1.8848027	-10.026668	-24.105978	-14.932673	1.8832799	-10.231189	-24.00649	14.064403	0.11794462	198.71048140525818
10	-310.1314	29.919071	-280.42667	-385.58875	-211.866	4.5049534	-203.8694	-218.5489	110.0	110.0	16499	-16.354952	1.9730409	-11.24071	-25.658052	-16.355032	1.9717453	-11.143882	-25.498575	15.454425	0.12921616	221.96083664894104
11	-320.61682	23.025755	-283.5009	-364.5077	-213.77658	5.0429163	-206.60019	-223.58687	110.0	110.0	18149	-17.743422	2.0360525	-12.483784	-27.531977	-17.743431	2.0347736	-12.405561	-27.113235	16.814295	0.14190052	246.26904153823853
12	-306.9291	15.055628	-279.40546	-336.00183	-204.61977	14.644125	-169.97142	-219.57455	110.0	110.0	19799	-19.110107	2.0965285	-13.3928385	-28.851547	-19.1101	2.0954628	-13.521104	-28.699945	18.149574	0.15327926	270.0763430595398
13	-221.15202	31.201557	-193.87117	-307.69568	-206.16568	12.082952	-182.87941	-220.50584	110.0	110.0	21449	-20.333637	2.1524353	-14.638542	-29.726866	-20.3337	2.1512585	-14.722551	-29.587929	19.38944	0.1522085	295.83473014831543
14	-211.67944	13.858233	-175.32968	-224.2517	-208.05318	8.04965	-195.86177	-222.10406	110.0	110.0	23099	-21.372293	2.2825499	-15.018683	-31.894882	-21.372326	2.2814834	-15.630689	-31.290003	20.488167	0.14623764	322.6332538127899
15	-209.07028	10.6368475	-190.41368	-223.10995	-214.43144	5.583224	-205.05838	-221.2461	110.0	110.0	24749	-22.466885	2.3605752	-16.495737	-33.39973	-22.466986	2.359239	-16.877573	-32.860497	21.635643	0.14141853	348.4033257961273
16	-206.67003	11.377405	-181.03076	-221.65414	-201.31424	13.114247	-166.69005	-216.1925	110.0	110.0	26399	-23.523697	2.436882	-17.777298	-34.5368	-23.523762	2.4354863	-17.519459	-34.13862	22.727262	0.14090097	374.34264945983887
17	-206.44849	13.548588	-174.45482	-222.88863	-213.04839	9.38053	-196.12819	-229.53229	110.0	110.0	28049	-24.597336	2.4983234	-18.322117	-35.321922	-24.59738	2.496885	-18.28875	-35.439205	23.840307	0.14028615	400.6855034828186
18	-209.43484	13.677252	-175.837	-225.11928	-208.3542	11.955866	-176.45064	-218.92784	110.0	110.0	29699	-25.676374	2.53793	-19.413216	-37.104794	-25.67648	2.5361707	-19.30449	-36.91776	24.963371	0.14160019	427.26507115364075
19	-209.16165	8.603281	-193.0224	-224.46158	-206.66289	7.1892333	-194.54814	-216.93172	110.0	110.0	31349	-26.781952	2.5688205	-20.592665	-38.135265	-26.781984	2.567371	-20.476261	-37.838593	26.103685	0.14059849	452.93543696403503
