Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-278.95618	21.41563	-239.8057	-330.94525	-210.74788	6.5948567	-197.4261	-218.00648	110.0	110.0	1649	-4.183239	1.222559	0.20414364	-8.083366	-4.1792173	1.2306709	0.19007018	-7.9542303	3.9064183	0.5004245	6.096874952316284
2	-285.51328	25.15961	-251.61438	-343.8905	-206.42146	10.149522	-186.78514	-218.77724	110.0	110.0	3299	-9.786121	2.505075	-4.2683105	-18.329487	-9.786073	2.505218	-4.329912	-18.268003	9.286579	0.1247559	14.923657178878784
3	-289.65765	24.406311	-241.63829	-330.79373	-211.61142	5.6920066	-199.76378	-220.07494	110.0	110.0	4949	-17.491453	2.6998518	-10.35531	-27.395145	-17.491375	2.700553	-10.338446	-27.389793	16.759645	0.10656849	25.499348163604736
4	-287.55118	19.561052	-249.7002	-321.53207	-206.5931	12.991201	-180.18558	-219.04593	110.0	110.0	6599	-24.736143	2.7363298	-16.772297	-34.873177	-24.73615	2.7368612	-16.907158	-34.969303	23.937893	0.12412723	36.48559761047363
5	-286.22028	27.571533	-253.51718	-366.42505	-202.09523	10.805403	-180.33342	-216.25224	110.0	110.0	8249	-31.712519	2.772165	-23.548645	-42.484283	-31.712461	2.7724047	-23.433094	-42.81279	30.880743	0.13974352	48.00420355796814
6	-281.75574	31.090157	-242.68703	-335.51483	-208.64603	5.9488616	-199.97238	-217.67273	110.0	110.0	9899	-38.40592	2.802603	-30.165525	-49.235558	-38.405926	2.8028584	-30.042133	-49.431767	37.589924	0.15099037	59.40358638763428
7	-289.67746	23.7699	-248.92711	-328.68362	-204.66061	8.304799	-188.60654	-217.56609	110.0	110.0	11549	-45.10975	2.9163291	-36.446926	-56.213936	-45.1097	2.9163542	-36.323215	-56.466637	44.287075	0.16885021	70.04758310317993
8	-283.402	18.039383	-258.05334	-322.9121	-210.00046	6.018205	-196.55768	-216.53038	110.0	110.0	13199	-51.790062	3.027168	-42.32316	-63.11094	-51.790157	3.0279167	-42.304054	-63.58186	50.948982	0.18622024	79.48459148406982
9	-297.62097	26.437096	-242.25453	-340.7996	-200.71628	17.579767	-157.67676	-217.58784	110.0	110.0	14849	-58.353	3.148418	-48.78253	-70.01998	-58.353123	3.1498098	-48.639538	-70.659836	57.517593	0.20011726	89.35184454917908
10	-288.69516	25.620066	-245.55806	-339.0106	-206.59724	6.8019943	-194.7294	-216.37804	110.0	110.0	16499	-64.81508	3.2671022	-54.43038	-77.303566	-64.81507	3.2683516	-54.296017	-77.81063	63.95316	0.22544204	100.21890020370483
11	-285.21576	25.126781	-247.8026	-350.51822	-201.32611	6.3107505	-190.27849	-210.27753	110.0	110.0	18149	-71.04012	3.360282	-60.060238	-83.79673	-71.040215	3.3615541	-59.97325	-83.95426	70.172005	0.2440619	109.92354321479797
12	-285.02606	24.295692	-250.46881	-335.40234	-203.3185	7.410496	-191.74371	-215.39781	110.0	110.0	19799	-77.12867	3.4968076	-65.77247	-90.81091	-77.12876	3.497603	-66.05605	-90.93943	76.24011	0.25997382	119.812819480896
13	-205.77377	22.893501	-172.22084	-260.76422	-203.2957	10.965305	-181.11453	-217.39243	110.0	110.0	21449	-82.952705	3.6135914	-71.48848	-98.12862	-82.95275	3.6144078	-71.60468	-98.057045	82.08444	0.27015027	129.69633865356445
14	-198.60104	12.548264	-168.88295	-213.83719	-196.70702	18.288324	-152.78432	-219.83615	110.0	110.0	23099	-88.549324	3.8483322	-76.55226	-103.72059	-88.54937	3.8495889	-76.724045	-103.946014	87.74411	0.26541552	139.64578986167908
15	-201.66042	15.628046	-157.47577	-216.09818	-207.97632	13.63723	-170.37741	-220.24918	110.0	110.0	24749	-93.98911	4.057826	-82.20546	-110.12621	-93.9892	4.059233	-81.99118	-110.52794	93.1986	0.2623937	149.41819262504578
16	-188.79489	16.506931	-162.60828	-212.5283	-202.92508	13.645439	-177.65227	-218.61375	110.0	110.0	26399	-99.297325	4.2192063	-87.67996	-116.74059	-99.29738	4.2205	-87.76543	-116.46478	98.570435	0.26366448	159.20833826065063
17	-199.05898	14.610765	-164.34528	-217.71785	-204.21228	9.124885	-188.0241	-217.42586	110.0	110.0	28049	-104.48516	4.4105883	-92.617905	-122.04313	-104.48519	4.412212	-92.616005	-121.92241	103.78907	0.268708	169.60849356651306
18	-206.25716	9.151784	-179.98352	-215.98979	-194.78394	25.161896	-133.96231	-213.2568	110.0	110.0	29699	-109.59108	4.5602493	-97.231926	-127.0089	-109.59112	4.561509	-97.30173	-127.105644	108.92769	0.27332938	179.60669326782227
19	-190.82523	17.258417	-161.05595	-214.66624	-200.16193	12.490571	-174.02232	-217.31203	110.0	110.0	31349	-114.656204	4.686411	-102.118515	-132.7422	-114.65623	4.6875668	-102.172325	-133.51776	114.01473	0.28216478	192.47618985176086
20	-200.16006	9.902518	-181.77353	-216.41928	-201.14142	5.5751963	-193.4932	-209.84138	110.0	110.0	32999	-119.57317	4.8354836	-106.96428	-138.6727	-119.57308	4.8369246	-107.0286	-139.47096	118.94697	0.28906137	202.7829396724701
21	-198.44778	16.648111	-164.69133	-217.9041	-197.94319	10.080236	-184.0364	-214.98462	110.0	110.0	34649	-124.44244	4.9533668	-111.64502	-144.02911	-124.44251	4.95459	-111.78817	-144.58723	123.84214	0.3004956	212.90202832221985
22	-196.8037	13.470252	-171.6411	-214.78271	-191.82593	9.943255	-170.92943	-207.45331	110.0	110.0	36299	-129.18703	5.0523953	-116.114	-150.2278	-129.18704	5.05438	-116.10339	-150.56938	128.63013	0.3052721	222.98176884651184
23	-202.26009	8.924824	-183.53465	-212.32405	-194.72852	11.731063	-178.13823	-210.81007	110.0	110.0	37949	-133.74551	5.254182	-119.9724	-154.52794	-133.7454	5.2557764	-120.16291	-154.67383	133.19954	0.31890085	234.0408957004547
24	-189.05656	20.083042	-137.9808	-216.98425	-192.43362	12.19372	-167.60019	-209.51952	110.0	110.0	39599	-138.23235	5.369792	-124.51875	-160.66177	-138.23235	5.370872	-124.52941	-160.84258	137.7061	0.3226265	244.82125091552734
25	-190.2401	15.144795	-170.45296	-214.88257	-196.90962	13.238739	-166.79842	-216.045	110.0	110.0	41249	-142.63376	5.4775004	-128.40689	-165.18619	-142.63376	5.4784207	-128.59752	-165.65099	142.1216	0.3323234	255.68081617355347
26	-190.75253	13.266123	-152.48735	-211.3978	-200.23203	10.578785	-181.80556	-215.87863	110.0	110.0	42899	-146.87367	5.6153975	-132.43837	-169.30489	-146.8737	5.616262	-132.382	-169.60631	146.35983	0.34568915	266.296345949173
27	-190.67767	18.026499	-138.23639	-213.52234	-178.72116	15.666861	-147.75581	-197.859	110.0	110.0	44549	-150.95169	5.774172	-136.07948	-174.25514	-150.95169	5.7753143	-136.20363	-174.42764	150.43735	0.3508613	277.40547823905945
28	-194.40314	19.533882	-141.11978	-222.25864	-191.58829	19.489239	-144.8464	-208.29996	110.0	110.0	46199	-155.02608	5.87571	-139.79466	-178.68837	-155.02608	5.876886	-139.913	-179.14706	154.50777	0.36720887	290.4591176509857
29	-191.70306	17.281696	-153.83107	-213.93866	-181.93402	17.19484	-150.65662	-202.9996	110.0	110.0	47849	-158.95372	6.010291	-143.36989	-182.02306	-158.9536	6.0113792	-143.34581	-182.2001	158.47461	0.38167953	304.20981001853943
30	-197.996	14.961303	-148.58443	-215.2342	-185.28955	21.408972	-132.94328	-205.78857	110.0	110.0	49499	-162.88083	6.1611624	-147.0577	-186.58849	-162.88083	6.1629176	-147.08205	-186.53397	162.41278	0.3902994	314.24653005599976
31	-194.16583	13.430832	-165.46968	-210.51639	-197.41866	16.570393	-159.37427	-214.64658	110.0	110.0	51149	-166.65741	6.2879686	-150.41135	-191.14003	-166.65741	6.2892604	-150.53372	-191.35329	166.18163	0.39958566	326.071893453598
32	-185.64285	15.243691	-145.42735	-215.63411	-179.71397	20.875904	-153.08276	-208.3351	110.0	110.0	52799	-170.3706	6.4088316	-153.76924	-195.64789	-170.37064	6.410356	-153.76726	-195.92323	169.90234	0.40983206	336.0845229625702
33	-194.0002	14.100957	-165.24057	-211.213	-181.18619	18.779648	-145.7057	-204.9046	110.0	110.0	54449	-173.97763	6.550103	-156.89682	-199.90446	-173.97745	6.5517707	-157.20169	-200.19588	173.523	0.43134636	345.36998653411865
34	-181.89134	21.585533	-145.70703	-211.8984	-189.05916	11.125671	-165.59178	-209.33382	110.0	110.0	56099	-177.47495	6.727248	-160.02127	-203.67918	-177.47499	6.72865	-159.96066	-203.76067	177.0196	0.4320718	354.85347986221313
35	-186.39792	24.796736	-138.96721	-217.76273	-189.06052	14.982174	-154.04381	-210.66891	110.0	110.0	57749	-180.89981	6.939281	-163.05305	-207.68364	-180.89975	6.941601	-163.32251	-208.20143	180.42519	0.443086	364.93426752090454
