Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-310.92612	21.378649	-285.19797	-363.45795	-209.68234	19.379004	-153.73196	-222.9264	110.0	110.0	1649	-4.612419	1.3393524	0.26220116	-9.105476	-4.61351	1.33656	0.17169018	-8.973907	4.29247	0.5869885	4.9255876541137695
2	-316.41135	22.211588	-291.06805	-358.40637	-210.51302	7.0781403	-201.21707	-221.95665	110.0	110.0	3299	-10.693097	2.7362785	-5.002247	-20.40711	-10.692914	2.7365053	-4.9820004	-20.292315	10.115168	0.14375702	12.445376634597778
3	-316.8033	23.817772	-287.93137	-360.87994	-212.15942	8.688493	-192.90868	-222.60193	110.0	110.0	4949	-19.160158	3.016127	-11.566712	-30.65048	-19.160076	3.0158103	-11.604048	-30.597425	18.391546	0.16177218	21.744105339050293
4	-323.25977	19.720455	-284.96536	-361.96982	-208.00406	8.351253	-193.52634	-219.02066	110.0	110.0	6599	-27.170713	3.220175	-18.338879	-39.197346	-27.170794	3.2203078	-18.29197	-38.98564	26.258404	0.1944389	31.27796244621277
5	-319.77438	33.188267	-276.73642	-401.34473	-207.25056	12.948052	-178.03065	-224.19115	110.0	110.0	8249	-34.72682	3.3128264	-24.833755	-47.4283	-34.726837	3.3130584	-24.653957	-47.65967	33.739147	0.21437216	40.79289793968201
6	-315.51022	26.89382	-277.7475	-370.9158	-209.05908	11.203447	-186.24323	-222.84454	110.0	110.0	9899	-41.98328	3.3427253	-31.232769	-54.832348	-41.983456	3.3422544	-31.07434	-54.81298	40.96502	0.23407479	50.576820373535156
7	-309.35846	27.357296	-269.276	-377.70355	-208.02567	15.448602	-162.84996	-220.60228	110.0	110.0	11549	-48.971073	3.3302705	-37.93794	-61.870853	-48.971146	3.3296776	-37.72607	-61.842022	47.94047	0.25656506	60.12782311439514
8	-309.5397	19.529806	-277.5053	-355.56268	-207.7889	10.010174	-183.44554	-217.14081	110.0	110.0	13199	-55.87702	3.3529587	-44.23597	-68.78058	-55.877083	3.3526468	-44.251377	-68.78275	54.839043	0.26891273	69.30823564529419
9	-318.9668	21.965673	-282.58038	-365.14386	-210.40694	10.761742	-186.852	-221.81337	110.0	110.0	14849	-62.70691	3.3984687	-50.270725	-76.15578	-62.706993	3.397891	-50.322536	-76.06042	61.686317	0.28340146	77.89581322669983
10	-318.34457	28.834602	-275.47873	-370.20297	-211.11418	6.706334	-194.51927	-218.2186	110.0	110.0	16499	-69.45659	3.4499605	-57.00298	-82.74998	-69.45657	3.449785	-57.251217	-82.886856	68.42393	0.30393195	85.4507577419281
11	-316.58978	31.09059	-269.80048	-392.9121	-201.30661	22.836084	-138.66473	-221.36282	110.0	110.0	18149	-76.02577	3.5250869	-63.391834	-89.68841	-76.025925	3.524093	-63.394505	-89.75744	74.99806	0.31671447	93.65659689903259
12	-314.6423	28.542044	-273.07013	-372.7033	-208.79861	8.256769	-192.3374	-217.45947	110.0	110.0	19799	-82.48513	3.6213622	-69.87842	-95.95282	-82.48524	3.6211197	-69.97561	-95.83543	81.44689	0.32422185	101.10302448272705
13	-225.09772	41.877495	-188.7014	-348.47333	-211.51273	7.143344	-197.6533	-222.12363	110.0	110.0	21449	-88.71628	3.726042	-76.25078	-102.489044	-88.71627	3.7252302	-76.41183	-102.72712	87.70371	0.32978234	108.92587304115295
14	-212.12354	13.346673	-177.57211	-226.15585	-207.23267	10.435609	-182.83635	-225.08841	110.0	110.0	23099	-94.627716	3.9348998	-82.53226	-109.25214	-94.62775	3.9350727	-82.58234	-109.305176	93.68037	0.31709495	116.27518320083618
15	-207.28354	15.940066	-165.58524	-220.6115	-211.2655	7.2170606	-200.0669	-220.73268	110.0	110.0	24749	-100.49221	4.12928	-88.08997	-115.126785	-100.49223	4.1280813	-88.269196	-114.986015	99.60414	0.31909132	123.77564001083374
16	-203.75359	15.326032	-172.95856	-219.27457	-210.88135	5.04686	-204.23228	-221.61917	110.0	110.0	26399	-106.20723	4.249588	-93.58483	-121.69289	-106.2073	4.2492895	-93.59427	-121.70779	105.35928	0.31325507	131.24043726921082
17	-209.24966	8.278638	-191.96655	-219.65388	-198.4643	11.60522	-180.81862	-213.48521	110.0	110.0	28049	-111.73546	4.392525	-98.97767	-127.53851	-111.73554	4.3922606	-99.049126	-127.59519	110.94469	0.31464773	140.199556350708
18	-209.54062	12.851242	-180.85771	-225.6496	-205.94585	10.396718	-183.76083	-219.41928	110.0	110.0	29699	-117.18341	4.521798	-104.1031	-134.30103	-117.1834	4.522024	-104.2705	-134.80154	116.43831	0.31060055	149.63759326934814
19	-208.76137	9.840331	-184.49892	-220.74225	-200.43262	18.088278	-157.1685	-220.7229	110.0	110.0	31349	-122.51219	4.635252	-109.44081	-139.92232	-122.51227	4.635381	-109.47154	-140.25146	121.79102	0.3208221	159.20272135734558
20	-213.94635	7.2506237	-198.09128	-226.85103	-203.91763	13.372627	-168.6737	-216.48677	110.0	110.0	32999	-127.75793	4.6989617	-114.423836	-145.84958	-127.757935	4.6994624	-114.55914	-146.14334	127.06937	0.32266706	168.23226714134216
21	-202.45013	15.151239	-167.50157	-220.3248	-202.22946	18.911617	-157.65404	-217.31345	110.0	110.0	34649	-132.9282	4.7620463	-119.36249	-152.20699	-132.92812	4.7633905	-119.332436	-151.31795	132.26776	0.33657378	176.81152820587158
22	-212.30191	9.133425	-188.70827	-223.6947	-191.2927	24.429945	-145.87108	-216.84769	110.0	110.0	36299	-137.9451	4.851697	-124.26404	-157.35329	-137.94514	4.8531747	-124.110794	-157.37943	137.32787	0.34632036	184.25980257987976
23	-208.08817	11.688479	-177.1343	-223.21164	-212.54924	7.6264753	-197.88846	-221.3846	110.0	110.0	37949	-142.82358	4.954325	-129.308	-162.59357	-142.82352	4.9548564	-128.81075	-162.9645	142.2075	0.35874528	191.7595865726471
24	-201.52191	15.915379	-165.70949	-220.63382	-207.09146	8.954137	-184.17221	-218.86655	110.0	110.0	39599	-147.6187	5.067558	-133.7356	-168.23795	-147.61885	5.067699	-133.71179	-168.55232	147.0208	0.3704098	199.17945647239685
25	-208.29561	10.258441	-188.38173	-220.60857	-203.1401	11.636721	-177.93901	-216.1992	110.0	110.0	41249	-152.33574	5.1634426	-138.11345	-174.19934	-152.3358	5.164138	-138.35616	-174.99623	151.7642	0.3777451	206.97800540924072
26	-209.17145	9.436327	-185.41985	-224.18242	-205.46725	10.857668	-182.0908	-220.33281	110.0	110.0	42899	-156.93898	5.242203	-142.64764	-179.5802	-156.9389	5.2429295	-142.71649	-179.73137	156.3698	0.3846649	214.79912900924683
27	-203.66283	14.646697	-174.09077	-223.18489	-194.05219	21.63871	-159.43275	-220.74304	110.0	110.0	44549	-161.48613	5.2972603	-146.94217	-183.87874	-161.4862	5.2971315	-146.94824	-184.4383	160.94981	0.40399748	222.65818881988525
28	-202.78563	15.441885	-175.22762	-224.47815	-192.0826	15.025683	-158.54564	-219.68082	110.0	110.0	46199	-165.91527	5.381043	-151.32826	-188.68597	-165.91527	5.3815155	-151.29019	-188.51224	165.40384	0.41176203	230.48899340629578
29	-207.07999	11.395207	-186.23666	-222.42152	-196.56416	13.913714	-166.79842	-216.57445	110.0	110.0	47849	-170.19385	5.4373	-155.51485	-193.84619	-170.19391	5.438103	-155.49596	-194.11214	169.68147	0.409473	237.9333622455597
30	-199.77988	15.758034	-176.19159	-225.65985	-198.08405	11.288289	-175.48569	-212.6808	110.0	110.0	49499	-174.3737	5.5599446	-159.60126	-199.83998	-174.37369	5.5611296	-159.36868	-199.99797	173.85362	0.41954258	245.75096344947815
31	-198.48027	23.459948	-133.26692	-224.58263	-195.15677	11.667605	-170.25977	-207.93932	110.0	110.0	51149	-178.51752	5.6553216	-163.61526	-201.96266	-178.5175	5.656504	-163.78561	-202.20473	178.03264	0.43402755	253.40683722496033
32	-203.98668	11.263066	-183.81319	-223.46011	-199.37428	16.953188	-161.87238	-222.23007	110.0	110.0	52799	-182.49168	5.7921767	-167.3886	-209.81807	-182.49164	5.7934012	-167.32668	-210.48123	182.04106	0.44811717	260.918949842453
33	-197.6651	18.881903	-142.65565	-216.06493	-200.72304	12.268201	-174.1985	-220.73555	110.0	110.0	54449	-186.40712	5.8905106	-171.36461	-214.52179	-186.4072	5.892269	-171.05937	-214.78305	185.9412	0.45311356	268.2995779514313
34	-197.74911	22.97302	-129.74483	-221.672	-199.6477	26.466923	-122.84408	-214.47879	110.0	110.0	56099	-190.20627	6.0170803	-174.86569	-218.24394	-190.20622	6.0189805	-174.87915	-219.30634	189.70967	0.45967957	275.7285454273224
35	-207.42412	12.118083	-183.7248	-222.64226	-209.43127	8.885333	-195.34009	-223.12526	110.0	110.0	57749	-193.93633	6.1387253	-178.44019	-219.41481	-193.93623	6.1407857	-178.17424	-219.35077	193.48651	0.46955675	283.45386600494385
36	-205.37872	13.813725	-169.31628	-220.55038	-188.31549	19.717916	-145.37367	-220.71887	110.0	110.0	59399	-197.5809	6.218002	-181.61122	-226.66547	-197.58084	6.220592	-181.36874	-226.38359	197.1014	0.47517866	291.366170167923
37	-210.68234	11.586758	-188.4075	-226.69397	-199.98283	16.353975	-158.33383	-219.63	110.0	110.0	61049	-201.21057	6.307416	-184.50768	-229.69044	-201.21057	6.3084645	-184.57785	-229.44014	200.76656	0.48388538	299.2271134853363
38	-192.95663	15.408201	-172.10687	-220.94193	-191.19647	10.159709	-176.60385	-213.58609	110.0	110.0	62699	-204.70096	6.378484	-187.59659	-232.678	-204.701	6.380499	-187.59903	-232.20113	204.27594	0.49327374	306.9132516384125
39	-205.22409	9.813213	-178.11623	-219.26025	-190.13007	24.435982	-123.85688	-212.94969	110.0	110.0	64349	-208.1279	6.501187	-190.80142	-237.28416	-208.12794	6.5035906	-190.76318	-237.37874	207.68295	0.49915445	314.3371350765228
40	-202.61617	10.334465	-183.67207	-219.72144	-185.58244	24.76202	-132.38487	-220.11931	110.0	110.0	65999	-211.48964	6.6288185	-193.62068	-243.69803	-211.48947	6.630991	-193.55984	-243.75822	211.04694	0.50311124	321.8986611366272
41	-196.787	24.834726	-122.30942	-224.83037	-195.0028	13.851848	-171.66747	-216.74562	110.0	110.0	67649	-214.76358	6.7154307	-196.51738	-247.35497	-214.76366	6.7162657	-196.50093	-246.45023	214.31126	0.51687974	329.90259528160095
