Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-321.6396	22.744976	-289.65585	-365.71808	-209.55315	10.393457	-190.3787	-220.86188	110.0	110.0	1649	-4.7665873	1.3496622	0.25483376	-9.209835	-4.7701774	1.3466256	0.08183581	-9.208577	4.392526	0.6471425	4.8020148277282715
2	-325.78915	30.865778	-288.29022	-385.9268	-213.86502	8.693326	-191.8382	-222.50697	110.0	110.0	3299	-11.022425	2.8671854	-4.6523914	-21.16823	-11.022426	2.868725	-4.8256335	-21.352657	10.404569	0.14903718	12.849487543106079
3	-320.17108	27.954153	-275.30005	-392.2854	-203.82883	11.899539	-180.7529	-217.23073	110.0	110.0	4949	-19.696138	3.1836822	-11.607806	-31.419151	-19.696081	3.1842384	-11.649074	-31.529667	18.86058	0.16571988	20.84364891052246
4	-314.52435	18.210907	-295.9327	-366.20724	-211.37378	6.0368376	-201.3868	-219.35977	110.0	110.0	6599	-27.831007	3.3725743	-18.951674	-40.526474	-27.831009	3.3726976	-19.033878	-40.55734	26.836061	0.20774624	28.41296100616455
5	-309.17938	13.825059	-291.13388	-343.36276	-207.30217	12.529758	-182.80234	-221.89276	110.0	110.0	8249	-35.66708	3.498746	-26.3745	-49.073315	-35.667126	3.497904	-26.407068	-49.18634	34.632896	0.2203566	36.45349621772766
6	-317.62775	26.50491	-283.15152	-375.81238	-207.83273	9.869651	-182.13403	-218.0063	110.0	110.0	9899	-43.468575	3.6571367	-34.136105	-57.931732	-43.46863	3.6559386	-34.28438	-57.75988	42.42463	0.23329528	44.120893478393555
7	-330.40228	25.229557	-271.80234	-363.61905	-211.22903	7.441918	-196.68817	-218.30734	110.0	110.0	11549	-51.42591	3.747398	-41.70541	-66.3324	-51.425926	3.7463741	-41.67456	-66.20716	50.356163	0.25858542	52.47877383232117
8	-318.37952	17.118044	-299.7979	-354.89102	-200.49425	15.104127	-174.92046	-221.13326	110.0	110.0	13199	-59.23705	3.75191	-49.034206	-74.06303	-59.23705	3.750314	-48.885345	-74.09529	58.17327	0.2733182	60.44453954696655
9	-325.13776	25.882944	-288.8656	-383.8274	-206.56209	9.903755	-190.37776	-218.16913	110.0	110.0	14849	-67.00983	3.8633695	-56.283638	-81.97716	-67.00983	3.8612647	-56.371593	-82.17974	65.93733	0.29382113	68.41907501220703
10	-313.0049	15.398814	-292.483	-351.21896	-208.34512	9.7663145	-181.62117	-218.4137	110.0	110.0	16499	-74.7021	3.9484212	-63.22936	-90.23946	-74.70213	3.9465182	-63.30049	-90.456055	73.6361	0.30463794	76.23579120635986
