Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-313.57242	18.9375	-282.66052	-366.49863	-215.76155	19.17558	-177.93289	-252.59976	110.0	110.0	1649	-4.772556	1.3345921	0.21169052	-8.993438	-4.7758203	1.3269881	0.13639504	-8.852475	4.3492265	0.3715781	5.2579779624938965
2	-322.1235	30.57344	-286.3122	-390.9001	-215.3166	5.289892	-205.38824	-223.10454	110.0	110.0	3299	-10.958856	2.793751	-4.6461706	-22.445374	-10.95908	2.7932274	-4.735927	-22.285095	10.3178835	0.13023305	14.73947548866272
3	-314.52972	15.405609	-289.0961	-343.60455	-213.3783	5.117524	-206.67958	-222.79962	110.0	110.0	4949	-19.26151	3.0716841	-10.473526	-31.928488	-19.261547	3.0719125	-10.502797	-31.766294	18.441467	0.13485849	24.366088390350342
4	-321.4151	27.41484	-279.96878	-376.62573	-206.45255	8.753516	-190.30043	-216.85933	110.0	110.0	6599	-27.121778	3.2538376	-16.908756	-41.02203	-27.121834	3.2539418	-16.823408	-40.484512	26.144318	0.14822695	33.17264699935913
5	-326.9008	32.76855	-265.9041	-382.6973	-205.50662	11.225212	-184.66508	-218.31381	110.0	110.0	8249	-34.494255	3.4085233	-23.244642	-49.066612	-34.494255	3.408693	-23.255154	-48.828144	33.431274	0.16571477	42.72183394432068
6	-321.2908	30.70761	-274.38846	-396.77457	-209.68648	12.108683	-175.00674	-218.87859	110.0	110.0	9899	-41.572865	3.41482	-29.63584	-55.966866	-41.572933	3.414859	-29.595758	-56.039684	40.49146	0.18764612	52.33526659011841
7	-307.08777	18.388636	-282.11212	-349.78763	-209.26387	6.298734	-196.22481	-220.0428	110.0	110.0	11549	-48.395756	3.3818107	-35.91139	-63.061672	-48.39576	3.3816333	-35.75368	-62.9166	47.307922	0.19841476	61.71601891517639
8	-325.89514	30.934502	-292.8964	-383.50305	-208.48128	15.197507	-178.45287	-224.56442	110.0	110.0	13199	-55.158916	3.5020142	-41.878773	-70.031006	-55.15897	3.5019066	-41.69109	-69.98388	54.066563	0.22093897	70.54417061805725
9	-302.8223	18.269632	-275.57483	-341.27774	-210.23296	9.813472	-189.96843	-221.5548	110.0	110.0	14849	-61.76849	3.5229118	-48.04602	-76.839455	-61.76849	3.522739	-48.040985	-76.88921	60.689102	0.23344283	80.17164134979248
10	-316.02133	15.0129795	-293.94803	-346.32962	-204.85962	11.332591	-177.35716	-221.36342	110.0	110.0	16499	-68.2337	3.6069684	-54.58877	-83.01077	-68.23377	3.6068873	-54.497856	-82.78444	67.142914	0.24193306	89.75610637664795
11	-326.77057	26.899242	-291.6723	-376.38928	-201.70877	15.134986	-180.83714	-220.55652	110.0	110.0	18149	-74.69599	3.7319593	-60.549202	-90.6739	-74.69593	3.7314503	-60.31583	-90.634895	73.6065	0.25598332	99.27278900146484
12	-330.76898	19.989025	-288.0413	-375.39798	-203.24307	20.911783	-144.8054	-220.45792	110.0	110.0	19799	-81.0623	3.9718287	-66.14433	-98.483795	-81.062355	3.9718473	-66.0279	-98.09083	79.96051	0.26895875	108.74546265602112
13	-226.88188	48.43362	-191.43141	-386.1229	-209.66739	10.363715	-186.33272	-221.922	110.0	110.0	21449	-87.10792	4.2557755	-71.828186	-106.148865	-87.107925	4.2556233	-71.76931	-105.84424	86.03879	0.27544466	118.3565788269043
14	-213.65526	3.7113132	-205.08733	-218.03542	-202.50455	11.510264	-178.8056	-214.40022	110.0	110.0	23099	-92.93704	4.5541735	-77.63356	-112.845215	-92.93698	4.5540066	-77.56945	-113.05699	91.9454	0.25931007	128.03861570358276
15	-210.59456	9.538892	-182.10135	-219.31105	-197.49463	28.26371	-125.09253	-220.5581	110.0	110.0	24749	-98.75626	4.73945	-83.648315	-120.28394	-98.756294	4.739095	-83.62214	-120.286835	97.83491	0.25448075	137.7320110797882
16	-212.93779	6.856605	-198.15536	-222.28989	-210.10054	7.692956	-194.73856	-222.55965	110.0	110.0	26399	-104.36246	4.935396	-89.041084	-126.88142	-104.36252	4.9353666	-88.90597	-126.21638	103.48598	0.2548015	146.74888920783997
17	-208.32733	10.963302	-177.25465	-221.44206	-201.83115	12.771453	-174.15714	-218.6058	110.0	110.0	28049	-109.8866	5.081587	-94.47032	-133.9804	-109.88663	5.081676	-94.6696	-133.83243	109.07961	0.24999273	156.63130474090576
18	-204.21219	17.02281	-161.73532	-226.39693	-209.55923	8.644642	-189.33278	-217.63675	110.0	110.0	29699	-115.41347	5.2285814	-99.83691	-139.92287	-115.41339	5.2292295	-99.814896	-139.64513	114.62693	0.25646162	165.76609826087952
19	-211.40701	11.229415	-188.8287	-226.70183	-205.44531	15.5270195	-166.6136	-222.88512	110.0	110.0	31349	-120.68566	5.3404083	-105.18377	-145.40308	-120.68571	5.340996	-105.1606	-145.24203	119.937416	0.2584755	175.4586672782898
20	-210.7553	10.14079	-192.90259	-225.6112	-195.12462	26.03815	-120.489555	-215.44107	110.0	110.0	32999	-125.90299	5.476562	-110.28644	-151.04968	-125.90287	5.47728	-110.32422	-150.65651	125.163635	0.26781544	185.14645743370056
21	-204.1848	12.770919	-175.50546	-218.05443	-202.76749	20.898478	-144.8113	-217.9645	110.0	110.0	34649	-130.88686	5.581815	-115.52159	-155.9438	-130.88686	5.583014	-115.36385	-155.8251	130.22125	0.27616578	194.91653990745544
22	-208.02264	11.946292	-173.4215	-218.04474	-204.50887	12.65698	-173.51106	-220.44669	110.0	110.0	36299	-135.85803	5.6708555	-120.09788	-161.76204	-135.85802	5.6715827	-120.3165	-161.73297	135.2044	0.27823287	204.56573700904846
23	-206.27762	14.608834	-161.08522	-220.7529	-203.86401	15.2674885	-173.02477	-220.608	110.0	110.0	37949	-140.7782	5.8137336	-125.04287	-166.57126	-140.77824	5.815282	-125.1463	-166.44763	140.12976	0.2874537	213.5166335105896
24	-204.63852	12.34019	-175.45735	-218.57578	-207.59526	11.051493	-187.93037	-225.97581	110.0	110.0	39599	-145.5458	5.890785	-129.95036	-171.91342	-145.54578	5.8919077	-130.07834	-171.88133	144.90541	0.29615504	223.25383520126343
25	-205.55536	13.688253	-162.9002	-220.58835	-198.87143	15.967572	-160.30347	-214.9534	110.0	110.0	41249	-150.18196	5.9630566	-134.73532	-176.46567	-150.18198	5.9638786	-134.90446	-177.333	149.57634	0.3109468	232.95798420906067
26	-197.44771	17.958284	-163.35512	-223.10098	-199.9591	15.053645	-173.0689	-224.42172	110.0	110.0	42899	-154.73187	6.08208	-139.03804	-181.37924	-154.73184	6.083182	-139.32016	-181.69717	154.16115	0.3170934	242.6516101360321
27	-196.20323	17.905363	-167.51326	-224.857	-210.58914	4.668614	-199.98921	-217.08334	110.0	110.0	44549	-159.09744	6.165391	-143.57153	-186.11063	-159.09747	6.166171	-143.60187	-186.48029	158.51895	0.32509366	251.70606875419617
28	-206.47104	10.58068	-182.01399	-217.41554	-196.33401	23.457817	-135.52739	-217.88913	110.0	110.0	46199	-163.46678	6.2344155	-147.58678	-190.74611	-163.46686	6.2360506	-147.70367	-191.36804	162.88936	0.34413305	260.6747672557831
29	-201.22983	14.095437	-173.33876	-221.7171	-202.02892	21.086271	-163.05417	-224.33647	110.0	110.0	47849	-167.60522	6.3246517	-151.48686	-194.69115	-167.60524	6.3256097	-151.59097	-195.21358	167.057	0.35052946	270.35006499290466
