Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-309.88156	21.672915	-279.96164	-359.46362	-212.67302	7.307757	-196.298	-221.0361	110.0	110.0	1649	-3.3258765	0.58835036	0.25084484	-5.431222	-3.3281424	0.5809888	0.13239473	-5.5061197	2.9878378	0.41606122	7.3962321281433105
2	-304.88345	20.350807	-276.31348	-361.9317	-214.72726	5.379926	-204.28674	-222.67621	110.0	110.0	3299	-4.5547304	0.772185	-2.509054	-7.7452197	-4.5547624	0.77153385	-2.4434388	-7.8601193	4.0824513	0.079946935	21.285983562469482
3	-312.3442	24.52822	-278.94016	-359.18866	-206.38652	9.558402	-182.80185	-220.08444	110.0	110.0	4949	-6.132354	0.9386273	-3.5640283	-10.894919	-6.13237	0.93817383	-3.6394267	-10.779195	5.6069183	0.06239183	35.031567335128784
4	-315.41678	20.107328	-291.77158	-351.99872	-210.40878	9.880978	-182.32889	-217.61807	110.0	110.0	6599	-7.7326736	1.11169	-4.7337003	-12.992863	-7.7326927	1.1114978	-4.753356	-13.026511	7.136739	0.06961324	48.725016593933105
5	-324.82825	30.112709	-289.66925	-375.59833	-208.89621	10.689369	-185.56297	-224.22606	110.0	110.0	8249	-9.4241295	1.3142229	-5.856252	-16.03296	-9.424176	1.3149625	-5.970123	-15.999076	8.764843	0.071424715	62.8249716758728
6	-318.39145	23.992735	-290.87225	-370.67847	-212.98747	4.877008	-204.57762	-222.31778	110.0	110.0	9899	-11.090685	1.5007486	-7.0050707	-18.561594	-11.090678	1.5016315	-7.1168056	-18.39088	10.356096	0.07533145	76.16601848602295
7	-308.90305	21.914888	-282.27567	-378.7137	-206.9449	9.757251	-189.57574	-221.40898	110.0	110.0	11549	-12.623915	1.620653	-8.352581	-20.3907	-12.62393	1.6211827	-8.377654	-20.214663	11.82806	0.08381649	89.64511966705322
8	-322.63196	27.875786	-288.1873	-368.31168	-208.64062	9.538145	-184.79897	-219.3332	110.0	110.0	13199	-14.174881	1.7677753	-9.625672	-21.926113	-14.1748905	1.768249	-9.606935	-22.09679	13.327472	0.09301014	103.14175844192505
9	-301.9434	19.52227	-278.53506	-363.80667	-212.36938	7.7278967	-194.91551	-223.82574	110.0	110.0	14849	-15.663859	1.8964363	-10.865698	-23.584105	-15.663849	1.8969895	-10.806948	-23.962994	14.770245	0.10060419	116.9020848274231
10	-321.7741	35.134377	-270.7607	-395.3832	-200.78778	15.007245	-166.76312	-218.05888	110.0	110.0	16499	-17.110744	2.003695	-12.022466	-25.40067	-17.110727	2.004311	-12.012624	-25.898739	16.201893	0.11114765	130.81951665878296
11	-314.05356	29.057463	-273.87668	-374.4368	-194.41476	16.654947	-162.83586	-221.61404	110.0	110.0	18149	-18.573614	2.0820482	-13.065411	-27.104729	-18.573679	2.0824602	-13.076496	-27.277628	17.627771	0.11849238	144.80326747894287
12	-315.67822	22.231974	-276.24844	-355.28476	-203.92859	8.726321	-193.73358	-219.72545	110.0	110.0	19799	-19.968294	2.1575842	-14.368519	-29.351187	-19.968279	2.158021	-14.365447	-29.215704	18.993423	0.12512125	158.25238800048828
13	-221.96191	38.54547	-188.29971	-319.35413	-202.63176	14.25931	-174.48924	-217.45587	110.0	110.0	21449	-21.26501	2.2543175	-15.390509	-30.750357	-21.265003	2.255051	-15.551584	-30.621204	20.305199	0.1251464	172.05248022079468
14	-206.60457	16.557007	-168.75815	-223.87396	-207.95732	8.374909	-197.13654	-221.69093	110.0	110.0	23099	-22.389309	2.4021766	-16.567307	-32.599987	-22.38931	2.4029205	-16.65681	-32.34187	21.472971	0.11953739	186.22840571403503
15	-210.29413	10.47884	-188.40622	-221.3747	-202.03401	16.361933	-159.34438	-217.31085	110.0	110.0	24749	-23.531736	2.4976437	-17.656385	-34.14067	-23.531729	2.4984381	-17.557102	-34.195877	22.671314	0.117647946	200.4254493713379
16	-205.18373	13.349715	-166.29678	-223.41139	-196.52925	16.688503	-171.54968	-220.06711	110.0	110.0	26399	-24.668694	2.5926878	-18.704346	-35.61406	-24.6686	2.59331	-18.758608	-35.47473	23.850157	0.11681336	214.62004399299622
17	-209.60878	10.9165535	-184.94069	-222.94052	-207.72095	7.0989695	-194.33107	-216.79736	110.0	110.0	28049	-25.816574	2.6549523	-19.694296	-36.940624	-25.816557	2.6555054	-19.710115	-36.882446	25.038347	0.1148682	228.7009093761444
18	-204.18684	16.08808	-151.98898	-220.16826	-206.56416	11.185365	-178.64351	-219.05832	110.0	110.0	29699	-26.992697	2.7104602	-20.6841	-38.526978	-26.992733	2.7111976	-20.66588	-38.580353	26.256107	0.114018954	242.5264856815338
19	-204.16423	13.86442	-174.99025	-221.13565	-205.18936	16.470535	-166.14697	-220.23065	110.0	110.0	31349	-28.143257	2.7602866	-21.612843	-39.99879	-28.143198	2.7610085	-21.675201	-39.9707	27.441418	0.11349529	256.9733316898346
20	-208.65895	12.444987	-182.00467	-224.63194	-205.64046	11.055968	-181.9679	-221.52817	110.0	110.0	32999	-29.304176	2.7981353	-22.562922	-41.45527	-29.304163	2.7988727	-22.638445	-41.07757	28.641829	0.113492005	271.54654598236084
21	-205.41585	8.757631	-186.26038	-223.40869	-202.65463	12.430926	-181.64542	-217.04988	110.0	110.0	34649	-30.450268	2.8482437	-23.5904	-42.67326	-30.4502	2.8490813	-23.585917	-42.834095	29.802017	0.11542425	285.824120759964
