Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-318.6855	21.803616	-281.08218	-360.86343	-211.50684	7.891164	-198.06691	-222.7868	110.0	110.0	1649	-3.3855596	0.58994293	0.16683418	-5.5993137	-3.3880432	0.5813688	0.1178886	-5.4681373	3.046459	0.39117458	7.160808324813843
2	-319.99857	20.525282	-289.61148	-359.83917	-214.11502	10.241287	-184.14659	-220.85394	110.0	110.0	3299	-4.6702495	0.78894144	-2.6015844	-8.107818	-4.6703873	0.7867009	-2.5739064	-8.075197	4.201971	0.07360238	20.79628276824951
3	-319.9159	26.961098	-288.1613	-379.42355	-213.5968	5.597218	-206.69518	-223.72604	110.0	110.0	4949	-6.268724	0.9674885	-3.6582236	-10.275642	-6.268726	0.9674637	-3.7485344	-10.262463	5.748167	0.067307204	33.62933802604675
4	-323.7524	26.749203	-282.10657	-378.2328	-207.79715	8.566685	-191.05794	-222.42126	110.0	110.0	6599	-7.873336	1.1563674	-4.7580156	-12.830469	-7.8733883	1.1563188	-4.7402573	-12.814013	7.2910867	0.07051542	46.724395990371704
5	-323.647	31.12215	-284.33603	-384.14725	-199.9705	18.925604	-156.65573	-218.67766	110.0	110.0	8249	-9.566465	1.3704301	-6.0227566	-15.316579	-9.566519	1.3703991	-5.8812356	-15.200082	8.915232	0.08059527	59.87240171432495
6	-317.7464	36.190044	-276.88406	-403.11774	-211.61116	10.446675	-190.1778	-219.96841	110.0	110.0	9899	-11.19898	1.5914987	-7.0918627	-17.544674	-11.199028	1.5917704	-7.1641665	-17.521933	10.466649	0.08600727	73.0953357219696
7	-319.93826	25.312073	-282.3827	-365.32053	-209.28752	5.7338786	-200.24461	-216.53204	110.0	110.0	11549	-12.739946	1.7485533	-8.250811	-20.039583	-12.739991	1.7487332	-8.247927	-19.883883	11.950639	0.09551826	86.3761055469513
8	-330.87656	30.65169	-290.06552	-385.22058	-204.81462	15.19299	-175.45013	-221.74118	110.0	110.0	13199	-14.287181	1.8919344	-9.418514	-21.834066	-14.287223	1.8918325	-9.473741	-21.873491	13.43224	0.10511138	99.9752185344696
9	-318.13434	20.352112	-295.2148	-372.46744	-205.99797	11.886529	-175.22176	-221.61359	110.0	110.0	14849	-15.7793665	2.005147	-10.405673	-24.04247	-15.779412	2.0050406	-10.338947	-24.100266	14.8666525	0.11291756	112.70539546012878
10	-311.50958	20.35955	-288.50824	-373.24002	-209.4008	10.903579	-178.73378	-220.44008	110.0	110.0	16499	-17.154634	2.071351	-11.605267	-25.925854	-17.154675	2.0715947	-11.480219	-25.957773	16.20033	0.11900257	126.12871766090393
11	-319.86	22.946083	-288.8424	-374.502	-209.04312	14.881874	-169.63335	-220.09305	110.0	110.0	18149	-18.502361	2.1467896	-12.751336	-27.616167	-18.502398	2.147155	-12.652505	-27.47883	17.524721	0.12299104	139.4795160293579
12	-335.6776	31.422592	-284.51346	-390.768	-207.24698	9.51731	-193.64865	-218.60817	110.0	110.0	19799	-19.902344	2.245423	-13.680454	-29.444355	-19.902405	2.2457356	-13.613101	-28.980194	18.883247	0.13177855	152.73568391799927
13	-225.80852	34.800148	-185.0347	-322.0693	-205.78401	12.376788	-176.15282	-219.73235	110.0	110.0	21449	-21.16921	2.360191	-14.408537	-30.668777	-21.169266	2.3608172	-14.5073	-30.234133	20.16403	0.13477643	166.3631887435913
14	-204.25423	14.001353	-174.80415	-219.1533	-202.43552	15.565283	-167.4889	-222.9678	110.0	110.0	23099	-22.229889	2.4795027	-15.4109125	-32.039967	-22.22991	2.4801714	-15.461344	-31.657139	21.271208	0.1268504	180.09322953224182
15	-207.02481	18.386065	-153.66653	-224.94109	-208.64583	7.8993106	-193.15074	-219.42566	110.0	110.0	24749	-23.265959	2.6155617	-16.077284	-33.525288	-23.26599	2.6162581	-16.137522	-33.28144	22.365997	0.12431891	193.72839188575745
16	-201.62895	12.200163	-174.22061	-213.53612	-203.52182	15.351912	-169.52039	-223.07596	110.0	110.0	26399	-24.31202	2.7309217	-16.66317	-34.781597	-24.311964	2.7314112	-16.703321	-34.643658	23.465214	0.11997941	206.9405872821808
17	-204.99893	10.425717	-184.24681	-218.62804	-208.2312	6.5867863	-191.89026	-213.35817	110.0	110.0	28049	-25.325214	2.8370957	-17.603561	-35.95518	-25.325302	2.837608	-17.608644	-36.050625	24.530807	0.119331814	220.1874918937683
18	-198.15172	16.21742	-162.42706	-219.11589	-202.65848	8.648412	-181.48885	-214.64915	110.0	110.0	29699	-26.39223	2.913793	-18.409582	-37.038864	-26.392172	2.9141932	-18.474642	-37.258263	25.62658	0.11840431	234.0201632976532
19	-209.54774	14.890815	-174.42328	-223.73596	-207.16228	13.410245	-177.36513	-222.52599	110.0	110.0	31349	-27.431107	2.967676	-19.202835	-38.55538	-27.431171	2.967915	-19.292912	-38.806595	26.708092	0.11775962	247.85453081130981
20	-203.89287	16.10907	-165.97316	-220.956	-202.05878	21.45528	-146.86847	-218.78496	110.0	110.0	32999	-28.51114	3.0201743	-20.014147	-39.969635	-28.511057	3.0204048	-20.197687	-39.996677	27.8183	0.11969604	261.582337141037
21	-205.4955	11.926913	-181.92946	-222.70355	-202.38828	18.357817	-158.49512	-216.69708	110.0	110.0	34649	-29.546139	3.0615125	-21.122377	-41.49598	-29.54623	3.0616565	-21.222002	-41.38278	28.887772	0.11800317	275.1771101951599
22	-208.93776	9.936713	-194.31009	-224.47714	-208.3573	11.867574	-178.8168	-218.03973	110.0	110.0	36299	-30.612787	3.0969298	-21.948223	-42.94962	-30.612778	3.0972576	-22.10713	-42.700317	29.966454	0.120545916	288.90672636032104
23	-206.45494	12.891053	-176.17117	-222.65984	-189.46274	26.306425	-116.44713	-215.59407	110.0	110.0	37949	-31.684881	3.0855749	-22.886875	-43.84334	-31.6849	3.0858173	-22.985325	-43.698868	31.06339	0.12145103	302.5243012905121
24	-204.48509	12.429876	-178.15631	-219.26231	-202.54314	12.769028	-170.77338	-216.30266	110.0	110.0	39599	-32.7386	3.1030016	-23.754719	-45.273914	-32.738636	3.1032372	-23.74284	-44.894543	32.14486	0.12292481	316.3204665184021
25	-206.4638	8.940587	-186.39801	-216.27336	-203.24455	8.345267	-190.92618	-216.46387	110.0	110.0	41249	-33.778893	3.1265714	-24.611757	-46.152004	-33.77898	3.1268203	-24.74128	-46.285225	33.20686	0.124385	330.5911099910736
26	-204.58328	14.967178	-162.99445	-223.47374	-206.02908	12.886262	-170.19872	-215.24948	110.0	110.0	42899	-34.794518	3.1852584	-25.504799	-48.010082	-34.794537	3.1853704	-25.54369	-47.585384	34.24143	0.12447147	344.36727142333984
27	-209.53047	8.833026	-191.4012	-221.1829	-200.07991	16.044945	-160.68062	-220.88672	110.0	110.0	44549	-35.807236	3.200326	-26.364285	-48.63002	-35.80731	3.200045	-26.534698	-48.284706	35.273388	0.12716313	358.130056142807
28	-201.40796	12.311893	-177.90894	-219.41046	-198.96504	15.16298	-164.68808	-220.00002	110.0	110.0	46199	-36.79438	3.244754	-27.132856	-49.6985	-36.79435	3.245062	-27.336567	-49.84149	36.26762	0.12857491	371.9122688770294
29	-204.38158	10.943531	-176.54085	-219.6575	-202.17822	9.893746	-184.43536	-216.36197	110.0	110.0	47849	-37.77103	3.2904458	-28.063898	-50.759247	-37.771088	3.2904413	-28.151089	-50.983833	37.268047	0.12950322	385.7251389026642
30	-195.83423	13.487861	-156.648	-212.08757	-195.54611	25.377033	-132.4351	-221.46739	110.0	110.0	49499	-38.766724	3.3201277	-28.988289	-52.381134	-38.766796	3.320131	-29.030455	-52.37834	38.267124	0.1323758	399.26859045028687
31	-202.5845	8.770574	-188.95111	-217.20082	-194.26724	17.339287	-152.3819	-222.95462	110.0	110.0	51149	-39.721977	3.3607554	-29.901522	-53.097996	-39.72195	3.3610122	-29.947033	-53.108208	39.23165	0.13414454	413.4457778930664
