Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-318.41248	26.662418	-291.1175	-369.27377	-225.70564	12.080859	-207.9301	-248.52336	110.0	110.0	1649	-3.2341993	0.62596834	0.351934	-5.809246	-3.2310863	0.6323749	0.5573179	-5.797585	2.896305	0.34092933	8.563930034637451
2	-315.2685	28.687422	-282.00452	-396.9887	-211.72762	7.829763	-197.28925	-222.66322	110.0	110.0	3299	-4.5304317	0.8245136	-2.3078308	-8.244599	-4.5304766	0.82432634	-2.3191204	-8.296212	4.0591683	0.07181169	22.682132244110107
3	-330.49567	28.099302	-284.1585	-384.708	-209.02261	7.645895	-196.49101	-221.65266	110.0	110.0	4949	-6.1775594	1.01916	-3.6709561	-10.821435	-6.1775584	1.0191828	-3.6279619	-10.828785	5.654431	0.06379174	36.65823149681091
4	-317.34656	23.78866	-289.98428	-371.7718	-208.34879	7.6963887	-198.24	-220.1027	110.0	110.0	6599	-7.895574	1.2218429	-4.8987055	-13.152299	-7.895556	1.2217231	-4.928834	-13.220184	7.302594	0.06512225	50.24323296546936
5	-317.8653	27.005323	-279.45224	-362.64243	-207.63235	13.782095	-174.81984	-219.85526	110.0	110.0	8249	-9.570463	1.4117423	-6.092347	-15.530407	-9.570462	1.4115261	-6.107877	-15.53953	8.897783	0.06902556	64.24692034721375
6	-323.7366	27.963465	-283.42743	-374.8432	-207.83476	8.602353	-190.66269	-218.62317	110.0	110.0	9899	-11.241603	1.6182455	-7.2470517	-18.01909	-11.24163	1.6177065	-7.045584	-17.949472	10.500441	0.07545763	78.23638033866882
7	-336.34552	22.029306	-301.0246	-385.22574	-201.89389	15.252699	-176.53265	-222.30434	110.0	110.0	11549	-12.936946	1.8133494	-8.05733	-20.039387	-12.936914	1.813241	-8.006289	-19.982899	12.113973	0.082758754	92.36356735229492
8	-317.6651	20.601736	-281.2202	-357.22714	-215.22075	6.285476	-199.06598	-221.85971	110.0	110.0	13199	-14.49273	1.9164487	-9.240244	-22.265692	-14.492701	1.9161067	-9.183871	-22.227127	13.628348	0.089597076	106.8818359375
9	-327.09305	19.239727	-298.14233	-348.4344	-213.29529	5.9237013	-198.82896	-219.67285	110.0	110.0	14849	-16.040806	2.0398579	-10.522262	-24.187233	-16.040806	2.0394962	-10.407664	-24.451696	15.116421	0.095768765	120.99958634376526
10	-311.1393	14.600933	-285.6657	-335.30142	-212.70029	4.761766	-205.0526	-220.6264	110.0	110.0	16499	-17.501253	2.1045794	-11.870019	-26.256733	-17.501196	2.1041493	-12.011307	-26.28682	16.535772	0.104984924	134.6202893257141
11	-317.17175	21.809969	-285.51495	-351.0754	-205.35764	20.247133	-146.18588	-220.76736	110.0	110.0	18149	-18.891203	2.1605546	-12.879381	-27.79544	-18.891275	2.1599457	-12.748534	-27.960907	17.893852	0.109750554	148.54837560653687
12	-328.73822	32.49823	-290.13156	-402.84674	-207.63354	6.861663	-193.71143	-217.26071	110.0	110.0	19799	-20.32244	2.2461188	-13.977918	-29.334791	-20.32242	2.2455235	-13.829596	-29.304937	19.297747	0.12086128	162.47563886642456
13	-209.79837	34.278767	-168.15929	-292.80713	-209.61641	7.795985	-194.0436	-218.23038	110.0	110.0	21449	-21.656853	2.338319	-15.05279	-30.87635	-21.65685	2.3376935	-14.957167	-30.894493	20.640055	0.12332092	176.77176237106323
14	-209.85721	8.297088	-193.82373	-218.49776	-203.64844	18.377794	-155.25713	-228.58302	110.0	110.0	23099	-22.76285	2.5090883	-15.97266	-32.52411	-22.762882	2.5087934	-15.990511	-33.07398	21.79715	0.118235976	191.72127413749695
15	-205.9456	17.146051	-163.10698	-221.33392	-206.2555	5.675652	-199.73259	-217.34433	110.0	110.0	24749	-23.883932	2.6368883	-16.801777	-34.08842	-23.883911	2.6364124	-16.95891	-34.472767	22.97507	0.11613176	205.95821595191956
16	-207.8827	7.209597	-191.50925	-221.02145	-206.67175	11.948392	-180.96526	-218.53314	110.0	110.0	26399	-24.981743	2.7488134	-17.45814	-35.555668	-24.981695	2.7487178	-17.566982	-35.952553	24.119219	0.113234565	220.50176095962524
17	-210.39511	8.847506	-191.15329	-219.23575	-206.13089	8.293025	-189.56752	-219.4998	110.0	110.0	28049	-26.128637	2.794252	-18.564215	-37.50748	-26.128601	2.7940514	-18.623669	-37.57816	25.314388	0.11159162	234.56918239593506
18	-208.24406	14.313028	-162.23233	-221.89209	-207.91533	13.960011	-172.00264	-220.80887	110.0	110.0	29699	-27.290022	2.8283083	-19.911749	-38.13731	-27.290037	2.8282433	-19.907946	-38.270752	26.511484	0.11199849	248.67714524269104
19	-206.89081	14.575479	-173.90627	-221.97308	-211.49283	8.280753	-195.13124	-220.7769	110.0	110.0	31349	-28.432259	2.8729236	-20.89967	-40.31591	-28.432224	2.8728597	-20.863907	-40.478836	27.679916	0.109088086	263.1537525653839
20	-202.90195	11.520407	-175.10904	-221.00183	-204.05588	10.70559	-186.95537	-218.84134	110.0	110.0	32999	-29.577698	2.9124548	-21.995821	-41.58235	-29.577732	2.9124286	-21.841412	-41.44336	28.867992	0.10984169	277.58374547958374
21	-207.11456	10.470078	-185.78603	-219.89265	-209.23819	6.508654	-193.28342	-215.31343	110.0	110.0	34649	-30.74075	2.9241462	-22.88584	-43.223763	-30.740723	2.9244616	-22.773947	-43.12444	30.069878	0.111180864	292.06293416023254
22	-201.82578	13.945289	-167.31902	-220.12302	-203.67728	24.796686	-143.3691	-222.798	110.0	110.0	36299	-31.913086	2.9550893	-23.852972	-44.315178	-31.913082	2.955266	-23.959446	-44.11618	31.24892	0.1119285	306.6327614784241
23	-205.80484	13.960181	-167.73395	-221.90265	-194.11694	30.898819	-109.14863	-214.67618	110.0	110.0	37949	-33.047703	2.9893894	-24.782827	-45.35219	-33.047703	2.9896839	-24.690456	-45.40789	32.419395	0.11658244	320.42152404785156
24	-196.42865	19.274014	-136.46158	-216.97752	-207.67001	7.974284	-193.0452	-218.67807	110.0	110.0	39599	-34.203014	3.0210345	-25.758497	-47.164467	-34.20304	3.0211284	-25.769398	-47.128212	33.603867	0.11749072	334.4431240558624
