Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-318.7852	25.039473	-283.23602	-372.74652	-213.87581	8.715604	-196.1539	-227.38734	110.0	110.0	1649	-3.3163338	0.6440493	0.24533027	-5.5128403	-3.319713	0.63475007	0.10562526	-5.5667906	3.0036776	0.4393979	8.421021938323975
2	-328.31647	32.017826	-288.2317	-383.7889	-206.43237	12.752878	-176.73965	-224.97708	110.0	110.0	3299	-4.720048	0.8559128	-2.5128973	-8.148002	-4.7199855	0.8553346	-2.5238543	-8.189163	4.2521276	0.0881896	22.919481992721558
3	-319.13727	30.604464	-273.5013	-381.5916	-212.9786	7.858849	-201.78561	-221.763	110.0	110.0	4949	-6.394362	1.0439427	-3.587998	-10.656888	-6.3943706	1.0447048	-3.5784576	-10.694081	5.863907	0.073170714	37.58582782745361
4	-323.51163	19.886446	-295.8354	-368.09003	-211.32072	3.2296205	-207.15814	-218.44254	110.0	110.0	6599	-8.087883	1.2677249	-4.581345	-13.010601	-8.0879345	1.267721	-4.6165524	-13.096967	7.493195	0.07961121	52.3822226524353
5	-324.23343	36.71937	-263.87088	-394.42825	-208.33566	7.723785	-191.59227	-217.86888	110.0	110.0	8249	-9.849855	1.4887487	-5.7280045	-15.454331	-9.849893	1.4883333	-5.6749673	-15.501308	9.194034	0.08501322	66.95226192474365
6	-314.58432	24.84509	-284.26996	-371.12024	-212.77597	9.265787	-191.20326	-221.16888	110.0	110.0	9899	-11.496998	1.6909235	-6.8131647	-17.891586	-11.497029	1.6902162	-6.8142757	-17.97902	10.771342	0.08993974	80.94979166984558
7	-321.1743	25.003517	-288.28494	-381.4217	-211.02014	8.812303	-190.17863	-221.41031	110.0	110.0	11549	-13.106737	1.8528341	-7.99799	-20.529055	-13.10676	1.852246	-7.9637938	-20.569792	12.3062315	0.10142417	95.37455415725708
8	-311.63342	27.53707	-268.04868	-383.01486	-212.87381	7.789736	-193.22563	-220.8242	110.0	110.0	13199	-14.627969	1.9886504	-9.212541	-22.860826	-14.627926	1.9887643	-9.264491	-22.800032	13.75932	0.10682754	109.83639645576477
9	-312.7377	19.158924	-281.43115	-349.08527	-209.43391	7.6386395	-195.58652	-219.39705	110.0	110.0	14849	-16.083765	2.0854719	-10.458368	-24.69732	-16.083755	2.0858448	-10.549375	-24.796787	15.172294	0.11249078	124.58187532424927
10	-316.84552	30.89278	-261.06598	-394.29034	-202.19531	12.265078	-181.79643	-219.65332	110.0	110.0	16499	-17.574814	2.1859672	-11.569306	-26.377556	-17.574793	2.186724	-11.740331	-26.375723	16.62458	0.12251932	139.02710556983948
11	-313.4005	24.798063	-279.31256	-374.34988	-207.07797	6.4195967	-193.83064	-217.87238	110.0	110.0	18149	-19.003756	2.2503746	-12.729604	-28.014004	-19.003675	2.251111	-12.7285795	-27.929508	18.023136	0.13347895	153.8475444316864
12	-325.5721	18.779581	-299.01355	-365.93027	-210.03336	6.7392874	-194.34073	-217.6409	110.0	110.0	19799	-20.37947	2.3113396	-13.847534	-29.65628	-20.379465	2.311943	-13.907295	-29.454775	19.369051	0.13883737	168.5478858947754
13	-218.36871	31.25714	-173.4401	-293.236	-203.164	10.0141535	-176.62561	-213.7783	110.0	110.0	21449	-21.643986	2.4198804	-15.118011	-31.148624	-21.643942	2.420444	-15.105231	-30.902689	20.637846	0.14124851	183.38799500465393
14	-213.64131	6.5741196	-196.912	-222.83643	-209.41289	6.535871	-201.85777	-218.79364	110.0	110.0	23099	-22.7318	2.5702238	-16.282108	-32.407845	-22.731857	2.5707064	-16.202925	-32.51096	21.781116	0.13361333	198.5330147743225
15	-209.36743	10.759419	-187.66081	-221.69278	-209.2249	6.4007106	-200.25526	-221.64505	110.0	110.0	24749	-23.851294	2.6912932	-17.472128	-34.0974	-23.851246	2.6915553	-17.526514	-33.975697	22.946306	0.12799941	213.72072672843933
16	-205.38399	15.255663	-156.03957	-217.89752	-210.88974	5.7789617	-197.95929	-217.40161	110.0	110.0	26399	-24.965885	2.7722926	-18.53055	-35.749428	-24.965887	2.7727673	-18.498552	-35.617836	24.119324	0.12296444	229.01993107795715
