Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-321.72443	26.446316	-278.63867	-389.17163	-208.72647	16.74735	-176.91286	-230.68866	110.0	110.0	1649	-3.460536	0.62930155	0.24902287	-5.6124187	-3.462395	0.62293977	0.09186331	-5.73047	3.130599	0.42878032	8.325692176818848
2	-318.41385	26.923243	-271.60007	-360.12778	-214.06206	7.5870824	-194.76973	-224.9802	110.0	110.0	3299	-4.7462034	0.83492416	-2.595288	-8.325288	-4.746118	0.83476025	-2.6326108	-8.319385	4.269095	0.08220995	23.49834656715393
3	-312.73676	28.135952	-277.63983	-363.05438	-213.793	7.5644126	-194.79039	-221.49226	110.0	110.0	4949	-6.3366675	0.99877965	-3.7904336	-10.587988	-6.3366623	0.99918	-3.7842433	-10.615191	5.800442	0.07356802	37.706918239593506
4	-316.2074	30.00202	-278.88147	-369.75214	-205.52348	14.768889	-176.70015	-220.59464	110.0	110.0	6599	-7.932571	1.2045765	-5.002865	-13.547666	-7.932574	1.2049098	-4.9554906	-13.570278	7.335734	0.07362584	51.7725191116333
5	-315.8422	24.036152	-291.77603	-380.74878	-210.60307	6.5633388	-195.28557	-219.10706	110.0	110.0	8249	-9.556953	1.4173977	-6.026338	-15.586134	-9.557058	1.417023	-5.998406	-15.496079	8.89927	0.07800129	65.76732301712036
6	-316.09113	20.559105	-283.60944	-376.9242	-210.2353	6.967286	-196.32678	-218.67644	110.0	110.0	9899	-11.203176	1.5854813	-7.2161283	-17.760597	-11.203202	1.5856637	-7.256914	-17.576422	10.483069	0.08499312	79.68248224258423
7	-326.92337	28.088438	-292.738	-371.6453	-208.14217	9.75436	-184.23581	-219.58884	110.0	110.0	11549	-12.796694	1.7695266	-8.414579	-19.927698	-12.796745	1.7698438	-8.419461	-19.944239	12.000743	0.091334045	93.58690047264099
8	-315.58774	29.373072	-274.00668	-365.67383	-208.88736	11.535736	-176.24316	-217.4166	110.0	110.0	13199	-14.3498125	1.9270078	-9.501105	-21.674349	-14.349856	1.9274216	-9.489098	-21.855911	13.4892235	0.09966199	107.55685448646545
9	-328.379	24.548676	-282.70575	-369.0177	-199.52641	18.213465	-167.44391	-216.95833	110.0	110.0	14849	-15.862802	2.0640266	-10.631104	-23.852268	-15.862824	2.0647607	-10.66413	-24.053503	14.947904	0.11267884	122.44552755355835
10	-322.9769	33.063145	-283.6049	-384.13287	-210.34561	5.741912	-199.65477	-221.0641	110.0	110.0	16499	-17.387848	2.1950712	-11.88879	-25.916763	-17.387838	2.1958215	-11.870991	-26.049452	16.421894	0.11978103	136.42842411994934
11	-317.3864	29.659832	-279.8786	-378.03128	-205.18118	7.4360166	-193.49759	-216.05356	110.0	110.0	18149	-18.828249	2.2913306	-12.986756	-27.477463	-18.828293	2.292048	-12.930868	-27.658482	17.828089	0.12661219	150.47422170639038
12	-315.9171	23.864841	-291.59756	-371.74243	-200.93771	6.8293324	-186.9132	-211.30399	110.0	110.0	19799	-20.203602	2.340505	-14.018754	-29.567091	-20.203632	2.3412137	-14.047941	-29.57286	19.180027	0.13475145	164.28263521194458
13	-220.43211	40.092617	-170.52527	-335.6894	-201.2186	12.995567	-180.78792	-217.21756	110.0	110.0	21449	-21.47582	2.433098	-14.838468	-30.815807	-21.475832	2.4340158	-14.958882	-30.927217	20.462908	0.13769196	178.59867691993713
14	-208.09439	11.257427	-181.5084	-222.40178	-209.31027	6.7314887	-198.40797	-218.00066	110.0	110.0	23099	-22.56271	2.599795	-16.018381	-32.69766	-22.562761	2.60064	-15.982424	-32.44053	21.611502	0.13180475	192.86234617233276
