Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-331.99115	27.437208	-284.9683	-375.93057	-205.58432	11.815333	-190.09213	-229.1715	110.0	110.0	1649	-3.275866	0.5848247	0.21573333	-5.3395114	-3.278466	0.5785936	0.14182386	-5.344086	2.9463098	0.41942567	6.5007781982421875
2	-314.47473	32.3066	-267.27127	-386.71863	-214.99736	9.9363	-190.61835	-225.31128	110.0	110.0	3299	-3.927715	0.6428866	-2.068312	-6.915777	-3.9276597	0.64288783	-2.049219	-6.8583283	3.485698	0.080382384	18.54102063179016
3	-326.97183	24.554054	-290.88956	-372.22147	-213.85886	8.945751	-194.67847	-227.22192	110.0	110.0	4949	-4.7627645	0.7498277	-2.584262	-8.145898	-4.762804	0.7501763	-2.5746343	-8.077586	4.285349	0.059300862	30.60987615585327
4	-323.32675	35.106888	-284.3838	-388.68277	-213.12788	10.163656	-194.12234	-225.39545	110.0	110.0	6599	-5.5793185	0.85954005	-2.8957102	-9.430988	-5.579315	0.86013013	-2.8463025	-9.419938	5.0617557	0.053292964	42.5813410282135
5	-305.60648	26.666424	-271.52258	-369.01263	-204.18932	15.996037	-171.67928	-223.60854	110.0	110.0	8249	-6.3699555	0.9652481	-3.2565782	-10.62393	-6.369941	0.96578133	-3.3252904	-10.603986	5.8167477	0.054926448	54.66243267059326
6	-310.94284	20.526413	-282.3253	-359.19266	-209.915	8.658365	-191.6763	-221.26793	110.0	110.0	9899	-7.1554675	1.0705508	-3.6483955	-11.903437	-7.1554823	1.070659	-3.5736773	-11.95125	6.562883	0.060834434	66.59033155441284
7	-312.6405	25.890581	-262.7012	-355.70544	-212.40088	5.638857	-203.1659	-221.77771	110.0	110.0	11549	-7.9502	1.1613697	-4.173401	-12.980663	-7.950248	1.1614496	-4.0835743	-13.090152	7.3301845	0.068442635	78.63167762756348
8	-332.8114	35.021534	-291.16476	-396.03928	-211.52603	6.839105	-199.9297	-222.48376	110.0	110.0	13199	-8.777429	1.2691839	-4.632928	-14.448176	-8.777439	1.2693582	-4.4668612	-14.431344	8.120831	0.071985185	90.65476036071777
9	-316.53036	25.80336	-282.60693	-367.56198	-212.43668	7.075202	-194.60466	-219.9106	110.0	110.0	14849	-9.603391	1.375335	-5.1933165	-15.245043	-9.603405	1.3753904	-5.2030406	-15.294052	8.918952	0.074800335	102.61943888664246
10	-312.86154	28.776026	-265.87704	-379.1812	-208.08784	11.755404	-178.84247	-218.01674	110.0	110.0	16499	-10.400884	1.4617412	-5.602009	-16.271877	-10.400886	1.4617591	-5.5955043	-16.237991	9.680886	0.08269349	114.9091157913208
11	-320.19672	31.951149	-281.6741	-383.092	-213.85152	6.7924953	-197.7609	-222.13637	110.0	110.0	18149	-11.173752	1.5594015	-6.3479486	-17.306707	-11.173756	1.5596322	-6.326926	-17.251501	10.418804	0.08524199	127.51633882522583
12	-328.66562	27.012047	-284.46295	-383.3758	-210.83932	8.727002	-192.35257	-219.79718	110.0	110.0	19799	-11.971254	1.6558657	-6.6755805	-18.163513	-11.97129	1.6557901	-6.7506456	-18.220419	11.187908	0.08985664	139.48369717597961
13	-217.81598	45.50813	-183.4227	-368.98227	-205.93132	15.079206	-163.06993	-216.53816	110.0	110.0	21449	-12.6722555	1.7997566	-7.306297	-19.148378	-12.672196	1.79965	-7.46306	-19.092981	11.881528	0.09166139	151.8566701412201
14	-207.60641	10.746326	-183.05145	-221.7517	-203.60336	9.293703	-183.7105	-213.38893	110.0	110.0	23099	-13.214193	1.9937062	-8.065888	-20.394793	-13.2141905	1.9935752	-8.08789	-20.0879	12.445932	0.089565	164.235045671463
