Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-322.46042	23.445683	-296.62943	-372.31818	-214.42447	13.547991	-186.2439	-233.83173	110.0	110.0	1649	-3.3296802	0.58590037	0.05693335	-5.6714454	-3.3259852	0.5900089	0.10978357	-5.609103	2.9318666	0.24896677	10.268608331680298
2	-306.28824	16.129166	-275.27478	-333.67825	-210.17305	10.351477	-187.6427	-222.95958	110.0	110.0	3299	-4.371552	0.7432076	-2.3769395	-7.8305373	-4.371517	0.7415655	-2.388576	-7.59935	3.885753	0.05342785	33.13605499267578
3	-329.37244	30.12942	-288.26474	-382.77032	-214.55002	11.006701	-194.32158	-234.02724	110.0	110.0	4949	-5.8491774	0.976802	-2.8248904	-10.418683	-5.849168	0.97600865	-2.936662	-10.432327	5.3079653	0.04972191	55.9706130027771
4	-307.4816	21.655596	-284.94794	-368.7993	-207.06062	13.760591	-175.27885	-218.21173	110.0	110.0	6599	-7.3450994	1.1356385	-3.7086902	-12.242021	-7.3450537	1.1348776	-3.7749865	-12.224482	6.737314	0.057737123	78.81357908248901
5	-321.6299	30.77023	-267.54984	-377.5099	-210.22392	5.874881	-200.6604	-220.25444	110.0	110.0	8249	-8.888127	1.3254932	-5.1471066	-14.73751	-8.888147	1.32515	-5.078399	-14.759134	8.220054	0.07087755	100.98007321357727
6	-312.86426	20.929604	-275.1778	-359.03665	-206.30923	13.220728	-170.12646	-217.3719	110.0	110.0	9899	-10.463877	1.4970813	-6.240561	-16.700756	-10.4639225	1.4964437	-6.3726807	-16.81539	9.739564	0.08281111	123.42361092567444
7	-314.75	22.237194	-287.611	-358.97543	-209.78545	6.7805843	-197.75531	-218.88197	110.0	110.0	11549	-11.9843	1.6217043	-7.2659354	-18.885708	-11.984278	1.6204429	-7.477028	-18.912884	11.207576	0.09487343	146.31044793128967
8	-322.81598	30.43435	-290.01474	-386.291	-207.08952	18.87246	-154.22153	-221.53682	110.0	110.0	13199	-13.4971285	1.7514161	-8.303831	-21.269308	-13.497083	1.7500945	-8.535318	-20.943977	12.656092	0.10609824	168.30562114715576
9	-308.74133	18.566923	-282.06183	-354.4485	-211.79733	6.0902443	-202.405	-221.26453	110.0	110.0	14849	-15.001345	1.8741606	-9.374012	-22.958746	-15.001413	1.8727458	-9.581325	-22.946867	14.104446	0.119028986	191.10366439819336
10	-310.9418	22.850441	-270.53806	-349.79413	-206.27153	9.594868	-193.47243	-221.29007	110.0	110.0	16499	-16.38268	1.9473931	-10.69088	-25.095673	-16.382696	1.9458172	-10.839011	-25.132097	15.444816	0.1340853	213.9136300086975
11	-319.24542	27.784445	-289.3777	-372.68112	-208.76416	15.6339035	-169.19739	-224.55563	110.0	110.0	18149	-17.770346	2.0144844	-11.668282	-26.743536	-17.770351	2.012996	-11.748744	-26.788046	16.805813	0.15134712	236.383624792099
12	-311.95032	24.821688	-276.71918	-368.8389	-205.98186	15.493176	-165.99034	-221.62407	110.0	110.0	19799	-19.129868	2.062334	-12.626335	-28.02863	-19.129805	2.060735	-12.85926	-28.155241	18.135372	0.15963812	258.9602506160736
