Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-309.0158	24.23178	-260.2735	-359.57245	-217.19083	9.967441	-206.29027	-237.79202	110.0	110.0	1649	-3.2593002	0.58206373	-0.066467285	-5.1327786	-3.2432554	0.6041734	-0.25396433	-5.0618434	2.8981893	0.39471608	11.133397817611694
2	-322.39307	28.540833	-290.13602	-378.66797	-217.0339	7.2297077	-205.28621	-232.22798	110.0	110.0	3299	-4.183268	0.73393494	-2.265232	-7.2747407	-4.1834497	0.73155737	-2.2747796	-7.2528973	3.7160199	0.063797586	35.267932415008545
3	-312.59833	30.906317	-255.90588	-381.43515	-206.32764	14.209008	-164.57484	-215.29875	110.0	110.0	4949	-5.457754	0.90468687	-3.0858133	-9.869453	-5.4578032	0.9024015	-3.149059	-9.6532	4.940447	0.06190843	60.20052361488342
4	-317.2213	28.937	-268.30646	-386.31393	-212.46562	9.014353	-193.65607	-223.96465	110.0	110.0	6599	-6.9135404	1.1129953	-3.963313	-11.685383	-6.9134965	1.1109753	-4.0413384	-11.756629	6.333384	0.06112729	84.43852424621582
5	-314.7203	18.82036	-290.75168	-344.3633	-210.62979	9.973173	-187.8442	-219.54448	110.0	110.0	8249	-8.448406	1.2922451	-4.9152093	-13.831376	-8.448538	1.29057	-4.866829	-13.694014	7.7957125	0.06645589	108.57145977020264
6	-313.97562	26.540415	-279.80927	-364.37625	-207.97612	9.634454	-184.04578	-216.72899	110.0	110.0	9899	-9.945086	1.4461159	-5.8953185	-16.232399	-9.945076	1.4448471	-5.9205394	-16.231684	9.226049	0.076847225	133.82054924964905
7	-323.12155	26.62066	-286.19028	-379.4258	-212.94553	6.785243	-197.50133	-222.72954	110.0	110.0	11549	-11.45619	1.593899	-7.0097556	-18.431784	-11.45618	1.5924383	-7.0569067	-18.698687	10.67206	0.086091444	158.50908493995667
8	-312.35922	26.61597	-279.37936	-383.52765	-212.65767	8.4380865	-191.05867	-221.3973	110.0	110.0	13199	-12.945058	1.7337315	-8.133044	-21.037783	-12.945114	1.7321428	-8.207382	-20.865763	12.109292	0.09895377	182.5588095188141
9	-320.5783	27.199646	-282.72385	-373.61804	-207.18045	11.050787	-181.17406	-221.20613	110.0	110.0	14849	-14.3912115	1.8569283	-9.293143	-22.6793	-14.391168	1.8555918	-9.20156	-22.329374	13.50865	0.11031297	207.39077138900757
10	-316.21317	25.728552	-278.48145	-359.34988	-213.84155	4.2379003	-206.95741	-221.4714	110.0	110.0	16499	-15.805654	1.9704216	-10.480441	-24.084084	-15.8056755	1.9689807	-10.458239	-24.150703	14.878149	0.11993857	231.7164912223816
11	-330.0851	33.276573	-272.6018	-398.96097	-212.48657	6.4627337	-200.53755	-221.58974	110.0	110.0	18149	-17.208221	2.0782983	-11.479474	-25.856745	-17.208227	2.0770543	-11.592328	-25.828041	16.244991	0.13203926	256.9537093639374
12	-314.82706	23.522743	-283.58936	-354.9121	-206.45718	12.08927	-181.88292	-221.29053	110.0	110.0	19799	-18.605177	2.1789355	-12.691885	-27.318628	-18.605146	2.1775544	-12.706554	-27.56765	17.615305	0.1409105	281.83529257774353
13	-251.89984	27.375938	-230.6654	-323.34195	-204.92703	10.448984	-183.81517	-220.07144	110.0	110.0	21449	-19.83702	2.258618	-13.602805	-28.648523	-19.837103	2.2575042	-13.909487	-28.817673	18.842821	0.14294392	306.92888164520264
14	-243.17946	7.097719	-229.70836	-252.71704	-206.4602	11.472194	-181.38464	-219.74583	110.0	110.0	23099	-20.91507	2.3790307	-14.472257	-30.477499	-20.915092	2.3779252	-14.776082	-30.906448	19.954912	0.14273237	332.0833444595337
15	-234.68219	11.671568	-210.36984	-258.4035	-209.2454	10.058775	-184.1708	-218.85916	110.0	110.0	24749	-22.001326	2.491736	-15.651873	-31.73027	-22.001318	2.4908166	-15.816965	-31.672327	21.060644	0.14567403	357.08886456489563
16	-237.41002	9.70642	-220.33228	-256.07648	-203.91922	13.2907915	-171.2896	-219.82437	110.0	110.0	26399	-23.057255	2.5728264	-16.569956	-33.19769	-23.057425	2.571989	-16.70859	-33.361073	22.15802	0.14389792	382.5716438293457
17	-242.4587	9.226567	-225.04211	-255.78056	-202.43655	12.541924	-175.22841	-217.01607	110.0	110.0	28049	-24.160746	2.6339512	-17.690733	-34.562798	-24.16062	2.6331716	-17.758287	-34.695118	23.292543	0.14744808	408.5574312210083
18	-238.44653	12.913746	-205.04349	-252.75858	-204.76283	12.522767	-185.17815	-221.46652	110.0	110.0	29699	-25.27668	2.6488261	-18.83101	-36.103504	-25.276815	2.648109	-18.852198	-35.9488	24.429134	0.15065357	434.9236731529236
19	-237.74168	10.484383	-221.20483	-255.5936	-203.77336	9.01477	-190.61235	-217.40227	110.0	110.0	31349	-26.37202	2.6957545	-19.94842	-37.44695	-26.371986	2.694987	-19.902882	-37.441555	25.550411	0.15141574	460.87414932250977
20	-237.1728	10.162834	-219.25027	-257.0443	-210.5341	5.290932	-200.25284	-219.1016	110.0	110.0	32999	-27.433079	2.7325377	-21.03601	-38.631283	-27.433104	2.7312808	-20.928358	-38.525555	26.631857	0.15560466	486.8379702568054
21	-243.08054	8.987977	-226.75407	-257.95166	-203.09888	8.783586	-181.87502	-213.2132	110.0	110.0	34649	-28.535757	2.7532578	-21.80219	-39.89336	-28.535805	2.7521653	-21.831022	-40.01363	27.755495	0.15999977	512.1495854854584
22	-239.14886	8.809965	-219.9541	-255.16985	-199.91518	17.741566	-166.47481	-216.49155	110.0	110.0	36299	-29.616243	2.7734213	-22.62502	-41.31649	-29.616274	2.7720644	-22.807245	-41.284958	28.848585	0.16360709	537.2057499885559
23	-240.34642	8.408703	-223.3289	-254.76648	-201.9536	11.398807	-184.39107	-218.10638	110.0	110.0	37949	-30.674885	2.8061697	-23.694777	-42.62151	-30.674942	2.8050961	-23.60844	-42.515793	29.917685	0.16704439	562.8584725856781
24	-237.7938	7.397916	-225.03145	-254.14163	-206.75264	12.084469	-176.00975	-218.73672	110.0	110.0	39599	-31.720736	2.843038	-24.392109	-43.680363	-31.720736	2.8415697	-24.368467	-43.857143	30.988035	0.17002046	588.7884693145752
25	-237.66754	12.557437	-209.66975	-258.44882	-199.3831	12.940979	-167.61465	-215.29175	110.0	110.0	41249	-32.77251	2.8868315	-25.234703	-45.40319	-32.772545	2.8859272	-25.363735	-45.415287	32.057774	0.1741171	614.4346101284027
26	-239.80092	8.849101	-225.6339	-256.29755	-191.1965	13.925021	-163.9194	-210.05971	110.0	110.0	42899	-33.81244	2.937755	-26.118025	-46.906345	-33.8125	2.9366255	-26.092897	-46.74239	33.10428	0.1797019	639.719386100769
27	-233.08401	14.913644	-199.52684	-258.4371	-192.68376	27.42166	-125.189644	-216.62477	110.0	110.0	44549	-34.854736	2.9707098	-26.942438	-48.230133	-34.854774	2.9692147	-26.820354	-48.421497	34.15285	0.18579575	665.953049659729
28	-235.657	9.762971	-215.5146	-249.3209	-200.01393	10.092984	-180.03697	-214.8267	110.0	110.0	46199	-35.864193	3.0098877	-27.662254	-49.175236	-35.864197	3.0083842	-27.530022	-49.3206	35.179787	0.19143301	692.0330114364624
29	-237.64352	10.396514	-209.28642	-247.90921	-191.67436	19.45328	-152.18338	-220.8884	110.0	110.0	47849	-36.866554	3.0560632	-28.698193	-50.427586	-36.866573	3.0543969	-28.55261	-50.871033	36.18021	0.19433863	718.4560604095459
30	-230.23207	13.433955	-202.78777	-252.56906	-200.56714	19.352156	-162.79227	-218.95961	110.0	110.0	49499	-37.88511	3.1073692	-29.363285	-51.949684	-37.885136	3.1064167	-28.90084	-52.572643	37.21215	0.20458974	744.791579246521
31	-229.30226	13.964949	-206.09479	-255.36685	-191.10532	15.248484	-156.34093	-205.05533	110.0	110.0	51149	-38.823273	3.173309	-30.142014	-52.468964	-38.823395	3.1717396	-29.99699	-52.906536	38.162415	0.21176173	771.0530107021332
