Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-305.02502	20.582272	-283.97067	-369.0799	-209.88882	6.5352473	-197.97884	-219.24542	110.0	110.0	1649	-3.3832483	0.550353	-0.33858597	-5.9238305	-3.3499231	0.6387112	0.3205052	-5.892937	3.008786	0.34891832	11.080635786056519
2	-326.10965	29.542107	-300.3826	-385.9284	-211.95772	10.944897	-191.10175	-225.42215	110.0	110.0	3299	-4.416116	0.7501808	-2.521217	-7.669301	-4.4162474	0.7419745	-2.5284233	-7.632688	3.950464	0.055340458	34.2547070980072
3	-319.99133	25.053436	-280.63684	-368.7508	-215.22104	6.6807494	-201.0836	-224.15337	110.0	110.0	4949	-5.8242702	0.9175671	-3.3023016	-10.34055	-5.824425	0.90981406	-3.4733732	-10.125278	5.292841	0.05290551	57.54657530784607
4	-321.10446	33.800484	-265.35956	-385.65872	-211.54703	6.986307	-192.90579	-221.66089	110.0	110.0	6599	-7.30895	1.1160407	-4.2344337	-12.195651	-7.309115	1.1113976	-4.341093	-12.578182	6.715947	0.0650703	80.78945016860962
5	-322.24777	29.96752	-279.375	-373.18436	-210.92654	7.0463853	-195.51398	-219.15013	110.0	110.0	8249	-8.940829	1.3637307	-5.414365	-14.478101	-8.940851	1.3607842	-5.438656	-14.678718	8.281667	0.07581025	104.06293630599976
6	-318.4814	28.349934	-285.23865	-377.6414	-213.47824	8.121397	-192.2939	-223.83095	110.0	110.0	9899	-10.512424	1.5395902	-6.34657	-16.54554	-10.512479	1.5368031	-6.6494718	-16.714212	9.79435	0.08875293	127.34910225868225
7	-307.22623	12.251472	-287.90793	-338.87878	-210.65015	4.756155	-202.39693	-218.37111	110.0	110.0	11549	-12.0229225	1.6705551	-7.730961	-18.781504	-12.023062	1.6674516	-7.887769	-18.962233	11.246422	0.10157967	150.85647106170654
8	-328.1541	34.57649	-277.52313	-381.38766	-209.65201	5.995149	-201.51454	-217.16629	110.0	110.0	13199	-13.543895	1.8170967	-8.90061	-20.741907	-13.544052	1.8143692	-9.112641	-20.835379	12.714386	0.11641554	174.15377044677734
9	-309.46848	16.706953	-277.98425	-343.9974	-209.3366	7.0683455	-194.4609	-217.66231	110.0	110.0	14849	-15.046471	1.9458774	-10.284072	-22.761675	-15.046503	1.9433697	-10.13678	-22.845848	14.163588	0.126999	197.4643783569336
10	-312.30658	29.35618	-270.6244	-375.9927	-208.94182	8.851712	-187.80937	-218.56113	110.0	110.0	16499	-16.447783	2.0316775	-11.44299	-24.617039	-16.448008	2.029546	-11.32959	-25.014559	15.529398	0.13940017	220.70507335662842
