Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-320.7001	24.95554	-294.1202	-373.70743	-213.4502	7.6245294	-198.03668	-222.1087	110.0	110.0	1649	-3.4110773	0.630353	0.2286907	-6.05507	-3.4061773	0.6466763	0.32612115	-6.0135107	3.0394228	0.33986977	7.0261712074279785
2	-308.59836	19.512274	-276.08002	-359.62653	-210.19092	9.075372	-188.7865	-220.701	110.0	110.0	3299	-4.6000724	0.7880209	-2.5526762	-8.325857	-4.6000056	0.7880998	-2.580311	-8.230754	4.1201925	0.06096747	20.30857253074646
3	-323.51776	30.255165	-289.35748	-378.88254	-205.10861	17.910288	-156.26102	-218.64465	110.0	110.0	4949	-6.143132	0.9716024	-3.727546	-10.688833	-6.14319	0.97083825	-3.6769075	-10.66337	5.616396	0.055197693	33.47170853614807
4	-310.32043	23.993774	-281.83652	-365.17004	-210.4604	7.521741	-198.32732	-222.36272	110.0	110.0	6599	-7.7305923	1.1660755	-4.8924384	-13.121144	-7.730617	1.1654797	-4.8730307	-12.896167	7.1380243	0.060652416	46.65975618362427
5	-325.93503	29.105972	-280.15543	-374.53735	-208.17525	11.492156	-188.56544	-220.82979	110.0	110.0	8249	-9.401469	1.368206	-5.8793716	-15.58234	-9.401546	1.3674996	-5.978619	-15.243626	8.741369	0.06772614	59.90275716781616
6	-318.08124	24.997513	-285.97455	-373.48886	-209.2081	8.410445	-188.35352	-217.50648	110.0	110.0	9899	-11.041452	1.5294163	-7.0414786	-17.462872	-11.04151	1.5295354	-6.9097075	-17.472948	10.326279	0.07804473	73.07347917556763
7	-311.8044	17.459677	-291.27954	-360.24725	-204.86186	12.708838	-180.61086	-218.51613	110.0	110.0	11549	-12.6060915	1.6520823	-8.297009	-19.74235	-12.606095	1.652321	-8.179797	-19.564552	11.828524	0.0897435	86.16559839248657
8	-321.89368	25.48425	-289.1591	-370.0587	-204.10136	24.489157	-132.86392	-221.46866	110.0	110.0	13199	-14.125193	1.7860276	-9.307405	-21.819815	-14.125233	1.7856838	-9.24405	-21.776453	13.294256	0.10224732	99.15172696113586
9	-310.31464	30.611454	-275.05237	-381.68396	-211.08508	8.973252	-191.82039	-219.3054	110.0	110.0	14849	-15.6063795	1.8975862	-10.543398	-23.298492	-15.606353	1.897345	-10.4203615	-23.285143	14.722259	0.10824382	112.4848690032959
10	-310.9046	18.31086	-284.52036	-351.0491	-209.67863	5.236173	-198.63518	-220.3484	110.0	110.0	16499	-16.973501	1.9569932	-11.635461	-25.48941	-16.973532	1.9565364	-11.760373	-25.35285	16.052904	0.117763154	125.76306700706482
11	-315.6204	18.124481	-282.3071	-354.83124	-210.69846	7.76715	-197.35626	-221.47548	110.0	110.0	18149	-18.330345	2.0227852	-12.555726	-27.481998	-18.33037	2.0226042	-12.652629	-27.2502	17.382174	0.126007	139.04298901557922
12	-320.31055	29.907442	-283.88184	-374.5611	-207.82893	13.057764	-177.7086	-222.23788	110.0	110.0	19799	-19.701508	2.0962908	-13.900178	-28.928524	-19.701443	2.0966747	-13.883288	-28.76009	18.7308	0.12936479	152.2795650959015
13	-290.3686	31.190134	-249.38953	-385.766	-209.52194	5.762752	-198.985	-217.05902	110.0	110.0	21449	-21.010963	2.1639924	-14.986805	-30.368488	-21.010963	2.1643593	-15.011503	-30.34419	20.03487	0.13416031	165.99072122573853
14	-280.77454	10.751987	-254.62924	-294.2786	-204.31703	10.572664	-180.93275	-218.34822	110.0	110.0	23099	-22.135063	2.2315671	-16.169672	-31.676298	-22.135098	2.2315738	-16.250162	-31.579006	21.163054	0.13383064	179.7944622039795
15	-274.8075	11.828457	-255.05281	-302.30566	-204.13477	11.345539	-181.26273	-215.23247	110.0	110.0	24749	-23.280724	2.2841294	-17.133696	-33.448753	-23.280655	2.2842233	-17.023483	-33.496918	22.31235	0.13684341	193.40240216255188
16	-277.28613	10.052667	-257.34207	-295.8334	-207.59628	10.900639	-177.13326	-215.60924	110.0	110.0	26399	-24.399368	2.3293366	-18.309265	-34.48432	-24.399439	2.3295267	-18.369495	-34.612038	23.448797	0.13824761	207.0676827430725
17	-277.42816	11.348502	-255.82979	-292.0191	-204.31297	8.180881	-193.07097	-218.37572	110.0	110.0	28049	-25.52033	2.3518045	-19.412407	-36.003582	-25.520285	2.3522465	-19.219463	-36.178005	24.58144	0.14045444	220.96949410438538
18	-279.19882	7.107483	-269.8733	-291.28366	-204.43423	13.63635	-174.14226	-218.17076	110.0	110.0	29699	-26.682684	2.3611155	-20.354778	-37.20317	-26.68269	2.3613436	-20.434418	-36.99451	25.758413	0.14537683	234.80840682983398
19	-280.3893	8.997369	-257.195	-291.39114	-199.69992	12.327693	-179.75375	-215.27484	110.0	110.0	31349	-27.811758	2.3763318	-21.31162	-38.555862	-27.811794	2.3761597	-21.159771	-38.612663	26.892254	0.14655422	248.67229008674622
20	-276.52646	7.346952	-263.81686	-287.44205	-195.13026	13.27407	-174.12476	-217.0805	110.0	110.0	32999	-28.936188	2.4067273	-22.49755	-39.788223	-28.936255	2.406733	-22.525055	-39.97955	28.023556	0.14922135	262.4244496822357
21	-281.58792	9.644735	-264.25784	-296.61127	-194.8776	18.35697	-154.07196	-210.77443	110.0	110.0	34649	-30.037773	2.4340982	-23.431612	-41.35215	-30.037786	2.4344819	-23.145151	-40.891045	29.14846	0.15454783	276.27932357788086
22	-275.77255	12.115563	-256.5039	-290.80386	-200.3007	13.228601	-179.01024	-216.55663	110.0	110.0	36299	-31.151096	2.462551	-24.356955	-42.617645	-31.151125	2.4625766	-24.272055	-42.34148	30.250189	0.15696111	290.32448387145996
23	-278.77225	7.7799177	-262.59012	-289.57446	-192.95432	20.61773	-141.97238	-212.12968	110.0	110.0	37949	-32.247753	2.489661	-25.190865	-43.68393	-32.247784	2.4898477	-25.034327	-43.33219	31.355371	0.16216993	303.95865535736084
24	-272.98697	15.238728	-230.958	-291.09012	-204.04845	13.959529	-169.9062	-216.62944	110.0	110.0	39599	-33.324253	2.5092432	-26.258694	-44.75878	-33.324265	2.5091882	-26.179663	-44.377308	32.445816	0.16567756	317.7459216117859
25	-275.02243	13.296125	-245.89436	-298.73984	-187.6376	19.28644	-137.53494	-205.74634	110.0	110.0	41249	-34.372974	2.5409653	-27.219315	-45.80012	-34.373028	2.5412326	-27.144781	-45.865223	33.49362	0.1702099	331.74212431907654
26	-277.01324	8.918891	-253.68965	-288.7321	-198.69379	18.197239	-158.07759	-217.79286	110.0	110.0	42899	-35.441097	2.5745187	-28.137712	-46.92099	-35.441067	2.5747764	-28.10074	-47.033146	34.5674	0.17566502	345.5403549671173
27	-273.51822	8.37344	-259.5324	-288.15494	-198.5902	13.693248	-180.00969	-220.62444	110.0	110.0	44549	-36.488636	2.6038232	-29.219788	-48.476772	-36.48865	2.603816	-29.084898	-47.94653	35.604034	0.17875196	359.3145401477814
28	-274.49765	8.179568	-257.01852	-287.42014	-203.14197	9.619249	-181.85818	-214.34993	110.0	110.0	46199	-37.515736	2.646766	-30.149841	-49.51331	-37.51577	2.6463487	-29.97847	-49.446693	36.653408	0.18238442	373.03998136520386
