Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-314.3637	21.296827	-287.2951	-355.30234	-225.50237	16.077293	-202.29164	-255.80446	110.0	110.0	1649	-4.351808	1.5090334	0.23757237	-8.553451	-4.3486056	1.515798	0.18634346	-8.396115	4.051625	1.1001848	4.751301050186157
2	-311.48953	24.509212	-277.14407	-371.0405	-213.42313	7.4881296	-194.93924	-221.57533	110.0	110.0	3299	-10.629399	2.7066243	-4.965387	-20.041636	-10.629421	2.7082226	-4.868313	-19.911188	10.023353	0.23150487	12.682983636856079
3	-324.69443	29.75962	-280.27164	-384.73727	-211.33748	6.360322	-202.65964	-220.38994	110.0	110.0	4949	-19.153158	3.108032	-11.985141	-30.699951	-19.152931	3.107855	-11.981558	-30.671247	18.37373	0.23704094	20.624196529388428
4	-329.83493	30.161882	-286.499	-389.01825	-209.0363	13.942578	-174.9719	-222.48897	110.0	110.0	6599	-27.333702	3.3248637	-18.981894	-39.774223	-27.333609	3.3247087	-19.022093	-40.150326	26.448711	0.2669455	28.015324592590332
5	-315.0801	25.844944	-279.10126	-361.0275	-206.21912	10.24812	-187.17311	-220.71405	110.0	110.0	8249	-35.035393	3.4594967	-26.429546	-48.07451	-35.03529	3.4598007	-26.351028	-48.242233	34.051167	0.28834835	35.881351470947266
6	-323.72034	26.378338	-270.39066	-371.2463	-205.51022	19.320934	-156.10551	-220.32118	110.0	110.0	9899	-42.386726	3.5321665	-33.131165	-55.837524	-42.386734	3.5323758	-33.073326	-56.125973	41.358963	0.29003844	43.281949281692505
7	-320.52756	20.049698	-294.55933	-351.54584	-201.01793	17.699352	-153.79797	-217.12903	110.0	110.0	11549	-49.51933	3.5186505	-39.662716	-62.629078	-49.519356	3.5183508	-39.77035	-62.84442	48.47501	0.30568302	51.16009211540222
8	-319.29138	21.851208	-282.65878	-369.8113	-207.63936	11.398246	-183.68716	-225.06773	110.0	110.0	13199	-56.551426	3.4835143	-46.446136	-70.0617	-56.551388	3.482595	-46.56813	-70.32383	55.511417	0.31723502	58.51295876502991
9	-320.90393	21.454306	-290.49924	-361.64767	-203.9528	13.171052	-182.20929	-216.41072	110.0	110.0	14849	-63.479176	3.4981477	-53.182552	-77.571594	-63.47929	3.4973373	-53.277626	-77.4528	62.44294	0.33071566	65.91462111473083
10	-328.2132	26.592888	-292.8454	-378.9522	-203.01088	12.915126	-182.26099	-219.20097	110.0	110.0	16499	-70.295555	3.5548725	-59.64932	-85.01717	-70.29551	3.5548635	-59.916298	-84.976105	69.25544	0.3337168	73.75799322128296
11	-310.02658	16.491493	-283.35248	-351.1994	-209.81392	8.839385	-187.13118	-218.86938	110.0	110.0	18149	-77.07237	3.555755	-65.91676	-92.99798	-77.07232	3.5561306	-66.21464	-92.888374	76.04083	0.35425934	81.73272919654846
12	-304.38	23.891994	-282.00323	-362.85144	-210.823	6.5229406	-196.30481	-218.07198	110.0	110.0	19799	-83.67565	3.529036	-72.673744	-100.19204	-83.675674	3.5298283	-72.74297	-100.19079	82.687096	0.36257893	89.64145350456238
13	-225.92413	34.579403	-201.13579	-337.23767	-210.15967	10.77435	-179.8924	-219.2615	110.0	110.0	21449	-90.130615	3.5721262	-79.04763	-106.50953	-90.13064	3.5726042	-79.16739	-106.826294	89.18017	0.35858512	97.5949079990387
14	-211.94655	8.007066	-196.8754	-223.49747	-207.76526	12.506348	-180.21045	-220.63644	110.0	110.0	23099	-96.295235	3.6946065	-85.53097	-113.369576	-96.29524	3.6955078	-85.51689	-113.80135	95.4039	0.3425075	105.16242480278015
15	-213.54095	5.0731993	-203.94641	-223.90479	-201.65077	17.919035	-165.12181	-216.67177	110.0	110.0	24749	-102.42732	3.7805538	-91.67021	-119.509315	-102.427246	3.7814252	-91.74042	-120.01468	101.591446	0.33120072	112.98407530784607
16	-200.57135	20.171001	-162.91457	-221.84299	-211.84445	7.6159167	-193.80086	-222.54692	110.0	110.0	26399	-108.32709	3.9108565	-97.51978	-126.68412	-108.32712	3.9120886	-97.49602	-126.67224	107.539375	0.3261591	120.57979393005371
17	-211.65996	5.6179485	-199.97646	-220.43779	-210.47795	6.8327603	-194.07684	-217.51422	110.0	110.0	28049	-114.041664	4.053898	-102.731575	-133.06381	-114.04155	4.0543284	-102.64261	-132.9298	113.291664	0.32712778	128.86472368240356
18	-207.96214	10.541257	-184.58313	-221.01086	-208.98666	9.138884	-184.13062	-216.1722	110.0	110.0	29699	-119.70125	4.140763	-108.06096	-139.32565	-119.70126	4.140989	-107.9645	-139.71362	118.96568	0.32090548	136.50423669815063
19	-207.49521	9.137678	-194.00356	-224.12712	-205.73734	14.404189	-176.89937	-218.32811	110.0	110.0	31349	-125.19456	4.3401704	-113.49402	-145.54245	-125.19451	4.3408723	-113.4162	-145.87492	124.494064	0.32177615	144.53007912635803
20	-206.91628	11.66883	-188.66914	-223.54875	-207.4526	11.107078	-190.08022	-222.76378	110.0	110.0	32999	-130.48836	4.5031424	-118.38208	-151.3271	-130.48831	4.503526	-118.391624	-151.187	129.79971	0.3218986	152.27407956123352
21	-210.54312	9.255258	-190.22997	-224.53255	-204.92639	16.192215	-165.79976	-221.46059	110.0	110.0	34649	-135.60529	4.6192436	-123.50436	-157.86386	-135.60532	4.619064	-123.31447	-158.11569	134.9767	0.31962445	160.38849115371704
22	-209.82191	8.910025	-186.81299	-222.97336	-203.17842	12.751302	-175.15636	-221.31854	110.0	110.0	36299	-140.70833	4.748184	-128.43999	-162.71846	-140.70836	4.7486777	-128.38322	-162.95616	140.09027	0.32285205	168.49294900894165
23	-208.93544	10.108984	-184.1625	-220.98143	-203.55312	10.37726	-190.94856	-221.59679	110.0	110.0	37949	-145.71748	4.85688	-133.29265	-168.35576	-145.71744	4.8571677	-133.17334	-168.39363	145.1262	0.31678954	176.0460979938507
24	-208.28156	10.018509	-190.68396	-220.00705	-198.12494	17.151335	-168.53625	-218.4056	110.0	110.0	39599	-150.55147	4.9682026	-138.11461	-173.65169	-150.5515	4.9686074	-137.98654	-174.08943	149.97495	0.31662756	184.08827447891235
25	-204.17018	9.820828	-185.91582	-218.47063	-205.1066	21.713326	-143.77003	-225.66206	110.0	110.0	41249	-155.26717	5.0759177	-142.6216	-178.52693	-155.26715	5.07607	-142.44122	-178.71402	154.70213	0.3142712	192.1554672718048
26	-202.51294	12.062165	-172.56197	-221.48901	-207.21506	8.649726	-193.6966	-218.52193	110.0	110.0	42899	-159.87088	5.2181096	-147.0787	-183.59181	-159.87099	5.218566	-146.87314	-183.86229	159.32318	0.32312366	200.1600000858307
27	-206.83192	13.548131	-173.85234	-221.40244	-203.37778	17.53523	-166.21701	-219.98372	110.0	110.0	44549	-164.37982	5.2988887	-151.45667	-188.40575	-164.37973	5.2995663	-151.14468	-188.79951	163.86786	0.32210243	208.2527506351471
28	-204.5031	16.48898	-165.06647	-219.98007	-206.35605	8.597474	-191.47723	-217.6979	110.0	110.0	46199	-168.90036	5.352525	-155.42477	-193.0648	-168.90034	5.353409	-155.2813	-193.53772	168.36353	0.32874367	216.06371188163757
29	-203.76387	9.108157	-179.15813	-213.16457	-203.53151	12.909313	-168.17256	-220.84467	110.0	110.0	47849	-173.23647	5.4370804	-159.73813	-197.29182	-173.23653	5.4382734	-159.51347	-198.00378	172.72725	0.33018327	224.1179234981537
30	-209.45583	6.764422	-199.04752	-221.55646	-198.89095	12.023764	-166.47406	-210.99925	110.0	110.0	49499	-177.43625	5.542582	-163.71854	-202.7056	-177.43616	5.544846	-163.56256	-203.39423	176.97183	0.3303925	232.2957010269165
