Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-318.7618	27.826998	-282.61377	-378.2516	-213.49673	8.815704	-196.22183	-222.45059	110.0	110.0	1649	-4.692961	1.3698543	0.28412053	-8.897403	-4.691123	1.3769966	0.114704415	-8.945742	4.3454328	0.64660877	5.407894134521484
2	-320.07776	25.790922	-281.55127	-370.34613	-207.82964	11.736992	-185.31052	-223.98022	110.0	110.0	3299	-11.007895	2.8440077	-4.8145294	-21.16725	-11.007847	2.8449378	-4.791985	-21.379189	10.406945	0.15881315	14.973014831542969
3	-315.73874	25.34579	-283.1439	-376.4939	-206.21426	9.359345	-187.95302	-220.50652	110.0	110.0	4949	-19.559143	3.0980015	-11.267804	-31.416815	-19.5591	3.0988765	-11.329166	-31.338417	18.762506	0.18395966	24.6981098651886
4	-310.8722	29.122805	-268.26947	-382.2237	-202.6667	6.5622325	-194.08134	-212.1524	110.0	110.0	6599	-27.554033	3.3002174	-18.12212	-41.312363	-27.55397	3.3009562	-17.993252	-41.181107	26.610048	0.20226866	33.21315670013428
5	-322.3442	31.39762	-272.43564	-376.72128	-206.84712	8.746845	-183.9643	-216.93942	110.0	110.0	8249	-35.023758	3.442459	-24.74538	-49.941715	-35.023632	3.4426537	-24.403326	-49.811752	34.010803	0.22305402	41.425973892211914
6	-318.51694	24.67126	-285.77167	-390.09042	-206.54443	9.174391	-185.50064	-216.35872	110.0	110.0	9899	-42.4294	3.6625314	-31.42058	-58.19362	-42.429447	3.662737	-31.229815	-58.448063	41.37004	0.2450954	49.46377944946289
7	-319.12408	25.860348	-284.05112	-377.36658	-204.37112	12.918586	-180.95479	-218.76715	110.0	110.0	11549	-49.54217	3.7601478	-38.49301	-65.679825	-49.542133	3.7601268	-38.365486	-65.7835	48.4766	0.27487808	57.20470404624939
8	-322.08835	27.547943	-282.10242	-378.34637	-205.03442	14.698149	-174.2087	-221.15695	110.0	110.0	13199	-56.548008	3.7931526	-45.24573	-73.65661	-56.54805	3.7928476	-45.235912	-73.71927	55.49242	0.29136238	65.12999320030212
9	-318.2012	21.709665	-286.3418	-361.13068	-204.7016	11.894208	-183.06517	-219.70863	110.0	110.0	14849	-63.514194	3.8344207	-51.911186	-79.98907	-63.514225	3.8338366	-51.7378	-79.94713	62.45413	0.30341974	73.08503866195679
10	-315.9637	24.401712	-277.1655	-367.34476	-207.85469	9.69387	-185.10066	-217.30827	110.0	110.0	16499	-70.37972	3.854541	-58.900757	-87.38451	-70.379875	3.854685	-58.67258	-87.31498	69.32878	0.32314697	80.67727494239807
11	-309.2427	20.267456	-273.13074	-354.35333	-209.33188	9.809526	-186.33751	-220.60727	110.0	110.0	18149	-77.17239	3.8991935	-65.25771	-94.19771	-77.17254	3.899513	-65.02146	-94.142296	76.118935	0.34345296	88.79237246513367
