Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-322.9298	32.86667	-260.75858	-380.97806	-217.99715	11.229836	-199.89598	-245.06203	110.0	110.0	1649	-3.3448384	0.6978233	0.23075736	-5.5736213	-3.3396418	0.70165247	0.2454582	-5.540514	3.0514977	0.6318188	4.553081035614014
2	-306.59967	19.608929	-281.36203	-360.62253	-210.64066	12.113702	-182.48993	-225.23546	110.0	110.0	3299	-4.6342807	0.7826857	-2.4778183	-7.672668	-4.6342745	0.78185916	-2.5028183	-7.8137236	4.1895676	0.109196775	12.535787343978882
3	-314.2338	23.057983	-290.77408	-370.5252	-211.83907	7.661874	-200.3942	-222.40677	110.0	110.0	4949	-6.225697	0.9433666	-3.7258797	-10.244396	-6.2257233	0.94391125	-3.7669775	-10.252938	5.722333	0.10304976	19.99453115463257
4	-317.67172	28.386568	-289.72592	-395.1152	-210.95113	8.579466	-188.10155	-222.43869	110.0	110.0	6599	-7.8911858	1.1258832	-4.9052677	-12.299279	-7.89123	1.1267073	-4.9350266	-12.4654875	7.3284345	0.10758099	28.018263816833496
5	-303.34418	25.307055	-268.33246	-375.4482	-208.42993	7.5279646	-193.24693	-217.51555	110.0	110.0	8249	-9.561392	1.3055997	-6.097152	-14.653019	-9.561456	1.3064166	-6.1837435	-14.616396	8.939297	0.11207241	35.97390341758728
6	-317.22668	30.358671	-284.22446	-369.79977	-203.8561	19.04743	-149.68648	-218.15723	110.0	110.0	9899	-11.229178	1.4971322	-7.323323	-17.250237	-11.229219	1.4980968	-7.3205175	-17.30824	10.5620985	0.11840626	44.068016052246094
7	-330.90866	34.49491	-269.75076	-382.47623	-211.58696	5.415805	-200.94337	-218.35585	110.0	110.0	11549	-12.920979	1.7011501	-8.623174	-20.030743	-12.921	1.7016859	-8.468082	-20.041077	12.19302	0.12938718	52.064088344573975
8	-318.9993	26.791407	-284.85257	-368.8476	-206.05147	17.028084	-163.2288	-223.40942	110.0	110.0	13199	-14.600597	1.867982	-9.890356	-22.149206	-14.600629	1.8688504	-9.871511	-22.230934	13.815484	0.13852622	59.77045941352844
9	-314.16702	19.663094	-273.69006	-348.84894	-208.33517	7.5905414	-191.81245	-218.57391	110.0	110.0	14849	-16.175112	2.002905	-10.987179	-23.956299	-16.175226	2.0029647	-11.086328	-24.08409	15.327945	0.1490672	67.44167184829712
10	-317.91415	22.485003	-287.8483	-361.04724	-204.43338	10.752225	-184.87564	-217.79137	110.0	110.0	16499	-17.755041	2.087597	-12.355268	-26.484362	-17.755077	2.0878685	-12.371787	-26.314058	16.861282	0.15879574	75.37679624557495
11	-323.0326	20.545444	-298.62256	-382.82684	-211.78613	12.13941	-175.97934	-218.908	110.0	110.0	18149	-19.304794	2.1837044	-13.524639	-28.554058	-19.304811	2.1842992	-13.497905	-28.541592	18.380709	0.16987349	83.374338388443
