Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-332.5023	32.705463	-295.48615	-386.0806	-220.6644	7.6407824	-204.86276	-231.37178	110.0	110.0	1649	-3.4275339	0.61497134	0.047830403	-5.9023857	-3.4238725	0.617306	0.090104274	-5.868056	3.0366309	0.25922322	10.710039615631104
2	-333.7806	29.017153	-277.02774	-377.45392	-223.25256	2.7772968	-217.2902	-227.5524	110.0	110.0	3299	-4.634374	0.8798696	-2.4328678	-8.285652	-4.634407	0.8784381	-2.4396832	-8.1375475	4.153836	0.048251472	33.201789140701294
3	-323.93936	25.792288	-293.9725	-395.85162	-217.72343	8.917164	-198.3588	-229.77458	110.0	110.0	4949	-6.1562386	1.0645365	-3.30388	-10.571224	-6.156286	1.062894	-3.3425388	-10.61738	5.6100564	0.04632363	55.931647300720215
4	-329.41858	23.055408	-293.5814	-366.04163	-218.05986	4.0314527	-209.41032	-223.03185	110.0	110.0	6599	-7.753178	1.2489992	-4.1483307	-12.700544	-7.753192	1.2477244	-4.257158	-12.73856	7.1382866	0.05509267	78.0805971622467
5	-320.8153	26.460045	-280.41608	-371.5114	-216.13943	8.185136	-201.75912	-226.35988	110.0	110.0	8249	-9.384046	1.3926733	-5.323732	-14.936443	-9.3840475	1.3917897	-5.3566794	-14.874769	8.698783	0.06509569	100.34996628761292
6	-339.66025	33.574272	-288.57205	-387.85748	-215.9307	5.769738	-205.88498	-224.01518	110.0	110.0	9899	-11.064866	1.5718346	-6.83734	-17.101671	-11.064833	1.5711594	-6.7131023	-17.262465	10.313338	0.07451567	123.2035140991211
7	-316.2385	26.335611	-289.17453	-396.32416	-216.40747	7.922533	-201.02863	-227.94643	110.0	110.0	11549	-12.677738	1.7074093	-8.039951	-19.375854	-12.67774	1.706453	-7.8562856	-19.3982	11.864576	0.08409636	145.3285002708435
8	-326.2113	34.38715	-278.91272	-400.9923	-215.65633	8.914934	-191.33307	-224.19241	110.0	110.0	13199	-14.25034	1.8638864	-9.229389	-21.381313	-14.250313	1.862872	-9.140514	-21.539549	13.390824	0.094873406	167.41789293289185
9	-316.96817	24.132889	-287.95184	-368.18478	-218.79749	4.214154	-212.08975	-225.84662	110.0	110.0	14849	-15.722917	1.9647652	-10.803074	-23.422485	-15.722904	1.9636623	-10.629704	-23.347185	14.820126	0.1028808	190.08205103874207
10	-337.05295	26.613758	-294.85083	-380.5319	-215.54265	7.444567	-200.31482	-223.19005	110.0	110.0	16499	-17.228544	2.0677307	-12.010082	-24.900948	-17.22848	2.066897	-12.017419	-24.927137	16.272114	0.11506443	212.23121309280396
11	-330.20758	32.708576	-274.00436	-387.96127	-210.57822	8.953361	-194.88971	-223.42354	110.0	110.0	18149	-18.680914	2.1500313	-13.40134	-26.583433	-18.680973	2.148921	-13.270248	-26.669971	17.680372	0.12556893	234.34643983840942
12	-327.18964	27.029163	-292.36084	-372.55518	-216.20267	6.656203	-200.87938	-222.99649	110.0	110.0	19799	-20.115532	2.212575	-14.09462	-28.642101	-20.115643	2.2118826	-14.014435	-28.249384	19.093836	0.13514864	256.3902027606964
13	-256.0788	18.352875	-240.50565	-313.20502	-216.35446	3.2388759	-209.02574	-220.91223	110.0	110.0	21449	-21.3739	2.2611184	-15.214213	-29.75176	-21.373898	2.260352	-15.077358	-29.732666	20.352003	0.13698594	279.15191078186035
14	-251.09668	6.119291	-234.26591	-260.87158	-218.7065	2.5422082	-214.13356	-222.82785	110.0	110.0	23099	-22.495968	2.3562415	-16.343943	-31.537802	-22.496017	2.3555386	-16.22636	-31.460196	21.509207	0.13474575	301.73974680900574
15	-252.08612	7.0463176	-234.02716	-260.2319	-215.1149	8.640332	-192.35197	-223.60672	110.0	110.0	24749	-23.61615	2.4320326	-17.362616	-32.69009	-23.616173	2.4313767	-17.52759	-32.518097	22.653982	0.12887342	324.73283863067627
16	-248.67258	8.339433	-232.99442	-258.87073	-215.37544	6.691849	-198.81766	-222.20045	110.0	110.0	26399	-24.721256	2.482277	-18.313076	-34.02175	-24.72126	2.4815657	-18.313656	-33.934105	23.80396	0.1308227	347.62833166122437
17	-249.16136	7.686357	-230.35942	-259.45486	-215.69502	4.073115	-208.82312	-220.90349	110.0	110.0	28049	-25.852959	2.498224	-19.3884	-35.222843	-25.852983	2.4975893	-19.296751	-35.12199	24.963282	0.12626684	370.3317639827728
18	-247.67336	7.5724964	-232.20154	-260.14554	-216.24472	6.9810886	-197.47986	-223.87364	110.0	110.0	29699	-26.961102	2.5439017	-20.402966	-36.99649	-26.961197	2.5429883	-20.439217	-36.868053	26.103106	0.12976593	392.93639183044434
19	-248.42293	7.622991	-233.4838	-259.7104	-217.00883	4.7045026	-207.7771	-222.5814	110.0	110.0	31349	-28.089796	2.5524745	-21.488874	-38.448677	-28.089897	2.5516748	-21.579136	-37.983524	27.267057	0.1286016	416.2989094257355
20	-251.32295	4.933315	-240.0337	-260.29184	-218.6191	2.2206836	-216.10886	-224.12576	110.0	110.0	32999	-29.222097	2.5634596	-22.321041	-39.464355	-29.222094	2.5627122	-22.513014	-39.27096	28.412434	0.12662764	439.79247546195984
