Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-354.57892	25.782764	-320.5335	-411.8006	-244.68884	6.0458074	-229.937	-254.30696	110.0	110.0	1649	-3.8352525	0.5797832	-0.34425545	-6.145201	-3.794759	0.68943685	0.32397854	-6.2244205	3.4488175	0.45077077	11.729083776473999
2	-334.48312	26.331781	-307.4923	-386.79855	-239.71948	6.258437	-231.51898	-252.52718	110.0	110.0	3299	-4.8807287	0.7442617	-2.9401288	-8.202869	-4.880872	0.7370541	-2.9901142	-8.3095455	4.4053464	0.05378826	37.785943269729614
3	-344.88544	26.140522	-307.03326	-382.98978	-240.5695	5.3712044	-231.60927	-246.89127	110.0	110.0	4949	-6.398086	0.95694697	-3.843714	-10.732563	-6.3982005	0.95045435	-3.8399794	-10.730364	5.878098	0.05368885	64.22567200660706
4	-342.7764	25.04916	-316.6975	-408.12158	-239.34053	7.2791266	-218.42302	-244.90787	110.0	110.0	6599	-8.04289	1.1182759	-5.193919	-13.6700945	-8.042964	1.1132978	-5.111306	-12.949152	7.4578657	0.06148983	90.66456389427185
5	-347.5399	23.929426	-314.72046	-390.7714	-240.27238	5.1741624	-227.0271	-245.5477	110.0	110.0	8249	-9.780164	1.309638	-6.4290237	-15.727293	-9.780257	1.3048924	-6.509836	-16.096931	9.132713	0.068403915	116.63495659828186
6	-348.4765	31.298422	-300.0519	-416.66125	-242.3429	3.6225429	-237.43437	-248.376	110.0	110.0	9899	-11.551769	1.4790242	-7.9283195	-18.360764	-11.551809	1.4755499	-7.9861345	-18.490746	10.8399315	0.07529048	142.8512318134308
7	-336.67902	20.298693	-310.7512	-388.3781	-243.54251	2.6897466	-239.03726	-248.14096	110.0	110.0	11549	-13.246017	1.6001581	-9.304404	-20.508219	-13.246196	1.5964993	-9.371528	-20.44639	12.488528	0.08215183	169.51058959960938
8	-349.73215	21.048676	-307.4129	-385.77103	-240.91655	5.602388	-228.75629	-247.79474	110.0	110.0	13199	-14.907748	1.699378	-10.70422	-22.865215	-14.907815	1.6961702	-10.735282	-22.804506	14.100754	0.092008054	195.35761737823486
9	-347.54373	25.476759	-313.0174	-391.80908	-240.60513	4.5635943	-229.1876	-246.7834	110.0	110.0	14849	-16.586939	1.8070678	-12.08139	-24.66428	-16.587055	1.8045257	-12.178418	-25.262003	15.736089	0.101157375	221.1346468925476
10	-348.4188	29.005262	-316.86325	-413.95007	-240.931	6.248737	-227.65352	-248.96234	110.0	110.0	16499	-18.242743	1.8909329	-13.673623	-26.456251	-18.242771	1.8882395	-13.615987	-26.870604	17.342083	0.10860304	247.02330708503723
11	-352.9412	34.190674	-310.7725	-419.97235	-238.73344	6.7153177	-224.63905	-244.83076	110.0	110.0	18149	-19.854729	1.9993356	-14.935994	-28.363083	-19.85492	1.9972205	-14.953448	-28.52362	18.923555	0.11797119	273.27253246307373
12	-349.1716	25.795914	-310.14984	-412.02094	-239.92429	3.6367211	-232.621	-244.33316	110.0	110.0	19799	-21.456978	2.0727403	-16.403627	-29.935253	-21.457119	2.0708184	-16.279186	-29.821354	20.500837	0.12736593	298.90046977996826
13	-286.35944	21.139631	-270.3885	-359.84058	-242.8973	2.972128	-239.70757	-249.04713	110.0	110.0	21449	-22.900368	2.1282372	-17.756943	-31.487268	-22.900393	2.1264114	-17.820684	-31.178812	21.942266	0.12685896	325.16972970962524
14	-276.647	4.419718	-269.08334	-283.43173	-238.72998	7.5742464	-223.00873	-248.54471	110.0	110.0	23099	-24.20715	2.1938076	-19.187387	-33.123882	-24.20728	2.1925375	-19.166166	-32.970436	23.28248	0.122263424	351.5791347026825
